temperature,replicate,lag,heldout_msd,heldout_ngp,jump_event_count,jump_msd,jump_radial_fourth_moment,jump_component_fourth_moment,jump_characteristic_k2,jump_characteristic_k4,jump_characteristic_k7p25,empirical_geometry_supported,empirical_mean_event_count,empirical_cage_variance,fixed_length_geometry_supported,fixed_length_mean_event_count,fixed_length_cage_variance,heldout_msd_used_as_diagnostic_input,heldout_ngp_used_as_diagnostic_input,calibration_jump_geometry_only,observed_fs_k2,gamma_fs_k2,gamma_fs_k2_absolute_error,empirical_fs_k2,empirical_fs_k2_absolute_error,empirical_fs_k2_signed_residual,fixed_length_fs_k2,fixed_length_fs_k2_absolute_error,observed_fs_k4,gamma_fs_k4,gamma_fs_k4_absolute_error,empirical_fs_k4,empirical_fs_k4_absolute_error,empirical_fs_k4_signed_residual,fixed_length_fs_k4,fixed_length_fs_k4_absolute_error,observed_fs_k7p25,gamma_fs_k7p25,gamma_fs_k7p25_absolute_error,empirical_fs_k7p25,empirical_fs_k7p25_absolute_error,empirical_fs_k7p25_signed_residual,fixed_length_fs_k7p25,fixed_length_fs_k7p25_absolute_error,blind_prediction_claim_allowed,finite_exchange_resolved,static_environment_resolved,spatial_facilitation_resolved,activated_cage_geometry_resolved,microdynamic_closure_claim_allowed,thermodynamic_claim_allowed
0.45,1,20,0.03943903427,0.6894572448,82267,0.06685790297,0.01718804571,0.003432263193,0.957597503,0.851686088,0.6422987586,1,0.1041497054,0.005412633896,1,0.3998555532,0.002117588415,1,1,1,0.9742726066,0.9742793415,6.7349e-06,0.9742700616,2.545013242e-06,-2.545013242e-06,0.974280637,8.030376388e-06,0.9031194882,0.9034517262,0.000332238,0.902985311,0.0001341771811,-0.0001341771811,0.9035232461,0.0004037579294,0.7273620753,0.7335168227,0.0061547474,0.7248750034,0.002487071866,-0.002487071866,0.7351859394,0.007823864149,0,0,0,0,0,0,0
0.45,1,100,0.05706767167,1.629733934,82267,0.06685790297,0.01718804571,0.003432263193,0.957597503,0.851686088,0.6422987586,1,0.5154602482,0.003767513402,0,1.978974803,-0.01254040562,1,1,1,0.9637263303,0.9637607069,3.43766e-05,0.9637466258,2.029550622e-05,2.029550622e-05,,,0.8712844741,0.8728911583,0.0016066842,0.8722055675,0.0009210934043,0.0009210934043,,,0.6701586799,0.6937272634,0.0235685835,0.6822148142,0.01205613431,0.01205613431,,,0,0,0,0,0,0,0
0.45,1,200,0.07543971565,2.052809675,82267,0.06685790297,0.01718804571,0.003432263193,0.957597503,0.851686088,0.6422987586,0,1.134610854,-6.96644516e-05,0,4.356041613,-0.0359660153,1,1,1,0.9531991465,0.9532645068,6.53603e-05,,,,,,0.842453604,0.8450157521,0.0025621481,,,,,,0.6251232913,0.6586271283,0.033503837,,,,,,0,0,0,0,0,0,0
0.45,1,500,0.1272688962,2.240207131,82267,0.06685790297,0.01718804571,0.003432263193,0.957597503,0.851686088,0.6422987586,0,3.523959371,-0.01805593958,0,13.5293203,-0.1295455147,1,1,1,0.9252086699,0.9252625667,5.38968e-05,,,,,,0.7741688168,0.7769164941,0.0027476773,,,,,,0.5333952818,0.5718261185,0.0384308367,,,,,,0,0,0,0,0,0,0
0.45,1,1000,0.2137164843,2.035011318,82267,0.06685790297,0.01718804571,0.003432263193,0.957597503,0.851686088,0.6422987586,0,9.026949935,-0.06496774309,0,34.65661326,-0.350558667,1,1,1,0.8825336716,0.8824005861,0.0001330855,,,,,,0.6840225543,0.6849714184,0.0009488641,,,,,,0.4319674514,0.462161361,0.0301939096,,,,,,0,0,0,0,0,0,0
0.45,1,2000,0.3849408778,1.532081397,82267,0.06685790297,0.01718804571,0.003432263193,0.957597503,0.851686088,0.6422987586,0,22.04794243,-0.1815230529,0,84.64730826,-0.8790667741,1,1,1,0.8061233874,0.8053909579,0.0007324295,,,,,,0.5436221108,0.5396804809,0.0039416299,,,,,,0.2975422299,0.3050240055,0.0074817756,,,,,,0,0,0,0,0,0,0
0.45,1,3000,0.5507382501,1.330172432,82267,0.06685790297,0.01718804571,0.003432263193,0.957597503,0.851686088,0.6422987586,0,39.18290089,-0.3448247226,0,150.4324996,-1.584477202,1,1,1,0.7425593344,0.7415762539,0.0009830805,,,,,,0.4489718027,0.4430010877,0.005970715,,,,,,0.2222160278,0.2216909596,0.0005250682,,,,,,0,0,0,0,0,0,0
0.45,2,20,0.03815202448,0.6641054641,82671,0.06696280253,0.01739188491,0.003486576869,0.9575476286,0.8514483709,0.6411908257,1,0.09241697103,0.005327254183,1,0.3592971202,0.002348747061,1,1,1,0.9750852842,0.9750931646,7.8804e-06,0.9750833384,1.945751773e-06,-1.945751773e-06,0.9750941629,8.87874493e-06,0.9059230563,0.9062418177,0.0003187614,0.9057746283,0.0001484280121,-0.0001484280121,0.9062970878,0.0003740314831,0.733577058,0.7394513639,0.0058743059,0.7311227921,0.002454265882,-0.002454265882,0.7407471415,0.007170083477,0,0,0,0,0,0,0
0.45,2,100,0.05277527809,1.616379584,82671,0.06696280253,0.01739188491,0.003486576869,0.9575476286,0.8514483709,0.6411908257,1,0.4304115509,0.003992285734,0,1.67334667,-0.00987945076,1,1,1,0.966315818,0.9663594048,4.35868e-05,0.9663384596,2.26415545e-05,2.26415545e-05,,,0.8792594732,0.8809065126,0.0016470394,0.8800162473,0.0007567741284,0.0007567741284,,,0.6847219018,0.7080344285,0.0233125267,0.6946965607,0.009974658908,0.009974658908,,,0,0,0,0,0,0,0
0.45,2,200,0.06724485326,2.105302692,82671,0.06696280253,0.01739188491,0.003486576869,0.9575476286,0.8514483709,0.6411908257,1,0.9101482679,0.001049795754,0,3.538458878,-0.02828337831,1,1,1,0.9579937366,0.9580658991,7.21625e-05,0.9580674128,7.367615319e-05,7.367615319e-05,,,0.8562828585,0.8588739375,0.002591079,0.8589876451,0.0027047866,0.0027047866,,,0.6480499865,0.6817343138,0.0336843273,0.6826660821,0.03461609558,0.03461609558,,,0,0,0,0,0,0,0
