record,model,held_clone_index,history_length,history_time_tau,slow_mode_count,state_mode_count,captured_force_history_variance_fraction,ridge,trajectory_sha256,heldout_state_r_squared,heldout_velocity_r_squared,heldout_velocity_residual_mean_squared,maximum_held_residual_state_correlation,maximum_held_residual_lag_correlation,fit_parameters_from_macro_observables,autonomous_state_dependent_gle_allowed,complete_event_clock_closure_allowed,kramers_escape_claim_allowed,thermodynamic_claim_allowed
held_clone,stationary_rank16,1.0,64.0,0.63,16.0,17.0,0.9897447832486934,0.0,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,0.997837954068488,0.9781766590475462,0.012590733028640501,0.24165324065685784,0.8569126517990755,0.0,0.0,0.0,0.0,0.0
held_clone,bilinear_energy,1.0,64.0,0.63,16.0,17.0,0.9897447832486934,767.4742342159251,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,0.9978922945880557,0.9782608589264037,0.012542154848147968,0.014155644842976212,0.8609775128640644,0.0,0.0,0.0,0.0,0.0
held_clone,bilinear_energy_power,1.0,64.0,0.63,16.0,17.0,0.9897447832486934,771.9656607995175,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,0.9978987520110286,0.9782699994377635,0.012536881332120884,0.014552592785852305,0.8607831273321492,0.0,0.0,0.0,0.0,0.0
held_clone,stationary_rank16,2.0,64.0,0.63,16.0,17.0,0.9897032478085849,0.0,8c7e42d5902dd65122ab803ce79a8364e09b031a3cafa5d895e03641d7dd36e5,0.99786236511848,0.9781205937875167,0.012608135940991751,0.21651448346992377,0.8545126182388575,0.0,0.0,0.0,0.0,0.0
held_clone,bilinear_energy,2.0,64.0,0.63,16.0,17.0,0.9897032478085849,767.2868923808032,8c7e42d5902dd65122ab803ce79a8364e09b031a3cafa5d895e03641d7dd36e5,0.9979146879892279,0.9781866628983604,0.012570063229011885,0.02112892984998509,0.8596544802769464,0.0,0.0,0.0,0.0,0.0
held_clone,bilinear_energy_power,2.0,64.0,0.63,16.0,17.0,0.9897032478085849,768.9298198735077,8c7e42d5902dd65122ab803ce79a8364e09b031a3cafa5d895e03641d7dd36e5,0.9979241618101646,0.9782066790466493,0.012558528806359364,0.020613453045051994,0.859352252501056,0.0,0.0,0.0,0.0,0.0
held_clone,stationary_rank16,3.0,64.0,0.63,16.0,17.0,0.989665152275856,0.0,55fdeb816b15d10677520bb7ca08c53cf593ce13ec828a8e8d3c0f5c70e365f2,0.9978536273177243,0.978599844547131,0.012602310012949489,0.2533938893612832,0.8562626173186112,0.0,0.0,0.0,0.0,0.0
held_clone,bilinear_energy,3.0,64.0,0.63,16.0,17.0,0.989665152275856,773.5386447900106,55fdeb816b15d10677520bb7ca08c53cf593ce13ec828a8e8d3c0f5c70e365f2,0.9979073162961755,0.9786834881930854,0.012553053213892522,0.021179903411867314,0.8605424431096285,0.0,0.0,0.0,0.0,0.0
held_clone,bilinear_energy_power,3.0,64.0,0.63,16.0,17.0,0.989665152275856,777.0183724945615,55fdeb816b15d10677520bb7ca08c53cf593ce13ec828a8e8d3c0f5c70e365f2,0.9979140577990547,0.9786938656143993,0.012546942067605708,0.021398519032028763,0.8603056245119561,0.0,0.0,0.0,0.0,0.0
held_clone,stationary_rank16,4.0,64.0,0.63,16.0,17.0,0.9895029906213201,0.0,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,0.9978984608491184,0.9781623939200556,0.0124659991634282,0.2709995196857439,0.8572946298744828,0.0,0.0,0.0,0.0,0.0
held_clone,bilinear_energy,4.0,64.0,0.63,16.0,17.0,0.9895029906213201,779.4786933639776,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,0.9979532425453144,0.9782321789620305,0.012426162366679743,0.021078419496954163,0.8606200889250918,0.0,0.0,0.0,0.0,0.0
held_clone,bilinear_energy_power,4.0,64.0,0.63,16.0,17.0,0.9895029906213201,785.344485326449,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,0.9979606521533388,0.9782473258035073,0.012417515791020881,0.021823656474114266,0.8603714202912534,0.0,0.0,0.0,0.0,0.0
