pair,scaled_radius,distance,lammps_fx,python_fx,absolute_error,relative_error,threshold,parity_pass,potential_protocol,thermodynamic_claim_allowed
AA,1.2,1.2,2.2116933422230725,2.2116933422230716,8.881784197001252e-16,4.0158298745312383e-16,2.3116933422230715e-10,1,ka_lj_c3_switch,0
AA,2.0,2.0,0.181640625,0.181640625,0.0,0.0,2.81640625e-11,1,ka_lj_c3_switch,0
AA,2.25,2.25,0.17431122479162242,0.17431122479162242,0.0,0.0,2.7431122479162242e-11,1,ka_lj_c3_switch,0
AA,2.49,2.49,3.544814429834272e-05,3.5448144295682814e-05,2.6599070710765782e-15,7.503656746851273e-11,1.0003544814429568e-11,1,ka_lj_c3_switch,0
AA,2.4999,2.4999,3.653991983113232e-11,3.6539919831132315e-11,6.462348535570529e-27,1.7685721713227607e-16,1.000000000365399e-11,1,ka_lj_c3_switch,0
AB,1.2,0.96,4.1469250166682885,4.146925016668291,2.6645352591003757e-15,6.425327799249931e-16,4.2469250166682914e-10,1,ka_lj_c3_switch,0
AB,2.0,1.6,0.34057617187500056,0.3405761718750005,5.551115123125783e-17,1.6299188203815894e-16,4.405761718750005e-11,1,ka_lj_c3_switch,0
AB,2.25,1.8,0.3268335464842914,0.326833546484291,3.885780586188048e-16,1.1889173030084947e-15,4.2683354648429104e-11,1,ka_lj_c3_switch,0
AB,2.49,1.9920000000000002,6.646527055591939e-05,6.646527055609716e-05,1.7776849870615452e-16,2.674607313245143e-12,1.0006646527055608e-11,1,ka_lj_c3_switch,0
AB,2.4999,1.99992,6.85165244665486e-11,6.85106101903835e-11,5.914276165106073e-15,8.632642664648505e-05,1.000000000685106e-11,1,ka_lj_c3_switch,0
BB,1.2,1.056,1.2566439444449364,1.2566439444449367,2.220446049250313e-16,1.7669651447937313e-16,1.3566439444449366e-10,1,ka_lj_c3_switch,0
BB,2.0,1.76,0.10320490056818195,0.10320490056818196,1.3877787807814457e-17,1.3446830268148113e-16,2.0320490056818195e-11,1,ka_lj_c3_switch,0
BB,2.25,1.98,0.09904046863160346,0.09904046863160357,1.1102230246251565e-16,1.1209791714080067e-15,1.9904046863160358e-11,1,ka_lj_c3_switch,0
BB,2.49,2.1912000000000003,2.014099107811258e-05,2.0140991077497244e-05,6.15335554862359e-16,3.055140397484461e-11,1.0002014099107749e-11,1,ka_lj_c3_switch,0
BB,2.4999,2.199912,2.0761143814449177e-11,2.076079096678286e-11,3.5284766631843647e-16,1.6995868167209556e-05,1.0000000002076079e-11,1,ka_lj_c3_switch,0
