temperature,replicate,lag,heldout_msd,heldout_ngp,jump_msd,jump_component_fourth_moment,predicted_count_mean,predicted_count_variance,count_fano_factor,inferred_mean_event_count,inferred_cage_variance,supported,heldout_msd_used_as_diagnostic_input,heldout_ngp_used_as_diagnostic_input,calibration_count_overdispersion_only,observed_fs_k2,predicted_fs_k2,fs_k2_absolute_error,observed_fs_k4,predicted_fs_k4,fs_k4_absolute_error,observed_fs_k7p25,predicted_fs_k7p25,fs_k7p25_absolute_error,blind_prediction_claim_allowed,finite_exchange_resolved,static_environment_resolved,spatial_facilitation_resolved,activated_cage_geometry_resolved,transient_potential_identified_in_ka,microdynamic_closure_claim_allowed,thermodynamic_claim_allowed
0.45,1.0,20.0,0.03943903427,0.6894572448,0.06685790297,0.003432263193,0.10001026968887317,0.13510284775819395,1.3508897454080666,0.09038214515619282,0.005566045596487801,1.0,1.0,1.0,1.0,0.9742726066,0.9742684667405482,4.13985945180162e-06,0.9031194882,0.9029171325831488,0.00020235561685122416,0.7273620753,0.7239583590464053,0.003403716253594702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,1.0,100.0,0.05706767167,1.629733934,0.06685790297,0.003432263193,0.5000513484443658,1.156791031020882,2.3133444887602037,0.3282891334168533,0.005853158106985106,1.0,1.0,1.0,1.0,0.9637263303,0.9637155289445547,1.080135544528904e-05,0.8712844741,0.8709800576982786,0.00030441640172140794,0.6701586799,0.6676962867359695,0.0024623931640305186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,1.0,200.0,0.07543971565,2.052809675,0.06685790297,0.003432263193,1.0001026968887317,3.150574185943224,3.1502506650012037,0.5868311654469286,0.00603423575512954,1.0,1.0,1.0,1.0,0.9531991465,0.953181221004347,1.792549565304835e-05,0.842453604,0.8419016842029993,0.000551919797000755,0.6251232913,0.6232106449916706,0.0019126463083294354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,1.0,500.0,0.1272688962,2.240207131,0.06685790297,0.003432263193,2.5002567422218296,12.159494958165492,4.863298537637408,1.3163289574174302,0.006543650414730702,1.0,1.0,1.0,1.0,0.9252086699,0.9250906343133939,0.00011803558660605784,0.7741688168,0.7717935174677923,0.002375299332207703,0.5333952818,0.5274676366570795,0.005927645142920435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,1.0,1000.0,0.2137164843,2.035011318,0.06685790297,0.003432263193,5.00051348444366,33.19936781629646,6.6391917389240085,2.6179859276184763,0.006447239195743082,1.0,1.0,1.0,1.0,0.8825336716,0.8822119686814538,0.00032170291854616284,0.6840225543,0.6802316339697829,0.003790920330217107,0.4319674514,0.426749620344031,0.005217831055968958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,1.0,2000.0,0.3849408778,1.532081397,0.06685790297,0.003432263193,10.001026968887306,84.12459236475398,8.4115953917994,5.227757191450273,0.0059039991238829985,1.0,1.0,1.0,1.0,0.8061233874,0.8054334738933577,0.0006899135066422701,0.5436221108,0.5392726869177643,0.004349423882235692,0.2975422299,0.2941155992943497,0.0034266306056502938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,1.0,3000.0,0.5507382501,1.330172432,0.06685790297,0.003432263193,15.001540453330943,138.18088519226995,9.211113060164982,8.584160875051685,-0.0038634574605126426,0.0,1.0,1.0,1.0,0.7425593344,nan,nan,0.4489718027,nan,nan,0.2222160278,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,2.0,20.0,0.03815202448,0.6641054641,0.06696280253,0.003486576869,0.10049965596231022,0.13618000248550524,1.3550295389725115,0.08020922337388592,0.005463498349021635,1.0,1.0,1.0,1.0,0.9750852842,0.9750820479988956,3.2362011043174377e-06,0.9059230563,0.9057177033752106,0.0002053529247894037,0.733577058,0.7303261879000363,0.0032508700999636098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,2.0,100.0,0.05277527809,1.616379584,0.06696280253,0.003486576869,0.5024982798115512,1.1672537869046642,2.322901060163653,0.27465149931090616,0.005730640662845894,1.0,1.0,1.0,1.0,0.966315818,0.9663139181298007,1.8998701992734013e-06,0.8792594732,0.8790271676158228,0.00023230558417719482,0.6847219018,0.6825901494838665,0.002131752316133495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,2.0,200.0,0.06724485326,2.105302692,0.06696280253,0.003486576869,1.0049965596231023,3.171093785186189,3.155328000700246,0.4730562374962481,0.005927946973825659,1.0,1.0,1.0,1.0,0.9579937366,0.9579805055809836,1.3231019016402001e-05,0.8562828585,0.8557201370853654,0.0005627214146345372,0.6480499865,0.64576295816794,0.0022870283320599594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
