initial_lag_time,initial_correlation,target_correlation,efold_crossing_time,crossing_lower_lag,crossing_upper_lag,temperature_group,replicate,block_size,thermodynamic_claim_allowed,parent_id,source_doi,source_sha256,source_frame_index,velocity_seed,trajectory_sha256,trajectory_size_bytes,trajectory_hash_scope
20.0,0.08327069822390513,0.03063357792856604,39.00360088660889,20.0,40.0,high,1.0,20.0,0.0,10.5281/zenodo.7469766:bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,10.5281/zenodo.7469766,bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,3000,58117,36aec61ab2d8c3cd75503e385c59e9eb38e1c9c1485edf0f72504b2ebefb05b1,236696897,complete_file
20.0,0.08230950948037248,0.030279976350734962,39.50750897604776,20.0,40.0,high,2.0,20.0,0.0,10.5281/zenodo.7469766:bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,10.5281/zenodo.7469766,bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,8000,58139,c8ff1665b78b807552d248d3c567f754c4520b77a9fe80a63d838a04f53e2b10,236765834,complete_file
20.0,0.06976411862807369,0.02566478497471396,39.06294946514886,20.0,40.0,high,3.0,20.0,0.0,10.5281/zenodo.7469766:bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,10.5281/zenodo.7469766,bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,13000,58157,ff0e1ad0ec19998c970249ec82f60c7e0b07062e3babad26a4e6faeff87d4e42,236721050,complete_file
20.0,0.08030862547747292,0.029543892261899393,39.64945931236934,20.0,40.0,high,4.0,20.0,0.0,10.5281/zenodo.7469766:bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,10.5281/zenodo.7469766,bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,18000,58181,31f2f4b65668a328e39dce653bd16e631acabb20cb269b71c64466187e7abf1e,236718166,complete_file
20.0,0.07810094630399841,0.02873173248127576,37.19432864673395,20.0,40.0,high,5.0,20.0,0.0,10.5281/zenodo.7469766:bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,10.5281/zenodo.7469766,bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,23000,58201,d6f7a59a7b08a43f314a78aa1cd1200b9d03b303375772c86b6420050aa46aaf,236726521,complete_file
50.0,0.06536444140504058,0.024046234176569817,99.83896378694713,50.0,100.0,high,1.0,50.0,0.0,10.5281/zenodo.7469766:bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,10.5281/zenodo.7469766,bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,3000,58117,36aec61ab2d8c3cd75503e385c59e9eb38e1c9c1485edf0f72504b2ebefb05b1,236696897,complete_file
50.0,0.06769195671677772,0.02490247920876965,72.93051044738826,50.0,100.0,high,2.0,50.0,0.0,10.5281/zenodo.7469766:bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,10.5281/zenodo.7469766,bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,8000,58139,c8ff1665b78b807552d248d3c567f754c4520b77a9fe80a63d838a04f53e2b10,236765834,complete_file
50.0,0.05270139133874645,0.019387758394655535,61.06436376765766,50.0,100.0,high,3.0,50.0,0.0,10.5281/zenodo.7469766:bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,10.5281/zenodo.7469766,bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,13000,58157,ff0e1ad0ec19998c970249ec82f60c7e0b07062e3babad26a4e6faeff87d4e42,236721050,complete_file
50.0,0.0639364887407905,0.023520919748426225,63.28112288857146,50.0,100.0,high,4.0,50.0,0.0,10.5281/zenodo.7469766:bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,10.5281/zenodo.7469766,bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,18000,58181,31f2f4b65668a328e39dce653bd16e631acabb20cb269b71c64466187e7abf1e,236718166,complete_file
50.0,0.06231792104501388,0.022925481969005772,73.47920082273384,50.0,100.0,high,5.0,50.0,0.0,10.5281/zenodo.7469766:bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,10.5281/zenodo.7469766,bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,23000,58201,d6f7a59a7b08a43f314a78aa1cd1200b9d03b303375772c86b6420050aa46aaf,236726521,complete_file
