record,epsilon,member_count,horizon_time,horizon_frames,position_reference_relative_l2,pair_force_reference_relative_l2,position_response_x_standard_error,pair_force_response_x_standard_error,fit_time,fit_frames,training_relative_l2_error,heldout_relative_l2_error,heldout_maximum_absolute_error,response_scope,thermodynamic_claim_allowed,spectral_radius
cross_epsilon_linearity,0.001,4,0.2,201,0.0,0.0,0.04710797233186557,40.07903405778271,,,,,,full_KA_Langevin_isoconfigurational_pair_force_response,0,
cross_epsilon_linearity,0.001,4,0.5,501,0.0,0.0,0.12623627242575883,36.164730986653545,,,,,,full_KA_Langevin_isoconfigurational_pair_force_response,0,
cross_epsilon_linearity,0.001,4,1.0,1001,0.0,0.0,0.12251867192229728,37.80412403642024,,,,,,full_KA_Langevin_isoconfigurational_pair_force_response,0,
cross_epsilon_linearity,0.001,4,2.0,2001,0.0,0.0,23.81156082002233,869.6540455740609,,,,,,full_KA_Langevin_isoconfigurational_pair_force_response,0,
cross_epsilon_linearity,0.002,4,0.2,201,8.137964616209145e-05,0.004601762711825484,0.047079157350543445,40.123454256679935,,,,,,full_KA_Langevin_isoconfigurational_pair_force_response,0,
cross_epsilon_linearity,0.002,4,0.5,501,0.0008596932003676658,0.005970044598600275,0.1256722601674098,36.16353875908026,,,,,,full_KA_Langevin_isoconfigurational_pair_force_response,0,
cross_epsilon_linearity,0.002,4,1.0,1001,0.0028004017872997737,0.010883672300970001,0.12259712308789629,36.4938928101402,,,,,,full_KA_Langevin_isoconfigurational_pair_force_response,0,
cross_epsilon_linearity,0.002,4,2.0,2001,0.606044865129612,1.1890095371076952,11.445129189050723,1129.5088675971035,,,,,,full_KA_Langevin_isoconfigurational_pair_force_response,0,
scalar_finite_memory_temporal_holdout,0.001,4,2.0,2001,,,23.81156082002233,869.6540455740609,0.02,21,1.6915216539219125e-05,1.0123901393512522,26.58735188697438,ensemble_mean_scalar_causal_memory_with_explicit_Langevin_friction,0,
pair_force_auxiliary_markov_temporal_holdout,0.001,4,0.2,201,,,0.04710797233186557,40.07903405778271,0.02,21,2.2815155382866097e-05,2.9068189912649753,2.4925720190375267,ensemble_mean_position_velocity_exact_pair_force_auxiliary_response,0,1.0047927953769236
pair_force_auxiliary_markov_temporal_holdout,0.001,4,0.5,501,,,0.12623627242575883,36.164730986653545,0.02,21,2.2815155382866097e-05,10.036336986867877,5.850184858212883,ensemble_mean_position_velocity_exact_pair_force_auxiliary_response,0,1.0047927953769236
pair_force_auxiliary_markov_temporal_holdout,0.001,4,1.0,1001,,,0.12251867192229728,37.80412403642024,0.02,21,2.2815155382866097e-05,64.3250883237962,37.964789803697485,ensemble_mean_position_velocity_exact_pair_force_auxiliary_response,0,1.0047927953769236
pair_force_auxiliary_markov_temporal_holdout,0.001,4,2.0,2001,,,23.81156082002233,869.6540455740609,0.02,21,2.2815155382866097e-05,182.73788032385804,4821.652572453251,ensemble_mean_position_velocity_exact_pair_force_auxiliary_response,0,1.0047927953769236
pair_force_rate_auxiliary_markov_temporal_holdout,0.001,4,0.2,201,,,0.04710797233186557,40.07903405778271,0.02,21,3.102195822368168e-05,105.67402895348872,159.0331915653277,ensemble_mean_position_velocity_pair_force_and_pair_force_rate_auxiliary_response,0,1.0413832927279627
pair_force_rate_auxiliary_markov_temporal_holdout,0.001,4,0.5,501,,,0.12623627242575883,36.164730986653545,0.02,21,3.102195822368168e-05,19926100.137108617,30660521.34946213,ensemble_mean_position_velocity_pair_force_and_pair_force_rate_auxiliary_response,0,1.0413832927279627
pair_force_rate_auxiliary_markov_temporal_holdout,0.001,4,1.0,1001,,,0.12251867192229728,37.80412403642024,0.02,21,3.102195822368168e-05,1.2127008970693176e+16,1.9583152135879244e+16,ensemble_mean_position_velocity_pair_force_and_pair_force_rate_auxiliary_response,0,1.0413832927279627
pair_force_rate_auxiliary_markov_temporal_holdout,0.001,4,2.0,2001,,,23.81156082002233,869.6540455740609,0.02,21,3.102195822368168e-05,1.1789533768187677e+32,7.98892707728994e+33,ensemble_mean_position_velocity_pair_force_and_pair_force_rate_auxiliary_response,0,1.0413832927279627
scalar_finite_memory_temporal_holdout,0.001,4,2.0,2001,,,23.81156082002233,869.6540455740609,0.05,51,0.00010571621968198223,1.0002428922031632,26.593320085398766,ensemble_mean_scalar_causal_memory_with_explicit_Langevin_friction,0,
pair_force_auxiliary_markov_temporal_holdout,0.001,4,0.2,201,,,0.04710797233186557,40.07903405778271,0.05,51,0.00015220151100520094,0.6528579832304524,0.28852224075657457,ensemble_mean_position_velocity_exact_pair_force_auxiliary_response,0,0.9935280532391764
pair_force_auxiliary_markov_temporal_holdout,0.001,4,0.5,501,,,0.12623627242575883,36.164730986653545,0.05,51,0.00015220151100520094,0.846385915090712,0.28852224075657457,ensemble_mean_position_velocity_exact_pair_force_auxiliary_response,0,0.9935280532391764
pair_force_auxiliary_markov_temporal_holdout,0.001,4,1.0,1001,,,0.12251867192229728,37.80412403642024,0.05,51,0.00015220151100520094,0.8792691059533408,0.28852224075657457,ensemble_mean_position_velocity_exact_pair_force_auxiliary_response,0,0.9935280532391764
pair_force_auxiliary_markov_temporal_holdout,0.001,4,2.0,2001,,,23.81156082002233,869.6540455740609,0.05,51,0.00015220151100520094,0.999969868540006,26.592987439016753,ensemble_mean_position_velocity_exact_pair_force_auxiliary_response,0,0.9935280532391764
pair_force_rate_auxiliary_markov_temporal_holdout,0.001,4,0.2,201,,,0.04710797233186557,40.07903405778271,0.05,51,0.00015723402245617683,0.5159278091737621,0.22670052571499047,ensemble_mean_position_velocity_pair_force_and_pair_force_rate_auxiliary_response,0,0.9921097912782973
pair_force_rate_auxiliary_markov_temporal_holdout,0.001,4,0.5,501,,,0.12623627242575883,36.164730986653545,0.05,51,0.00015723402245617683,0.72380059880987,0.22670052571499047,ensemble_mean_position_velocity_pair_force_and_pair_force_rate_auxiliary_response,0,0.9921097912782973
pair_force_rate_auxiliary_markov_temporal_holdout,0.001,4,1.0,1001,,,0.12251867192229728,37.80412403642024,0.05,51,0.00015723402245617683,0.7848486198698785,0.22670052571499047,ensemble_mean_position_velocity_pair_force_and_pair_force_rate_auxiliary_response,0,0.9921097912782973
pair_force_rate_auxiliary_markov_temporal_holdout,0.001,4,2.0,2001,,,23.81156082002233,869.6540455740609,0.05,51,0.00015723402245617683,0.9999485440680044,26.592988448755325,ensemble_mean_position_velocity_pair_force_and_pair_force_rate_auxiliary_response,0,0.9921097912782973
scalar_finite_memory_temporal_holdout,0.001,4,2.0,2001,,,23.81156082002233,869.6540455740609,0.1,101,0.00032803967838473713,0.999959360879717,26.59298837894331,ensemble_mean_scalar_causal_memory_with_explicit_Langevin_friction,0,
pair_force_auxiliary_markov_temporal_holdout,0.001,4,0.2,201,,,0.04710797233186557,40.07903405778271,0.1,101,0.0036233259164103653,0.09893225713187334,0.03687997043938987,ensemble_mean_position_velocity_exact_pair_force_auxiliary_response,0,0.9915664930950336
pair_force_auxiliary_markov_temporal_holdout,0.001,4,0.5,501,,,0.12623627242575883,36.164730986653545,0.1,101,0.0036233259164103653,0.6087277648334215,0.16977417333323788,ensemble_mean_position_velocity_exact_pair_force_auxiliary_response,0,0.9915664930950336
pair_force_auxiliary_markov_temporal_holdout,0.001,4,1.0,1001,,,0.12251867192229728,37.80412403642024,0.1,101,0.0036233259164103653,0.736235142317322,0.16977417333323788,ensemble_mean_position_velocity_exact_pair_force_auxiliary_response,0,0.9915664930950336
pair_force_auxiliary_markov_temporal_holdout,0.001,4,2.0,2001,,,23.81156082002233,869.6540455740609,0.1,101,0.0036233259164103653,0.9999553752125363,26.592988412760274,ensemble_mean_position_velocity_exact_pair_force_auxiliary_response,0,0.9915664930950336
pair_force_rate_auxiliary_markov_temporal_holdout,0.001,4,0.2,201,,,0.04710797233186557,40.07903405778271,0.1,101,0.002838296802814794,0.057974763584221885,0.023078165651662874,ensemble_mean_position_velocity_pair_force_and_pair_force_rate_auxiliary_response,0,0.9916850648750913
pair_force_rate_auxiliary_markov_temporal_holdout,0.001,4,0.5,501,,,0.12623627242575883,36.164730986653545,0.1,101,0.002838296802814794,0.5840682084145278,0.16250754597950787,ensemble_mean_position_velocity_pair_force_and_pair_force_rate_auxiliary_response,0,0.9916850648750913
pair_force_rate_auxiliary_markov_temporal_holdout,0.001,4,1.0,1001,,,0.12251867192229728,37.80412403642024,0.1,101,0.002838296802814794,0.7204340450394807,0.16250754597950787,ensemble_mean_position_velocity_pair_force_and_pair_force_rate_auxiliary_response,0,0.9916850648750913
pair_force_rate_auxiliary_markov_temporal_holdout,0.001,4,2.0,2001,,,23.81156082002233,869.6540455740609,0.1,101,0.002838296802814794,0.9999531510272048,26.592988426239685,ensemble_mean_position_velocity_pair_force_and_pair_force_rate_auxiliary_response,0,0.9916850648750913
scalar_finite_memory_temporal_holdout,0.001,4,2.0,2001,,,23.81156082002233,869.6540455740609,0.2,201,0.0004060387611268875,1.00001622312087,26.592971772530444,ensemble_mean_scalar_causal_memory_with_explicit_Langevin_friction,0,
pair_force_auxiliary_markov_temporal_holdout,0.001,4,0.5,501,,,0.12623627242575883,36.164730986653545,0.2,201,0.027236332654098708,1.2522750402682894,0.17408820862963575,ensemble_mean_position_velocity_exact_pair_force_auxiliary_response,0,0.9920383849161805
pair_force_auxiliary_markov_temporal_holdout,0.001,4,1.0,1001,,,0.12251867192229728,37.80412403642024,0.2,201,0.027236332654098708,1.113748576937322,0.17408820862963575,ensemble_mean_position_velocity_exact_pair_force_auxiliary_response,0,0.9920383849161805
pair_force_auxiliary_markov_temporal_holdout,0.001,4,2.0,2001,,,23.81156082002233,869.6540455740609,0.2,201,0.027236332654098708,1.0000105737540517,26.592988440122152,ensemble_mean_position_velocity_exact_pair_force_auxiliary_response,0,0.9920383849161805
pair_force_rate_auxiliary_markov_temporal_holdout,0.001,4,0.5,501,,,0.12623627242575883,36.164730986653545,0.2,201,0.017224489357724703,1.174060043141679,0.16351947030951344,ensemble_mean_position_velocity_pair_force_and_pair_force_rate_auxiliary_response,0,0.9918049193325179
