temperature,replicate,lag,heldout_msd,heldout_ngp,cage_variance_root_supported,inferred_cage_variance,inferred_cage_fraction,heldout_msd_used_as_diagnostic_input,heldout_ngp_used_as_diagnostic_input,heldout_fs_k2_used_for_cage_diagnostic,blind_prediction_claim_allowed,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed,observed_fs_k2,gaussian_fs_k2,gamma_fs_k2,gaussian_fs_k2_normalized_error,gamma_fs_k2_normalized_error,cage_gamma_fs_k2,cage_gamma_fs_k2_normalized_error,observed_fs_k4,gaussian_fs_k4,gamma_fs_k4,gaussian_fs_k4_normalized_error,gamma_fs_k4_normalized_error,cage_gamma_fs_k4,cage_gamma_fs_k4_normalized_error,observed_fs_k7p25,gaussian_fs_k7p25,gamma_fs_k7p25,gaussian_fs_k7p25_normalized_error,gamma_fs_k7p25_normalized_error,cage_gamma_fs_k7p25,cage_gamma_fs_k7p25_normalized_error
0.45,1,20,0.0394390342651,0.68945724481,1,0.00472147130848,0.718294156507,1,1,1,0,0,0,0,0.97427260655,0.974049953679,0.97427934155,0.00742176238288,0.000224499980487,,,0.903119488174,0.90017079806,0.903451726202,0.0982896704523,0.0110746009413,0.903113370699,0.000203915821754,0.727362075298,0.707864651973,0.733516822655,0.64991411083,0.20515824522,0.727088339358,0.00912453133842
0.45,1,100,0.0570676716704,1.62973393427,1,0.0043143143598,0.453599829836,1,1,1,0,0,0,0,0.963726330322,0.962669509609,0.963760706884,0.0352273570939,0.00114588539606,,,0.871284474085,0.858833283602,0.872891158268,0.41503968275,0.0535561394582,0.871456856435,0.0057460783585,0.670158679937,0.606569125876,0.693727263431,2.11965180203,0.785619449808,0.674368963389,0.140342781747
0.45,1,200,0.075439715652,2.05280967502,1,0.00395810242394,0.314802545826,1,1,1,0,0,0,0,0.953199146528,0.95095061839,0.953264506822,0.074950937928,0.00217867647548,,,0.842453603983,0.817771292436,0.845015752111,0.822743718224,0.0854049375947,0.842645180475,0.0063858830889,0.625123291266,0.51639497942,0.658627128311,3.62427706154,1.11679456816,0.63268818467,0.252163113444
0.45,1,500,0.127268896151,2.24020713142,1,0.00147730334111,0.0696463968394,1,1,1,0,0,0,0,0.925208669924,0.918653809786,0.925262566735,0.218495337906,0.0017965603649,,,0.774168816823,0.712209105585,0.776916494078,2.06532370796,0.0915892418151,0.775367668047,0.039961707443,0.53339528182,0.327938706336,0.57182611847,6.84855251616,1.28102788831,0.559031211441,0.854530987341
0.45,1,1000,0.213716484329,2.03501131779,0,,,1,1,1,0,0,0,0,0.882533671572,0.867206930757,0.882400586094,0.510891360502,0.00443618259703,,,0.684022554337,0.565575984864,0.684971418407,3.94821898244,0.0316288023266,,,0.431967451423,0.153777972904,0.462161361031,9.27298261729,1.0064636536,,
0.45,1,2000,0.384940877817,1.53208139666,0,,,1,1,1,0,0,0,0,0.806123387408,0.773656539048,0.805390957897,1.0822282787,0.0244143170613,,,0.543622110765,0.358255447147,0.539680480868,6.17888878728,0.131387663232,,,0.297542229929,0.034312605614,0.305024005461,8.77432081049,0.249392517748,,
0.45,1,3000,0.550738250097,1.3301724324,0,,,1,1,1,0,0,0,0,0.742559334417,0.692699612473,0.741576253897,1.66199073146,0.0327693506646,,,0.448971802677,0.230239470967,0.443001087658,7.29107772366,0.199023833938,,,0.22221602782,0.0080289899369,0.221690959565,7.13956792942,0.0175022751607,,
0.45,2,20,0.0381520244804,0.664105464143,1,0.00496988675292,0.781592089113,1,1,1,0,0,0,0,0.975085284204,0.974886053531,0.975093164568,0.00664102241654,0.000262678820495,,,0.905923056257,0.903265515265,0.906241817696,0.0885846997414,0.0106253812924,0.905852760002,0.00234320851183,0.733577058001,0.715890804649,0.739451363944,0.589541778399,0.195810198081,0.732274488695,0.0434189768871
0.45,2,100,0.0527752780881,1.61637958423,1,0.00507449040993,0.57691676032,1,1,1,0,0,0,0,0.966315818028,0.965428225842,0.966359404845,0.0295864062145,0.00145289388915,,,0.879259473239,0.868720295514,0.880906512649,0.35130592415,0.0549013136889,0.879114385745,0.00483624979288,0.684721901787,0.629812309287,0.708034428531,1.83031975,0.777084224816,0.684265434823,0.0152155654491
0.45,2,200,0.0672448532585,2.10530269153,1,0.00452362931272,0.403626070415,1,1,1,0,0,0,0,0.957993736618,0.956160108759,0.95806589914,0.0611209286215,0.00240541739965,,,0.856282858488,0.835838715386,0.85887393752,0.681471436734,0.086369301072,0.856217730495,0.00217093309603,0.64804998654,0.554830324704,0.681734313792,3.10732206122,1.12281090841,0.65194658567,0.12988663767
0.45,2,500,0.107379756464,2.36546254784,1,0.00179403428181,0.100244273645,1,1,1,0,0,0,0,0.93595062945,0.930915745888,0.936006270959,0.167829452072,0.00185471696544,,,0.800572963303,0.751002711101,0.803602493786,1.65234174007,0.100984349443,0.80189574399,0.0440926895827,0.567987198496,0.390357845422,0.609549830071,5.92097843581,1.3854210525,0.594280024717,0.876427540683
0.45,2,1000,0.171315127141,2.18784357025,0,,,1,1,1,0,0,0,0,0.903199558585,0.892070525772,0.903078033715,0.370967760412,0.00405082897301,,,0.728367204171,0.633281442313,0.728547725632,3.16952539525,0.00601738205131,,,0.47978475083,0.222953534422,0.514307855196,8.56104054696,1.15077014553,,
0.45,2,2000,0.304174513417,1.72852629934,0,,,1,1,1,0,0,0,0,0.841342935109,0.816455385721,0.840431572267,0.82958497958,0.0303787614015,,,0.610957989397,0.444354755912,0.602311917106,5.55344111616,0.288202409704,,,0.360040654018,0.0696205513706,0.3688788597,9.68067008825,0.294606856063,,
0.45,2,3000,0.430618942507,1.41256561242,0,,,1,1,1,0,0,0,0,0.788175784938,0.750452219366,0.785853950392,1.25745218574,0.0773944848737,,,0.523893968364,0.317170060652,0.505391624809,6.89079692373,0.616744785182,,,0.287269546853,0.0229967733754,0.270845056259,8.80909244927,0.547483019817,,
0.45,3,20,0.0408845353502,0.671779545401,1,0.00443218914867,0.65044483603,1,1,1,0,0,0,0,0.973346439906,0.973111745635,0.973351677147,0.00782314237054,0.000174574684312,,,0.899830040577,0.896707616085,0.900128553591,0.104080816382,0.00995043380383,0.899860584862,0.00101814282832,0.719625334777,0.69895734263,0.725465809183,0.688933071548,0.194682480217,0.72019824347,0.0190969564388
