record,model,member_index,fit_time,evaluation_epsilon,horizon_time,position_relative_l2_error,full_state_relative_l2_error,linearity_tolerance,linearity_identified,fit_parameters_from_macro_observables,thermodynamic_claim_allowed,position_error_threshold,model_identified,gate_evaluable,transition_stable,gate_pass,spectral_radius,design_rank,fit_failure,training_second_generator_relative_l2_error,maximum_residual_state_correlation,position_relative_l2_error_standard_error,maximum_position_relative_l2_error,linearity_identified_fold_count,evaluable_fold_count,all_identified_folds_pass
cross_epsilon_linearity,none,1,,0.002,0.2,0.00643079011498331,0.0024684392855343807,0.02,1.0,0.0,0.0,,,,,,,,,,,,,,,
cross_epsilon_linearity,none,1,,0.002,1.0,0.015229630733805032,0.005388711222408388,0.02,1.0,0.0,0.0,,,,,,,,,,,,,,,
cross_epsilon_linearity,none,2,,0.002,0.2,0.007064978515964066,0.0012589406838393602,0.02,1.0,0.0,0.0,,,,,,,,,,,,,,,
cross_epsilon_linearity,none,2,,0.002,1.0,0.0163918471403949,0.01644356311752537,0.02,1.0,0.0,0.0,,,,,,,,,,,,,,,
cross_epsilon_linearity,none,3,,0.002,0.2,0.005822057615141265,0.002062653319332479,0.02,1.0,0.0,0.0,,,,,,,,,,,,,,,
cross_epsilon_linearity,none,3,,0.002,1.0,0.012085001671859351,0.004795731354753372,0.02,1.0,0.0,0.0,,,,,,,,,,,,,,,
cross_epsilon_linearity,none,4,,0.002,0.2,0.006529177559985433,0.0024667573294466735,0.02,1.0,0.0,0.0,,,,,,,,,,,,,,,
cross_epsilon_linearity,none,4,,0.002,1.0,0.014547761754833202,0.0046394552459475815,0.02,1.0,0.0,0.0,,,,,,,,,,,,,,,
cross_epsilon_linearity,none,5,,0.002,0.2,0.00587785604758839,0.002433350920448454,0.02,1.0,0.0,0.0,,,,,,,,,,,,,,,
cross_epsilon_linearity,none,5,,0.002,1.0,0.010227730960427785,0.00466308228915458,0.02,1.0,0.0,0.0,,,,,,,,,,,,,,,
cross_epsilon_linearity,none,6,,0.002,0.2,0.0062817193532172175,0.0014694329390506561,0.02,1.0,0.0,0.0,,,,,,,,,,,,,,,
cross_epsilon_linearity,none,6,,0.002,1.0,0.011802795760426733,0.0069294805652946575,0.02,1.0,0.0,0.0,,,,,,,,,,,,,,,
cross_epsilon_linearity,none,7,,0.002,0.2,0.00733220381169158,0.0017039521036185583,0.02,1.0,0.0,0.0,,,,,,,,,,,,,,,
cross_epsilon_linearity,none,7,,0.002,1.0,0.011567464946341416,0.007216251140161136,0.02,1.0,0.0,0.0,,,,,,,,,,,,,,,
cross_epsilon_linearity,none,8,,0.002,0.2,0.007732084820734977,0.0022194002050831786,0.02,1.0,0.0,0.0,,,,,,,,,,,,,,,
cross_epsilon_linearity,none,8,,0.002,1.0,0.020048617795240815,0.006578894584266987,0.02,0.0,0.0,0.0,,,,,,,,,,,,,,,
leave_one_member_out,generator_constrained,1,0.05,0.001,0.2,5.84926241936987,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.1773150346638663,12.0,,0.2052129690571007,0.005435754503723698,,,,,
leave_one_member_out,generator_constrained,1,0.05,0.001,1.0,1048290624535.6649,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.1773150346638663,12.0,,0.2052129690571007,0.005435754503723698,,,,,
leave_one_member_out,generator_constrained,1,0.05,0.002,0.2,5.8506361772938185,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.1773150346638663,12.0,,0.2052129690571007,0.005435754503723698,,,,,
leave_one_member_out,generator_constrained,1,0.05,0.002,1.0,1048628128969.7465,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.1773150346638663,12.0,,0.2052129690571007,0.005435754503723698,,,,,
leave_one_member_out,free_transition,1,0.05,0.001,0.2,5.227748990381459,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.0921776615111878,12.0,,,,,,,,
leave_one_member_out,free_transition,1,0.05,0.001,1.0,1418258.83538795,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.0921776615111878,12.0,,,,,,,,
leave_one_member_out,free_transition,1,0.05,0.002,0.2,5.2285088039181025,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.0921776615111878,12.0,,,,,,,,
leave_one_member_out,free_transition,1,0.05,0.002,1.0,1418687.3988700937,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.0921776615111878,12.0,,,,,,,,
leave_one_member_out,generator_constrained,2,0.05,0.001,0.2,1.5514019997077426,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.1605123726623388,12.0,,0.25269401695788385,0.005810242305846439,,,,,
leave_one_member_out,generator_constrained,2,0.05,0.001,1.0,18454469780.568897,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.1605123726623388,12.0,,0.25269401695788385,0.005810242305846439,,,,,
leave_one_member_out,generator_constrained,2,0.05,0.002,0.2,1.5508879104455844,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.1605123726623388,12.0,,0.25269401695788385,0.005810242305846439,,,,,
leave_one_member_out,generator_constrained,2,0.05,0.002,1.0,18298544918.72765,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.1605123726623388,12.0,,0.25269401695788385,0.005810242305846439,,,,,
leave_one_member_out,free_transition,2,0.05,0.001,0.2,2.763575946246121,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.1076520926769031,12.0,,,,,,,,
leave_one_member_out,free_transition,2,0.05,0.001,1.0,2276442.5853750412,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.1076520926769031,12.0,,,,,,,,
leave_one_member_out,free_transition,2,0.05,0.002,0.2,2.7623957512293487,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.1076520926769031,12.0,,,,,,,,
leave_one_member_out,free_transition,2,0.05,0.002,1.0,2257333.035273775,,0.02,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,1.1076520926769031,12.0,,,,,,,,
leave_one_member_out,generator_constrained,3,0.05,0.001,0.2,3.8025014377690707,,0.02,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.0,1.1471832588101956,12.0,,0.23661833034955357,0.005621098253966116,,,,,
