record,member_index,velocity_seed,langevin_seed,epsilon,stride,frame_time,maximum_time,active_mask_mismatch_count,active_mask_mismatch_frame_count,active_mask_mismatch_pair_count,first_active_mask_mismatch_frame,first_active_mask_mismatch_time,minimum_absolute_cutoff_gap_plus,minimum_absolute_cutoff_gap_minus,cutoff_nonsmoothness_detected,fit_parameters_from_macro_observables,thermodynamic_claim_allowed,reference_epsilon,interval_count,right_censored_interval_count,pre_crossing_interval_count,unfiltered_cross_epsilon_relative_l2_error,unfiltered_cross_epsilon_correlation,pre_crossing_cross_epsilon_relative_l2_error,pre_crossing_cross_epsilon_correlation
cutoff_epsilon,1,82101,83101,0.001,5,0.005,0.2,9,9,6,9,0.009000000000000001,2.3379790617283902e-05,9.992243308776239e-06,1.0,0.0,0.0,,,,,,,,
cutoff_epsilon,1,82101,83101,0.002,5,0.005,0.2,18,17,8,8,0.008,1.1122637262328539e-05,1.1641309924925736e-06,1.0,0.0,0.0,,,,,,,,
cutoff_cross_epsilon,1,82101,83101,0.002,5,0.005,0.2,,,,,,,,1.0,0.0,0.0,0.001,40,39,1,0.016626254183985213,0.9998639873734146,0.0007891914312293815,nan
cutoff_epsilon,2,82139,83139,0.001,5,0.005,0.2,2,2,2,62,0.062,7.014245644665351e-05,5.18511409013378e-05,1.0,0.0,0.0,,,,,,,,
cutoff_epsilon,2,82139,83139,0.002,5,0.005,0.2,6,6,4,62,0.062,4.991096117290539e-06,9.561385408307643e-06,1.0,0.0,0.0,,,,,,,,
cutoff_cross_epsilon,2,82139,83139,0.002,5,0.005,0.2,,,,,,,,1.0,0.0,0.0,0.001,40,28,12,0.022792882544530286,0.9997403848398922,0.0025199306483376554,0.9999971492229653
cutoff_epsilon,3,82157,83157,0.001,5,0.005,0.2,6,6,4,8,0.008,1.3909197818406938e-05,4.3820341526057405e-05,1.0,0.0,0.0,,,,,,,,
cutoff_epsilon,3,82157,83157,0.002,5,0.005,0.2,9,9,6,8,0.008,5.184431374871679e-06,6.976109325140811e-05,1.0,0.0,0.0,,,,,,,,
cutoff_cross_epsilon,3,82157,83157,0.002,5,0.005,0.2,,,,,,,,1.0,0.0,0.0,0.001,40,39,1,0.017486768868074317,0.9998485737342787,0.00047964113241473195,nan
cutoff_epsilon,4,82181,83181,0.001,5,0.005,0.2,6,6,5,17,0.017,6.830374605648615e-05,6.456161556922524e-06,1.0,0.0,0.0,,,,,,,,
cutoff_epsilon,4,82181,83181,0.002,5,0.005,0.2,10,10,8,16,0.016,3.736928740805112e-05,4.282203629202286e-05,1.0,0.0,0.0,,,,,,,,
cutoff_cross_epsilon,4,82181,83181,0.002,5,0.005,0.2,,,,,,,,1.0,0.0,0.0,0.001,40,37,3,0.08106709020228611,0.9964639191627506,0.0025157809597775374,0.9999962904428277
cutoff_epsilon,5,82203,83203,0.001,5,0.005,0.2,3,3,3,35,0.035,9.229846706526601e-05,5.308435680495549e-05,1.0,0.0,0.0,,,,,,,,
cutoff_epsilon,5,82203,83203,0.002,5,0.005,0.2,5,5,4,35,0.035,3.443204795816612e-05,2.184035515240268e-05,1.0,0.0,0.0,,,,,,,,
cutoff_cross_epsilon,5,82203,83203,0.002,5,0.005,0.2,,,,,,,,1.0,0.0,0.0,0.001,40,34,6,0.029627672381077694,0.9995328545798728,0.0035101656077919084,0.9999912912654355
cutoff_epsilon,6,82239,83239,0.001,5,0.005,0.2,4,4,3,32,0.032,6.937006517970801e-05,6.244715830483472e-05,1.0,0.0,0.0,,,,,,,,
cutoff_epsilon,6,82239,83239,0.002,5,0.005,0.2,7,7,5,22,0.022,0.00011495408763195769,3.0606068976091194e-05,1.0,0.0,0.0,,,,,,,,
cutoff_cross_epsilon,6,82239,83239,0.002,5,0.005,0.2,,,,,,,,1.0,0.0,0.0,0.001,40,36,4,0.009804133299674566,0.9999528433940801,0.0032854000122418724,0.9999965492790662
cutoff_epsilon,7,82277,83277,0.001,5,0.005,0.2,2,2,2,27,0.027,3.235150366753814e-05,2.1971168695955612e-05,1.0,0.0,0.0,,,,,,,,
cutoff_epsilon,7,82277,83277,0.002,5,0.005,0.2,4,4,3,27,0.027,8.584352202856138e-06,9.952327786755255e-05,1.0,0.0,0.0,,,,,,,,
cutoff_cross_epsilon,7,82277,83277,0.002,5,0.005,0.2,,,,,,,,1.0,0.0,0.0,0.001,40,35,5,0.008386000765301905,0.9999650660971043,0.005334033841849963,0.9999858206782468
cutoff_epsilon,8,82301,83301,0.001,5,0.005,0.2,11,11,5,7,0.007,1.9953288875829145e-05,1.216857811403571e-06,1.0,0.0,0.0,,,,,,,,
cutoff_epsilon,8,82301,83301,0.002,5,0.005,0.2,22,22,7,7,0.007,1.6050984906534893e-05,9.587133596333786e-06,1.0,0.0,0.0,,,,,,,,
cutoff_cross_epsilon,8,82301,83301,0.002,5,0.005,0.2,,,,,,,,1.0,0.0,0.0,0.001,40,39,1,1.0077920987839126,0.013778431516789763,0.0007891948605128986,nan
