record,model,held_clone_index,history_length,history_time_tau,slow_mode_count,state_mode_count,captured_force_history_variance_fraction,trajectory_sha256,heldout_state_r_squared,heldout_velocity_r_squared,maximum_held_residual_state_correlation,maximum_held_residual_lag_correlation,terminal_diffusion_relative_error,multi_k_fs_max_relative_error,ngp_max_absolute_error,observed_event_rate,predicted_event_rate,event_rate_relative_error,observed_event_count,predicted_event_count,spectral_radius,maximum_unclipped_singular_value,maximum_clipped_singular_value,stationary_covariance_relative_error,fit_parameters_from_macro_observables,thermodynamic_claim_allowed
held_clone,raw_force_delay_2,1.0,3.0,0.02,0.0,4.0,1.0,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,0.9982404732595481,0.9814204649444852,0.9972582121721704,0.998963752182483,2.3941267697225785,0.7492093701027696,0.20062229625466,0.0373641304347826,0.07406832298136647,0.982337662337663,22.0,954.0,0.9483896648845137,1.0000749815417553,0.999,2.918559231741004e-15,0.0,0.0
held_clone,hankel_slow_2,1.0,64.0,0.63,2.0,3.0,0.3454238286360943,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,0.9977385167919859,0.9325621679699264,0.04019349748279723,0.96071944678311,51.580984590759954,1.0131498771292593,0.23009068648594333,0.036379511059371365,0.7823757763975155,20.505945341614904,20.0,10077.0,0.9982663514161523,0.9999009851775795,0.999,1.299476739256427e-15,0.0,0.0
held_clone,hankel_slow_4,1.0,64.0,0.63,4.0,5.0,0.607857508330712,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,0.9968983854387967,0.9408802798623881,0.06625865260975991,0.9614557771152858,43.29908104873508,0.9990765958251479,0.2320433832952058,0.036379511059371365,0.7906832298136646,20.73430062111801,20.0,10184.0,0.9976741846970889,1.000013300315092,0.999,3.1248961411713834e-15,0.0,0.0
held_clone,hankel_slow_8,1.0,64.0,0.63,8.0,9.0,0.8733943176972986,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,0.9954789614182497,0.9617443721287474,0.109352274638597,0.9355230067100736,20.731906767250205,1.002612523302538,0.23419061942554653,0.036379511059371365,0.6705745341614907,17.432752795031053,20.0,8637.0,0.9948375900482245,1.000065641019534,0.999,3.4974799679999506e-15,0.0,0.0
held_clone,hankel_slow_16,1.0,64.0,0.63,16.0,17.0,0.9897447832486934,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,0.997837954068488,0.9781766590475462,0.24165324065685784,0.8569126517990755,2.9156366289110727,0.8291485077352306,0.24175609553558441,0.036379511059371365,0.056677018633540376,0.5579378881987578,20.0,730.0,0.9906045351791992,1.0002173472423386,0.999,5.923592771685177e-15,0.0,0.0
held_clone,raw_force_delay_2,2.0,3.0,0.02,0.0,4.0,1.0,8c7e42d5902dd65122ab803ce79a8364e09b031a3cafa5d895e03641d7dd36e5,0.99820575909643,0.9813236445304911,0.9992637983094222,0.9998562477973414,2.5929423540441383,0.7667433776461863,0.23834100784195256,0.03906249999999999,0.07437888198757764,0.904099378881988,23.0,958.0,0.9485116558286397,1.0001068384803915,0.999,2.9043125285928717e-15,0.0,0.0
held_clone,hankel_slow_2,2.0,64.0,0.63,2.0,3.0,0.34480405276410436,8c7e42d5902dd65122ab803ce79a8364e09b031a3cafa5d895e03641d7dd36e5,0.9977940394693232,0.9325098895850562,0.0356146313345645,0.9615478857829927,51.595456377824796,1.0163845415036257,0.2032924373762195,0.0400174621653085,0.7850155279503106,18.616824392998307,22.0,10111.0,0.998276537725095,0.9998504578789812,0.999,7.084187210545885e-16,0.0,0.0
held_clone,hankel_slow_4,2.0,64.0,0.63,4.0,5.0,0.6076020910983014,8c7e42d5902dd65122ab803ce79a8364e09b031a3cafa5d895e03641d7dd36e5,0.9969268637950265,0.9412610997005267,0.054556000876738134,0.9611722992256007,44.615078390309435,0.9975435325800507,0.2357236140549004,0.0400174621653085,0.7902173913043479,18.74681422924901,22.0,10178.0,0.9976359819971261,0.9999914938457524,0.999,2.3109041349019456e-15,0.0,0.0
held_clone,hankel_slow_8,2.0,64.0,0.63,8.0,9.0,0.8740173952666478,8c7e42d5902dd65122ab803ce79a8364e09b031a3cafa5d895e03641d7dd36e5,0.9954135361264422,0.9613620037646344,0.09165221734479968,0.9353201876127115,21.277000285448416,1.0070081881070119,0.21749558645733247,0.0400174621653085,0.6746118012422361,15.857935629587804,22.0,8689.0,0.9949134179819423,1.0000909204694448,0.999,2.5348013832294205e-15,0.0,0.0
held_clone,hankel_slow_16,2.0,64.0,0.63,16.0,17.0,0.9897032478085849,8c7e42d5902dd65122ab803ce79a8364e09b031a3cafa5d895e03641d7dd36e5,0.99786236511848,0.9781205937875167,0.21651448346992377,0.8545126182388575,3.071052144901862,0.8326754236324737,0.21985279230376842,0.0400174621653085,0.05892857142857143,0.4725714285714284,22.0,759.0,0.9904821838743412,1.0001732544261446,0.999,5.510224169828211e-15,0.0,0.0
