temperature,lag,observable,channel,shapley_contribution,calibration_value,heldout_oracle_value,observed_value,calibration_to_oracle_shift,oracle_representation_residual
0.45,20.0,msd,count,0.00015425289969393446,0.0419154726020052,0.04232757275780691,0.03949186469853002,0.0004121001558017104,-0.0028357080592768882
0.45,20.0,msd,kernel,3.603053587912172e-05,0.0419154726020052,0.04232757275780691,0.03949186469853002,0.0004121001558017104,-0.0028357080592768882
0.45,20.0,msd,residual,0.00022181672022865415,0.0419154726020052,0.04232757275780691,0.03949186469853002,0.0004121001558017104,-0.0028357080592768882
0.45,20.0,fourth_moment,count,6.511201134769374e-05,0.005215870662500122,0.005344288389269508,0.004358074301659739,0.00012841772676938645,-0.0009862140876097693
0.45,20.0,fourth_moment,kernel,1.426176246441402e-05,0.005215870662500122,0.005344288389269508,0.004358074301659739,0.00012841772676938645,-0.0009862140876097693
0.45,20.0,fourth_moment,residual,4.9043952957278685e-05,0.005215870662500122,0.005344288389269508,0.004358074301659739,0.00012841772676938645,-0.0009862140876097693
0.45,20.0,fs_k2,count,-9.46640015787777e-05,0.9727255693975755,0.9724678176037784,0.9742347768868319,-0.00025775179379705637,0.001766959283053482
0.45,20.0,fs_k2,kernel,-2.1285244037957025e-05,0.9727255693975755,0.9724678176037784,0.9742347768868319,-0.00025775179379705637,0.001766959283053482
0.45,20.0,fs_k2,residual,-0.00014180254818032162,0.9727255693975755,0.9724678176037784,0.9742347768868319,-0.00025775179379705637,0.001766959283053482
0.45,20.0,fs_k4,count,-0.0003016727946604606,0.8979210782174865,0.8970576382218981,0.9029575283359126,-0.0008634399955883554,0.005899890114014483
0.45,20.0,fs_k4,kernel,-5.736314799873835e-05,0.8979210782174865,0.8970576382218981,0.9029575283359126,-0.0008634399955883554,0.005899890114014483
0.45,20.0,fs_k4,residual,-0.0005044040529291564,0.8979210782174865,0.8970576382218981,0.9029575283359126,-0.0008634399955883554,0.005899890114014483
0.45,20.0,fs_k7p25,count,-0.0005662502810027854,0.7161157414411706,0.714293011281763,0.7268548226920929,-0.0018227301594075929,0.01256181141032986
0.45,20.0,fs_k7p25,kernel,-5.195882443650065e-05,0.7161157414411706,0.714293011281763,0.7268548226920929,-0.0018227301594075929,0.01256181141032986
0.45,20.0,fs_k7p25,residual,-0.0012045210539683067,0.7161157414411706,0.714293011281763,0.7268548226920929,-0.0018227301594075929,0.01256181141032986
0.45,50.0,msd,count,0.00033127969141203784,0.050291268623069624,0.05094370014372059,0.04695635520102237,0.0006524315206509687,-0.003987344942698222
0.45,50.0,msd,kernel,-1.9661794229385483e-05,0.050291268623069624,0.05094370014372059,0.04695635520102237,0.0006524315206509687,-0.003987344942698222
0.45,50.0,msd,residual,0.0003408136234683163,0.050291268623069624,0.05094370014372059,0.04695635520102237,0.0006524315206509687,-0.003987344942698222
0.45,50.0,fourth_moment,count,0.0001693162961173055,0.008942886715744492,0.009184803575465186,0.007866374695904966,0.00024191685972069395,-0.0013184288795602198
0.45,50.0,fourth_moment,kernel,-4.138225444797842e-06,0.008942886715744492,0.009184803575465186,0.007866374695904966,0.00024191685972069395,-0.0013184288795602198
0.45,50.0,fourth_moment,residual,7.673878904818626e-05,0.008942886715744492,0.009184803575465186,0.007866374695904966,0.00024191685972069395,-0.0013184288795602198
0.45,50.0,fs_k2,count,-0.00019989304937782318,0.9675996863660892,0.9671978918844677,0.9696913070864693,-0.0004017944816214758,0.0024934152020016365
0.45,50.0,fs_k2,kernel,1.5806136377990072e-05,0.9675996863660892,0.9671978918844677,0.9696913070864693,-0.0004017944816214758,0.0024934152020016365
0.45,50.0,fs_k2,residual,-0.00021770756862164265,0.9675996863660892,0.9671978918844677,0.9696913070864693,-0.0004017944816214758,0.0024934152020016365
0.45,50.0,fs_k4,count,-0.0006112743895995513,0.8815469761757662,0.880238694880728,0.8886703237343586,-0.0013082812950381273,0.00843162885363058
0.45,50.0,fs_k4,kernel,7.936931694159839e-05,0.8815469761757662,0.880238694880728,0.8886703237343586,-0.0013082812950381273,0.00843162885363058
0.45,50.0,fs_k4,residual,-0.0007763762223801743,0.8815469761757662,0.880238694880728,0.8886703237343586,-0.0013082812950381273,0.00843162885363058
0.45,50.0,fs_k7p25,count,-0.001068248209878238,0.6837318326895258,0.6809289511054413,0.6995204967944827,-0.0028028815840844823,0.018591545689041422
0.45,50.0,fs_k7p25,kernel,0.00017761003488013055,0.6837318326895258,0.6809289511054413,0.6995204967944827,-0.0028028815840844823,0.018591545689041422
0.45,50.0,fs_k7p25,residual,-0.0019122434090863745,0.6837318326895258,0.6809289511054413,0.6995204967944827,-0.0028028815840844823,0.018591545689041422
0.45,100.0,msd,count,0.0005726991407163986,0.06123097819516485,0.06203885248732904,0.057100198209926144,0.0008078742921641888,-0.004938654277402893
0.45,100.0,msd,kernel,-9.454789780338178e-05,0.06123097819516485,0.06203885248732904,0.057100198209926144,0.0008078742921641888,-0.004938654277402893
0.45,100.0,msd,residual,0.0003297230492511719,0.06123097819516485,0.06203885248732904,0.057100198209926144,0.0008078742921641888,-0.004938654277402893
0.45,100.0,fourth_moment,count,0.0003562573156778569,0.015309746166410435,0.015756660600735734,0.01411335245273373,0.00044691443432529933,-0.0016433081480020043
0.45,100.0,fourth_moment,kernel,3.475921376168451e-05,0.015309746166410435,0.015756660600735734,0.01411335245273373,0.00044691443432529933,-0.0016433081480020043
0.45,100.0,fourth_moment,residual,5.589790488575782e-05,0.015309746166410435,0.015756660600735734,0.01411335245273373,0.00044691443432529933,-0.0016433081480020043
0.45,100.0,fs_k2,count,-0.00033837252821959185,0.9610726424640038,0.9605957376242488,0.9636844599785942,-0.0004769048397550435,0.00308872235434543
0.45,100.0,fs_k2,kernel,7.415054976746735e-05,0.9610726424640038,0.9605957376242488,0.9636844599785942,-0.0004769048397550435,0.00308872235434543
0.45,100.0,fs_k2,residual,-0.00021268286130291891,0.9610726424640038,0.9605957376242488,0.9636844599785942,-0.0004769048397550435,0.00308872235434543
0.45,100.0,fs_k4,count,-0.000984233002740605,0.8618905484858937,0.8604607546011321,0.8709383880301901,-0.0014297938847616098,0.010477633429057942
0.45,100.0,fs_k4,kernel,0.0003345482129918179,0.8618905484858937,0.8604607546011321,0.8709383880301901,-0.0014297938847616098,0.010477633429057942
0.45,100.0,fs_k4,residual,-0.0007801090950128227,0.8618905484858937,0.8604607546011321,0.8709383880301901,-0.0014297938847616098,0.010477633429057942
0.45,100.0,fs_k7p25,count,-0.0015858660498958563,0.6482598427438585,0.6451894028586774,0.6685948251395887,-0.0030704398851810755,0.023405422280911248
0.45,100.0,fs_k7p25,kernel,0.00055275540367139,0.6482598427438585,0.6451894028586774,0.6685948251395887,-0.0030704398851810755,0.023405422280911248
0.45,100.0,fs_k7p25,residual,-0.002037329238956609,0.6482598427438585,0.6451894028586774,0.6685948251395887,-0.0030704398851810755,0.023405422280911248
