temperature,model_code,lag_count,replicate_count,maximum_replicate_msd_relative_error,maximum_replicate_ngp_absolute_error,maximum_replicate_fs_absolute_error,maximum_ensemble_msd_relative_error,maximum_ensemble_ngp_absolute_error,maximum_ensemble_fs_absolute_error,maximum_count_tail_probability,diffusion_lag,predicted_diffusion,observed_diffusion,diffusion_relative_error,predicted_alpha_relaxation_time,observed_alpha_relaxation_time,alpha_relaxation_relative_error,predicted_diffusion_alpha_product,observed_diffusion_alpha_product,diffusion_alpha_product_relative_error,ensemble_curve_pass,derived_scalar_pass,replicate_curve_pass
0.45,ccc,9.0,3.0,0.30074646588459153,0.40004326690441117,0.11410738269577836,0.07234265580045962,0.2362294326215859,0.023856888817672672,2.220446049250313e-16,4096.0,2.758494519120742e-05,2.8565886055919318e-05,0.03433959173510859,1338.0097804063403,1298.3406051585694,0.030553750757048803,0.03690892645780837,0.03708824978873303,0.0048350443050331204,1.0,1.0,0.0
0.45,hcc,9.0,3.0,0.19270552355833193,0.30182999798656684,0.06132898279793786,0.08130559840836393,0.23401351733002773,0.02590090512110721,0.0009235019192780358,4096.0,2.8147887673401625e-05,2.8565886055919318e-05,0.014632781972855224,1287.683216986439,1298.3406051585694,0.00820846866360525,0.036245562550658736,0.03708824978873303,0.02272113790417496,1.0,1.0,0.0
0.45,chc,9.0,3.0,0.14762318312433398,0.3305215807506592,0.06763344866938653,0.06996480350452261,0.21151651164793472,0.022899305399901815,0.0004095530250710633,4096.0,2.744123536438336e-05,2.8565886055919318e-05,0.03937041159284871,1313.9909874969435,1298.3406051585694,0.012054142246026966,0.03605753595458214,0.03708824978873303,0.027790845888446603,1.0,1.0,0.0
0.45,cch,9.0,3.0,0.29646847231581264,0.37376481940455575,0.11092506105757804,0.07827964989573011,0.2464899803815097,0.025114495007842352,2.220446049250313e-16,4096.0,2.760047747683111e-05,2.8565886055919318e-05,0.03379585626009873,1316.2985048634782,1298.3406051585694,0.013831424229942879,0.0363304672362709,0.03708824978873303,0.020431876855303566,1.0,1.0,0.0
0.45,hhc,9.0,3.0,0.11132886961639787,0.3351897922337268,0.03546500204418124,0.08071655392871313,0.20817733720648546,0.025573466652062393,2.220446049250313e-16,4096.0,2.829830773332409e-05,2.8565886055919318e-05,0.009367058388156768,1256.9538422421297,1298.3406051585694,0.03187666067902495,0.03556966663435188,0.03708824978873303,0.0409451285253819,1.0,1.0,0.0
0.45,hch,9.0,3.0,0.18842752998955303,0.2710015151247016,0.058587860637479505,0.08708006258866274,0.24169451154079402,0.026992402313494646,0.0009235019192780358,4096.0,2.8163419959025323e-05,2.8565886055919318e-05,0.014089046497845148,1271.617210422014,1298.3406051585694,0.020582730471786714,0.03581308952423946,0.03708824978873303,0.03438178592296226,1.0,1.0,0.0
0.45,chh,9.0,3.0,0.12734541255004406,0.2638134902239373,0.06483962451236691,0.07722289715359909,0.21981562074693528,0.024029175384577828,0.0004095530250710633,4096.0,2.7456767650007054e-05,2.8565886055919318e-05,0.03882667611783874,1296.866450974094,1298.3406051585694,0.0011354140651675948,0.035607760817484964,0.03708824978873303,0.03991800582883853,1.0,1.0,0.0
0.45,hhh,9.0,3.0,0.09702109365776579,0.2299652983304541,0.029754988389342985,0.08649101810901194,0.21387304672886387,0.026533756612944437,2.220446049250313e-16,4096.0,2.8313840018947787e-05,2.8565886055919318e-05,0.008823322913146692,1245.0667996846196,1298.3406051585694,0.04103222626041436,0.03525262217917363,0.03708824978873303,0.04949350859142021,1.0,1.0,1.0
0.58,ccc,7.0,5.0,0.3237391745501321,0.6057122678480047,0.07548126638768218,0.3158622276618446,0.5769120358947253,0.05076682316235795,2.220446049250313e-16,600.0,0.0008895211328579456,0.0009857521392586273,0.097621909776484,13.52632407945465,15.89840726181237,0.14920256748331084,0.012031951118560208,0.01567188896913644,0.2322590376785193,0.0,1.0,0.0
0.58,hcc,7.0,5.0,0.34200344221185297,0.608551376089971,0.05072465935507897,0.33727033771279236,0.5793006421138378,0.048838070535596745,0.0005781925059826776,600.0,0.0009159409184923814,0.0009857521392586273,0.07082025793902935,13.257902628375286,15.89840726181237,0.1660861110143731,0.012143455510716617,0.01567188896913644,0.22514410773127413,0.0,1.0,0.0
