temperature,parent_id,model,lag,child_restart_count,realization_count,predicted_msd,target_msd,mc_se_msd,predicted_ngp,target_ngp,mc_se_ngp,predicted_fs_k2,target_fs_k2,mc_se_fs_k2,predicted_fs_k4,target_fs_k4,mc_se_fs_k4,predicted_fs_k7p25,target_fs_k7p25,mc_se_fs_k7p25,support_pass,all_child_restart_curve_gate_pass,all_child_restart_higher_order_gate_pass,all_child_restart_precision_pass,failed_child_restart_count,maximum_child_restart_higher_order_score,msd_relative_error,ngp_absolute_error,absolute_error_fs_k2,absolute_error_fs_k4,absolute_error_fs_k7p25,mc_relative_se_msd
0.45,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,contiguous_empirical_upper_control,100,3,3,0.05659083603557418,0.057100198209926144,0,1.583463085678965,1.591737265317109,0,0.9639790450942994,0.9636844599785942,0,0.8717759715060289,0.87093838803019,0,0.6703659111265887,0.6685948251395887,0,1,0,0,1,2,3.323585313166642,0.008920497481975756,0.008274179638143808,0.00029458511570523704,0.0008375834758389544,0.0017710859870000428,0
0.45,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,contiguous_empirical_upper_control,1000,3,3,0.20237292520341896,0.2096882357573943,0,1.9298632018762543,1.9242521838872673,0,0.8870705019371866,0.8837103017827217,0,0.6908064139717117,0.6839386458670308,0,0.4354964972145918,0.4252107551608982,0,1,0,0,1,2,3.323585313166642,0.0348866045229119,0.005611017988986999,0.0033602001544649207,0.006867768104680927,0.010285742053693647,0
0.45,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,contiguous_empirical_upper_control,20,3,3,0.03920546825791093,0.03949186469853002,0,0.6597200437066788,0.6751140847848851,0,0.9744123101212961,0.9742347768868321,0,0.9035299285874975,0.9029575283359126,0,0.7279802454344745,0.7268548226920929,0,1,0,0,1,2,3.323585313166642,0.007252036408140318,0.0153940410782063,0.00017753323446401126,0.0005724002515848925,0.0011254227423815877,0
0.45,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,contiguous_empirical_upper_control,200,3,3,0.07456257264659492,0.07520056123369138,0,1.9774077100899046,2.006542528897479,0,0.9536192897269083,0.9533016497076988,0,0.84301118438221,0.8424183294324846,0,0.6248390513022124,0.623679630548327,0,1,0,0,1,2,3.323585313166642,0.008483827469237409,0.029134818807574625,0.0003176400192095308,0.0005928549497253854,0.0011594207538854207,0
0.45,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,contiguous_empirical_upper_control,2000,3,3,0.3592617968842775,0.3804918087436149,0,1.4656124024381318,1.444557669873739,0,0.8154322453708641,0.8061750197934496,0,0.5604949613013561,0.5420765220261176,0,0.3098950352459085,0.2894792740466868,0,1,0,0,1,2,3.323585313166642,0.055796238897859424,0.02105473256439283,0.009257225577414485,0.018418439275238563,0.020415761199221727,0
0.45,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,contiguous_empirical_upper_control,3000,3,3,0.5147625510421755,0.5428630069869955,0,1.218394261960986,1.188746539691488,0,0.7525360043214185,0.7409790220423944,0,0.4648999805970042,0.44362214992805216,0,0.22896151323625427,0.2129683136864647,0,1,0,0,1,2,3.323585313166642,0.05176343862659476,0.029647722269497967,0.01155698227902413,0.021277830668952058,0.01599319954978956,0
0.45,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,contiguous_empirical_upper_control,500,3,3,0.12314552419478653,0.1262955126161884,0,2.1686922658312966,2.164410449673618,0,0.927130957074164,0.9255414798411173,0,0.7773852591431125,0.7737458591055776,0,0.5352663746026366,0.5291930232489127,0,1,0,0,1,2,3.323585313166642,0.02494141205930793,0.004281816157678531,0.0015894772330466989,0.0036394000375349345,0.006073351353723888,0
0.45,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,finite_exchange_environment,100,3,192,0.1962875704942699,0.057100198209926144,3.0997387593379235e-05,0.18870941804998953,1.591737265317109,0.000374382715443145,0.8786865399773028,0.9636844599785942,1.7312253018644173e-05,0.6053677471232334,0.87093838803019,4.4264664513440274e-05,0.21373771989587284,0.6685948251395887,5.6105589878128045e-05,1,0,0,0,3,25.588617750514004,2.4375987588103993,1.4030278472671194,0.08499792000129136,0.2655706409069566,0.4548571052437158,0.0005428595445399125
0.45,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,finite_exchange_environment,1000,3,192,1.971834643538415,0.2096882357573943,0.0007730162001596849,0.040282615565609144,1.9242521838872673,0.0003916041371755583,0.27739259721356774,0.8837103017827217,0.00016255467459773765,0.008104482389552322,0.6839386458670308,0.00011140782018659725,2.856307071858105e-05,0.4252107551608982,6.173048326135932e-05,1,0,0,0,3,25.588617750514004,8.403649357896235,1.8839695683216582,0.6063177045691539,0.6758341634774785,0.4251821920901796,0.003686502475294091
0.45,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,finite_exchange_environment,20,3,192,0.03921081186272127,0.03949186469853002,4.609249509866613e-06,0.6600046777139467,0.6751140847848851,0.0009459748976896319,0.9744088912652425,0.9742347768868321,2.8500630832210536e-06,0.9035177653836067,0.9029575283359126,9.462867989116355e-06,0.7279521515406432,0.7268548226920929,2.1306752397404433e-05,1,0,0,0,3,25.588617750514004,0.007116727405865287,0.015109407070938441,0.0001741143784104171,0.0005602370476941454,0.0010973288485502941,0.00011671389905370004
