temperature,restart,model,realization,lag,block_size,predicted_msd,predicted_ngp,predicted_fs_k2,predicted_fs_k4,predicted_fs_k7p25,target_msd,target_ngp,target_fs_k2,target_fs_k4,target_fs_k7p25,support_pass,heldout_path_used_in_prediction,heldout_observables_used_as_model_inputs,calibration_budget_equal_to_nulls,one_step_jump_law_retained,two_point_path_spectrum_retained,particle_identity_retained,static_particle_environment_retained,finite_exchange_environment_retained,ordered_path_memory_retained,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed
0.45,1,contiguous_empirical_upper_control,0,20,20,0.03929389062211697,0.6731497960577877,0.9743614743712828,0.9034047335541043,0.7279313603012417,0.039439034265083064,0.6894572448102572,0.9742726065504118,0.9031194881740169,0.7273620752980499,1,0,0,1,1,0,1,1,0,1,0,0,0
0.45,1,contiguous_empirical_upper_control,0,100,20,0.05674208931829118,1.5842593389778372,0.963891491108379,0.8715664994708165,0.670010171970976,0.0570676716703697,1.6297339342658397,0.9637263303218477,0.8712844740845151,0.6701586799370863,1,0,0,1,1,0,1,1,0,1,0,0,0
0.45,1,contiguous_empirical_upper_control,0,200,20,0.07441420880152319,1.9594241106350694,0.9537049456303189,0.843307417963394,0.6252300175680905,0.07543971565197483,2.0528096750212144,0.9531991465279716,0.8424536039827798,0.6251232912663965,1,0,0,1,1,0,1,1,0,1,0,0,0
0.45,1,contiguous_empirical_upper_control,0,500,20,0.1221321991098382,2.1227481773417103,0.9276561217551442,0.778239440156132,0.5352750895245924,0.12726889615088294,2.240207131422164,0.9252086699236458,0.7741688168233672,0.533395281820343,1,0,0,1,1,0,1,1,0,1,0,0,0
0.45,1,contiguous_empirical_upper_control,0,1000,20,0.2034054689171925,1.9318147653329767,0.8869026396620665,0.6899705989020689,0.43156064533345123,0.21371648432894896,2.035011317785304,0.8825336715723144,0.6840225543370759,0.43196745142274323,1,0,0,1,1,0,1,1,0,1,0,0,0
0.45,1,contiguous_empirical_upper_control,0,2000,20,0.362555365631258,1.530692726450921,0.8161346559575013,0.5656971380538441,0.3121963487636597,0.38494087781746295,1.5320813966552245,0.8061233874084176,0.5436221107653332,0.29754222992878293,1,0,0,1,1,0,1,1,0,1,0,0,0
0.45,1,contiguous_empirical_upper_control,0,3000,20,0.5190956281188335,1.3154707032548973,0.7552627377733745,0.4759574245800681,0.23712336107040594,0.5507382500974113,1.3301724324025965,0.7425593344166428,0.44897180267658227,0.22221602781950803,1,0,0,1,1,0,1,1,0,1,0,0,0
0.45,2,contiguous_empirical_upper_control,0,20,20,0.03962103310354123,0.6476841419232746,0.9741442483697625,0.90256018345735,0.7256924666048734,0.038152024480352674,0.6641054641430317,0.975085284203826,0.9059230562568693,0.7335770580014349,1,0,0,1,1,0,1,1,0,1,0,0,0
0.45,2,contiguous_empirical_upper_control,0,100,20,0.05754616372486072,1.5781210672976709,0.9634016162229176,0.8698982091121608,0.6666867108580062,0.052775278088095054,1.6163795842344126,0.9663158180281514,0.8792594732386941,0.6847219017867405,1,0,0,1,1,0,1,1,0,1,0,0,0
0.45,2,contiguous_empirical_upper_control,0,200,20,0.07642040123787022,1.9801766391040787,0.9525396673386415,0.8397353763174396,0.6191229205598069,0.06724485325845257,2.1053026915279753,0.9579937366175421,0.8562828584879376,0.6480499865399985,1,0,0,1,1,0,1,1,0,1,0,0,0
0.45,2,contiguous_empirical_upper_control,0,500,20,0.12854117521000064,2.1660165194946206,0.92424656244832,0.7703357115909856,0.5261754432976906,0.1073797564638258,2.3654625478366693,0.9359506294503632,0.8005729633027215,0.5679871984961697,1,0,0,1,1,0,1,1,0,1,0,0,0
0.45,2,contiguous_empirical_upper_control,0,1000,20,0.21059031686970217,1.8518201341972578,0.8825532731007438,0.6817180665293033,0.4298356961764247,0.171315127140714,2.1878435702506227,0.9031995585846249,0.7283672041708552,0.4797847508304132,1,0,0,1,1,0,1,1,0,1,0,0,0
0.45,2,contiguous_empirical_upper_control,0,2000,20,0.3694548982899016,1.4596137739436985,0.8103631478671138,0.5546115973927496,0.31393911294133287,0.30417451341716534,1.7285262993440798,0.8413429351086408,0.6109579893966665,0.3600406540179815,1,0,0,1,1,0,1,1,0,1,0,0,0
0.45,2,contiguous_empirical_upper_control,0,3000,20,0.5309184791415875,1.2007620255456866,0.7452875879015747,0.46103427907248024,0.23442900241350356,0.43061894250681476,1.4125656124190522,0.7881757849378997,0.5238939683641092,0.28726954685338274,1,0,0,1,1,0,1,1,0,1,0,0,0
0.45,3,contiguous_empirical_upper_control,0,20,20,0.03870148104807458,0.6583261931389741,0.974731207622843,0.9046248687510383,0.7303169093973084,0.04088453535015432,0.6717795454013664,0.9733464399062582,0.8998300405768516,0.719625334776794,1,0,0,1,1,0,1,1,0,1,0,0,0
0.45,3,contiguous_empirical_upper_control,0,100,20,0.05548425506357064,1.588008850761387,0.9646440279516015,0.8738632059351096,0.6744008505507841,0.06145764487131366,1.5290982774510748,0.9610112315857834,0.862271216767361,0.6509038936949388,1,0,0,1,1,0,1,1,0,1,0,0,0
0.45,3,contiguous_empirical_upper_control,0,200,20,0.07285310790039135,1.992622380530566,0.9546132562117644,0.8459907588657964,0.63016421577874,0.08291711479064671,1.8615152201432474,0.9487120659775828,0.8285185258267364,0.5978656138385857,1,0,0,1,1,0,1,1,0,1,0,0,0
0.45,3,contiguous_empirical_upper_control,0,500,20,0.11876319826452074,2.217312100657558,0.9294901870190279,0.7835806256822201,0.5443485909856269,0.1442378852338565,1.8875616697620217,0.9154651401493429,0.746495797190644,0.4861965894302254,1,0,0,1,1,0,1,1,0,1,0,0,0
0.45,3,contiguous_empirical_upper_control,0,1000,20,0.1931229898233622,2.0059547060985286,0.8917555930487496,0.7007305764837627,0.4450931501338995,0.24403309580251992,1.5499016636258744,0.8653976751912258,0.6394261790931611,0.3638800632295381,1,0,0,1,1,0,1,1,0,1,0,0,0
0.45,3,contiguous_empirical_upper_control,0,2000,20,0.3457751267316728,1.406530706919776,0.8197989322879772,0.5611761484574745,0.30354964403273293,0.45236003499621646,1.073065313621913,0.7710587368632903,0.47164946591635304,0.21085493819329598,1,0,0,1,1,0,1,1,0,1,0,0,0
0.45,3,contiguous_empirical_upper_control,0,3000,20,0.49427354586610533,1.1389500570823743,0.7570576872893064,0.45770823813846434,0.21533217622485332,0.6472318283567606,0.8235015742528151,0.6922019467726407,0.3580006787434651,0.1294193663865033,1,0,0,1,1,0,1,1,0,1,0,0,0
