temperature,replicate,parent_id,source_doi,source_sha256,source_frame_index,velocity_seed,comparison,lag_count,lag_grid,maximum_msd_relative_error,maximum_ngp_absolute_error,maximum_fs_absolute_error,msd_relative_error_tolerance,ngp_absolute_error_tolerance,fs_absolute_error_tolerance,curve_transfer_pass,restart_is_independent_sample,positive_memory_closure_claim_allowed,microdynamic_closure_claim_allowed,complete_microscopic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed,thermodynamic_glass_transition_claim_allowed
0.45,1,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,5000,45117,early_late,6,20;100;200;500;1000;2000,0.025240818509739915,0.12573133542590176,0.0106372518642035,0.1,0.3,0.03,1,0,0,0,0,0,0,0
0.45,1,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,5000,45117,early_heldout,6,20;100;200;500;1000;2000,0.11473812320848187,0.20621708265042882,0.02048955584614509,0.1,0.3,0.03,0,0,0,0,0,0,0,0
0.45,1,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,5000,45117,late_heldout,6,20;100;200;500;1000;2000,0.11998624414683179,0.16015333417904332,0.028662299370638133,0.1,0.3,0.03,0,0,0,0,0,0,0,0
0.45,2,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,35000,45157,early_late,6,20;100;200;500;1000;2000,0.35183309091599724,0.4334267416450879,0.08607954708610838,0.1,0.3,0.03,0,0,0,0,0,0,0,0
0.45,2,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,35000,45157,early_heldout,6,20;100;200;500;1000;2000,0.4764212415586837,0.6620759070529112,0.11005401486668531,0.1,0.3,0.03,0,0,0,0,0,0,0,0
0.45,2,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,35000,45157,late_heldout,6,20;100;200;500;1000;2000,0.1072826152549109,0.31710726551275004,0.03759189617771663,0.1,0.3,0.03,0,0,0,0,0,0,0,0
0.45,3,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,65000,45201,early_late,6,20;100;200;500;1000;2000,0.25567509220766993,0.622722379940603,0.09495646679369107,0.1,0.3,0.03,0,0,0,0,0,0,0,0
0.45,3,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,65000,45201,early_heldout,6,20;100;200;500;1000;2000,0.33389200616514225,0.7730915460602197,0.1440184668547856,0.1,0.3,0.03,0,0,0,0,0,0,0,0
0.45,3,10.5281/zenodo.7469766:a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,10.5281/zenodo.7469766,a5fc820faf564c3d69cc1adfc861de11c6cd8a113e7bcd89aa7463f9358e18a2,65000,45201,late_heldout,6,20;100;200;500;1000;2000,0.16773921071019138,0.22521288029154274,0.06116552725239516,0.1,0.3,0.03,0,0,0,0,0,0,0,0
0.58,1,10.5281/zenodo.7469766:bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,10.5281/zenodo.7469766,bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,3000,58117,early_late,3,20;100;200,0.12005504373633835,0.0681094649523688,0.050754434120578285,0.1,0.3,0.03,0,0,0,0,0,0,0,0
0.58,1,10.5281/zenodo.7469766:bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,10.5281/zenodo.7469766,bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,3000,58117,early_heldout,3,20;100;200,0.10607681266620494,0.05712176366958488,0.04497951588164684,0.1,0.3,0.03,0,0,0,0,0,0,0,0
