record,scheme,stride,clone_index,trace_variance_ratio,mean_squared_mahalanobis_per_dimension,maximum_absolute_whitened_mean,maximum_absolute_whitened_covariance_error,maximum_absolute_whitened_component_excess_kurtosis,maximum_absolute_whitened_lag1_correlation,maximum_absolute_whitened_state_correlation,minimum_integrated_covariance_eigenvalue,sample_count,maximum_relative_position_error,maximum_relative_velocity_error,trajectory_sha256,thermodynamic_claim_allowed
clone,left,1.0,1.0,1.0224201187602775,1.0117788061383668,0.00518164911686884,0.035692344490775574,0.0971271410691652,0.09089432373214591,0.22505980566580916,0.0006675312000941348,64000.0,1.7890141797757136e-06,9.619259712073669e-06,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,0.0
clone,left,1.0,2.0,1.0280967194085684,1.0133924984481621,0.006956789749964054,0.046159551628487554,0.10233326008259569,0.08902496686605048,0.22934395519972461,0.0006534420081079946,64000.0,1.914549866928461e-06,7.807803367343435e-06,8c7e42d5902dd65122ab803ce79a8364e09b031a3cafa5d895e03641d7dd36e5,0.0
clone,left,1.0,3.0,1.0207677249452598,1.0118238915435012,0.004453835161815425,0.03615342041024267,0.09665920139471718,0.08786896880989983,0.2194208451165805,0.0006640533347961339,64000.0,1.8801151996650223e-06,8.452003302794608e-06,55fdeb816b15d10677520bb7ca08c53cf593ce13ec828a8e8d3c0f5c70e365f2,0.0
clone,left,1.0,4.0,1.0223481602624995,1.0114017880871182,0.003538100553193372,0.039068825799807035,0.10285379001238493,0.08280252851549892,0.22105646988559363,0.0006795218149776118,64000.0,2.0675868584729695e-06,5.462462449201677e-06,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,0.0
clone,left,2.0,1.0,1.1138664128656128,1.0894574309904,0.007263994474391905,0.12298846102528982,0.02638033227639003,0.07579618924676283,0.2878801736209763,0.00133575094898313,32000.0,1.7890141797757136e-06,9.619259712073669e-06,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,0.0
clone,left,2.0,2.0,1.116791154129685,1.0929222466461883,0.0098910444470916,0.12285257535176286,0.06874704448663627,0.08410372452153753,0.2924708794228059,0.0013084724887090931,32000.0,1.914549866928461e-06,7.807803367343435e-06,8c7e42d5902dd65122ab803ce79a8364e09b031a3cafa5d895e03641d7dd36e5,0.0
clone,left,2.0,3.0,1.112070830552363,1.0900884028332352,0.006304934636814504,0.12331261952530093,0.018622092296458614,0.08027274609439837,0.2810589481787701,0.0013305529617939377,32000.0,1.8801151996650223e-06,8.452003302794608e-06,55fdeb816b15d10677520bb7ca08c53cf593ce13ec828a8e8d3c0f5c70e365f2,0.0
clone,left,2.0,4.0,1.100919732610428,1.0822181382081446,0.005035792014018692,0.11421682617519835,0.018148626574185034,0.08459302637328679,0.28188758908645195,0.001360739586180367,32000.0,2.0675868584729695e-06,5.462462449201677e-06,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,0.0
clone,left,4.0,1.0,1.2013345008570366,1.1606170655642027,0.010250669808991197,0.2107404233800818,0.07051460522480335,0.035714904066391495,0.298945333510241,0.002678340248201573,16000.0,1.7890141797757136e-06,9.619259712073669e-06,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,0.0
clone,left,4.0,2.0,1.208080864481261,1.1675028009863817,0.013759822363101026,0.21025205461837593,0.13314522137403673,0.027145130293600776,0.3024828829588247,0.002647202544836868,16000.0,1.914549866928461e-06,7.807803367343435e-06,8c7e42d5902dd65122ab803ce79a8364e09b031a3cafa5d895e03641d7dd36e5,0.0
clone,left,4.0,3.0,1.1945684044404525,1.1615853067069242,0.00886598469618651,0.22035011039344976,0.08877783885003465,0.03843440432333548,0.29331799043134765,0.0026859991995810554,16000.0,1.8801151996650223e-06,8.452003302794608e-06,55fdeb816b15d10677520bb7ca08c53cf593ce13ec828a8e8d3c0f5c70e365f2,0.0
clone,left,4.0,4.0,1.1809690454402693,1.1510539450220136,0.0070381406123440435,0.204939188554091,0.12420131651749955,0.029498316296378373,0.2918698806730332,0.002725346122934705,16000.0,2.0675868584729695e-06,5.462462449201677e-06,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,0.0
clone,left,8.0,1.0,1.1851128902395656,1.142157556188075,0.014617666741182426,0.18640929505610626,0.09351337600799647,0.13612753151961132,0.21681897882127796,0.005442981809559725,8000.0,1.7890141797757136e-06,9.619259712073669e-06,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,0.0
clone,left,8.0,2.0,1.1886191407558,1.149472768339433,0.019741166866821425,0.1891773911523582,0.10799881616619222,0.12758482972836663,0.213724757104897,0.005494332703823182,8000.0,1.914549866928461e-06,7.807803367343435e-06,8c7e42d5902dd65122ab803ce79a8364e09b031a3cafa5d895e03641d7dd36e5,0.0
clone,left,8.0,3.0,1.176157765642602,1.137712720326504,0.012703921940509538,0.1951139650661513,0.10714679790379922,0.1314256168886119,0.18856088537856855,0.005484599411185486,8000.0,1.8801151996650223e-06,8.452003302794608e-06,55fdeb816b15d10677520bb7ca08c53cf593ce13ec828a8e8d3c0f5c70e365f2,0.0
clone,left,8.0,4.0,1.155197157711738,1.1231064348552477,0.009955894513889552,0.17024530573026664,0.1123680667621696,0.13902590373044868,0.19647394679638575,0.005519675009924513,8000.0,2.0675868584729695e-06,5.462462449201677e-06,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,0.0
clone,adams_bashforth2,1.0,1.0,0.9312412153589399,0.9382032818191314,0.0050928872423043415,0.07039665329382805,0.128375764223569,0.03400532352220819,0.03927035441860019,0.0006675312000941348,63936.0,1.7890141797757136e-06,9.619259712073669e-06,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,0.0
clone,adams_bashforth2,1.0,2.0,0.9357165116156715,0.9378727739958075,0.007143230772013186,0.06638666721703079,0.12018308275587586,0.031931325382212605,0.040032991754161654,0.0006534420081079946,63936.0,1.914549866928461e-06,7.807803367343435e-06,8c7e42d5902dd65122ab803ce79a8364e09b031a3cafa5d895e03641d7dd36e5,0.0
clone,adams_bashforth2,1.0,3.0,0.9285024362252815,0.937377728024709,0.0044501724275995075,0.072694520559754,0.12822684400533646,0.03194419979948154,0.032827938244001625,0.0006640533347961339,63936.0,1.8801151996650223e-06,8.452003302794608e-06,55fdeb816b15d10677520bb7ca08c53cf593ce13ec828a8e8d3c0f5c70e365f2,0.0
clone,adams_bashforth2,1.0,4.0,0.9357124224116546,0.9387382683975919,0.0035624590443287547,0.0737508346118455,0.13308483221730993,0.03118182851725233,0.028627987382446016,0.0006795218149776118,63936.0,2.0675868584729695e-06,5.462462449201677e-06,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,0.0
clone,adams_bashforth2,2.0,1.0,0.955195067035903,0.9612583474585897,0.007086422757445836,0.05243118775005229,0.05457105102352777,0.02854808572232564,0.05335746895169259,0.0013369694784010162,31936.0,1.7890141797757136e-06,9.619259712073669e-06,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,0.0
clone,adams_bashforth2,2.0,2.0,0.9626573225596432,0.9631180393425526,0.010077973814829215,0.05134841290097969,0.1328118412059074,0.029871494276206632,0.05499073606517232,0.0013120680881041076,31936.0,1.914549866928461e-06,7.807803367343435e-06,8c7e42d5902dd65122ab803ce79a8364e09b031a3cafa5d895e03641d7dd36e5,0.0
clone,adams_bashforth2,2.0,3.0,0.9526724875159739,0.9635472685567209,0.006425943167704234,0.050696465317971895,0.03966604568523202,0.037635223881530615,0.043707313437722675,0.00132835182716889,31936.0,1.8801151996650223e-06,8.452003302794608e-06,55fdeb816b15d10677520bb7ca08c53cf593ce13ec828a8e8d3c0f5c70e365f2,0.0
clone,adams_bashforth2,2.0,4.0,0.9590734716118408,0.9628390711016821,0.005173076082131174,0.05543079662757178,0.07537406160014726,0.0273007459865049,0.03928005203315424,0.0013599068784291325,31936.0,2.0675868584729695e-06,5.462462449201677e-06,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,0.0
clone,adams_bashforth2,4.0,1.0,0.9779220226447075,0.9819621187668571,0.009626945983528897,0.03276443934698359,0.10525588236288241,0.0289581079417291,0.07352730889067789,0.0026874108706421377,15936.0,1.7890141797757136e-06,9.619259712073669e-06,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,0.0
clone,adams_bashforth2,4.0,2.0,0.9891930171927078,0.9882452727681752,0.014687545767117326,0.03626890522417925,0.07733362578784364,0.0317518596222495,0.06828015724470678,0.0026653806548721866,15936.0,1.914549866928461e-06,7.807803367343435e-06,8c7e42d5902dd65122ab803ce79a8364e09b031a3cafa5d895e03641d7dd36e5,0.0
clone,adams_bashforth2,4.0,3.0,0.9813969556468126,0.9927566589729576,0.008930621353007696,0.03901111879428587,0.0759809320789544,0.017977460480331452,0.06618504580474634,0.0026680243510148836,15936.0,1.8801151996650223e-06,8.452003302794608e-06,55fdeb816b15d10677520bb7ca08c53cf593ce13ec828a8e8d3c0f5c70e365f2,0.0
clone,adams_bashforth2,4.0,4.0,0.9846612581765213,0.985914193263961,0.0074279450680205476,0.03487490841926766,0.07933642658291529,0.028227396285289946,0.0673568220676649,0.0027274270544371494,15936.0,2.0675868584729695e-06,5.462462449201677e-06,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,0.0
clone,adams_bashforth2,8.0,1.0,0.9922684844473783,0.9979574722240442,0.013876430908070846,0.019676052588528337,0.12360502316525412,0.030447215754166132,0.11322312412174744,0.005408135803372822,7936.0,1.7890141797757136e-06,9.619259712073669e-06,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,0.0
clone,adams_bashforth2,8.0,2.0,1.0129780296466422,1.0071071906452624,0.021085728879726397,0.033848232986192245,0.10439880015205105,0.03277427724634444,0.10527465884176795,0.005454589626283043,7936.0,1.914549866928461e-06,7.807803367343435e-06,8c7e42d5902dd65122ab803ce79a8364e09b031a3cafa5d895e03641d7dd36e5,0.0
clone,adams_bashforth2,8.0,3.0,0.9940416810751447,0.9999401741410288,0.01250025732177851,0.03135209393451008,0.06375126181988433,0.028534131399475672,0.1140558466870496,0.005496875742790835,7936.0,1.8801151996650223e-06,8.452003302794608e-06,55fdeb816b15d10677520bb7ca08c53cf593ce13ec828a8e8d3c0f5c70e365f2,0.0
clone,adams_bashforth2,8.0,4.0,0.9990925556164584,1.0032201309038773,0.010811685693944681,0.030502507959228042,0.09782160105783078,0.027417136456709564,0.115150972155997,0.005557341496623955,7936.0,2.0675868584729695e-06,5.462462449201677e-06,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,0.0
clone,trapezoid,1.0,1.0,0.9592713351131219,0.9597883844197282,0.005104149873508937,0.047189150549625025,0.1370108908865615,0.031657512324685125,0.008866578722578289,0.0006678754744915658,64000.0,1.7890141797757136e-06,9.619259712073669e-06,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,0.0
clone,trapezoid,1.0,2.0,0.964353460785945,0.9596915054160565,0.007360187252308502,0.04946209333150209,0.12070270007742057,0.030543913038615512,0.014255530450644802,0.0006542362443545457,64000.0,1.914549866928461e-06,7.807803367343435e-06,8c7e42d5902dd65122ab803ce79a8364e09b031a3cafa5d895e03641d7dd36e5,0.0
clone,trapezoid,1.0,3.0,0.9570576190593777,0.9593101581895179,0.00451435743916531,0.046890743887718855,0.12450410728433647,0.029531972916591567,0.011965621166521336,0.0006641759135844522,64000.0,1.8801151996650223e-06,8.452003302794608e-06,55fdeb816b15d10677520bb7ca08c53cf593ce13ec828a8e8d3c0f5c70e365f2,0.0
clone,trapezoid,1.0,4.0,0.9636708677108662,0.9610116604068386,0.0037673118795086666,0.049366464436815694,0.13786252590931758,0.030296293791626655,0.012025093439664066,0.0006799534392145675,64000.0,2.0675868584729695e-06,5.462462449201677e-06,0f93e8b1dd40f9a0cf402a4476ef654042a7b5c1fa5ce839b711d5e752a486cf,0.0
clone,trapezoid,2.0,1.0,0.9863539496860722,0.9851194188259075,0.007155971897067208,0.02797541816540905,0.0861750037654807,0.01654251976101035,0.015332821619581728,0.001336434537911284,32000.0,1.7890141797757136e-06,9.619259712073669e-06,a77d5177fa9d632ef97a680d4f953885d10ed6e175ae76487b24861160dcce18,0.0
clone,trapezoid,2.0,2.0,0.9883075131079343,0.9858098636955708,0.010450346279488286,0.02704108686265927,0.057468110934581595,0.01948134417534187,0.019053407962215593,0.0013131111322710878,32000.0,1.914549866928461e-06,7.807803367343435e-06,8c7e42d5902dd65122ab803ce79a8364e09b031a3cafa5d895e03641d7dd36e5,0.0
