model,parent_group,time_tau,observed_survival,predicted_survival,constant_rate_survival,thermodynamic_claim_allowed
geometry,1,1.0,0.947265625,0.9484223554649437,0.948305033693841,False
geometry,1,2.0,0.896484375,0.8995469184720913,0.8992824369290768,False
geometry,1,4.0,0.822265625,0.8093353595667364,0.8087089013690991,False
geometry,1,8.0,0.654296875,0.6555100052873735,0.6540100871536153,False
geometry,1,12.0,0.556640625,0.5313124118314303,0.5289037790663089,False
geometry,1,16.0,0.453125,0.43096089120667,0.42772919409867943,False
geometry,1,20.0,0.333984375,0.3498165600231343,0.3459084066430332,False
geometry,2,1.0,0.94921875,0.9477585476651327,0.9483360711151252,False
geometry,2,2.0,0.884765625,0.8983235933236768,0.8993413037780719,False
geometry,2,4.0,0.81640625,0.8072621715127559,0.8088147806812421,False
geometry,2,8.0,0.693359375,0.6525603376280242,0.6541813494484457,False
geometry,2,12.0,0.57421875,0.5282130271489258,0.5291115446799036,False
geometry,2,16.0,0.439453125,0.42812502173904593,0.42795323796618945,False
geometry,2,20.0,0.32421875,0.34745274090456957,0.3461349043074509,False
geometry,3,1.0,0.970703125,0.948893844400697,0.9492972780584829,False
geometry,3,2.0,0.904296875,0.900460018443831,0.9011653221292445,False
geometry,3,4.0,0.80859375,0.8110452831678634,0.8120989378083049,False
geometry,3,8.0,0.673828125,0.6584932906133438,0.6595046847893771,False
geometry,3,12.0,0.548828125,0.535193807791023,0.5355830539970541,False
geometry,3,16.0,0.4140625,0.43542811943270276,0.4349464292591357,False
geometry,3,20.0,0.2890625,0.35461705507786934,0.3532195332048591,False
geometry,4,1.0,0.951171875,0.9469885640742141,0.9473298442418221,False
geometry,4,2.0,0.8984375,0.8968487512412575,0.8974338337912348,False
geometry,4,4.0,0.80859375,0.8045550976512685,0.8053874860332336,False
geometry,4,8.0,0.7109375,0.64799095318205,0.6486490026589321,False
geometry,4,12.0,0.58984375,0.5224160718406465,0.5224137895694416,False
geometry,4,16.0,0.47265625,0.42157771544073275,0.42074552865042736,False
geometry,4,20.0,0.359375,0.34051261798316546,0.3388631835794916,False
geometry,5,1.0,0.970703125,0.9471554201545282,0.948383937816884,False
geometry,5,2.0,0.931640625,0.8971842896105284,0.8994320935090593,False
geometry,5,4.0,0.853515625,0.8052291701103622,0.8089780908340891,False
geometry,5,8.0,0.681640625,0.6493215671009278,0.6544455514495677,False
geometry,5,12.0,0.57421875,0.5243398741859029,0.5294321127665339,False
geometry,5,16.0,0.45703125,0.42400411904933666,0.42829897981212883,False
geometry,5,20.0,0.3125,0.343338381935795,0.34648449099460404,False
radial,1,1.0,0.947265625,0.9483812531435512,0.948305033693841,False
radial,1,2.0,0.896484375,0.899523006379422,0.8992824369290768,False
radial,1,4.0,0.822265625,0.8094857117282074,0.8087089013690991,False
radial,1,8.0,0.654296875,0.656373004339083,0.6540100871536153,False
radial,1,12.0,0.556640625,0.5331043910213127,0.5289037790663089,False
radial,1,16.0,0.453125,0.4336923165999991,0.42772919409867943,False
radial,1,20.0,0.333984375,0.35338430036264346,0.3459084066430332,False
radial,2,1.0,0.94921875,0.9463005628756993,0.9483360711151252,False
radial,2,2.0,0.884765625,0.8956634807606789,0.8993413037780719,False
radial,2,4.0,0.81640625,0.8028463459894619,0.8088147806812421,False
radial,2,8.0,0.693359375,0.6465528985524581,0.6541813494484457,False
radial,2,12.0,0.57421875,0.5222187390696935,0.5291115446799036,False
radial,2,16.0,0.439453125,0.42297697469678963,0.42795323796618945,False
radial,2,20.0,0.32421875,0.34350883608527805,0.3461349043074509,False
radial,3,1.0,0.970703125,0.9487085109576633,0.9492972780584829,False
radial,3,2.0,0.904296875,0.900112491842879,0.9011653221292445,False
radial,3,4.0,0.80859375,0.8104333435550535,0.8120989378083049,False
radial,3,8.0,0.673828125,0.6575386237396108,0.6595046847893771,False
radial,3,12.0,0.548828125,0.5340674887932181,0.5355830539970541,False
radial,3,16.0,0.4140625,0.4342373982230882,0.4349464292591357,False
radial,3,20.0,0.2890625,0.35342789978856415,0.3532195332048591,False
radial,4,1.0,0.951171875,0.9485446606831534,0.9473298442418221,False
radial,4,2.0,0.8984375,0.8998715952051068,0.8974338337912348,False
radial,4,4.0,0.80859375,0.8102482860683098,0.8053874860332336,False
radial,4,8.0,0.7109375,0.658024440629213,0.6486490026589321,False
radial,4,12.0,0.58984375,0.5355853935949377,0.5224137895694416,False
radial,4,16.0,0.47265625,0.43685568779346434,0.42074552865042736,False
radial,4,20.0,0.359375,0.3570527119638188,0.3388631835794916,False
radial,5,1.0,0.970703125,0.9451705445340565,0.948383937816884,False
radial,5,2.0,0.931640625,0.8934813104099016,0.8994320935090593,False
radial,5,4.0,0.853515625,0.7987860375603669,0.8089780908340891,False
radial,5,8.0,0.681640625,0.6395749677559888,0.6544455514495677,False
radial,5,12.0,0.57421875,0.5132959328322195,0.5294321127665339,False
radial,5,16.0,0.45703125,0.4128995456915165,0.42829897981212883,False
radial,5,20.0,0.3125,0.3328941363160905,0.34648449099460404,False
geometry_radial,1,1.0,0.947265625,0.9483737012020588,0.948305033693841,False
geometry_radial,1,2.0,0.896484375,0.8995065746186822,0.8992824369290768,False
geometry_radial,1,4.0,0.822265625,0.8094480003402417,0.8087089013690991,False
geometry_radial,1,8.0,0.654296875,0.6562819935778655,0.6540100871536153,False
geometry_radial,1,12.0,0.556640625,0.5329518663602174,0.5289037790663089,False
geometry_radial,1,16.0,0.453125,0.43347643053525164,0.42772919409867943,False
geometry_radial,1,20.0,0.333984375,0.3531081291347534,0.3459084066430332,False
geometry_radial,2,1.0,0.94921875,0.946792111715095,0.9483360711151252,False
geometry_radial,2,2.0,0.884765625,0.8966321731807758,0.8993413037780719,False
geometry_radial,2,4.0,0.81640625,0.8047159850122612,0.8088147806812421,False
geometry_radial,2,8.0,0.693359375,0.6499687278742726,0.6541813494484457,False
geometry_radial,2,12.0,0.57421875,0.5268115141502095,0.5291115446799036,False
geometry_radial,2,16.0,0.439453125,0.42839279346736914,0.42795323796618945,False
geometry_radial,2,20.0,0.32421875,0.3494376748804033,0.3461349043074509,False
geometry_radial,3,1.0,0.970703125,0.947970366373759,0.9492972780584829,False
geometry_radial,3,2.0,0.904296875,0.8987320015553902,0.9011653221292445,False
geometry_radial,3,4.0,0.80859375,0.8080182236347798,0.8120989378083049,False
geometry_radial,3,8.0,0.673828125,0.6538378582555942,0.6595046847893771,False
geometry_radial,3,12.0,0.548828125,0.5298075814410445,0.5355830539970541,False
geometry_radial,3,16.0,0.4140625,0.42987261606349264,0.4349464292591357,False
geometry_radial,3,20.0,0.2890625,0.34923023580738227,0.3532195332048591,False
geometry_radial,4,1.0,0.951171875,0.948426703691264,0.9473298442418221,False
geometry_radial,4,2.0,0.8984375,0.8997084627420673,0.8974338337912348,False
geometry_radial,4,4.0,0.80859375,0.8101578269491965,0.8053874860332336,False
geometry_radial,4,8.0,0.7109375,0.6584493832066249,0.6486490026589321,False
geometry_radial,4,12.0,0.58984375,0.5366792232705591,0.5224137895694416,False
geometry_radial,4,16.0,0.47265625,0.4385598930468361,0.42074552865042736,False
geometry_radial,4,20.0,0.359375,0.3592259557896136,0.3388631835794916,False
geometry_radial,5,1.0,0.970703125,0.9450544746029108,0.948383937816884,False
geometry_radial,5,2.0,0.931640625,0.8932814884168874,0.8994320935090593,False
geometry_radial,5,4.0,0.853515625,0.79849716486112,0.8089780908340891,False
geometry_radial,5,8.0,0.681640625,0.6393202709122878,0.6544455514495677,False
geometry_radial,5,12.0,0.57421875,0.513221676813366,0.5294321127665339,False
geometry_radial,5,16.0,0.45703125,0.4130500704889699,0.42829897981212883,False
geometry_radial,5,20.0,0.3125,0.3332588159106355,0.34648449099460404,False
