window_count,normalized_slope_per_window,normalized_total_linear_change,exact_two_sided_permutation_p_value,strict_trend_detected,borderline_trend_detected,first_half_mean_rate,second_half_mean_rate,second_to_first_half_rate_ratio,maximum_window_relative_deviation,temperature_group,temperature,replicate,block_size
6.0,0.023418175479823423,0.11709087739911711,0.15256588072122051,0.0,0.0,0.28099105654796835,0.30471637337673346,1.0844344198005282,0.10891922401259324,high,0.58,1.0,20.0
6.0,0.0180865558848731,0.09043277942436549,0.14979195561719832,0.0,0.0,0.7042213406571051,0.7440748652222561,1.0565923272475155,0.10148754758326206,high,0.58,1.0,50.0
6.0,0.019020480854853188,0.09510240427426594,0.3578363384188627,0.0,0.0,1.4331536296748382,1.5178008340962261,1.0590635942083844,0.13004911958176535,high,0.58,1.0,100.0
6.0,0.024810050220658054,0.12405025110329027,0.14424410540915394,0.0,0.0,0.28410848467302546,0.3094463092937307,1.0891836252263496,0.1384965566183345,high,0.58,2.0,20.0
6.0,0.019345910405682926,0.09672955202841463,0.3522884882108183,0.0,0.0,0.7119519886074661,0.7559963381141288,1.0618642130529206,0.14195434954335673,high,0.58,2.0,50.0
6.0,0.02694363293501525,0.13471816467507625,0.11095700416088766,0.0,0.0,1.4021971315227342,1.5722713864306783,1.121291258614436,0.09185418234046927,high,0.58,2.0,100.0
6.0,0.022741643908189484,0.11370821954094743,0.1553398058252427,0.0,0.0,0.28957914394289125,0.3117434645509104,1.0765397683901927,0.09848732935014792,high,0.58,3.0,20.0
6.0,0.016643618987636378,0.08321809493818189,0.2829403606102635,0.0,0.0,0.7239751805513173,0.7618756993184824,1.0523505774580606,0.0905157659816258,high,0.58,3.0,50.0
6.0,0.022841477206878465,0.11420738603439232,0.10679611650485436,0.0,0.0,1.458006984708236,1.5721188078527109,1.078265621729727,0.115651663076622,high,0.58,3.0,100.0
6.0,0.02207808724405446,0.11039043622027231,0.06934812760055478,0.0,1.0,0.2817995926021559,0.3026819923371647,1.0741037257796553,0.08709679578572516,high,0.58,4.0,20.0
6.0,0.017444979595281337,0.08722489797640669,0.17198335644937587,0.0,0.0,0.7056250635744075,0.7407588241277591,1.0497909759261927,0.09515169416431069,high,0.58,4.0,50.0
6.0,0.022026155187445558,0.11013077593722778,0.2884882108183079,0.0,0.0,1.3771742447360389,1.5396195707456009,1.1179555358593696,0.11651264167393194,high,0.58,4.0,100.0
6.0,0.019476142029333617,0.09738071014666809,0.44382801664355065,0.0,0.0,0.2887719119791137,0.3008595259892178,1.0418586902280798,0.16843455566859822,high,0.58,5.0,20.0
6.0,0.01524436667158287,0.07622183335791435,0.5714285714285714,0.0,0.0,0.7215339233038348,0.7366697182382259,1.0209772464544504,0.16150004185384625,high,0.58,5.0,50.0
6.0,0.019582351853094745,0.09791175926547373,0.40499306518723993,0.0,0.0,1.4299494795375172,1.5290916488658326,1.0693326377938754,0.14961441945205156,high,0.58,5.0,100.0
6.0,0.005976067329013243,0.029880336645066213,0.6962552011095701,0.0,0.0,0.10030906426467308,0.10355244597554085,1.0323338846259185,0.09121084123469103,low,0.45,1.0,20.0
6.0,0.005091198683508761,0.025455993417543805,0.7434119278779473,0.0,0.0,0.2513974584017127,0.2582739201597914,1.0273529486009787,0.09027494410222925,low,0.45,1.0,50.0
6.0,0.0045116619465471195,0.022558309732735597,0.812760055478502,0.0,0.0,0.5038862661329409,0.5160461804495982,1.0241322598648663,0.10854930752838299,low,0.45,1.0,100.0
6.0,-0.02062820111101729,-0.10314100555508646,0.2843273231622746,0.0,0.0,0.10071980673029972,0.0926439967989137,0.9198190485709445,0.11855548991246834,low,0.45,2.0,20.0
6.0,-0.02047048861368624,-0.10235244306843119,0.2815533980582524,0.0,0.0,0.25155157817743756,0.23169750603378922,0.9210735536326319,0.1183917520976765,low,0.45,2.0,50.0
6.0,-0.019980066185655565,-0.09990033092827783,0.29542302357836336,0.0,0.0,0.5029468607705517,0.46407335439516056,0.9227085216998192,0.12013219673429532,low,0.45,2.0,100.0
6.0,0.04555403860172235,0.22777019300861176,0.052704576976421634,0.0,1.0,0.09769369411324476,0.11234072696032833,1.1499281297532367,0.20523393694260594,low,0.45,3.0,20.0
6.0,0.04514110876118615,0.22570554380593075,0.05547850208044383,0.0,1.0,0.24428773183013966,0.2811452948773669,1.1508776669671459,0.20177917282853386,low,0.45,3.0,50.0
6.0,0.04429527417694868,0.2214763708847434,0.06102635228848821,0.0,1.0,0.48923872264804613,0.5618152662346598,1.148345869259463,0.20192190003956512,low,0.45,3.0,100.0
