replicate,temperature,threshold_scale,block_size,rate_window_index,mean_count_per_particle_block,normalized_rate
1.0,0.45,0.9,20.0,0.0,0.14993388261621401,0.9945849960796713
1.0,0.45,0.9,20.0,1.0,0.14906563785111238,0.9888255026201094
1.0,0.45,0.9,20.0,2.0,0.14963362758326562,0.992593257150771
1.0,0.45,0.9,20.0,3.0,0.14950494685485916,0.9917396547526708
1.0,0.45,0.9,20.0,4.0,0.1615347566647426,1.0715392846550598
1.0,0.45,0.9,20.0,5.0,0.14482832152534458,0.9607173047417178
1.0,0.45,1.0,20.0,0.0,0.101820771030414,0.9970927892214679
1.0,0.45,1.0,20.0,1.0,0.09973916328814102,0.9767083819065008
1.0,0.45,1.0,20.0,2.0,0.1004886191087205,0.9840475228988299
1.0,0.45,1.0,20.0,3.0,0.10045552977855884,0.9837234914446337
1.0,0.45,1.0,20.0,4.0,0.1112279450422992,1.0892137315329395
1.0,0.45,1.0,20.0,5.0,0.09897386310576453,0.969214082995628
1.0,0.45,1.1,20.0,0.0,0.07168286905851752,0.9972500498039655
1.0,0.45,1.1,20.0,1.0,0.07047313890463112,0.9804203180694875
1.0,0.45,1.1,20.0,2.0,0.06980745686438154,0.9711593683263825
1.0,0.45,1.1,20.0,3.0,0.07046924346761474,0.9803661248597343
1.0,0.45,1.1,20.0,4.0,0.07874525260026986,1.0955017301740382
1.0,0.45,1.1,20.0,5.0,0.07010526083583649,0.9753024087663908
2.0,0.45,0.9,20.0,0.0,0.15666913698650042,1.0944890400749134
2.0,0.45,0.9,20.0,1.0,0.1421778049028583,0.9932527375924475
2.0,0.45,0.9,20.0,2.0,0.14641660937310425,1.0228649836604429
2.0,0.45,0.9,20.0,3.0,0.12786820152137388,0.8932859900242704
2.0,0.45,0.9,20.0,4.0,0.14410403285402826,1.006709346991037
2.0,0.45,0.9,20.0,5.0,0.14162600968414396,0.9893979016568883
2.0,0.45,1.0,20.0,0.0,0.10758606158362033,1.1111148780440396
2.0,0.45,1.0,20.0,1.0,0.09606274612377755,0.9921057140002882
2.0,0.45,1.0,20.0,2.0,0.099381964844425,1.0263855570367135
2.0,0.45,1.0,20.0,3.0,0.08521973153523463,0.8801224825775585
2.0,0.45,1.0,20.0,4.0,0.0969774735193444,1.00155272975315
2.0,0.45,1.0,20.0,5.0,0.09573478534216205,0.9887186385882499
2.0,0.45,1.1,20.0,0.0,0.07584245171977855,1.119219306891683
2.0,0.45,1.1,20.0,1.0,0.06705828501678364,0.9895899404087547
2.0,0.45,1.1,20.0,2.0,0.0700059928453515,1.0330897408239428
2.0,0.45,1.1,20.0,3.0,0.059439466747061485,0.8771578089333903
2.0,0.45,1.1,20.0,4.0,0.06772282906419698,0.9993967242254623
2.0,0.45,1.1,20.0,5.0,0.0665132302171763,0.9815464787167664
3.0,0.45,0.9,20.0,0.0,0.12643678160919541,0.8163332666886619
3.0,0.45,0.9,20.0,1.0,0.15218260022959443,0.9825599607761961
3.0,0.45,0.9,20.0,2.0,0.15913761852414235,1.027464716591768
3.0,0.45,0.9,20.0,3.0,0.1627075895893614,1.0505140706212155
3.0,0.45,0.9,20.0,4.0,0.17060123312903736,1.1014790171724245
3.0,0.45,0.9,20.0,5.0,0.15823685342529717,1.0216489681497345
3.0,0.45,1.0,20.0,0.0,0.08346411497159133,0.7934882030044856
3.0,0.45,1.0,20.0,1.0,0.10285975848990801,0.9778813919420676
3.0,0.45,1.0,20.0,2.0,0.10777194833652584,1.024581278420662
3.0,0.45,1.0,20.0,3.0,0.11233092271435452,1.0679231671813354
3.0,0.45,1.0,20.0,4.0,0.11784581107463114,1.1203528713273114
3.0,0.45,1.0,20.0,5.0,0.10684544709199936,1.015773088124138
3.0,0.45,1.1,20.0,0.0,0.05779821846346107,0.7796938981260513
3.0,0.45,1.1,20.0,1.0,0.07307424037665111,0.9857663583158718
3.0,0.45,1.1,20.0,2.0,0.07617899121662114,1.0276492285752157
3.0,0.45,1.1,20.0,3.0,0.07945851149486564,1.0718897262532607
3.0,0.45,1.1,20.0,4.0,0.08396601358133174,1.132695612075327
3.0,0.45,1.1,20.0,5.0,0.0743002525818869,1.002305176654273
