held_clone_index,bath_order,lag_frames,correlation_component,observed_correlation,simulated_correlation,simulated_marginal_covariance,thermodynamic_claim_allowed
1.0,40.0,0.0,uu,1.0758700931852578,0.9905605311704009,0.9905605311704009,0.0
1.0,40.0,0.0,up,0.00045969715964446617,0.03842325598109361,0.03842325598109361,0.0
1.0,40.0,0.0,pu,0.00045969715964446617,0.03842325598109361,0.03842325598109361,0.0
1.0,40.0,0.0,pp,1.0083776010637144,1.0387524255214384,1.0387524255214384,0.0
1.0,40.0,1.0,uu,1.0597995682425545,0.9804935086061125,1.0036050389297357,0.0
1.0,40.0,1.0,up,0.17850588300308545,0.22157811055541457,0.03382371982113034,0.0
1.0,40.0,1.0,pu,-0.1776311985359166,-0.14858411676932606,0.03382371982113034,0.0
1.0,40.0,1.0,pp,0.9565207113071095,0.9819889445731863,1.031215474703638,0.0
1.0,40.0,2.0,uu,1.0129765004436355,0.9387361686027176,1.0161106465877006,0.0
1.0,40.0,2.0,up,0.3398974281646175,0.38725197414184187,0.03370184934153997,0.0
1.0,40.0,2.0,pu,-0.33906884429035195,-0.3131166037501427,0.03370184934153997,0.0
1.0,40.0,2.0,pp,0.8257180333333656,0.8458892317375929,1.029182559339711,0.0
1.0,40.0,3.0,uu,0.9395889408095746,0.8695209696312342,1.0263049322842768,0.0
1.0,40.0,3.0,up,0.47186731929754,0.5213497527019875,0.02266379926965073,0.0
1.0,40.0,3.0,pu,-0.47108523600670493,-0.45086239129686273,0.02266379926965073,0.0
1.0,40.0,3.0,pp,0.6329046953572945,0.6385239934574081,1.003902603041318,0.0
1.0,40.0,4.0,uu,0.8458175116350471,0.7785105934323223,1.0310944987118256,0.0
1.0,40.0,4.0,up,0.5652549162561832,0.6140350904889834,0.005960332257041962,0.0
1.0,40.0,4.0,pu,-0.5645163671103043,-0.5526104797764615,0.005960332257041962,0.0
1.0,40.0,4.0,pp,0.40090011173283757,0.3896797825395201,0.9994625950831623,0.0
1.0,40.0,5.0,uu,0.7391034317856546,0.6730986012521954,1.0305567742154444,0.0
1.0,40.0,5.0,up,0.6152746859067116,0.6609111654718056,-0.007161151073578969,0.0
1.0,40.0,5.0,pu,-0.6145545455819454,-0.6110047383114433,-0.007161151073578969,0.0
1.0,40.0,5.0,pp,0.15493251031455232,0.1316928439640454,1.0097758852689154,0.0
1.0,40.0,6.0,uu,0.6273453082757401,0.5613129025187429,1.0258648822668917,0.0
