record,protocol,held_clone_index,training_clone_count,memory_order,bath_order,simulation_count,fit_source_seed,simulation_seed,fit_uses_held_clone,hyperparameter_selection_uses_held_folds,white_driving_distribution,thermodynamic_claim_allowed,var_spectral_radius,minimum_white_noise_covariance_eigenvalue,maximum_white_residual_lag_one_correlation,maximum_white_residual_correlation_through_40_frames,maximum_absolute_white_residual_excess_kurtosis,maximum_held_white_residual_correlation_through_40_frames,stationary_covariance_rmse,stationary_covariance_maximum_error,target_correlation_rmse,target_correlation_maximum_error,marginal_excess_kurtosis_maximum_error,minimum_terminal_variance_ratio,maximum_simulated_absolute_state,var_fit_source_count,innovation_time_count
held_clone,discovery_leave_one_clone_out_gaussian_markov_bath_scan,1.0,3.0,40.0,4.0,2000.0,20260717.0,20260717.0,0.0,1.0,gaussian,0.0,0.7213597035403211,4.5669651589710836e-05,0.0010757571319175792,0.028669974924585163,2.422163618013851,0.028052610144474677,0.07245343979134264,0.2504342536822588,0.0595562404537642,0.18057615867626528,0.3589510475344273,0.8785359013455641,5.894820965392158,576.0,960.0
held_clone,discovery_leave_one_clone_out_gaussian_markov_bath_scan,1.0,3.0,40.0,8.0,2000.0,20260717.0,20261717.0,0.0,1.0,gaussian,0.0,0.7350890108967723,4.566827316543588e-05,0.0003716275265502991,0.01656216178310335,2.4856251789454014,0.014389936237191378,0.0461743052903961,0.22061320026901865,0.0644747095372016,0.21594246890346827,0.3629861361249702,0.9568212932896306,5.334440991745259,576.0,960.0
held_clone,discovery_leave_one_clone_out_gaussian_markov_bath_scan,1.0,3.0,40.0,16.0,2000.0,20260717.0,20262717.0,0.0,1.0,gaussian,0.0,0.8642127885225425,4.567678787737671e-05,0.0003943622134441518,0.01013726390216766,2.4935227452231947,0.009754226084761898,0.029027220332883585,0.1550201923462018,0.055450717185362056,0.16964970577068206,0.3543569890744567,0.9854566002095451,5.1174362688896515,576.0,960.0
held_clone,discovery_leave_one_clone_out_gaussian_markov_bath_scan,1.0,3.0,40.0,40.0,2000.0,20260717.0,20263717.0,0.0,1.0,gaussian,0.0,0.9386649252737557,4.564920340918972e-05,0.0005761767663294149,0.00342710520596668,2.524228598453191,0.007546044136471537,0.034922581032373674,0.15114268661917007,0.05996635491158498,0.20363836074658798,0.35293048590695486,0.9365624912537432,4.973465240835875,576.0,960.0
held_clone,discovery_leave_one_clone_out_gaussian_markov_bath_scan,2.0,3.0,40.0,4.0,2000.0,20270717.0,20270717.0,0.0,1.0,gaussian,0.0,0.7219605143777708,4.5833596171320745e-05,0.0007009749656661263,0.028903018579373614,2.2371837720145766,0.02606410010566677,0.06046945161782141,0.23422869874711472,0.06234167272795369,0.21913113463274667,0.42995198634279763,0.9100118214695881,4.982638292067503,576.0,960.0
held_clone,discovery_leave_one_clone_out_gaussian_markov_bath_scan,2.0,3.0,40.0,8.0,2000.0,20270717.0,20271717.0,0.0,1.0,gaussian,0.0,0.7383492434586927,4.583783399300087e-05,0.00046652846801158924,0.016018343147222665,2.301493991856299,0.014915650887732768,0.03936555158661196,0.21638559258732615,0.05753003133066486,0.18983048109974524,0.4261785490951704,0.9482100757227385,4.970841966848932,576.0,960.0
held_clone,discovery_leave_one_clone_out_gaussian_markov_bath_scan,2.0,3.0,40.0,16.0,2000.0,20270717.0,20272717.0,0.0,1.0,gaussian,0.0,0.8616913130475518,4.583546742675852e-05,0.00025913091047980954,0.008891710724192961,2.3044465959676215,0.014402248290003578,0.028682447993322497,0.12153478276615681,0.05790246810311294,0.18714387605456845,0.4279604760379083,0.988264174011042,5.1043062003316395,576.0,960.0
held_clone,discovery_leave_one_clone_out_gaussian_markov_bath_scan,2.0,3.0,40.0,40.0,2000.0,20270717.0,20273717.0,0.0,1.0,gaussian,0.0,0.9371844606947511,4.584173604148614e-05,0.0005262625437659044,0.0032053443181420203,2.334273582365417,0.015243994889542001,0.038690915129078005,0.19454983918341417,0.061609106692994395,0.2125180213226673,0.4247414702897139,0.9219275138893945,5.241959845810465,576.0,960.0
held_clone,discovery_leave_one_clone_out_gaussian_markov_bath_scan,3.0,3.0,40.0,4.0,2000.0,20280717.0,20280717.0,0.0,1.0,gaussian,0.0,0.7214462954817825,4.555422705213081e-05,0.001430078773628209,0.028562496902512582,2.270515432885424,0.027540274062972315,0.08179745804230668,0.30859959638472456,0.047950340378855025,0.1495342301843977,0.3886100781263795,0.8850266510679617,5.10328402877007,576.0,960.0
held_clone,discovery_leave_one_clone_out_gaussian_markov_bath_scan,3.0,3.0,40.0,8.0,2000.0,20280717.0,20281717.0,0.0,1.0,gaussian,0.0,0.7444699572307103,4.5553522111591905e-05,0.0003343944405575898,0.016401253108740008,2.328718363549741,0.021826763696873877,0.06145226083687053,0.2577918704541975,0.04786955297516239,0.1518682601957842,0.384666761381121,0.9068622097590306,5.2497258485458085,576.0,960.0
