record,protocol,basis,memory_order,held_clone_index,training_clone_count,fit_uses_held_clone,hyperparameter_selection_uses_held_folds,resolved_variables,generator_definition,thermodynamic_claim_allowed,held_bias_correlation,maximum_noise_initial_state_correlation,gfd_operator_normalized_rmse,gfd_operator_shape_correlation,gfd_operator_maximum_absolute_error,held_target_correlation_extrapolation_rmse,held_target_correlation_extrapolation_maximum_error,lag_minus_correlation_condition_number
held_clone,discovery_leave_one_clone_out_memory_scan,relative_phase,1.0,1.0,3.0,0.0,1.0,"delta_u,p",exact_projected_relative_Ito_drift,0.0,0.7998562071711154,0.04327915418248965,0.05141202103315152,0.9999879230482538,0.0025453871859131144,0.09363122710580281,0.7206760165116051,1.1062442288917456
held_clone,discovery_leave_one_clone_out_memory_scan,relative_phase,1.0,2.0,3.0,0.0,1.0,"delta_u,p",exact_projected_relative_Ito_drift,0.0,0.7901066947591441,0.05498368984943792,0.0721817148874437,0.9999823992298947,0.0035604003568983356,0.09385578582310605,0.7294265047570909,1.1273033397789471
held_clone,discovery_leave_one_clone_out_memory_scan,relative_phase,1.0,3.0,3.0,0.0,1.0,"delta_u,p",exact_projected_relative_Ito_drift,0.0,0.8349593411739845,0.021016066652668322,0.005265953058419803,0.9999969100563749,0.00022079447655073275,0.08164541671516841,0.6627403995468635,1.0684435856293373
held_clone,discovery_leave_one_clone_out_memory_scan,relative_phase,1.0,4.0,3.0,0.0,1.0,"delta_u,p",exact_projected_relative_Ito_drift,0.0,0.813076130449032,0.06826274613162249,0.06577476071623743,0.999973509778014,0.00324569755230001,0.08923387762173286,0.7208483645223092,1.149749172992636
held_clone,discovery_leave_one_clone_out_memory_scan,relative_phase,4.0,1.0,3.0,0.0,1.0,"delta_u,p",exact_projected_relative_Ito_drift,0.0,0.7998562071711154,0.04405578822364167,0.06358394579468567,0.9998849169118734,0.0026048488875296365,0.07263940962553145,0.34713253220652357,1.1062442288917456
held_clone,discovery_leave_one_clone_out_memory_scan,relative_phase,4.0,2.0,3.0,0.0,1.0,"delta_u,p",exact_projected_relative_Ito_drift,0.0,0.7901066947591441,0.05759132518247051,0.08181711019493414,0.9999280806723341,0.003543542758392859,0.07286509005788369,0.3525820575008391,1.1273033397789471
held_clone,discovery_leave_one_clone_out_memory_scan,relative_phase,4.0,3.0,3.0,0.0,1.0,"delta_u,p",exact_projected_relative_Ito_drift,0.0,0.8349593411739845,0.02089264039958429,0.010691830977995177,0.9999752339389485,0.0005941095208407444,0.05817550630425648,0.2898969932525207,1.0684435856293373
held_clone,discovery_leave_one_clone_out_memory_scan,relative_phase,4.0,4.0,3.0,0.0,1.0,"delta_u,p",exact_projected_relative_Ito_drift,0.0,0.813076130449032,0.06820210646682401,0.07874949742589438,0.9998791538339773,0.003244874807114294,0.0675552420715819,0.3456051819869063,1.149749172992636
held_clone,discovery_leave_one_clone_out_memory_scan,relative_phase,16.0,1.0,3.0,0.0,1.0,"delta_u,p",exact_projected_relative_Ito_drift,0.0,0.7998562071711154,0.055024717068447505,0.10635851174424478,0.9982402921157487,0.002622554901722498,0.0678975339247096,0.234106630610058,1.1062442288917456
held_clone,discovery_leave_one_clone_out_memory_scan,relative_phase,16.0,2.0,3.0,0.0,1.0,"delta_u,p",exact_projected_relative_Ito_drift,0.0,0.7901066947591441,0.06068376564612897,0.12782327159981233,0.9977861270696745,0.0035611702999432115,0.06809560969950104,0.2554942763972386,1.1273033397789471
