record,protocol,basis,memory_order,held_clone_count,hyperparameter_selection_uses_held_folds,thermodynamic_claim_allowed,held_bias_correlation,maximum_held_bias_correlation,minimum_held_bias_correlation,maximum_noise_initial_state_correlation,maximum_maximum_noise_initial_state_correlation,minimum_maximum_noise_initial_state_correlation,gfd_operator_normalized_rmse,maximum_gfd_operator_normalized_rmse,minimum_gfd_operator_normalized_rmse,gfd_operator_shape_correlation,maximum_gfd_operator_shape_correlation,minimum_gfd_operator_shape_correlation,gfd_operator_maximum_absolute_error,maximum_gfd_operator_maximum_absolute_error,minimum_gfd_operator_maximum_absolute_error,held_target_correlation_extrapolation_rmse,maximum_held_target_correlation_extrapolation_rmse,minimum_held_target_correlation_extrapolation_rmse,held_target_correlation_extrapolation_maximum_error,maximum_held_target_correlation_extrapolation_maximum_error,minimum_held_target_correlation_extrapolation_maximum_error,lag_minus_correlation_condition_number,maximum_lag_minus_correlation_condition_number,minimum_lag_minus_correlation_condition_number,physical_representation_gate_pass,selected_basis,selected_memory_order,generator_coordinate_is_microscopic,generator_coordinate_memory_reduction_supported,discovery_matrix_mori_gfd_closure_supported,independent_validation_available,confirmatory_matrix_mori_gfd_closure_supported,projected_relative_generator_mori_representation_allowed,thermal_fdt_adjoint_audit_pass,physical_relative_generator_gle_allowed,orthogonal_noise_generation_closed,autonomous_single_particle_gle_allowed,complete_event_clock_closure_allowed,kramers_escape_claim_allowed
model_aggregate,discovery_leave_one_clone_out_memory_scan,relative_phase,1.0,4.0,1.0,0.0,0.809499593388319,0.8349593411739845,0.7901066947591441,0.04688541420405459,0.06826274613162249,0.021016066652668322,0.04865861242381311,0.0721817148874437,0.005265953058419803,0.9999851855281343,0.9999969100563749,0.999973509778014,0.002393069892915548,0.0035604003568983356,0.00022079447655073275,0.08959157681645252,0.09385578582310605,0.08164541671516841,0.7084228213344672,0.7294265047570909,0.6627403995468635,1.1129350818231665,1.149749172992636,1.0684435856293373,0.0,,,,,,,,,,,,,,
model_aggregate,discovery_leave_one_clone_out_memory_scan,relative_phase,4.0,4.0,1.0,0.0,0.809499593388319,0.8349593411739845,0.7901066947591441,0.04768546506813012,0.06820210646682401,0.02089264039958429,0.05871059609837734,0.08181711019493414,0.010691830977995177,0.9999168463392833,0.9999752339389485,0.9998791538339773,0.0024968439934693835,0.003543542758392859,0.0005941095208407444,0.06780881201481337,0.07286509005788369,0.05817550630425648,0.3338041912366974,0.3525820575008391,0.2898969932525207,1.1129350818231665,1.149749172992636,1.0684435856293373,0.0,,,,,,,,,,,,,,
model_aggregate,discovery_leave_one_clone_out_memory_scan,relative_phase,16.0,4.0,1.0,0.0,0.809499593388319,0.8349593411739845,0.7901066947591441,0.05119986866550446,0.06875144470233899,0.020339547245102358,0.10211077680890035,0.1422266260585222,0.032034697833022124,0.9979782293488711,0.9996331144856777,0.9962533837243838,0.0026863679831007417,0.0035611702999432115,0.0011988283794893261,0.06312089883730611,0.06809560969950104,0.05346179130373579,0.23266444638696843,0.2554942763972386,0.19374268726777566,1.1129350818231665,1.149749172992636,1.0684435856293373,0.0,,,,,,,,,,,,,,
model_aggregate,discovery_leave_one_clone_out_memory_scan,relative_phase,32.0,4.0,1.0,0.0,0.809499593388319,0.8349593411739845,0.7901066947591441,0.05259086268702472,0.06849115655124945,0.018974358566994885,0.135101952827214,0.1804257993321045,0.03624566142992354,0.995815936640438,0.9995535800455675,0.9939651078389624,0.0026999098665439402,0.0035841908269240233,0.0011619585192124,0.05994208148774048,0.06502396047154158,0.050618657360765644,0.1991803512871632,0.22911472990274478,0.16246651154799835,1.1129350818231665,1.149749172992636,1.0684435856293373,0.0,,,,,,,,,,,,,,
model_aggregate,discovery_leave_one_clone_out_memory_scan,relative_phase,40.0,4.0,1.0,0.0,0.809499593388319,0.8349593411739845,0.7901066947591441,0.05265155902237791,0.06785449364241206,0.020114527865601174,0.14755441755722298,0.1989965198025238,0.03838467200290632,0.9948383383942183,0.9995158276763815,0.9923168631803135,0.002678521625969014,0.0035383747568410243,0.0011543243361665165,0.058688529643736796,0.0638403380825804,0.04937043300955312,0.1871571507242769,0.2171538812402347,0.14639777830377274,1.1129350818231665,1.149749172992636,1.0684435856293373,0.0,,,,,,,,,,,,,,
model_aggregate,discovery_leave_one_clone_out_memory_scan,relative_phase_generator,1.0,4.0,1.0,0.0,0.809499593388319,0.8349593411739845,0.7901066947591441,0.02327111101568653,0.0311402441516283,0.01537282011851797,0.06299888215234352,0.07933144269015696,0.021979274160779386,0.9993069927396749,0.9998463844462616,0.9986923353407451,0.0037451071314387845,0.004968673613545242,0.0014572086276215604,0.06460642529102845,0.06868626253459151,0.056254734837088614,0.2562266338808129,0.27428392760703857,0.2488408766892411,3.996147655508746,4.124605650444728,3.9137276227358337,0.0,,,,,,,,,,,,,,
model_aggregate,discovery_leave_one_clone_out_memory_scan,relative_phase_generator,4.0,4.0,1.0,0.0,0.809499593388319,0.8349593411739845,0.7901066947591441,0.03772444840120419,0.04993092293041687,0.015599221016929852,0.06205184255068203,0.07860431684599127,0.021989714933565767,0.9993213441884706,0.9998400328213863,0.9986873731237925,0.003761261298361091,0.004975303979206307,0.001511909702271004,0.06370067620213293,0.06864199798559516,0.053963698953887335,0.23823636885404603,0.2580246388752138,0.1967291426701444,3.996147655508746,4.124605650444728,3.9137276227358337,0.0,,,,,,,,,,,,,,
model_aggregate,discovery_leave_one_clone_out_memory_scan,relative_phase_generator,16.0,4.0,1.0,0.0,0.809499593388319,0.8349593411739845,0.7901066947591441,0.03825593272999039,0.050060862161049366,0.01654192185844033,0.06761597934976774,0.0822460516049098,0.034097462779602114,0.999239018601309,0.9995716439456016,0.9986989528923506,0.0037565079085317317,0.004990192474211168,0.0015093155759812182,0.059476225854048576,0.06457690337969908,0.04967719755193231,0.19473428267005433,0.2272166377938092,0.15696844437220658,3.996147655508746,4.124605650444728,3.9137276227358337,0.0,,,,,,,,,,,,,,
model_aggregate,discovery_leave_one_clone_out_memory_scan,relative_phase_generator,32.0,4.0,1.0,0.0,0.809499593388319,0.8349593411739845,0.7901066947591441,0.038007822311946354,0.04927300497185419,0.01668639207780803,0.07145053503290855,0.08807785594803254,0.03942840207399369,0.9990069606291201,0.999361313966042,0.9983672438132475,0.003740251305183649,0.004989973219130486,0.0015662818110167703,0.055431514938910506,0.06081020214102694,0.04586217668054453,0.16993197738148863,0.20367383500334948,0.13280512415990078,3.996147655508746,4.124605650444728,3.9137276227358337,0.0,,,,,,,,,,,,,,
model_aggregate,discovery_leave_one_clone_out_memory_scan,relative_phase_generator,40.0,4.0,1.0,0.0,0.809499593388319,0.8349593411739845,0.7901066947591441,0.03767308834355302,0.049004335547051185,0.01578803601293883,0.07354637606468753,0.09059330562087162,0.0407252835128976,0.9989079896287243,0.9993055936937896,0.9982593400738904,0.0037603101992770022,0.005024020077665094,0.0015763166930484185,0.0530491993659598,0.058450341631291335,0.04366923267029289,0.1593000082593024,0.19296917237561745,0.12489636946950791,3.996147655508746,4.124605650444728,3.9137276227358337,1.0,,,,,,,,,,,,,,
