held_clone_index,innovation_block_length,lag_frames,correlation_component,observed_correlation,simulated_correlation,simulated_marginal_covariance,thermodynamic_claim_allowed
1.0,40.0,0.0,uu,1.0758700931852578,0.991027671951768,0.991027671951768,0.0
1.0,40.0,0.0,up,0.00045969715964446617,-0.023734104499057544,-0.023734104499057544,0.0
1.0,40.0,0.0,pu,0.00045969715964446617,-0.023734104499057544,-0.023734104499057544,0.0
1.0,40.0,0.0,pp,1.0083776010637144,1.077079563206745,1.077079563206745,0.0
1.0,40.0,1.0,uu,1.0597995682425545,0.9711370616810493,0.9854289915045525,0.0
1.0,40.0,1.0,up,0.17850588300308545,0.1658825016123019,-0.010775791057391652,0.0
1.0,40.0,1.0,pu,-0.1776311985359166,-0.19732396223279391,-0.010775791057391652,0.0
1.0,40.0,1.0,pp,0.9565207113071095,1.0124524808808646,1.0435607047114326,0.0
1.0,40.0,2.0,uu,1.0129765004436355,0.9220013989473554,0.9837064200133668,0.0
1.0,40.0,2.0,up,0.3398974281646175,0.336094966529778,-0.0015924216154478018,0.0
1.0,40.0,2.0,pu,-0.33906884429035195,-0.3438939989612453,-0.0015924216154478018,0.0
1.0,40.0,2.0,pp,0.8257180333333656,0.8649649622046894,0.9781686407453628,0.0
1.0,40.0,3.0,uu,0.9395889408095746,0.8486429038156517,0.9812345809572942,0.0
1.0,40.0,3.0,up,0.47186731929754,0.47382163684346285,-0.011815433305901214,0.0
1.0,40.0,3.0,pu,-0.47108523600670493,-0.460492462619228,-0.011815433305901214,0.0
1.0,40.0,3.0,pp,0.6329046953572945,0.6543236446586174,0.898490665486383,0.0
1.0,40.0,4.0,uu,0.8458175116350471,0.7583608169381196,0.9734490681353568,0.0
1.0,40.0,4.0,up,0.5652549162561832,0.5700152368038901,-0.029990564380850127,0.0
1.0,40.0,4.0,pu,-0.5645163671103043,-0.5353324288321872,-0.029990564380850127,0.0
1.0,40.0,4.0,pp,0.40090011173283757,0.41301360131151366,0.8456532291348156,0.0
1.0,40.0,5.0,uu,0.7391034317856546,0.6585606288840157,0.9579948751056176,0.0
1.0,40.0,5.0,up,0.6152746859067116,0.6205075261637361,-0.05646412969145762,0.0
1.0,40.0,5.0,pu,-0.6145545455819454,-0.5653363991008811,-0.05646412969145762,0.0
1.0,40.0,5.0,pp,0.15493251031455232,0.14426373143299087,0.8231712587873214,0.0
1.0,40.0,6.0,uu,0.6273453082757401,0.5568804211434232,0.9347073416261686,0.0
1.0,40.0,6.0,up,0.6216186379993176,0.6237433130119097,-0.06937053369716502,0.0
1.0,40.0,6.0,pu,-0.6209055008523284,-0.5591820395866764,-0.06937053369716502,0.0
1.0,40.0,6.0,pp,-0.08082976825359621,-0.10122897521156064,0.8510846726935161,0.0
1.0,40.0,7.0,uu,0.518120766354296,0.460004096347201,0.9123451661343215,0.0
1.0,40.0,7.0,up,0.5880424591040038,0.587058247663701,-0.05196990763857077,0.0
1.0,40.0,7.0,pu,-0.5873041157236883,-0.5116717468182663,-0.05196990763857077,0.0
1.0,40.0,7.0,pp,-0.2859716516874288,-0.3014590351129067,0.8867602609012598,0.0
1.0,40.0,8.0,uu,0.4180338777636759,0.37389820158142245,0.8998370314481745,0.0
1.0,40.0,8.0,up,0.5214707615540398,0.5186313951546188,-0.016821830288570892,0.0
1.0,40.0,8.0,pu,-0.5206851613313261,-0.4421285985719932,-0.016821830288570892,0.0
1.0,40.0,8.0,pp,-0.4457006422206087,-0.45027345828762844,0.9206105256565175,0.0
1.0,40.0,9.0,uu,0.33223371628929355,0.3020259954050442,0.9002973047820175,0.0
1.0,40.0,9.0,up,0.43094209106648007,0.4280441714830385,0.021909161290373666,0.0
1.0,40.0,9.0,pu,-0.4300782940484332,-0.3507591438336544,0.021909161290373666,0.0
1.0,40.0,9.0,pp,-0.551555886250404,-0.5499395143418967,0.931348907866563,0.0
1.0,40.0,10.0,uu,0.26414238856173977,0.24805515584296153,0.9152204166113007,0.0
1.0,40.0,10.0,up,0.32641685115744457,0.3244872356925181,0.059925492788234926,0.0
1.0,40.0,10.0,pu,-0.32547570538272913,-0.24684914266839256,0.059925492788234926,0.0
1.0,40.0,10.0,pp,-0.6013735831731787,-0.5942240241852811,0.924224291775148,0.0
1.0,40.0,11.0,uu,0.21538365169037,0.21220370286016016,0.941611938196484,0.0
1.0,40.0,11.0,up,0.21775997951491313,0.21805956699389573,0.08427335644411564,0.0
1.0,40.0,11.0,pu,-0.2167399706399408,-0.14961375561549478,0.08427335644411564,0.0
1.0,40.0,11.0,pp,-0.5983155342904005,-0.5807770512864717,0.898057689469114,0.0
1.0,40.0,12.0,uu,0.18588291243175017,0.19388723487913903,0.9734942925549974,0.0
1.0,40.0,12.0,up,0.11384613020525776,0.1182140618696109,0.09001334113904927,0.0
1.0,40.0,12.0,pu,-0.11277071117549758,-0.054117775380670925,0.09001334113904927,0.0
1.0,40.0,12.0,pp,-0.5499124089425589,-0.5223745965344742,0.8709131198869065,0.0
1.0,40.0,13.0,uu,0.17410142375911386,0.19165596752288463,1.004964279444958,0.0
1.0,40.0,13.0,up,0.02195934229532869,0.03208810338392519,0.08360859701781355,0.0
1.0,40.0,13.0,pu,-0.020858022265635268,0.026505881448825756,0.08360859701781355,0.0
1.0,40.0,13.0,pp,-0.46636296201634353,-0.4314256693585164,0.8480173609246306,0.0
1.0,40.0,14.0,uu,0.17736563144984033,0.20161179649829714,1.0309895411248935,0.0
1.0,40.0,14.0,up,-0.05265810737011963,-0.035258590823962675,0.05991056261493676,0.0
1.0,40.0,14.0,pu,0.05373123781439455,0.08745045240544755,0.05991056261493676,0.0
1.0,40.0,14.0,pp,-0.3598168509328852,-0.3146567842995495,0.8456208799309217,0.0
1.0,40.0,15.0,uu,0.1922584629786899,0.22122471593192347,1.0481176746079768,0.0
1.0,40.0,15.0,up,-0.10695637436526961,-0.08061024903731637,0.03413920571938955,0.0
1.0,40.0,15.0,pu,0.10799822545573905,0.12849608373203178,0.03413920571938955,0.0
1.0,40.0,15.0,pp,-0.24261246942297626,-0.1892297220567714,0.8648351066022396,0.0
1.0,40.0,16.0,uu,0.21500943480582976,0.24642552891792396,1.055790055756394,0.0
1.0,40.0,16.0,up,-0.14003837692775736,-0.10389762920195594,0.010921059440519045,0.0
1.0,40.0,16.0,pu,0.14106245659685382,0.14903188904490336,0.010921059440519045,0.0
1.0,40.0,16.0,pp,-0.126093578523153,-0.07352321032134386,0.8937960809150347,0.0
1.0,40.0,17.0,uu,0.24186245713394458,0.2733989672588814,1.055957891538453,0.0
1.0,40.0,17.0,up,-0.15292251231022577,-0.10767533040182177,-0.006767589793750433,0.0
1.0,40.0,17.0,pu,0.15393186360072952,0.15095020369352408,-0.006767589793750433,0.0
1.0,40.0,17.0,pp,-0.019793906728280297,0.028260528915735703,0.9246549936314694,0.0
1.0,40.0,18.0,uu,0.26939252327539426,0.29881337377868966,1.0522320462414434,0.0
1.0,40.0,18.0,up,-0.14817611620014073,-0.09450683294057866,-0.013722080541655439,0.0
1.0,40.0,18.0,pu,0.14917362740199577,0.13040179710905125,-0.013722080541655439,0.0
1.0,40.0,18.0,pp,0.0688454878683124,0.1119222649617545,0.965158052475645,0.0
1.0,40.0,19.0,uu,0.29474016324490304,0.3201163113986336,1.0481433770248418,0.0
1.0,40.0,19.0,up,-0.12942042405019416,-0.06936614515366286,-0.007892178034818693,0.0
1.0,40.0,19.0,pu,0.13040938559849385,0.1060859684192872,-0.007892178034818693,0.0
1.0,40.0,19.0,pp,0.13514353924604053,0.16614904700882036,0.9798463643326565,0.0
1.0,40.0,20.0,uu,0.315761818505259,0.33665138338799583,1.0471585981766223,0.0
1.0,40.0,20.0,up,-0.10093883737854999,-0.03711698665475404,0.004254848167623026,0.0
1.0,40.0,20.0,pu,0.10187184688452705,0.0766389213029783,0.004254848167623026,0.0
1.0,40.0,20.0,pp,0.1771630429787542,0.18972942128930123,0.9800756372918794,0.0
1.0,40.0,21.0,uu,0.33109837906418443,0.34703959559169006,1.0502228330056103,0.0
1.0,40.0,21.0,up,-0.0670718094043138,-0.0030489631314950297,0.01435503275316191,0.0
1.0,40.0,21.0,pu,0.06794504750643317,0.041402964970179944,0.01435503275316191,0.0
1.0,40.0,21.0,pp,0.1954412586762727,0.1851441969759787,0.967178859442626,0.0
1.0,40.0,22.0,uu,0.34015610618196745,0.35156106716141133,1.0552891057132066,0.0
1.0,40.0,22.0,up,-0.031889728116356444,0.027825888837664677,0.016188640404200687,0.0
1.0,40.0,22.0,pu,0.03270693742448148,0.010562047358912157,0.016188640404200687,0.0
1.0,40.0,22.0,pp,0.1925242988202696,0.15722947562546316,0.9465583878466913,0.0
1.0,40.0,23.0,uu,0.3430278868551961,0.35143430334178055,1.0604033042957628,0.0
1.0,40.0,23.0,up,0.0011341135006785368,0.05312982983274581,0.01155700525388697,0.0
1.0,40.0,23.0,pu,-0.00036176254898900444,-0.01276677061626252,0.01155700525388697,0.0
1.0,40.0,23.0,pp,0.17246791862372043,0.1220240542444047,0.923419856260162,0.0
1.0,40.0,24.0,uu,0.3403557343373305,0.3475415934317931,1.0621960174814837,0.0
1.0,40.0,24.0,up,0.029379232623981722,0.0712481187026962,0.0005803740468626676,0.0
1.0,40.0,24.0,pu,-0.028628675970897344,-0.029758884060622364,0.0005803740468626676,0.0
1.0,40.0,24.0,pp,0.14035979412877891,0.07749543341955915,0.9340849965154857,0.0
1.0,40.0,25.0,uu,0.33317065527118583,0.3406201042102558,1.0615287292181568,0.0
1.0,40.0,25.0,up,0.051165247548033005,0.08136734944159048,-0.00208186470669941,0.0
1.0,40.0,25.0,pu,-0.05040512009832842,-0.04417507112892079,-0.00208186470669941,0.0
1.0,40.0,25.0,pp,0.10146953906764392,0.03752296870159848,0.9574832419583403,0.0
1.0,40.0,26.0,uu,0.3227187929772666,0.3317686914603029,1.0616973068084345,0.0
1.0,40.0,26.0,up,0.065746564070452,0.08478827719283187,0.0020388317686529794,0.0
1.0,40.0,26.0,pu,-0.06494347759431085,-0.05119735618542679,0.0020388317686529794,0.0
1.0,40.0,26.0,pp,0.0607973279358131,0.0034258565216061638,0.9742671110000642,0.0
1.0,40.0,27.0,uu,0.3103029735000668,0.32173458090558005,1.0636439402233606,0.0
1.0,40.0,27.0,up,0.0731965764214124,0.08293121340096063,0.00717933259122281,0.0
1.0,40.0,27.0,pu,-0.07230660605043782,-0.057146477809006814,0.00717933259122281,0.0
1.0,40.0,27.0,pp,0.02254804232927874,-0.022044751804333865,0.990356951841288,0.0
1.0,40.0,28.0,uu,0.29714939234762777,0.3115632442332308,1.0658239802978227,0.0
1.0,40.0,28.0,up,0.07426296270293019,0.07725451214691983,0.005230032263679164,0.0
1.0,40.0,28.0,pu,-0.0732392812252089,-0.055283403653473964,0.005230032263679164,0.0
1.0,40.0,28.0,pp,-0.010201116710687175,-0.04011621984776428,0.9962070291461079,0.0
1.0,40.0,29.0,uu,0.28430852074693386,0.30164737644973444,1.0684682862778538,0.0
1.0,40.0,29.0,up,0.0701130879622734,0.06966670521227891,0.008321873389398512,0.0
1.0,40.0,29.0,pu,-0.06894208992511527,-0.05053898784279288,0.008321873389398512,0.0
1.0,40.0,29.0,pp,-0.035371334211355215,-0.04563645874849442,0.9829835080445475,0.0
1.0,40.0,30.0,uu,0.2725904784868913,0.29290512175302863,1.0700215301617244,0.0
1.0,40.0,30.0,up,0.06219631345577359,0.060367013615755034,-0.0015488481646669004,0.0
1.0,40.0,30.0,pu,-0.06086896021598641,-0.04621428994075947,-0.0015488481646669004,0.0
1.0,40.0,30.0,pp,-0.0521022372221113,-0.05415586186966083,0.9889957616646149,0.0
1.0,40.0,31.0,uu,0.26253556219568014,0.28514463105845556,1.067030889063522,0.0
1.0,40.0,31.0,up,0.05200576614391703,0.05081732402316356,-0.010444770822381282,0.0
1.0,40.0,31.0,pu,-0.05053193618402162,-0.040576951607812425,-0.010444770822381282,0.0
1.0,40.0,31.0,pp,-0.06079518800477339,-0.05211680030012367,0.9946417588513587,0.0
1.0,40.0,32.0,uu,0.254423979110264,0.2778495209344689,1.0607963676232641,0.0
1.0,40.0,32.0,up,0.040912419423865226,0.04227591734526898,-0.02440447575098782,0.0
1.0,40.0,32.0,pu,-0.03932442218010403,-0.0395913135431334,-0.02440447575098782,0.0
1.0,40.0,32.0,pp,-0.06234959547438548,-0.043344471474918704,0.9989175008443899,0.0
1.0,40.0,33.0,uu,0.2483021215204155,0.27051266146525954,1.0512886513459938,0.0
1.0,40.0,33.0,up,0.030076332395209862,0.035598150556006965,-0.02536589028855369,0.0
1.0,40.0,33.0,pu,-0.028407824106420825,-0.03733758615050381,-0.02536589028855369,0.0
1.0,40.0,33.0,pp,-0.058250213466998595,-0.032457576022930514,0.9983364955487901,0.0
1.0,40.0,34.0,uu,0.24403651595582884,0.26378508605821854,1.041102889464722,0.0
