held_clone_index,lag_frames,lag_time,kernel,observed_random_force_correlation,fdt_target_force_correlation,thermodynamic_claim_allowed
1.0,0.0,0.0,827.8056961062966,139.66681433209047,181.63750948696145,0.0
1.0,1.0,0.01,974.8723876422788,132.21907739288434,213.90695110198126,0.0
1.0,2.0,0.02,-95.77588925809339,120.64970237423368,-21.01519000843558,0.0
1.0,3.0,0.03,831.86935368516,98.87594060004942,182.52915911622154,0.0
1.0,4.0,0.04,-229.85980009263642,79.59665939969982,-50.435943865063884,0.0
1.0,5.0,0.05,692.421856270096,56.94258603841659,151.93152460633613,0.0
1.0,6.0,0.06,-328.1067982979535,41.730520633355205,-71.99334574393703,0.0
1.0,7.0,0.07,604.3672213177118,26.14710671087814,132.61053579608173,0.0
1.0,8.0,0.08,-375.76156207221146,18.860672656355256,-82.44977609692918,0.0
1.0,9.0,0.09,559.7066029493664,10.982171942182674,122.81108221569436,0.0
1.0,10.0,0.1,-390.4179474485156,10.252195532093875,-85.66568696871323,0.0
1.0,11.0,0.11,536.2030885490185,7.7533554261286515,117.65393019324448,0.0
1.0,12.0,0.12,-393.81726820247184,11.018415973618977,-86.41156750396468,0.0
1.0,13.0,0.13,523.0313163154258,11.482339562948443,114.7637738252795,0.0
1.0,14.0,0.14,-389.9595381843881,16.604815218908268,-85.56510259552819,0.0
1.0,15.0,0.15,512.8359065749532,18.16285073034741,112.52669229495291,0.0
1.0,16.0,0.16,-379.6830291923256,23.490499036022264,-83.3102262298322,0.0
1.0,17.0,0.17,506.6894711441137,24.664967819993432,111.1780385841469,0.0
1.0,18.0,0.18,-370.0222288607246,28.897071712668676,-81.19044894376545,0.0
1.0,19.0,0.19,501.5582835906586,28.60527077608787,110.05215103311416,0.0
1.0,20.0,0.2,-361.5910867499242,30.963970934083445,-79.34048383439298,0.0
1.0,21.0,0.21,493.60491699401473,28.823713244078885,108.30701964848342,0.0
1.0,22.0,0.22,-357.31874501027767,29.38163298852842,-78.403044629859,0.0
1.0,23.0,0.23,481.67221313575413,25.90992811214601,105.6887402376812,0.0
1.0,24.0,0.24,-354.28692723350736,25.53081717754541,-77.73780176818128,0.0
1.0,25.0,0.25,469.06789358528937,21.7535038492143,102.92309460043464,0.0
1.0,26.0,0.26,-351.3889587704616,21.441142844123547,-77.10192818495362,0.0
1.0,27.0,0.27,456.6347367061484,18.21209276735866,100.19500555585543,0.0
1.0,28.0,0.28,-348.7547110402828,18.594310635207165,-76.52392032715323,0.0
1.0,29.0,0.29,446.7692984735933,16.268459869057722,98.03032652672171,0.0
1.0,30.0,0.3,-342.58825291759103,17.446610288876133,-75.17087322802146,0.0
1.0,31.0,0.31,437.75150115087155,15.911561741423997,96.05163725886355,0.0
1.0,32.0,0.32,-337.26029997319404,17.613531580051486,-74.00181132371713,0.0
1.0,33.0,0.33,431.51932331312213,16.50769051427741,94.68416990939598,0.0
1.0,34.0,0.34,-331.33517398866104,18.347894641681584,-72.70171743418578,0.0
1.0,35.0,0.35000000000000003,424.0996016662481,17.32930575511755,93.05613114696199,0.0
1.0,36.0,0.36,-323.69109566030454,19.05697512930117,-71.0244502247226,0.0
1.0,37.0,0.37,417.7808343755261,17.974045963472737,91.66966429959322,0.0
1.0,38.0,0.38,-316.3130231846524,19.52522181644029,-69.40555014274048,0.0
1.0,39.0,0.39,412.23012997193035,18.360313935088865,90.45172616687712,0.0
1.0,40.0,0.4,-309.9635770723582,19.74383650789491,-68.0123517341242,0.0
1.0,41.0,0.41000000000000003,406.19593194490994,18.51071573331376,89.12769963923364,0.0
1.0,42.0,0.42,-303.6664673831584,19.726210627329703,-66.63063700771865,0.0
1.0,43.0,0.43,398.25140371862756,18.41302564027326,87.38450757392378,0.0
1.0,44.0,0.44,-299.1898811681436,19.449922376416414,-65.64838238574205,0.0
1.0,45.0,0.45,390.8280074609267,18.04441872399488,85.75566252667917,0.0
1.0,46.0,0.46,-296.05932134267954,18.89267011935448,-64.96147349797788,0.0
1.0,47.0,0.47000000000000003,383.27281651520497,17.399140576150977,84.09789902790865,0.0
1.0,48.0,0.48,-290.99115225246396,18.108691947923408,-63.849413487355115,0.0
1.0,49.0,0.49,376.35172371112634,16.640565053380268,82.57926963725085,0.0
1.0,50.0,0.5,-284.2805598516658,17.3819189055834,-62.37697219274171,0.0
1.0,51.0,0.51,368.70070106429534,16.112400026553125,80.90047870220964,0.0
1.0,52.0,0.52,-278.1495791790084,16.99610918843606,-61.03170957213854,0.0
1.0,53.0,0.53,363.7760673497316,15.933409569896387,79.819913290234,0.0
1.0,54.0,0.54,-272.2938747699372,16.878191398704406,-59.74684819686849,0.0
1.0,55.0,0.55,358.72658923253533,15.900846392117378,78.71195446157348,0.0
1.0,56.0,0.56,-266.2534445583236,16.79562296220582,-58.421454200393256,0.0
1.0,57.0,0.5700000000000001,352.9951041570897,15.834292837210217,77.45434935005713,0.0
1.0,58.0,0.58,-263.3130970859625,16.661807658307914,-57.77628179530102,0.0
1.0,59.0,0.59,346.14913032342133,15.735280970301412,75.9522025987007,0.0
1.0,60.0,0.6,-259.2395359158709,16.526159216630735,-56.88245911546381,0.0
1.0,61.0,0.61,339.5591470023483,15.656170389610956,74.50622540425697,0.0
1.0,62.0,0.62,-256.20530724368973,16.40857894855595,-56.21668725399773,0.0
1.0,63.0,0.63,331.4257192240055,15.57084448751753,72.72158491168832,0.0
1.0,64.0,0.64,-253.07273674952407,16.25414827367082,-55.5293371843752,0.0
1.0,65.0,0.65,324.48641488690174,15.430942937448679,71.198959538014,0.0
1.0,66.0,0.66,-249.5662274913157,16.045658807136185,-54.75993729784415,0.0
1.0,67.0,0.67,318.20142322198444,15.262412992997099,69.81990375411262,0.0
1.0,68.0,0.68,-245.08204188564926,15.858851223824775,-53.77601521404884,0.0
1.0,69.0,0.6900000000000001,312.41932843464195,15.174751303578379,68.55119383615674,0.0
1.0,70.0,0.7000000000000001,-240.27498568088518,15.809476906221258,-52.72124871376485,0.0
1.0,71.0,0.71,308.8349111226506,15.27143846721788,67.76469932835808,0.0
1.0,72.0,0.72,-236.35625671727226,15.979017426529294,-51.86139938843033,0.0
1.0,73.0,0.73,304.4129989369431,15.603870065724992,66.79444130723083,0.0
1.0,74.0,0.74,-232.03367999954546,16.378865954109358,-50.91293760172452,0.0
1.0,75.0,0.75,300.39806058300934,16.12897317683373,65.91348167288378,0.0
1.0,76.0,0.76,-227.15124855360315,16.898684042583294,-49.84163223108848,0.0
1.0,77.0,0.77,295.41534065948167,16.66207673453483,64.82017095801716,0.0
1.0,78.0,0.78,-223.55997242902615,17.28635393134625,-49.05363275945354,0.0
1.0,79.0,0.79,291.57235293974867,16.911446653900633,63.97694081151712,0.0
1.0,80.0,0.8,-219.5210686597288,17.251557836686075,-48.16741462256062,0.0
1.0,81.0,0.81,286.28999693068334,16.651844923494636,62.817883807895214,0.0
1.0,82.0,0.8200000000000001,-216.2021954334936,16.703605103495292,-47.439185921125215,0.0
1.0,83.0,0.8300000000000001,281.4730066140756,15.95846218079229,61.76093756018651,0.0
1.0,84.0,0.84,-211.75862902150362,15.86027698890607,-46.4641765196314,0.0
1.0,85.0,0.85,276.792995614356,15.128156371049695,60.7340473776726,0.0
1.0,86.0,0.86,-206.81396524606654,15.021504757175967,-45.37921610241598,0.0
1.0,87.0,0.87,272.1927944280683,14.409780519722254,59.72466910140984,0.0
1.0,88.0,0.88,-203.76866323471592,14.36931781519672,-44.71101452373738,0.0
1.0,89.0,0.89,267.3421870355277,13.925049893354618,58.660346579320084,0.0
1.0,90.0,0.9,-198.87770557275564,13.965903436086887,-43.637838326831194,0.0
1.0,91.0,0.91,261.0132886765969,13.66302199528332,57.27165676826968,0.0
1.0,92.0,0.92,-195.39993577107717,13.70893348050245,-42.87474446517126,0.0
1.0,93.0,0.93,253.68011646679167,13.437670425585166,55.66260872342875,0.0
1.0,94.0,0.9400000000000001,-191.00467044310835,13.370708004403205,-41.91033330991855,0.0
1.0,95.0,0.9500000000000001,248.29432478861037,13.017114016319237,54.48085581735206,0.0
1.0,96.0,0.96,-188.28000720489018,12.728097778660906,-41.31248643944102,0.0
1.0,97.0,0.97,246.46928805900774,12.205681834913138,54.080405412327686,0.0
1.0,98.0,0.98,-184.58947081457268,11.664425071755495,-40.50270723429503,0.0
1.0,99.0,0.99,242.43073787694766,11.017942781281265,53.19426485971023,0.0
2.0,0.0,0.0,826.6144943251952,139.058865524102,181.79749700530195,0.0
2.0,1.0,0.01,969.9093284417248,131.4428645879027,213.31235956217185,0.0
2.0,2.0,0.02,-95.61146880913338,120.01952428010702,-21.02785014517637,0.0
2.0,3.0,0.03,828.4606720154694,98.13906561356644,182.2035272472382,0.0
2.0,4.0,0.04,-228.58191226800875,79.14657114886656,-50.27206732557158,0.0
2.0,5.0,0.05,689.4764935785081,56.58652141202772,151.63670808711151,0.0
2.0,6.0,0.06,-326.53237345972775,41.88419337011288,-71.81433255007178,0.0
2.0,7.0,0.07,601.5500016707672,26.591907253801068,132.2990165041283,0.0
2.0,8.0,0.08,-374.65459422404734,19.92823722041573,-82.39786253333403,0.0
2.0,9.0,0.09,557.2407503579369,12.321177367293318,122.55407368235096,0.0
2.0,10.0,0.1,-390.7861517111106,12.051300303579495,-85.94567931380233,0.0
2.0,11.0,0.11,535.0260846377454,9.56897322698963,117.66839764779608,0.0
2.0,12.0,0.12,-394.6844774725281,12.992310967861444,-86.80303890621492,0.0
2.0,13.0,0.13,522.7742509227405,13.193265762672683,114.97384932036644,0.0
2.0,14.0,0.14,-389.39699938568305,18.259701448933054,-85.64016275504905,0.0
2.0,15.0,0.15,513.259435632149,19.43469021764035,112.88125402210784,0.0
2.0,16.0,0.16,-380.3315542992902,24.68311191149723,-83.64639753890602,0.0
2.0,17.0,0.17,508.2292039512554,25.536003778169157,111.7749541263024,0.0
2.0,18.0,0.18,-371.0963729248191,29.79283069310924,-81.61530218575784,0.0
2.0,19.0,0.19,501.67116630939444,29.29264522440823,110.3326435489514,0.0
2.0,20.0,0.2,-363.7827786110025,31.754144881397238,-80.00682187299793,0.0
2.0,21.0,0.21,492.9570486779633,29.431713655652686,108.41614585277054,0.0
2.0,22.0,0.22,-360.29761114734237,30.061881127650807,-79.24032827061444,0.0
2.0,23.0,0.23,480.1981135420233,26.337444315772146,105.61007060476699,0.0
2.0,24.0,0.24,-358.4510434998229,25.930239168365294,-78.83421226530042,0.0
2.0,25.0,0.25,466.8265815188502,21.808405627550844,102.66926679642877,0.0
2.0,26.0,0.26,-356.7714089466558,21.39921696779228,-78.46480989001464,0.0
2.0,27.0,0.27,455.0986862795177,17.801629367777185,100.0899483665099,0.0
2.0,28.0,0.28,-354.70728079595455,18.11985777727775,-78.01084575815894,0.0
2.0,29.0,0.29,444.7884441175607,15.545550940117211,97.82241467162537,0.0
2.0,30.0,0.3,-347.5504178179452,16.843240708825967,-76.43683540055667,0.0
2.0,31.0,0.31,436.63045801474453,15.300932100392691,96.0282270977591,0.0
2.0,32.0,0.32,-341.60145057818687,17.379189970051897,-75.12847780293495,0.0
2.0,33.0,0.33,430.6684385613389,16.514663199045284,94.7169989240856,0.0
2.0,34.0,0.34,-335.02607960849497,18.92744463431075,-73.68235510320277,0.0
2.0,35.0,0.35000000000000003,423.2109144078352,18.281380201594672,93.07686409186212,0.0
2.0,36.0,0.36,-327.4733474685533,20.62337750199082,-72.02128115879559,0.0
2.0,37.0,0.37,417.49647076066395,19.871212239260007,91.82008531654961,0.0
2.0,38.0,0.38,-320.6515387763476,21.897926745914162,-70.52095935969088,0.0
2.0,39.0,0.39,411.33964179262284,20.8517841927037,90.46601264595927,0.0
2.0,40.0,0.4,-314.25791161429197,22.40598422596685,-69.1148076132281,0.0
2.0,41.0,0.41000000000000003,404.6484613591708,20.935996220046565,88.99441994686745,0.0
2.0,42.0,0.42,-309.3556726699782,21.95204006886407,-68.0366571864978,0.0
2.0,43.0,0.43,396.5942946730658,20.09243144291983,87.22306539882906,0.0
2.0,44.0,0.44,-306.22083988964556,20.71650462938211,-67.34721276360526,0.0
2.0,45.0,0.45,389.50748748454157,18.708968325386778,85.66446242552331,0.0
2.0,46.0,0.46,-302.44483213095555,19.246110001783798,-66.51675459487589,0.0
2.0,47.0,0.47000000000000003,383.1258951160977,17.41044088847038,84.26095749371308,0.0
2.0,48.0,0.48,-297.0732732497242,18.14733216902733,-65.33538653717973,0.0
2.0,49.0,0.49,376.54422476392267,16.692056695297268,82.81344936948618,0.0
2.0,50.0,0.5,-290.0173294692812,17.73054304050927,-63.78357135960794,0.0
2.0,51.0,0.51,368.50421604955824,16.652269878100036,81.04520858710613,0.0
2.0,52.0,0.52,-283.76372896004256,17.905231335106397,-62.40821570391167,0.0
2.0,53.0,0.53,363.4267904311743,17.060216628716248,79.92852931885022,0.0
2.0,54.0,0.54,-277.40021692340673,18.374782176373465,-61.008687183222094,0.0
2.0,55.0,0.55,358.2603331446739,17.629571992041402,78.79226929737874,0.0
2.0,56.0,0.56,-272.1070295555255,18.898779521316044,-59.84455538869501,0.0
2.0,57.0,0.5700000000000001,351.976591720625,18.15674149738293,77.41028474404328,0.0
2.0,58.0,0.58,-268.32116016144346,19.29056127564858,-59.011928348450624,0.0
2.0,59.0,0.59,345.6619646063869,18.45931828404056,76.02150749446523,0.0
2.0,60.0,0.6,-264.3616477373262,19.373711679327396,-58.14111196063306,0.0
2.0,61.0,0.61,339.8998501118125,18.410471291694233,74.7542444598063,0.0
2.0,62.0,0.62,-259.61135518066123,19.11065879143783,-57.096379134420516,0.0
2.0,63.0,0.63,332.8042108803044,18.06015414968469,73.19369905345718,0.0
2.0,64.0,0.64,-255.01517966273866,18.62613022251205,-56.085541300470496,0.0
2.0,65.0,0.65,327.282106318583,17.589698219632847,71.97922145305887,0.0
2.0,66.0,0.66,-251.63584750612276,18.132510606535693,-55.34232407909353,0.0
2.0,67.0,0.67,322.5835860934851,17.20724049343466,70.94587492645474,0.0
2.0,68.0,0.68,-246.5207304557451,17.797071493622667,-54.21735532638985,0.0
2.0,69.0,0.6900000000000001,316.7837128238973,17.008900001529454,69.67030759658378,0.0
2.0,70.0,0.7000000000000001,-241.8873741429316,17.613461295694425,-53.19834031251588,0.0
2.0,71.0,0.71,311.9419094375311,16.883363510032428,68.60544877463468,0.0
2.0,72.0,0.72,-239.61061650847904,17.40631564056877,-52.69761253424352,0.0
2.0,73.0,0.73,307.73344378767734,16.646045844797577,67.67988005229964,0.0
2.0,74.0,0.74,-237.13417459169338,17.031994539696683,-52.15296815038454,0.0
2.0,75.0,0.75,302.76286383726847,16.231245678228365,66.5866993739391,0.0
2.0,76.0,0.76,-233.53372551924812,16.50406283025306,-51.36112063989545,0.0
2.0,77.0,0.77,297.2061789538492,15.706905440567203,65.364616516225,0.0
2.0,78.0,0.78,-230.59443997563096,15.924648909567617,-50.71468296128967,0.0
2.0,79.0,0.79,292.03180122512606,15.202120784100138,64.22661455025442,0.0
2.0,80.0,0.8,-227.6892023554058,15.443022663929826,-50.07573344952996,0.0
2.0,81.0,0.81,284.9767941597512,14.86825230736372,62.675005384621656,0.0
2.0,82.0,0.8200000000000001,-223.81100038031178,15.19960264748587,-49.222799685613,0.0
2.0,83.0,0.8300000000000001,279.07854287831447,14.828766100715516,61.37780175822158,0.0
2.0,84.0,0.84,-220.98499974448183,15.285428195182416,-48.60127678024865,0.0
2.0,85.0,0.85,274.8537785141839,15.130287258451007,60.448648456278654,0.0
2.0,86.0,0.86,-216.70566612439853,15.709762745638864,-47.6601220505377,0.0
2.0,87.0,0.87,270.02743030463415,15.748263872112082,59.387188694569005,0.0
2.0,88.0,0.88,-212.3043509051447,16.39941103520132,-46.6921398824475,0.0
2.0,89.0,0.89,265.9111744467295,16.55039651987604,58.4818996908825,0.0
2.0,90.0,0.9,-207.0617851754596,17.17448379892863,-45.539141315297314,0.0
2.0,91.0,0.91,260.307741551715,17.327526039919434,57.249535533292445,0.0
2.0,92.0,0.92,-203.26842159220732,17.807241327141874,-44.70486607647598,0.0
2.0,93.0,0.93,254.5101219898596,17.85001769955983,55.974463861830024,0.0
2.0,94.0,0.9400000000000001,-198.91660061842407,18.087536479353076,-43.74776918804696,0.0
2.0,95.0,0.9500000000000001,249.54727239813263,17.925790608861433,54.88298332285606,0.0
2.0,96.0,0.96,-195.2762507594695,17.815105454828846,-42.94714628931372,0.0
2.0,97.0,0.97,246.32123261245664,17.3458267996888,54.17347972438095,0.0
2.0,98.0,0.98,-191.52799209626647,16.81215102687012,-42.12279098490423,0.0
2.0,99.0,0.99,242.2086183518294,16.021925883067734,53.26899161793818,0.0
3.0,0.0,0.0,830.882231507408,139.10789595680677,182.39387260980402,0.0
3.0,1.0,0.01,983.2220253703147,131.62434505548813,215.8352484168483,0.0
3.0,2.0,0.02,-94.77206350995255,120.18893021106405,-20.804204282286932,0.0
3.0,3.0,0.03,840.0961469661831,98.48455490800339,184.4164958633744,0.0
3.0,4.0,0.04,-227.50437170940947,79.4006841381338,-49.941377752726154,0.0
3.0,5.0,0.05,700.9323666688725,56.82723842887528,153.8674964349035,0.0
3.0,6.0,0.06,-326.8990593829432,41.7691765774065,-71.76033273113231,0.0
3.0,7.0,0.07,611.5903672926078,26.16466833359555,134.25529071547678,0.0
