record,held_clone_index,lag_frames,lag_time,observed_uu_correlation,predicted_uu_correlation,observed_pp_correlation,predicted_pp_correlation,observed_up_correlation,predicted_up_correlation,thermodynamic_claim_allowed,radial_bin_index,sample_count,mean_radius,observed_conditional_radial_force,pmf_predicted_radial_force,temperature_naive_radial_force
correlation,1.0,1.0,0.01,0.9880412827374486,0.9878878214507288,0.9485739770131705,0.9779779945789319,-0.15311475645938885,-0.15465213628603514,0.0,,,,,,
correlation,1.0,2.0,0.02,0.9532817546138291,0.9520050645128328,0.8188580666422901,0.9325236746227951,-0.2914705442694338,-0.3040253481006768,0.0,,,,,,
correlation,1.0,4.0,0.04,0.8292625420116809,0.813882230570345,0.3975696973166409,0.7771689914442627,-0.48462220040465503,-0.5729445059214386,0.0,,,,,,
correlation,1.0,8.0,0.08,0.5119669940123751,0.3341388783725987,-0.4419972354268331,0.275726234396931,-0.44678821741132096,-0.9115840562928605,0.0,,,,,,
correlation,1.0,16.0,0.16,0.36145070653965916,-0.7193367016472467,-0.12504559487405573,-0.7549605353526336,0.1204141368898177,-0.5559433132899506,0.0,,,,,,
correlation,1.0,32.0,0.32,0.390866568605585,0.2083723227449317,-0.061831405591206555,0.2608924423481269,-0.03419886215485334,0.8196256907119331,0.0,,,,,,
correlation,1.0,64.0,0.64,0.3648895818257718,-0.6283672479888955,-0.003461110941404435,-0.6037214064006428,-0.0011762072657566511,0.3846214572161713,0.0,,,,,,
correlation,1.0,100.0,1.0,0.3462448226848182,-0.6007272123642857,0.000911145920372468,-0.6049974420138565,0.0007085954888073951,-0.06664093593981732,0.0,,,,,,
radial_force,1.0,,,,,,,,,0.0,0.0,108.0,0.008220999741230972,-2.3225890663432947,-2.002185662032426,-5.2924310965121935
radial_force,1.0,,,,,,,,,0.0,1.0,175.0,0.00925152630531137,-1.9464898216041904,-2.253165539892921,-5.9558529436346825
radial_force,1.0,,,,,,,,,0.0,2.0,183.0,0.01026083647384129,-1.751730525097612,-2.498978264814811,-6.605616316714886
radial_force,1.0,,,,,,,,,0.0,3.0,256.0,0.011275822676855122,-2.1023729835153766,-2.746173361129306,-7.259033749198213
radial_force,1.0,,,,,,,,,0.0,4.0,268.0,0.0123111524555889,-0.9364320038969455,-2.9983230392347076,-7.9255477607039815
radial_force,1.0,,,,,,,,,0.0,5.0,314.0,0.013358546559360758,-3.0511010193321226,-3.2534109267274895,-8.599828419941137
radial_force,1.0,,,,,,,,,0.0,6.0,378.0,0.014371850850953464,-3.2658731865664854,-3.500196401458456,-9.252163088699014
radial_force,1.0,,,,,,,,,0.0,7.0,378.0,0.015428666821504526,-4.924937517033967,-3.7575789401090884,-9.93250926092717
