temperature,replicate,source_doi,source_sha256,source_frame_index,velocity_seed,equilibration_time_tau,production_time_tau,independence_wave_number,maximum_absolute_initial_fs,independence_class,independently_prepared_parent_samples,simulation_engine,ensemble,thermostat,timestep_tau,saved_frame_interval_tau,potential,thermodynamic_claim_allowed
0.7,1,10.5281/zenodo.7469766,06bb4ed9c586ab1befe594741d7a28d3d0555a0cddb8143add97df19f87b2426,1000,70117,100.0,1000.0,7.25,0.01935182197556763,decorrelated_parent_frames_plus_velocity_seeds,False,LAMMPS_22Jul2025_update4,NVT,Nose_Hoover_tau_10,0.001,1.0,standard_80_20_Kob_Andersen_LJ_shifted_at_2p5_sigma,False
0.7,2,10.5281/zenodo.7469766,06bb4ed9c586ab1befe594741d7a28d3d0555a0cddb8143add97df19f87b2426,2000,70139,100.0,1000.0,7.25,0.01935182197556763,decorrelated_parent_frames_plus_velocity_seeds,False,LAMMPS_22Jul2025_update4,NVT,Nose_Hoover_tau_10,0.001,1.0,standard_80_20_Kob_Andersen_LJ_shifted_at_2p5_sigma,False
0.7,3,10.5281/zenodo.7469766,06bb4ed9c586ab1befe594741d7a28d3d0555a0cddb8143add97df19f87b2426,3000,70157,100.0,1000.0,7.25,0.01935182197556763,decorrelated_parent_frames_plus_velocity_seeds,False,LAMMPS_22Jul2025_update4,NVT,Nose_Hoover_tau_10,0.001,1.0,standard_80_20_Kob_Andersen_LJ_shifted_at_2p5_sigma,False
0.7,4,10.5281/zenodo.7469766,06bb4ed9c586ab1befe594741d7a28d3d0555a0cddb8143add97df19f87b2426,4000,70181,100.0,1000.0,7.25,0.01935182197556763,decorrelated_parent_frames_plus_velocity_seeds,False,LAMMPS_22Jul2025_update4,NVT,Nose_Hoover_tau_10,0.001,1.0,standard_80_20_Kob_Andersen_LJ_shifted_at_2p5_sigma,False
0.7,5,10.5281/zenodo.7469766,06bb4ed9c586ab1befe594741d7a28d3d0555a0cddb8143add97df19f87b2426,5000,70201,100.0,1000.0,7.25,0.01935182197556763,decorrelated_parent_frames_plus_velocity_seeds,False,LAMMPS_22Jul2025_update4,NVT,Nose_Hoover_tau_10,0.001,1.0,standard_80_20_Kob_Andersen_LJ_shifted_at_2p5_sigma,False
0.58,1,10.5281/zenodo.7469766,bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,3000,58117,100.0,1500.0,7.25,0.03039136139820301,decorrelated_parent_frames_plus_velocity_seeds,False,LAMMPS_22Jul2025_update4,NVT,Nose_Hoover_tau_10,0.001,1.0,standard_80_20_Kob_Andersen_LJ_shifted_at_2p5_sigma,False
0.58,2,10.5281/zenodo.7469766,bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,8000,58139,100.0,1500.0,7.25,0.03039136139820301,decorrelated_parent_frames_plus_velocity_seeds,False,LAMMPS_22Jul2025_update4,NVT,Nose_Hoover_tau_10,0.001,1.0,standard_80_20_Kob_Andersen_LJ_shifted_at_2p5_sigma,False
0.58,3,10.5281/zenodo.7469766,bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,13000,58157,100.0,1500.0,7.25,0.03039136139820301,decorrelated_parent_frames_plus_velocity_seeds,False,LAMMPS_22Jul2025_update4,NVT,Nose_Hoover_tau_10,0.001,1.0,standard_80_20_Kob_Andersen_LJ_shifted_at_2p5_sigma,False
0.58,4,10.5281/zenodo.7469766,bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,18000,58181,100.0,1500.0,7.25,0.03039136139820301,decorrelated_parent_frames_plus_velocity_seeds,False,LAMMPS_22Jul2025_update4,NVT,Nose_Hoover_tau_10,0.001,1.0,standard_80_20_Kob_Andersen_LJ_shifted_at_2p5_sigma,False
0.58,5,10.5281/zenodo.7469766,bb7c44837f223a7c124129fcc96ecae4631ac0fac4f80145c0be192aa6391e70,23000,58201,100.0,1500.0,7.25,0.03039136139820301,decorrelated_parent_frames_plus_velocity_seeds,False,LAMMPS_22Jul2025_update4,NVT,Nose_Hoover_tau_10,0.001,1.0,standard_80_20_Kob_Andersen_LJ_shifted_at_2p5_sigma,False
