model,replicate,realization,temperature,calibration_time,block_size,radial_bin_count,required_realizations_per_replicate,surrogate_base_seed,surrogate_seed,scheduled_return_fraction_absolute_error,scheduled_return_given_return_absolute_error,scheduled_return_given_escape_absolute_error,radial_mean_relative_error,radial_standard_deviation_relative_error,lag_one_cosine_mean_absolute_error,lag_one_cosine_quantile_maximum_absolute_error,geometric_return_fraction_absolute_error,return_closure_quantile_maximum_error_over_dw,geometric_return_quality_required,unsupported_tuple_count,active_particle_count,non_propagating_particle_count,return_holding_time_mean_relative_error,return_holding_time_quantile_maximum_relative_error,escape_holding_time_mean_relative_error,escape_holding_time_quantile_maximum_relative_error,calibration_events_only,external_cage_channel_used,calibration_cage_residual_transfer,heldout_events_used_in_calibration,heldout_cage_residual_used_in_prediction,macro_fit_parameter_count,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed
anchor_aware_semi_markov,1.0,0.0,0.45,5000.0,20.0,8.0,16.0,84031.0,1084034.0,0.0605948871108159,0.04538479578197324,0.061608051423973076,0.008126840780929845,0.08079567425575762,0.0200703824518845,0.035449662396962234,0.022589955339109014,0.011965231855663006,1.0,0.0,2940.0,172.0,0.1084015374860946,0.1428571428571429,0.16220921164463942,0.23076923076923073,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
state_schedule_without_anchor_geometry,1.0,0.0,0.45,5000.0,20.0,8.0,16.0,84031.0,1084034.0,0.0605948871108159,0.04538479578197324,0.061608051423973076,0.008126840780929845,0.08079567425575762,0.003547974940464549,0.006544815735267662,0.03680639802427188,1.1918101895335977,0.0,0.0,2940.0,172.0,0.1084015374860946,0.1428571428571429,0.16220921164463942,0.23076923076923073,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
anchor_aware_semi_markov,1.0,1.0,0.45,5000.0,20.0,8.0,16.0,84031.0,1181443.0,0.06058798440243396,0.04409161651785348,0.062374815709151765,0.006042165244749098,0.08154335710744931,0.01906035616089516,0.03562204568613203,0.024558704198976822,0.015090968920196846,1.0,0.0,2940.0,172.0,0.10157930206178489,0.1428571428571429,0.16661083537952692,0.23076923076923073,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
state_schedule_without_anchor_geometry,1.0,1.0,0.45,5000.0,20.0,8.0,16.0,84031.0,1181443.0,0.06058798440243396,0.04409161651785348,0.062374815709151765,0.006042165244749098,0.08154335710744931,0.0017111016667658019,0.0035970949135594177,0.03448065371124026,1.1945436614423401,0.0,0.0,2940.0,172.0,0.10157930206178489,0.1428571428571429,0.16661083537952692,0.23076923076923073,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
anchor_aware_semi_markov,1.0,2.0,0.45,5000.0,20.0,8.0,16.0,84031.0,1278852.0,0.061418421795197964,0.04629142025058974,0.06224896789184475,0.007639957547457055,0.07945986434313757,0.02060762283199516,0.03583213691558229,0.021856690667419243,0.012592938909459284,1.0,0.0,2940.0,172.0,0.10389373725400941,0.1428571428571429,0.15668977948676666,0.23076923076923073,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
state_schedule_without_anchor_geometry,1.0,2.0,0.45,5000.0,20.0,8.0,16.0,84031.0,1278852.0,0.061418421795197964,0.04629142025058974,0.06224896789184475,0.007639957547457055,0.07945986434313757,0.001175350554701582,0.0033467151584238297,0.034643522948725136,1.1893732526263376,0.0,0.0,2940.0,172.0,0.10389373725400941,0.1428571428571429,0.15668977948676666,0.23076923076923073,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
anchor_aware_semi_markov,1.0,3.0,0.45,5000.0,20.0,8.0,16.0,84031.0,1376261.0,0.06076616703239457,0.044935796047796184,0.06213393603084427,0.007300052006926183,0.08128257786421211,0.01981427651807871,0.03712658784864009,0.021892366988007173,0.014505843593914824,1.0,0.0,2940.0,172.0,0.11045810461256877,0.1428571428571429,0.15545104994459147,0.23076923076923073,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
state_schedule_without_anchor_geometry,1.0,3.0,0.45,5000.0,20.0,8.0,16.0,84031.0,1376261.0,0.06076616703239457,0.044935796047796184,0.06213393603084427,0.007300052006926183,0.08128257786421211,0.00020391304589401082,0.002408541432161071,0.03470063513028676,1.1835101226685338,0.0,0.0,2940.0,172.0,0.11045810461256877,0.1428571428571429,0.15545104994459147,0.23076923076923073,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
anchor_aware_semi_markov,1.0,4.0,0.45,5000.0,20.0,8.0,16.0,84031.0,1473670.0,0.0626844928177569,0.04979402334676519,0.06196080436985929,0.005023460330231266,0.0871316947599825,0.020862808523061938,0.03616346981311391,0.02200715817923654,0.011855452801043442,1.0,0.0,2940.0,172.0,0.11565469628320413,0.1428571428571429,0.1511703750612189,0.23076923076923073,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
state_schedule_without_anchor_geometry,1.0,4.0,0.45,5000.0,20.0,8.0,16.0,84031.0,1473670.0,0.0626844928177569,0.04979402334676519,0.06196080436985929,0.005023460330231266,0.0871316947599825,0.0011570716488031874,0.0034186222211610717,0.034740521535994384,1.19721347608869,0.0,0.0,2940.0,172.0,0.11565469628320413,0.1428571428571429,0.1511703750612189,0.23076923076923073,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
