distance_low,distance_high,distance_midpoint,event_pair_count,control_pair_count,event_mean_squared_displacement,control_mean_squared_displacement,event_to_control_squared_ratio,event_mean_longitudinal_projection,control_mean_longitudinal_projection,replicate,temperature,threshold,control_definition
0.0,1.4,0.7,54943.0,55929.0,0.04352502394665727,0.008617279725302575,5.050900670992085,0.08267343823351345,0.0001288077412756592,1.0,0.45,0.15,same_time_uniform_random_non_focal_particle
1.4,2.0,1.7,96144.0,97776.0,0.02049932876508642,0.00868661528771104,2.3598752892955708,0.008657489397867778,0.0002014865982445093,1.0,0.45,0.15,same_time_uniform_random_non_focal_particle
2.0,3.0,2.5,376966.0,378375.0,0.01389300876209336,0.008793813639670424,1.579861631297209,0.008561780217292701,0.0003609638048065878,1.0,0.45,0.15,same_time_uniform_random_non_focal_particle
3.0,4.0,3.5,721690.0,720451.0,0.01021876643445761,0.008754808798954267,1.1672175451368176,0.0034024948975093076,7.62333003348833e-05,1.0,0.45,0.15,same_time_uniform_random_non_focal_particle
4.0,5.0,4.5,1188407.0,1185815.0,0.009073912473729998,0.00875509889563547,1.0364146175725624,0.0013493119328423788,-9.12906072685498e-05,1.0,0.45,0.15,same_time_uniform_random_non_focal_particle
5.0,7.0,6.0,4257620.0,4256123.0,0.008491600335308797,0.00877846130362967,0.9673221811432644,-0.0005043421814468063,-2.5862425160434217e-05,1.0,0.45,0.15,same_time_uniform_random_non_focal_particle
7.0,10.0,8.5,7911549.0,7911607.0,0.008162187659948696,0.00877272007642392,0.9304055741940304,-0.0016309520772389797,1.537666188418326e-05,1.0,0.45,0.15,same_time_uniform_random_non_focal_particle
10.0,13.1,11.55,1310765.0,1312008.0,0.0077552347929826584,0.008788095153276733,0.8824705078541438,-0.0017013527551595648,7.713800043143793e-05,1.0,0.45,0.15,same_time_uniform_random_non_focal_particle
0.0,1.4,0.7,55240.0,56228.0,0.04395900356222252,0.008695893885757658,5.055144892489963,0.08803884846708653,-0.001022031492439355,2.0,0.45,0.15,same_time_uniform_random_non_focal_particle
1.4,2.0,1.7,96962.0,98105.0,0.021053378192972542,0.0086616281709278,2.4306490393615436,0.009370778777372895,-0.0004008755475666693,2.0,0.45,0.15,same_time_uniform_random_non_focal_particle
2.0,3.0,2.5,379014.0,381384.0,0.014041594765116102,0.008745101756435935,1.6056525305474263,0.007825986343699005,1.1945079442747833e-05,2.0,0.45,0.15,same_time_uniform_random_non_focal_particle
3.0,4.0,3.5,725512.0,724683.0,0.010264795187156615,0.008795157836081332,1.1670961884329385,0.0029813184661881937,-0.00015424570941666445,2.0,0.45,0.15,same_time_uniform_random_non_focal_particle
4.0,5.0,4.5,1195861.0,1193598.0,0.008991360839897477,0.008733028791677123,1.0295810370471414,0.0011015323166317184,-0.0002236207814513175,2.0,0.45,0.15,same_time_uniform_random_non_focal_particle
5.0,7.0,6.0,4285153.0,4285022.0,0.008374164598563728,0.008767165859579467,0.9551735113364686,-0.00038145137506163555,-9.319287243651267e-05,2.0,0.45,0.15,same_time_uniform_random_non_focal_particle
7.0,10.0,8.5,7964021.0,7963569.0,0.008144971898712643,0.008764435403600442,0.9293207746578493,-0.0015470664082566949,0.00011178406511862334,2.0,0.45,0.15,same_time_uniform_random_non_focal_particle
10.0,13.1,11.55,1321153.0,1320327.0,0.00805767622952536,0.008747861842890918,0.921102364696529,-0.0016120845239048557,0.0007663238889228221,2.0,0.45,0.15,same_time_uniform_random_non_focal_particle
0.0,1.4,0.7,51574.0,52760.0,0.04359589508743752,0.008456140916431584,5.155530816985793,0.08831622977940139,0.0010362730197449796,3.0,0.45,0.15,same_time_uniform_random_non_focal_particle
1.4,2.0,1.7,90383.0,91822.0,0.020599444735273004,0.008576234368885674,2.401921851623736,0.010444947814535938,0.0001967005805672084,3.0,0.45,0.15,same_time_uniform_random_non_focal_particle
2.0,3.0,2.5,354868.0,356712.0,0.013730565733184855,0.008666938150531803,1.5842464195204102,0.01044115782872816,0.0002778144565605131,3.0,0.45,0.15,same_time_uniform_random_non_focal_particle
3.0,4.0,3.5,679678.0,678558.0,0.010062415712871751,0.008613506240656665,1.168213667202803,0.003871547253908371,-0.00031711748474790453,3.0,0.45,0.15,same_time_uniform_random_non_focal_particle
4.0,5.0,4.5,1119949.0,1117086.0,0.008895368040507098,0.008644065786646508,1.0290722282850746,0.0013136708201488836,-0.0001877720474723132,3.0,0.45,0.15,same_time_uniform_random_non_focal_particle
5.0,7.0,6.0,4010558.0,4011005.0,0.008313244295207493,0.008683486731189283,0.9573624688511406,-0.00047518083704486415,-0.00024826469893412953,3.0,0.45,0.15,same_time_uniform_random_non_focal_particle
7.0,10.0,8.5,7454440.0,7453788.0,0.008122320530516485,0.008714808384414071,0.9320136682572143,-0.0017068002975463268,0.00010547097276071211,3.0,0.45,0.15,same_time_uniform_random_non_focal_particle
10.0,13.1,11.55,1236078.0,1235797.0,0.007902145043014116,0.008703476650628688,0.9079297113347585,-0.0024615817132502254,0.0005398065364848508,3.0,0.45,0.15,same_time_uniform_random_non_focal_particle
