block_index,lag,origin_count,particle_count,msd,ngp_3d,overlap_mean,overlap_chi4,fs_k5,fs_k7p25,fs_k9,replicate,temperature,independence_class,thermodynamic_claim_allowed
0.0,1.0,625.0,3277.0,0.030594449488868154,0.14268706727291325,0.9569020445529448,0.12416593713762579,0.8813045713425544,0.7685696724450864,0.668965871035079,1.0,0.45,decorrelated_parent_frames_plus_velocity_seeds,0.0
0.0,2.0,625.0,3277.0,0.03200998587778434,0.19734489521406373,0.9495450717119316,0.19496583929203526,0.8765908876702668,0.7607336223725514,0.6593749982548901,1.0,0.45,decorrelated_parent_frames_plus_velocity_seeds,0.0
0.0,4.0,625.0,3277.0,0.03268401342560979,0.283410393353307,0.944953066829417,0.2468679995605738,0.874796679978585,0.7584743548109112,0.6574210969961493,1.0,0.45,decorrelated_parent_frames_plus_velocity_seeds,0.0
0.0,8.0,625.0,3277.0,0.035117318513634845,0.40147092708326504,0.9339473909063166,0.36728273440341785,0.8671332952151447,0.746095489165461,0.6424095348818482,1.0,0.45,decorrelated_parent_frames_plus_velocity_seeds,0.0
0.0,16.0,625.0,3277.0,0.038178163729967296,0.5914558579549032,0.9207929203539823,0.5910058606774486,0.8581993636050823,0.7324238770410073,0.6264485978799351,1.0,0.45,decorrelated_parent_frames_plus_velocity_seeds,0.0
0.0,32.0,624.0,3277.0,0.0426349196468669,0.8833846350410957,0.9033409818235879,0.8862675848754704,0.8462451909877935,0.7149543837823145,0.6066169228471006,1.0,0.45,decorrelated_parent_frames_plus_velocity_seeds,0.0
0.0,64.0,622.0,3277.0,0.049803733657943,1.3106908461619353,0.8783953639661403,1.52305874343558,0.8289791872505166,0.691144862950085,0.5804712205896186,1.0,0.45,decorrelated_parent_frames_plus_velocity_seeds,0.0
0.0,128.0,618.0,3277.0,0.06224502523479808,1.7726286164935443,0.8407859821270738,2.443715098355407,0.8020973293207373,0.6557608751393957,0.5425131578006311,1.0,0.45,decorrelated_parent_frames_plus_velocity_seeds,0.0
0.0,256.0,610.0,3277.0,0.08479671206519877,2.0918498249536035,0.7825925351556051,3.7453111376949284,0.7597140926242034,0.6036129325912736,0.48875896646427436,1.0,0.45,decorrelated_parent_frames_plus_velocity_seeds,0.0
0.0,512.0,594.0,3277.0,0.12685333435905055,2.1588393654879625,0.698020280107555,4.67078780265859,0.69452077034574,0.5295978480114386,0.4160412382183138,1.0,0.45,decorrelated_parent_frames_plus_velocity_seeds,0.0
0.0,1024.0,562.0,3277.0,0.20990555314090742,1.9341121802669536,0.5748666702141639,3.603025435079474,0.5941822886253539,0.4261317915265106,0.3199472270171279,1.0,0.45,decorrelated_parent_frames_plus_velocity_seeds,0.0
0.0,2048.0,498.0,3277.0,0.37064718231424815,1.482730148418025,0.42369477911646586,2.027692792880574,0.45759090398878555,0.30167693806183526,0.21322820248971286,1.0,0.45,decorrelated_parent_frames_plus_velocity_seeds,0.0
