model,replicate,temperature,lag,block_size,block_count,particle_window_count,predicted_msd,observed_msd,msd_relative_error,predicted_msd_mc_se,predicted_ngp,observed_ngp,ngp_absolute_error,predicted_ngp_mc_se,shuffle_realizations,shuffle_base_seed,heldout_path_used_in_prediction,macro_fit_parameter_count,calibration_path_distribution_used,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed,predicted_fs_k2,observed_fs_k2,absolute_error_fs_k2,predicted_fs_k2_mc_se,predicted_fs_k4,observed_fs_k4,absolute_error_fs_k4,predicted_fs_k4_mc_se,predicted_fs_k7p25,observed_fs_k7p25,absolute_error_fs_k7p25,predicted_fs_k7p25_mc_se
contiguous_empirical_path,1.0,0.45,20.0,20.0,1.0,819250.0,0.039293890621701764,0.039439034265083064,0.0036802027759031963,0.0,0.6731497953956407,0.6894572448102572,0.01630744941461648,0.0,0.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9743614743713124,0.9742726065504118,8.886782090056222e-05,0.0,0.9034047335530778,0.9031194881740169,0.00028524537906093883,0.0,0.7279313603000495,0.7273620752980499,0.0005692850019995976,0.0
contiguous_empirical_path,1.0,0.45,100.0,20.0,5.0,806142.0,0.056742089314198337,0.0570676716703697,0.005705197822892916,0.0,1.5842593377112166,1.6297339342658397,0.04547459655462305,0.0,0.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9638914911098097,0.9637263303218477,0.00016516078796191547,0.0,0.8715664994696506,0.8712844740845151,0.0002820253851354426,0.0,0.6700101719709832,0.6701586799370863,0.00014850796610310635,0.0
contiguous_empirical_path,1.0,0.45,200.0,20.0,10.0,789757.0,0.07441420879407004,0.07543971565197483,0.01359372644822443,0.0,1.9594241096691034,2.0528096750212144,0.09338556535211096,0.0,0.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9537049456329855,0.9531991465279716,0.0005057991050139155,0.0,0.8433074179629421,0.8424536039827798,0.0008538139801622657,0.0,0.6252300175782972,0.6251232912663965,0.00010672631190067339,0.0
contiguous_empirical_path,1.0,0.45,500.0,20.0,25.0,740602.0,0.12213219909155384,0.12726889615088294,0.04036097754190715,0.0,2.122748176179275,2.240207131422164,0.1174589552428893,0.0,0.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9276561217604549,0.9252086699236458,0.002447451836809056,0.0,0.7782394401568868,0.7741688168233672,0.004070623333519596,0.0,0.5352750895541591,0.533395281820343,0.00187980773381613,0.0
contiguous_empirical_path,1.0,0.45,1000.0,20.0,50.0,658677.0,0.20340546888589528,0.21371648432894896,0.04824623367462444,0.0,1.931814764152286,2.035011317785304,0.10319655363301816,0.0,0.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8869026396645089,0.8825336715723144,0.004368968092194447,0.0,0.6899705988987997,0.6840225543370759,0.00594804456172382,0.0,0.43156064539201855,0.43196745142274323,0.00040680603072468235,0.0
contiguous_empirical_path,1.0,0.45,2000.0,20.0,100.0,494827.0,0.36255536554333717,0.38494087781746295,0.05815311795683298,0.0,1.5306927247323499,1.5320813966552245,0.001388671922874618,0.0,0.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8161346559601569,0.8061233874084176,0.010011268551739283,0.0,0.5656971380811695,0.5436221107653332,0.022075027315836326,0.0,0.3121963489618488,0.29754222992878293,0.014654119033065849,0.0
contiguous_empirical_path,1.0,0.45,3000.0,20.0,150.0,330977.0,0.5190956280379805,0.5507382500974113,0.05745491992581597,0.0,1.3154707016332554,1.3301724324025965,0.014701730769341115,0.0,0.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7552627377472697,0.7425593344166428,0.012703403330626917,0.0,0.4759574245256154,0.44897180267658227,0.026985621849033137,0.0,0.23712336136747675,0.22221602781950803,0.01490733354796872,0.0
direction_randomized_path,1.0,0.45,20.0,20.0,1.0,819250.0,0.03929389062170175,0.039439034265083064,0.0036802027759035294,0.0,0.6731497953956407,0.6894572448102572,0.01630744941461648,0.0,0.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.974360403357481,0.9742726065504118,8.77968070691626e-05,0.0,0.9033917316400536,0.9031194881740169,0.00027224346603671457,0.0,0.7278459892673823,0.7273620752980499,0.0004839139693324501,0.0
direction_randomized_path,1.0,0.45,100.0,20.0,5.0,806142.0,0.19630439220646595,0.0570676716703697,2.4398528354257323,0.0,0.359466352642986,1.6297339342658397,1.2702675816228537,0.0,0.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8798477988672042,0.9637263303218477,0.08387853145464352,0.0,0.6155500388658957,0.8712844740845151,0.2557344352186195,0.0,0.2387386021979621,0.6701586799370863,0.4314200777391242,0.0
direction_randomized_path,1.0,0.45,200.0,20.0,10.0,789757.0,0.39234850780628655,0.07543971565197483,4.200821668208605,0.0,0.2531579227065135,2.0528096750212144,1.7996517523147009,0.0,0.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7759324521869135,0.9531991465279716,0.17726669434105802,0.0,0.38833699295939805,0.8424536039827798,0.45411661102338174,0.0,0.06523079403570296,0.6251232912663965,0.5598924972306936,0.0
direction_randomized_path,1.0,0.45,500.0,20.0,25.0,740602.0,0.9796335441749632,0.12726889615088294,6.6973524074064725,0.0,0.1606020813596476,2.240207131422164,2.0796050500625167,0.0,0.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5363495267187133,0.9252086699236458,0.38885914320493253,0.0,0.1050471346291072,0.7741688168233672,0.66912168219426,0.0,0.0019130931145314048,0.533395281820343,0.5314821887058117,0.0
direction_randomized_path,1.0,0.45,1000.0,20.0,50.0,658677.0,1.9648995725806258,0.21371648432894896,8.193954218132674,0.0,0.11456411378356779,2.035011317785304,1.9204472040017364,0.0,0.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2935637617755165,0.8825336715723144,0.588969909796798,0.0,0.013741928524731646,0.6840225543370759,0.6702806258123443,0.0,1.0352391269394656e-05,0.43196745142274323,0.43195709903147383,0.0
direction_randomized_path,1.0,0.45,2000.0,20.0,100.0,494827.0,3.939092394530582,0.38494087781746295,9.23298023547003,0.0,0.08059480917250994,1.5320813966552245,1.4514865874827145,0.0,0.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09160181704340475,0.8061233874084176,0.7145215703650128,0.0,0.00034884242411467126,0.5436221107653332,0.5432732683412185,0.0,1.2217555037437489e-09,0.29754222992878293,0.2975422287070274,0.0
direction_randomized_path,1.0,0.45,3000.0,20.0,150.0,330977.0,5.909161611583509,0.5507382500974113,9.729528247835214,0.0,0.06555659064310015,1.3301724324025965,1.2646158417594964,0.0,0.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.029941594976958728,0.7425593344166428,0.7126177394396841,0.0,1.2591908273453719e-05,0.44897180267658227,0.4489592107683088,0.0,2.6365104790115233e-13,0.22221602781950803,0.22221602781924438,0.0
within_particle_time_shuffle,1.0,0.45,20.0,20.0,1.0,819250.0,0.039293890621701764,0.039439034265083064,0.0036802027759031963,0.0,0.6731497953956405,0.6894572448102572,0.016307449414616704,2.0390103125168893e-17,64.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9743614743713123,0.9742726065504118,8.88678209004512e-05,1.3987495347505254e-17,0.9034047335530777,0.9031194881740169,0.0002852453790608278,1.1597818456129184e-17,0.7279313603000495,0.7273620752980499,0.0005692850019995976,2.472663203009062e-18
within_particle_time_shuffle,1.0,0.45,100.0,20.0,5.0,806142.0,0.19354774195319768,0.0570676716703697,2.3915478989778074,3.4554912920779616e-05,0.1888713072492747,1.6297339342658397,1.440862627016565,0.0004336520101675442,64.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8802806831661549,0.9637263303218477,0.0834456471556928,1.88296056389461e-05,0.6099272919941101,0.8712844740845151,0.26135718209040504,4.878208989046711e-05,0.21989232667457154,0.6701586799370863,0.4502663532625148,7.300964587783283e-05
within_particle_time_shuffle,1.0,0.45,200.0,20.0,10.0,789757.0,0.37985870930746,0.07543971565197483,4.035261679138053,0.00011488392261304953,0.12843731049639373,2.0528096750212144,1.9243723645248205,0.0004351327446666755,64.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7793758714389052,0.9531991465279716,0.17382327508906636,5.6699104801044044e-05,0.3843189477590224,0.8424536039827798,0.4581346562237574,0.00011556762824565933,0.05725313246198919,0.6251232912663965,0.5678701588044074,0.00010678333504655233
within_particle_time_shuffle,1.0,0.45,500.0,20.0,25.0,740602.0,0.8956008349772844,0.12726889615088294,6.037075531129851,0.0004928298073049946,0.09375885289469249,2.240207131422164,2.1464482785274717,0.0005611103181576825,64.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5592906165526947,0.9252086699236458,0.36591805337095107,0.00017412238951437054,0.11466137172921048,0.7741688168233672,0.6595074450941567,0.00017121106596574784,0.002196699396647068,0.533395281820343,0.531198582423696,0.00010290141036284097
within_particle_time_shuffle,1.0,0.45,1000.0,20.0,50.0,658677.0,1.6105945313083647,0.21371648432894896,6.536126828800738,0.0012602773344880394,0.08505070591053764,2.035011317785304,1.9499606118747665,0.0007610670979903643,64.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.357873957999742,0.8825336715723144,0.5246597135725725,0.000314399093735357,0.025124297622181394,0.6840225543370759,0.6588982567148945,0.00024762780462974444,5.4977340213192896e-05,0.43196745142274323,0.43191247408253003,0.00010367673315018177
within_particle_time_shuffle,1.0,0.45,2000.0,20.0,100.0,494827.0,2.49840860019186,0.38494087781746295,5.490369675357246,0.0025954440585086364,0.09093483487238328,1.5320813966552245,1.4411465617828412,0.0010053735159333721,64.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2118668016098348,0.8061233874084176,0.5942565857985829,0.0003405486908238238,0.0048244814144761,0.5436221107653332,0.5387976293508571,0.00023246148528970805,-0.0001425452511674466,0.29754222992878293,0.2976847751799504,0.00013078100442149077
within_particle_time_shuffle,1.0,0.45,3000.0,20.0,150.0,330977.0,2.6628026104596296,0.5507382500974113,3.834969443267558,0.0030722830300520467,0.11055954508192471,1.3301724324025965,1.2196128873206717,0.0012868454982693177,64.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19709846277256776,0.7425593344166428,0.545460871644075,0.0004173689969217812,0.0043551206585705805,0.44897180267658227,0.4446166820180117,0.0002834269332167751,-0.00010917361701301268,0.22221602781950803,0.22232520143652104,0.0001606389370496532
contiguous_empirical_path,2.0,0.45,20.0,20.0,1.0,819250.0,0.03962103310375001,0.038152024480352674,0.03850408054109522,0.0,0.6476841420797537,0.6641054641430317,0.016421322063278065,0.0,0.0,45101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9741442483696382,0.975085284203826,0.0009410358341878089,0.0,0.9025601834569952,0.9059230562568693,0.003362872799874128,0.0,0.7256924666058179,0.7335770580014349,0.007884591395617035,0.0
