replicate,temperature,block_size,first_count,second_count,heldout_probability,two_clock_probability,single_clock_probability,hmm_probability,poisson_probability
1.0,0.45,20.0,0.0,0.0,0.8673154626439845,0.861212121566624,0.8627252230517596,0.8640234318726728,0.8180474718812546
1.0,0.45,20.0,0.0,1.0,0.040543008163260306,0.04929384518063105,0.0482830630158561,0.04453410839010964,0.0821462451867625
1.0,0.45,20.0,0.0,2.0,0.010138815867681896,0.007496761742068411,0.0071564408889306964,0.009056298721080656,0.004124458439291664
1.0,0.45,20.0,0.0,3.0,0.0017917259517165396,0.0013984560734644326,0.001292403371222119,0.001468133847201289,0.00013805587322762987
1.0,0.45,20.0,0.0,4.0,0.00023039978038489017,0.0002885117050103572,0.00025632378284493084,0.00017919582673904427,3.4658048589616805e-06
1.0,0.45,20.0,0.0,5.0,2.0834022694378367e-05,6.359984093844934e-05,5.3953128922642564e-05,1.7499007747869698e-05,6.960546068530988e-08
1.0,0.45,20.0,0.0,6.0,1.2255307467281393e-06,1.4745565740861112e-05,1.1873034883811324e-05,1.4240274669704606e-06,1.164933869229659e-09
1.0,0.45,20.0,1.0,0.0,0.04056261665520795,0.04929384518063105,0.0482830630158561,0.04453410839010964,0.0821462451867625
1.0,0.45,20.0,1.0,1.0,0.014486998957073335,0.011572470010364867,0.012286173767885539,0.015372654056517117,0.008248916878583328
1.0,0.45,20.0,1.0,2.0,0.004267298060107381,0.0029205868828288168,0.0031280656966928477,0.003722305418545434,0.0004141676196828896
1.0,0.45,20.0,1.0,3.0,0.0008725778916704352,0.0007228933242733918,0.0007747412668760713,0.0006057262911206024,1.3863219435846722e-05
1.0,0.45,20.0,1.0,4.0,0.000140936035873736,0.00017688508146740877,0.00018890545340248066,7.393860437574554e-05,3.4802730342654937e-07
1.0,0.45,20.0,1.0,5.0,1.960849194765023e-05,4.301227415887217e-05,4.5616688118045493e-05,7.220336254935199e-06,6.989603215377954e-09
1.0,0.45,20.0,1.0,6.0,1.2255307467281393e-06,1.0428035036160041e-05,1.094519114614603e-05,5.875737410783247e-07,1.169796943789031e-10
1.0,0.45,20.0,2.0,0.0,0.010147394582908992,0.007496761742068411,0.0071564408889306964,0.009056298721080654,0.004124458439291664
1.0,0.45,20.0,2.0,1.0,0.004291808675041944,0.002920586882828818,0.0031280656966928477,0.003722305418545434,0.0004141676196828896
1.0,0.45,20.0,2.0,2.0,0.0013309263909467592,0.0010528762566921336,0.0011489334273669218,0.0009053703128167172,2.0794829153770082e-05
1.0,0.45,20.0,2.0,3.0,0.0002965784407082097,0.0003383173352323129,0.00037193412746333273,0.00014734295150639352,6.960546068530987e-07
1.0,0.45,20.0,2.0,4.0,4.289357613548488e-05,0.00010149965816303729,0.00011190805857736412,1.7985600915262945e-05,1.747400803844488e-08
1.0,0.45,20.0,2.0,5.0,6.127653733640696e-06,2.9126452304140344e-05,3.2114425384952704e-05,1.7563503118355932e-06,3.509390831367092e-10
1.0,0.45,20.0,2.0,6.0,0.0,8.104741264482253e-06,8.916182167110675e-06,1.42927598886876e-07,5.873401597478926e-12
1.0,0.45,20.0,3.0,0.0,0.0017794706442492583,0.0013984560734644326,0.001292403371222119,0.001468133847201289,0.00013805587322762987
1.0,0.45,20.0,3.0,1.0,0.0008725778916704352,0.0007228933242733918,0.0007747412668760713,0.0006057262911206024,1.3863219435846722e-05
1.0,0.45,20.0,3.0,2.0,0.0003063826866820348,0.0003383173352323129,0.00037193412746333273,0.00014734295150639352,6.960546068530987e-07
1.0,0.45,20.0,3.0,3.0,4.289357613548488e-05,0.0001339629120351125,0.00014884869981712567,2.397912028400436e-05,2.3298677384593178e-08
1.0,0.45,20.0,3.0,4.0,1.1029776720553254e-05,4.77681008410766e-05,5.334878044893563e-05,2.9270412890953707e-06,5.848984718945155e-10
1.0,0.45,20.0,3.0,5.0,1.2255307467281393e-06,1.587515775130704e-05,1.7765723748179762e-05,2.85834757960061e-07,1.1746803194957854e-11
1.0,0.45,20.0,3.0,6.0,0.0,5.017317503948828e-06,5.613774089886983e-06,2.326055079040452e-08,1.9659734684967913e-13
1.0,0.45,20.0,4.0,0.0,0.00023652743411853088,0.0002885117050103572,0.00025632378284493084,0.00017919582673904427,3.4658048589616805e-06
1.0,0.45,20.0,4.0,1.0,0.00012377860541954206,0.00017688508146740877,0.00018890545340248066,7.393860437574554e-05,3.4802730342654937e-07
1.0,0.45,20.0,4.0,2.0,5.392335285603813e-05,0.00010149965816303729,0.00011190805857736412,1.7985600915262945e-05,1.747400803844488e-08
