replicate,temperature,jump_count,sample_count,conditional_msd,conditional_fourth_moment,conditional_characteristic_k2,conditional_characteristic_k4,conditional_characteristic_k7p25
1.0,0.45,0.0,3112.0,0.0,0.0,1.0,1.0,1.0
1.0,0.45,1.0,82267.0,0.06685790296787428,0.017188045710302895,0.957597503031423,0.851686088033362,0.6422987585554008
1.0,0.45,2.0,79155.0,0.10162171528882945,0.03991065616847821,0.9371877114457108,0.7937211578515406,0.5544181841001522
1.0,0.45,3.0,76129.0,0.13469373552302255,0.06704479232302511,0.918372975620404,0.7435591060577303,0.48290512653982376
1.0,0.45,4.0,73189.0,0.16542258076146293,0.09708056394960501,0.9014047195166739,0.7016686576630216,0.430567245860906
1.0,0.45,5.0,70328.0,0.19552753942298565,0.13107239200582058,0.8852457748381831,0.663958147154298,0.3868367943590056
1.0,0.45,6.0,67526.0,0.22570583842623607,0.169328399901445,0.8695185530923547,0.6299216190423061,0.35100258235578696
1.0,0.45,7.0,64798.0,0.2554658325379182,0.21120838716105533,0.85431180099924,0.5980104775161273,0.3195801212338948
1.0,0.45,8.0,62141.0,0.28485657691490207,0.2565424452122154,0.8397172171203593,0.5690530473994572,0.29184394060714897
1.0,0.45,9.0,59561.0,0.313996044747573,0.30523135828151826,0.8255812087628684,0.5417211046893566,0.26550929658413935
1.0,0.45,10.0,57054.0,0.3432981422928048,0.358361653219445,0.8118109946273799,0.5172181107041971,0.24530220704854558
1.0,0.45,11.0,54621.0,0.3732203003707534,0.4164470449585721,0.7979945826338052,0.4931425519872694,0.22675119134921648
1.0,0.45,12.0,52242.0,0.4026882680971565,0.47823754919735273,0.7847094346619062,0.47069143837864547,0.2120887854049428
1.0,0.45,13.0,49932.0,0.43102093182165924,0.5396786677311277,0.7722606922620631,0.45039372831075697,0.195619949767423
1.0,0.45,14.0,47688.0,0.4586855147194482,0.6026304793245724,0.7601524117200137,0.4308755943449893,0.1819648825210559
1.0,0.45,15.0,45502.0,0.48623697713221975,0.6683124145471538,0.7483738750729906,0.4129964314830736,0.17116895226736056
1.0,0.45,16.0,43377.0,0.5142498463355931,0.7395080132951469,0.7367446561480608,0.39615147681058416,0.15949160950864497
1.0,0.45,17.0,41303.0,0.5415266952042015,0.8099510008575569,0.7254301737009667,0.3803162971069343,0.15137069010905743
1.0,0.45,18.0,39282.0,0.5681274398047835,0.8832603568426847,0.7148134143564491,0.366275354799519,0.14379860699258268
1.0,0.45,19.0,37337.0,0.5948263978111019,0.9585052795472865,0.7041008371952872,0.3524452349641313,0.13757824657561768
1.0,0.45,20.0,35443.0,0.6215790377708188,1.0374148893047708,0.6935242853732603,0.3389563769710805,0.12873734844047915
1.0,0.45,21.0,33611.0,0.6481189027610894,1.1161064458750132,0.6832657900030723,0.3259082055901135,0.12105405612819198
1.0,0.45,22.0,31843.0,0.6753655855925235,1.2043489176154831,0.6730845916717575,0.31328604870218946,0.11585037400343311
1.0,0.45,23.0,30154.0,0.7024351142402204,1.2959985658729378,0.6633270328017671,0.3021925281660852,0.10846747107354991
1.0,0.45,24.0,28536.0,0.7288449634948696,1.386443071693227,0.6535948585983961,0.29084203382991514,0.10470644087746772
1.0,0.45,25.0,26989.0,0.7546396164857925,1.4766258530410685,0.6446233737743254,0.28237909485209073,0.09906805441545943
1.0,0.45,26.0,25510.0,0.7799361619625438,1.5695620474213252,0.6359067956674469,0.2725555454006254,0.09396626854665353
1.0,0.45,27.0,24089.0,0.8053650309284672,1.6670667452775403,0.6275015718186496,0.2643240472584847,0.08875136570054484
1.0,0.45,28.0,22731.0,0.8282788098189718,1.755753250836732,0.6197559958025886,0.25578784747285893,0.08523750053633415
1.0,0.45,29.0,21432.0,0.851092431188695,1.8406585265420012,0.6119586289870846,0.24775321423039096,0.08406485749547135
1.0,0.45,30.0,20191.0,0.8745397442734404,1.9275565624691364,0.6040837800842267,0.23971620249774864,0.08169574123877568
1.0,0.45,31.0,19003.0,0.8964313025569884,2.0154700398047245,0.5970826175646661,0.2333980874022444,0.07862633734081619
1.0,0.45,32.0,17873.0,0.919400963901719,2.108605430182316,0.5896740092872232,0.2274537332698856,0.07587304590391042
1.0,0.45,33.0,16792.0,0.9427576110002418,2.204075101195704,0.5821928381140388,0.22136605871566287,0.07168843795615687
1.0,0.45,34.0,15751.0,0.965791125737715,2.30374806623024,0.5750865008941286,0.21621952947481884,0.06840902417026827
