distance_low,distance_high,distance_midpoint,event_pair_count,control_pair_count,event_mean_squared_displacement,control_mean_squared_displacement,event_to_control_squared_ratio,event_mean_longitudinal_projection,control_mean_longitudinal_projection,replicate,temperature,threshold,half_window,heldout_start,control_definition,spatial_measurement_claim_allowed,spatial_model_claim_allowed,thermodynamic_claim_allowed
0.0,1.4,0.7,57107.0,58038.0,0.044238683865666525,0.008586603558931137,5.152058501600762,0.08699227160147402,0.000649044703859126,1.0,0.45,0.15,5.0,5000.0,same_time_uniform_random_non_focal_particle,1.0,0.0,0.0
1.4,2.0,1.7,99929.0,101473.0,0.0211734689549729,0.008584669592006298,2.466427942047856,0.00982245644599594,-0.00025800687026418994,1.0,0.45,0.15,5.0,5000.0,same_time_uniform_random_non_focal_particle,1.0,0.0,0.0
2.0,3.0,2.5,391259.0,392692.0,0.0142098788665569,0.00868126050289643,1.636845117343949,0.008691074660214695,-3.311340945969322e-05,1.0,0.45,0.15,5.0,5000.0,same_time_uniform_random_non_focal_particle,1.0,0.0,0.0
3.0,4.0,3.5,749227.0,747064.0,0.010447051071859744,0.008798112408918365,1.1874195948292163,0.003147907609715638,0.0001525424265697183,1.0,0.45,0.15,5.0,5000.0,same_time_uniform_random_non_focal_particle,1.0,0.0,0.0
4.0,5.0,4.5,1232857.0,1229995.0,0.009229902765247858,0.008784815233791257,1.0506655540966359,0.0012253648004504401,0.00015760994169129026,1.0,0.45,0.15,5.0,5000.0,same_time_uniform_random_non_focal_particle,1.0,0.0,0.0
5.0,7.0,6.0,4416277.0,4416547.0,0.00849835689674838,0.008757827217786267,0.970372751758458,-0.0004155759345854136,-1.9332679454888824e-05,1.0,0.45,0.15,5.0,5000.0,same_time_uniform_random_non_focal_particle,1.0,0.0,0.0
7.0,10.0,8.5,8206454.0,8207406.0,0.008090737722027121,0.008794425065955432,0.919984838275285,-0.0016031141347348345,-2.5159291008825477e-05,1.0,0.45,0.15,5.0,5000.0,same_time_uniform_random_non_focal_particle,1.0,0.0,0.0
10.0,13.1,11.55,1361206.0,1361101.0,0.007751602992048833,0.008745862197929635,0.8863166165462603,-0.002417413012617405,-2.5198076621076835e-05,1.0,0.45,0.15,5.0,5000.0,same_time_uniform_random_non_focal_particle,1.0,0.0,0.0
0.0,1.4,0.7,46809.0,47765.0,0.04357034110223225,0.008424629382184705,5.171781347956868,0.0831524676146208,-0.0005341381516419296,2.0,0.45,0.15,5.0,5000.0,same_time_uniform_random_non_focal_particle,1.0,0.0,0.0
1.4,2.0,1.7,82253.0,83420.0,0.019984340989413343,0.008432448358889151,2.3699333976171517,0.00621873360157909,-0.0012799574645249953,2.0,0.45,0.15,5.0,5000.0,same_time_uniform_random_non_focal_particle,1.0,0.0,0.0
