distance_low,distance_high,distance_midpoint,event_pair_count,control_pair_count,event_mean_squared_displacement,control_mean_squared_displacement,event_to_control_squared_ratio,event_mean_longitudinal_projection,control_mean_longitudinal_projection,replicate,temperature,threshold,half_window,heldout_start,control_definition,spatial_measurement_claim_allowed,spatial_model_claim_allowed,thermodynamic_claim_allowed
0.0,1.4,0.7,13581.0,13771.0,0.04408160243785601,0.008858250226024154,4.976332945342993,0.08492325486807066,0.0009665643290948417,1.0,0.45,0.15,5.0,5000.0,same_time_uniform_random_non_event_particle,1.0,0.0,0.0
1.4,2.0,1.7,23944.0,24092.0,0.02103727051164435,0.008693888475683292,2.41977690080628,0.009509126262817138,-0.0017716604283120414,1.0,0.45,0.15,5.0,5000.0,same_time_uniform_random_non_event_particle,1.0,0.0,0.0
2.0,3.0,2.5,93114.0,93537.0,0.014075480088416897,0.00861841226929857,1.633187140345801,0.00842064298439974,-0.0008584525850320538,1.0,0.45,0.15,5.0,5000.0,same_time_uniform_random_non_event_particle,1.0,0.0,0.0
3.0,4.0,3.5,178377.0,177879.0,0.010340761471882341,0.008718841115643633,1.1860247634663974,0.0030789086265798,-0.001161599420415304,1.0,0.45,0.15,5.0,5000.0,same_time_uniform_random_non_event_particle,1.0,0.0,0.0
4.0,5.0,4.5,293349.0,292859.0,0.009221695768590006,0.008777997461646663,1.0505466433411466,0.0012137415536124742,-0.00046000352721485566,1.0,0.45,0.15,5.0,5000.0,same_time_uniform_random_non_event_particle,1.0,0.0,0.0
5.0,7.0,6.0,1051039.0,1051340.0,0.00846954053774835,0.008822528719892832,0.9599901351016775,-0.0006216544514304874,0.0002581030442123739,1.0,0.45,0.15,5.0,5000.0,same_time_uniform_random_non_event_particle,1.0,0.0,0.0
7.0,10.0,8.5,1953612.0,1953872.0,0.008095200549259022,0.008767262825958307,0.9233441166256101,-0.0014861803027633373,7.321276402942614e-05,1.0,0.45,0.15,5.0,5000.0,same_time_uniform_random_non_event_particle,1.0,0.0,0.0
10.0,13.1,11.55,324184.0,323850.0,0.007770294382251416,0.008579551694162227,0.9056760375415125,-0.0023201845105235036,-1.9183469752226632e-05,1.0,0.45,0.15,5.0,5000.0,same_time_uniform_random_non_event_particle,1.0,0.0,0.0
0.0,1.4,0.7,13441.0,13791.0,0.043013551957415117,0.008458447532895345,5.085277385729848,0.0820247128452547,0.001632385549483338,2.0,0.45,0.15,5.0,5000.0,same_time_uniform_random_non_event_particle,1.0,0.0,0.0
1.4,2.0,1.7,23709.0,24117.0,0.020120356079704978,0.00859780857777514,2.3401726030182837,0.005140636058984531,-0.00045818828605516935,2.0,0.45,0.15,5.0,5000.0,same_time_uniform_random_non_event_particle,1.0,0.0,0.0
2.0,3.0,2.5,93092.0,93572.0,0.0132326025723847,0.00851880064429053,1.5533410306125022,0.0061039567704574,-0.00027231938134883503,2.0,0.45,0.15,5.0,5000.0,same_time_uniform_random_non_event_particle,1.0,0.0,0.0
3.0,4.0,3.5,178017.0,177809.0,0.00970404610085731,0.008441017976146128,1.1496298347285165,0.0024004499819508486,-0.0010775778995390768,2.0,0.45,0.15,5.0,5000.0,same_time_uniform_random_non_event_particle,1.0,0.0,0.0
4.0,5.0,4.5,293319.0,292946.0,0.008530540612401627,0.008441198528083883,1.0105840520182654,0.000877317155980341,-0.0004198824618769342,2.0,0.45,0.15,5.0,5000.0,same_time_uniform_random_non_event_particle,1.0,0.0,0.0
5.0,7.0,6.0,1051251.0,1050934.0,0.008073758582548593,0.008440937817079506,0.9565001848742497,-0.0006864431506848076,-0.00016311282785698273,2.0,0.45,0.15,5.0,5000.0,same_time_uniform_random_non_event_particle,1.0,0.0,0.0
7.0,10.0,8.5,1953754.0,1954016.0,0.00790951261069516,0.008466152628542006,0.9342511241800389,-0.0013488949486547802,0.00014162916830666791,2.0,0.45,0.15,5.0,5000.0,same_time_uniform_random_non_event_particle,1.0,0.0,0.0
10.0,13.1,11.55,324617.0,324015.0,0.007875332201967244,0.008513229163972139,0.9250699176871139,-0.0008573624053352884,0.0008282017560776533,2.0,0.45,0.15,5.0,5000.0,same_time_uniform_random_non_event_particle,1.0,0.0,0.0
