model,replicate,realization,temperature,block_size,surrogate_seed,surrogate_iteration_count,radial_distribution_maximum_absolute_error,cross_spectral_matrix_nrmse,one_block_msd_relative_error,one_block_ngp_absolute_error,one_block_fs_maximum_absolute_error
radial_multivariate_surrogate,1.0,0.0,0.45,20.0,1211006.0,110.0,2.220446049250313e-16,0.010666711556244783,0.0,2.220446049250313e-16,2.2189779730119596e-05
radial_multivariate_surrogate,1.0,1.0,0.45,20.0,1308415.0,110.0,2.220446049250313e-16,0.010765638574012491,0.0,0.0,1.5368309333796404e-05
radial_multivariate_surrogate,1.0,2.0,0.45,20.0,1405824.0,110.0,4.440892098500626e-16,0.01054048070679009,0.0,2.220446049250313e-16,6.0826739095687365e-05
radial_multivariate_surrogate,1.0,3.0,0.45,20.0,1503233.0,110.0,2.220446049250313e-16,0.010657493464466624,0.0,2.220446049250313e-16,7.324470053526877e-05
radial_multivariate_surrogate,1.0,4.0,0.45,20.0,1600642.0,110.0,2.220446049250313e-16,0.010618480111358547,0.0,2.220446049250313e-16,7.614456927773627e-05
radial_multivariate_surrogate,1.0,5.0,0.45,20.0,1698051.0,110.0,2.220446049250313e-16,0.010848935078830727,0.0,0.0,9.13001538954683e-05
radial_multivariate_surrogate,1.0,6.0,0.45,20.0,1795460.0,110.0,4.440892098500626e-16,0.011093269809664293,0.0,2.220446049250313e-16,9.871843731890095e-05
radial_multivariate_surrogate,1.0,7.0,0.45,20.0,1892869.0,110.0,2.220446049250313e-16,0.01057030809620283,0.0,0.0,5.466604158554933e-05
radial_multivariate_surrogate,2.0,0.0,0.45,20.0,2211009.0,110.0,2.220446049250313e-16,0.010494734656734063,0.0,0.0,2.719795608463471e-05
radial_multivariate_surrogate,2.0,1.0,0.45,20.0,2308418.0,110.0,2.220446049250313e-16,0.010571359200719051,0.0,0.0,4.6304913395078806e-05
radial_multivariate_surrogate,2.0,2.0,0.45,20.0,2405827.0,110.0,2.220446049250313e-16,0.01048555465747152,2.220446049250313e-16,4.440892098500626e-16,6.477308672980797e-05
radial_multivariate_surrogate,2.0,3.0,0.45,20.0,2503236.0,110.0,2.220446049250313e-16,0.01035014268027958,0.0,0.0,3.78515468695273e-05
radial_multivariate_surrogate,2.0,4.0,0.45,20.0,2600645.0,110.0,2.220446049250313e-16,0.010550300502198054,2.220446049250313e-16,6.661338147750939e-16,0.00010679182135986398
radial_multivariate_surrogate,2.0,5.0,0.45,20.0,2698054.0,110.0,2.220446049250313e-16,0.010586999443608393,2.220446049250313e-16,6.661338147750939e-16,1.1720556970296059e-05
radial_multivariate_surrogate,2.0,6.0,0.45,20.0,2795463.0,110.0,2.220446049250313e-16,0.01038444082928827,2.220446049250313e-16,6.661338147750939e-16,1.4915853779773336e-05
radial_multivariate_surrogate,2.0,7.0,0.45,20.0,2892872.0,110.0,2.220446049250313e-16,0.010694544444979685,2.220446049250313e-16,4.440892098500626e-16,1.587829701055199e-05
radial_multivariate_surrogate,3.0,0.0,0.45,20.0,3211012.0,110.0,2.220446049250313e-16,0.010225287350907665,0.0,0.0,1.7172698472123216e-05
radial_multivariate_surrogate,3.0,1.0,0.45,20.0,3308421.0,110.0,2.220446049250313e-16,0.010354377105410437,2.220446049250313e-16,6.661338147750939e-16,6.8447992368492194e-06
radial_multivariate_surrogate,3.0,2.0,0.45,20.0,3405830.0,110.0,2.220446049250313e-16,0.010299851749910485,0.0,0.0,1.7528561448210134e-05
radial_multivariate_surrogate,3.0,3.0,0.45,20.0,3503239.0,110.0,2.220446049250313e-16,0.010386003764372776,0.0,0.0,5.176500314063581e-05
radial_multivariate_surrogate,3.0,4.0,0.45,20.0,3600648.0,110.0,4.440892098500626e-16,0.010320244107498825,0.0,0.0,7.541424931778451e-05
radial_multivariate_surrogate,3.0,5.0,0.45,20.0,3698057.0,110.0,2.220446049250313e-16,0.010202142910248685,0.0,0.0,7.704369507577358e-05
radial_multivariate_surrogate,3.0,6.0,0.45,20.0,3795466.0,110.0,2.220446049250313e-16,0.010243277853146271,0.0,0.0,2.3900666554332872e-05
radial_multivariate_surrogate,3.0,7.0,0.45,20.0,3892875.0,110.0,2.220446049250313e-16,0.010291790031384094,0.0,0.0,7.104318272832533e-05
