model,lag,independent_replicate_count,predicted_msd,observed_msd,ensemble_msd_relative_error,ensemble_msd_mc_relative_se,predicted_ngp,observed_ngp,ensemble_ngp_absolute_error,ensemble_ngp_mc_se,predicted_fs_k2,observed_fs_k2,ensemble_absolute_error_fs_k2,ensemble_fs_k2_mc_se,predicted_fs_k4,observed_fs_k4,ensemble_absolute_error_fs_k4,ensemble_fs_k4_mc_se,predicted_fs_k7p25,observed_fs_k7p25,ensemble_absolute_error_fs_k7p25,ensemble_fs_k7p25_mc_se,temperature,calibration_time,block_size,surrogate_realizations_per_replicate,surrogate_iteration_count,surrogate_base_seed,heldout_path_used_in_prediction,macro_fit_parameter_count,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed
contiguous_empirical_path,20.0,3.0,0.03920546825742555,0.03949186469853002,0.0072520364204308185,0.0,0.6597200432998781,0.6751140847848851,0.015394041485007004,0.0,0.9744123101214384,0.9742347768868321,0.00017753323460623083,0.0,0.9035299285871449,0.9029575283359126,0.0005724002512322857,0.0,0.7279802454348943,0.7268548226920929,0.001125422742801363,0.0,0.45,5000.0,20.0,8.0,110.0,211003.0,0.0,0.0,0.0,0.0,0.0
contiguous_empirical_path,100.0,3.0,0.05659083603195927,0.057100198209926144,0.008920497545284012,0.0,1.5834630847592217,1.591737265317109,0.0082741805578872,0.0,0.9639790450956659,0.9636844599785942,0.00029458511707169954,0.0,0.8717759715057776,0.87093838803019,0.0008375834755875999,0.0,0.6703659111293483,0.6685948251395887,0.0017710859897596132,0.0,0.45,5000.0,20.0,8.0,110.0,211003.0,0.0,0.0,0.0,0.0,0.0
contiguous_empirical_path,200.0,3.0,0.07456257264017895,0.07520056123369138,0.008483827554555678,0.0,1.9774077093607627,2.006542528897479,0.029134819536716483,0.0,0.953619289729251,0.9533016497076988,0.0003176400215522124,0.0,0.8430111843817114,0.8424183294324846,0.0005928549492267843,0.0,0.6248390513097886,0.623679630548327,0.0011594207614615826,0.0,0.45,5000.0,20.0,8.0,110.0,211003.0,0.0,0.0,0.0,0.0,0.0
contiguous_empirical_path,500.0,3.0,0.12314552417901559,0.1262955126161884,0.024941412184181222,0.0,2.1686922649737563,2.164410449673618,0.00428181530013827,0.0,0.9271309570787221,0.9255414798411173,0.0015894772376047195,0.0,0.777385259140767,0.7737458591055776,0.0036394000351893663,0.0,0.5352663746296294,0.5291930232489127,0.0060733513807167405,0.0,0.45,5000.0,20.0,8.0,110.0,211003.0,0.0,0.0,0.0,0.0,0.0
contiguous_empirical_path,1000.0,3.0,0.20237292517802755,0.2096882357573943,0.03488660464400317,0.0,1.9298632012993242,1.9242521838872673,0.00561101741205694,0.0,0.8870705019410708,0.8837103017827217,0.003360200158349147,0.0,0.6908064139664086,0.6839386458670308,0.006867768099377836,0.0,0.43549649723136263,0.4252107551608982,0.010285742070464454,0.0,0.45,5000.0,20.0,8.0,110.0,211003.0,0.0,0.0,0.0,0.0,0.0
contiguous_empirical_path,2000.0,3.0,0.3592617968226974,0.3804918087436149,0.05579623905970288,0.0,1.4656124023325798,1.444557669873739,0.02105473245884082,0.0,0.8154322453793682,0.8061750197934496,0.009257225585918571,0.0,0.5604949612953728,0.5420765220261176,0.018418439269255238,0.0,0.30989503533179513,0.2894792740466868,0.020415761285108358,0.0,0.45,5000.0,20.0,8.0,110.0,211003.0,0.0,0.0,0.0,0.0,0.0
contiguous_empirical_path,3000.0,3.0,0.5147625509727424,0.5428630069869955,0.051763438754496516,0.0,1.2183942617416585,1.188746539691488,0.029647722050170522,0.0,0.7525360043138369,0.7409790220423944,0.011556982271442529,0.0,0.4648999805427764,0.44362214992805216,0.02127783061472427,0.0,0.22896151342082938,0.2129683136864647,0.015993199734364666,0.0,0.45,5000.0,20.0,8.0,110.0,211003.0,0.0,0.0,0.0,0.0,0.0
phase_randomized_cross_spectrum,20.0,3.0,0.03920546825742557,0.03949186469853002,0.0072520364204304855,2.3479486426046438e-17,0.0681906233592904,0.6751140847848851,0.6069234614255947,0.000182161607972032,0.9742244231294253,0.9742347768868321,1.035375740687794e-05,7.560119075658597e-08,0.901067366258372,0.9029575283359126,0.001890162077540558,1.113283940704229e-06,0.7121362242601493,0.7268548226920929,0.014718598431943564,9.53890076344044e-06,0.45,5000.0,20.0,8.0,110.0,211003.0,0.0,0.0,0.0,0.0,0.0
phase_randomized_cross_spectrum,100.0,3.0,0.057203275172694544,0.057100198209926144,0.0018051944826784627,3.87904614896943e-05,0.2016833450116454,1.591737265317109,1.3900539203054636,0.000368666772511891,0.9627224958173449,0.9636844599785942,0.0009619641612492735,1.3628007687817641e-06,0.8604777386280086,0.87093838803019,0.010460649402181388,5.623203514556851e-06,0.6199387055223499,0.6685948251395887,0.04865611961723881,2.6108451969102475e-05,0.45,5000.0,20.0,8.0,110.0,211003.0,0.0,0.0,0.0,0.0,0.0
phase_randomized_cross_spectrum,200.0,3.0,0.07608251135168233,0.07520056123369138,0.011727972551297983,6.352467744490689e-05,0.3554597043431727,2.006542528897479,1.6510828245543065,0.0006901655650239183,0.9509686432854574,0.9533016497076988,0.002333006422241435,2.8875970344957427e-06,0.8219515377415187,0.8424183294324846,0.02046679169096588,1.1208172434787149e-05,0.5475860711299666,0.623679630548327,0.07609355941836038,3.942760015673905e-05,0.45,5000.0,20.0,8.0,110.0,211003.0,0.0,0.0,0.0,0.0,0.0
