temperature,model,segment_length,lag_count,required_replicate_count,required_realization_count,realization_completeness_pass,exact_information_pass,global_source_segment_schedule_preserved,provenance_claim_boundary_pass,stationarity_control_pass,maximum_ensemble_msd_relative_error,maximum_ensemble_ngp_absolute_error,maximum_ensemble_fs_absolute_error,maximum_ensemble_msd_mc_relative_se,maximum_ensemble_ngp_mc_se,maximum_ensemble_fs_mc_se,precision_pass,curve_transfer_pass,cell_pass,full_path_control,memory_length_selectable,heldout_path_used_in_prediction,macro_fit_parameter_count,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed,segment_splice_base_seed,source_ensemble_directory,source_heldout_factorization,source_stationarity_control
0.45,cross_particle_segment_splice,1.0,7.0,3.0,64.0,1.0,1.0,1.0,1.0,1.0,9.854918532627169,2.138179629827508,0.7314533088588488,0.009028216367473698,0.0006095672660620036,0.0002911520902515201,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
0.45,cross_particle_segment_splice,2.0,7.0,3.0,64.0,1.0,1.0,1.0,1.0,1.0,5.200228240177039,2.0886957100974994,0.6314041372252069,0.005304483425282923,0.000693039920872998,0.00033870813435011644,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
0.45,cross_particle_segment_splice,5.0,7.0,3.0,64.0,1.0,1.0,1.0,1.0,1.0,2.202399829841266,1.902373582393282,0.48335549849963255,0.003472799830146288,0.0007669773354482918,0.00040652918365616594,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
0.45,cross_particle_segment_splice,10.0,7.0,3.0,64.0,1.0,1.0,1.0,1.0,1.0,1.1431020155228726,1.6105074681562621,0.379640015179179,0.002877823375870623,0.0012557995949910655,0.000485497702600572,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
0.45,cross_particle_segment_splice,25.0,7.0,3.0,64.0,1.0,1.0,1.0,1.0,1.0,0.44349284585423976,1.1400343309823038,0.2476860434902138,0.0031674718913465676,0.002100928068217471,0.0007008562946485404,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
0.45,cross_particle_segment_splice,50.0,7.0,3.0,64.0,1.0,1.0,1.0,1.0,1.0,0.20732792653904442,0.7413559102624658,0.1627080051886958,0.003624864351839957,0.003299932289730491,0.0009069422612583219,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
0.45,cross_particle_segment_splice,125.0,7.0,3.0,64.0,1.0,1.0,1.0,1.0,1.0,0.040164164814465275,0.38006973183517034,0.08319304861603827,0.0005885712055562299,0.002814988140991752,0.00021920932810269892,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
0.45,cross_particle_segment_splice,250.0,7.0,3.0,64.0,1.0,1.0,1.0,1.0,1.0,0.05579623889785945,0.029647722269497967,0.021277830668952114,1.0776705160064848e-17,4.348889036983259e-17,1.1450445017525648e-17,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
0.45,within_particle_segment_shuffle,1.0,7.0,3.0,64.0,1.0,1.0,1.0,1.0,1.0,6.69397443220646,2.0749136336055303,0.6604185326487921,0.015511512802438097,0.000973691829546526,0.000782787049879924,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
0.45,within_particle_segment_shuffle,2.0,7.0,3.0,64.0,1.0,1.0,1.0,1.0,1.0,3.5167800955624893,2.002409096940417,0.5731592021348874,0.011829353211628322,0.0013739688619876572,0.0011442478170967552,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
0.45,within_particle_segment_shuffle,5.0,7.0,3.0,64.0,1.0,1.0,1.0,1.0,1.0,1.48954751420743,1.7739853882229815,0.38910203695967727,0.0075770408502049275,0.002364130636495499,0.001138042063075275,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
0.45,within_particle_segment_shuffle,10.0,7.0,3.0,64.0,1.0,1.0,1.0,1.0,1.0,0.7935140598026789,1.4672671683194372,0.3088918395835851,0.0060492090973145235,0.0037266368721822676,0.001492463961138699,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
0.45,within_particle_segment_shuffle,25.0,7.0,3.0,64.0,1.0,1.0,1.0,1.0,1.0,0.30415105368274253,0.9271921400087969,0.17728292900482315,0.004805504913015274,0.006829521095327477,0.001675916638442278,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
0.45,within_particle_segment_shuffle,50.0,7.0,3.0,64.0,1.0,1.0,1.0,1.0,1.0,0.1329520744139312,0.5557753560752925,0.10158849237472362,0.00508355468889809,0.00935203518834568,0.002142490474228193,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
0.45,within_particle_segment_shuffle,125.0,7.0,3.0,64.0,1.0,1.0,1.0,1.0,1.0,0.03754515026408356,0.34699591692300336,0.06927390721253918,1.2146284525730183e-17,1.8649993796673673e-17,1.1420742126980517e-17,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
0.45,within_particle_segment_shuffle,250.0,7.0,3.0,64.0,1.0,1.0,1.0,1.0,1.0,0.05579623889785945,0.029647722269497967,0.021277830668952058,1.0960304739061171e-17,9.324996898336837e-18,1.3187537082715e-17,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
