model,temperature,segment_length,tau_L,replicate,lag,block_size,block_count,realization_count,particle_window_count,predicted_msd,observed_msd,msd_relative_error,predicted_msd_mc_se,predicted_ngp,observed_ngp,ngp_absolute_error,predicted_ngp_mc_se,heldout_path_used_in_prediction,macro_fit_parameter_count,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed,predicted_fs_k2,observed_fs_k2,absolute_error_fs_k2,predicted_fs_k2_mc_se,predicted_fs_k4,observed_fs_k4,absolute_error_fs_k4,predicted_fs_k4_mc_se,predicted_fs_k7p25,observed_fs_k7p25,absolute_error_fs_k7p25,predicted_fs_k7p25_mc_se,segment_splice_base_seed,source_ensemble_directory,source_heldout_factorization,source_stationarity_control
cross_particle_segment_splice,0.45,1.0,20.0,1.0,20.0,20.0,1.0,64.0,819250.0,0.03929389062211697,0.039439034265083064,0.0036802027653755065,1.5454145018806638e-19,0.6731497960577879,0.6894572448102572,0.016307448752469256,1.6401792154598883e-17,0.0,0.0,0.0,0.0,0.0,0.9743614743712827,0.9742726065504118,8.886782087091927e-05,1.6401792154598883e-17,0.9034047335541044,0.9031194881740169,0.00028524538008756206,1.3987495347505254e-17,0.7279313603012416,0.7273620752980499,0.0005692850031917551,9.25185853854297e-18,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
cross_particle_segment_splice,0.45,1.0,20.0,1.0,100.0,20.0,5.0,64.0,806142.0,0.19653231191385956,0.0570676716703697,2.443846685196056,3.621565959992895e-05,0.13548973097878197,1.6297339342658397,1.4942442032870578,0.0003075594710985379,0.0,0.0,0.0,0.0,0.0,0.8781816160834508,0.9637263303218477,0.08554471423839694,2.0448086055280463e-05,0.6016807627826251,0.8712844740845151,0.2696037113018901,5.3124533398979494e-05,0.20437013154068379,0.6701586799370863,0.46578854839640255,6.635238476077452e-05,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
cross_particle_segment_splice,0.45,1.0,20.0,1.0,200.0,20.0,10.0,64.0,789757.0,0.3931590514093002,0.07543971565197483,4.211565924016155,0.00011145173545285053,0.06830089001676998,2.0528096750212144,1.9845087850044445,0.00029454778933944665,0.0,0.0,0.0,0.0,0.0,0.7711678461161251,0.9531991465279716,0.18203130041184645,5.6310090127671156e-05,0.36198471661117626,0.8424536039827798,0.48046888737160354,0.00010793283427529186,0.04176544076706458,0.6251232912663965,0.583357850499332,9.818569322393309e-05,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
cross_particle_segment_splice,0.45,1.0,20.0,1.0,500.0,20.0,25.0,64.0,740602.0,0.9834919976431904,0.12726889615088294,6.727669740116367,0.00045501137334447584,0.027117818196246653,2.240207131422164,2.2130893132259173,0.00036347986340272377,0.0,0.0,0.0,0.0,0.0,0.5220183463431275,0.9252086699236458,0.4031903235805183,0.0001617549787746487,0.07851232716382617,0.7741688168233672,0.6956564896595411,0.00016094871423580584,0.0003692949020005247,0.533395281820343,0.5330259869183425,0.0001231945216012156,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
cross_particle_segment_splice,0.45,1.0,20.0,1.0,1000.0,20.0,50.0,64.0,658677.0,1.9680120357226858,0.21371648432894896,8.208517732743317,0.0013067302988885982,0.01349607210762276,2.035011317785304,2.0215152456776813,0.0005341537514543365,0.0,0.0,0.0,0.0,0.0,0.27242196918215367,0.8825336715723144,0.6101117023901608,0.0002646457949429834,0.0063008554292265165,0.6840225543370759,0.6777216989078494,0.0001666889444548054,6.82163237211271e-05,0.43196745142274323,0.4318992350990221,0.0001103067653803087,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
cross_particle_segment_splice,0.45,1.0,20.0,1.0,2000.0,20.0,100.0,64.0,494827.0,3.9379581579890575,0.38494087781746295,9.230033714051064,0.004351482230368666,0.007043476549397559,1.5320813966552245,1.5250379201058268,0.0008668286979517879,0.0,0.0,0.0,0.0,0.0,0.07458622649639518,0.8061233874084176,0.7315371609120225,0.0003874794719177451,0.00020798713926387834,0.5436221107653332,0.5434141236260693,0.00021307648489755581,-0.00025199252067125766,0.29754222992878293,0.2977942224494542,0.0001363284483541202,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
cross_particle_segment_splice,0.45,1.0,20.0,1.0,3000.0,20.0,150.0,64.0,330977.0,5.9116100231141,0.5507382500974113,9.733973937834335,0.008491677326542636,0.005733575657323247,1.3301724324025965,1.3244388567452732,0.0011070722258516611,0.0,0.0,0.0,0.0,0.0,0.021017083681375025,0.7425593344166428,0.7215422507352678,0.0004935327088735662,0.00023358248128670485,0.44897180267658227,0.4487382201952956,0.0002502812524636418,-0.00016144939046329487,0.22221602781950803,0.22237747720997134,0.0001744575291163425,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
cross_particle_segment_splice,0.45,2.0,40.0,1.0,20.0,20.0,1.0,64.0,819250.0,0.03929389062211697,0.039439034265083064,0.0036802027653755065,0.0,0.6731497960577879,0.6894572448102572,0.016307448752469256,1.1597818456129184e-17,0.0,0.0,0.0,0.0,0.0,0.9743614743712827,0.9742726065504118,8.886782087091927e-05,1.6679025177028005e-17,0.9034047335541044,0.9031194881740169,0.00028524538008756206,1.3987495347505254e-17,0.7279313603012416,0.7273620752980499,0.0005692850031917551,9.73488476513631e-18,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
cross_particle_segment_splice,0.45,2.0,40.0,1.0,100.0,20.0,5.0,64.0,806142.0,0.12887566678588616,0.0570676716703697,1.2582955115163763,2.4151452243839948e-05,0.3180791888633879,1.6297339342658397,1.3116547454024519,0.0005298461442250569,0.0,0.0,0.0,0.0,0.0,0.9186902621256804,0.9637263303218477,0.045036068196167345,1.3858276699686686e-05,0.7201879989522872,0.8712844740845151,0.1510964751322279,3.93283313496915e-05,0.3646119125215638,0.6701586799370863,0.30554676741552256,6.874196269976483e-05,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
cross_particle_segment_splice,0.45,2.0,40.0,1.0,200.0,20.0,10.0,64.0,789757.0,0.24073116024321367,0.07543971565197483,2.1910401326772755,7.118175524623402e-05,0.18783563812927345,2.0528096750212144,1.864974036891941,0.0005891703137895993,0.0,0.0,0.0,0.0,0.0,0.8536771358576225,0.9531991465279716,0.09952201067034905,3.7137463781352434e-05,0.5432324804567495,0.8424536039827798,0.29922112352603025,8.754186038871842e-05,0.15547108129075843,0.6251232912663965,0.4696522099756381,0.00011373387089525374,20260718,/Users/luicy/AI/renewal-cage-arxiv/tmp/ka_replicates/T045,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_event_oracle_factorization_rows.csv,/Users/luicy/AI/renewal-cage-arxiv/.worktrees/segment-splice-gate/data/renewal_cage_ka_replicates_T045_nonlinear_path_stationarity.csv
