distance_midpoint,replicate,covariance_excess_over_all_pairs,within_replicate_block_count,uncertainty_scope,spatial_measurement_claim_allowed,spatial_model_claim_allowed,thermodynamic_claim_allowed
0.55,1.0,0.0014551447356570416,10.0,within_trajectory_block_average,1.0,0.0,0.0
0.55,2.0,0.0013678430744833803,10.0,within_trajectory_block_average,1.0,0.0,0.0
0.55,3.0,0.001538532889809318,10.0,within_trajectory_block_average,1.0,0.0,0.0
1.25,1.0,0.0011693595827776328,10.0,within_trajectory_block_average,1.0,0.0,0.0
1.25,2.0,0.0009378814162217394,10.0,within_trajectory_block_average,1.0,0.0,0.0
1.25,3.0,0.0011116615243444473,10.0,within_trajectory_block_average,1.0,0.0,0.0
1.6,1.0,0.0005857606328101138,10.0,within_trajectory_block_average,1.0,0.0,0.0
1.6,2.0,0.0004515077308929939,10.0,within_trajectory_block_average,1.0,0.0,0.0
1.6,3.0,0.000615152397499731,10.0,within_trajectory_block_average,1.0,0.0,0.0
2.15,1.0,0.0003216789070873146,10.0,within_trajectory_block_average,1.0,0.0,0.0
2.15,2.0,0.0002637439485908307,10.0,within_trajectory_block_average,1.0,0.0,0.0
2.15,3.0,0.0003300212336501549,10.0,within_trajectory_block_average,1.0,0.0,0.0
3.0,1.0,0.0001115663609965443,10.0,within_trajectory_block_average,1.0,0.0,0.0
3.0,2.0,8.399550819313483e-05,10.0,within_trajectory_block_average,1.0,0.0,0.0
3.0,3.0,0.00011698393631709791,10.0,within_trajectory_block_average,1.0,0.0,0.0
4.25,1.0,1.8218190320078234e-05,10.0,within_trajectory_block_average,1.0,0.0,0.0
4.25,2.0,4.449930537257816e-06,10.0,within_trajectory_block_average,1.0,0.0,0.0
4.25,3.0,1.99226352578126e-05,10.0,within_trajectory_block_average,1.0,0.0,0.0
6.25,1.0,-1.122387667932494e-05,10.0,within_trajectory_block_average,1.0,0.0,0.0
6.25,2.0,-1.479077456048562e-05,10.0,within_trajectory_block_average,1.0,0.0,0.0
6.25,3.0,-1.5217427488645357e-05,10.0,within_trajectory_block_average,1.0,0.0,0.0
10.3,1.0,-2.389394811130793e-05,10.0,within_trajectory_block_average,1.0,0.0,0.0
10.3,2.0,-1.2945363645706316e-05,10.0,within_trajectory_block_average,1.0,0.0,0.0
10.3,3.0,-2.2018348719329232e-05,10.0,within_trajectory_block_average,1.0,0.0,0.0
