distance_low,distance_high,distance_midpoint,pair_count,count_window,window_count,retained_event_count,count_covariance,all_pair_covariance_null,covariance_excess_over_all_pairs,normalized_covariance_excess,temperature,block_index,spatial_block,threshold,half_window,uncertainty_scope,independent_replicate_count,spatial_model_claim_allowed,thermodynamic_claim_allowed
0.0,1.1,0.55,8200.0,100.0,10.0,659.0,0.0014749707866709037,-6.140651280779144e-06,0.0014811114379516827,0.07362569503981109,0.45,0.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.1,1.4,1.25,10483.0,100.0,10.0,659.0,0.001548314984597618,-6.140651280779144e-06,0.001554455635878397,0.07727161756199472,0.45,0.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.4,1.8,1.6,15439.0,100.0,10.0,659.0,0.0005135205146700342,-6.140651280779144e-06,0.0005196611659508134,0.025832232165622766,0.45,0.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.8,2.5,2.15,64005.0,100.0,10.0,659.0,0.0005243915061558817,-6.140651280779144e-06,0.0005305321574366608,0.02637262655014274,0.45,0.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
2.5,3.5,3.0,179778.0,100.0,10.0,659.0,0.00019703565440778718,-6.140651280779144e-06,0.00020317630568856632,0.010099845520489334,0.45,0.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
3.5,5.0,4.25,544418.0,100.0,10.0,659.0,4.374672040804349e-05,-6.140651280779144e-06,4.9887371688822636e-05,0.0024798893048713208,0.45,0.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
5.0,7.5,6.25,1957015.0,100.0,10.0,659.0,-1.5030760385904847e-05,-6.140651280779144e-06,-8.890109105125702e-06,-0.0004419251955476327,0.45,0.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
7.5,13.1,10.3,2588388.0,100.0,10.0,659.0,-5.122986040775766e-05,-6.140651280779144e-06,-4.508920912697852e-05,-0.002241373792481295,0.45,0.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
0.0,1.1,0.55,8211.0,100.0,10.0,495.0,0.0012741569879682405,-4.53888101532439e-06,0.0012786958689835648,0.08599527130403169,0.45,1.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.1,1.4,1.25,10489.0,100.0,10.0,495.0,0.0009201157088755768,-4.53888101532439e-06,0.0009246545898909012,0.06218517182150076,0.45,1.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
