distance_low,distance_high,distance_midpoint,pair_count,count_window,window_count,retained_event_count,count_covariance,all_pair_covariance_null,covariance_excess_over_all_pairs,normalized_covariance_excess,temperature,block_index,spatial_block,threshold,half_window,uncertainty_scope,independent_replicate_count,spatial_model_claim_allowed,thermodynamic_claim_allowed
0.0,1.1,0.55,8240.0,100.0,10.0,564.0,0.0015075116981739427,-4.963163211685909e-06,0.0015124748613856286,0.09302200903535243,0.45,0.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.1,1.4,1.25,10453.0,100.0,10.0,564.0,0.000947695576945683,-4.963163211685909e-06,0.0009526587401573689,0.05859153907083131,0.45,0.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.4,1.8,1.6,15436.0,100.0,10.0,564.0,0.0004578203184498009,-4.963163211685909e-06,0.00046278348166148677,0.028462654363119802,0.45,0.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.8,2.5,2.15,64258.0,100.0,10.0,564.0,0.0003006710643576323,-4.963163211685909e-06,0.0003056342275693182,0.01879747598080391,0.45,0.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
2.5,3.5,3.0,179516.0,100.0,10.0,564.0,9.760198673425358e-05,-4.963163211685909e-06,0.00010256514994593949,0.006308082566240341,0.45,0.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
3.5,5.0,4.25,544155.0,100.0,10.0,564.0,4.787829737897549e-06,-4.963163211685909e-06,9.750992949583458e-06,0.0005997170448365834,0.45,0.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
5.0,7.5,6.25,1955941.0,100.0,10.0,564.0,-3.178463186646177e-05,-4.963163211685909e-06,-2.6821468654775858e-05,-0.0016496055327889822,0.45,0.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
7.5,13.1,10.3,2589727.0,100.0,10.0,564.0,-1.28639309338601e-05,-4.963163211685909e-06,-7.900767722174191e-06,-0.0004859223152740539,0.45,0.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
0.0,1.1,0.55,8261.0,100.0,10.0,630.0,0.0015120935731733945,-5.585553563344958e-06,0.0015176791267367395,0.08294111075196108,0.45,1.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.1,1.4,1.25,10364.0,100.0,10.0,630.0,0.001065947020723377,-5.585553563344958e-06,0.001071532574286722,0.0585592173948804,0.45,1.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.4,1.8,1.6,15584.0,100.0,10.0,630.0,0.0006136566125963252,-5.585553563344958e-06,0.0006192421661596701,0.03384156254172601,0.45,1.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.8,2.5,2.15,64094.0,100.0,10.0,630.0,0.00034445920838475864,-5.585553563344958e-06,0.0003500447619481036,0.019129933895386354,0.45,1.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
2.5,3.5,3.0,179759.0,100.0,10.0,630.0,0.00013133458936952967,-5.585553563344958e-06,0.00013692014293287464,0.007482680982499795,0.45,1.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
3.5,5.0,4.25,543603.0,100.0,10.0,630.0,4.5421261312979245e-06,-5.585553563344958e-06,1.0127679694642883e-05,0.0005534773381379392,0.45,1.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
5.0,7.5,6.25,1956562.0,100.0,10.0,630.0,-2.9555608268079196e-05,-5.585553563344958e-06,-2.3970054704734238e-05,-0.001309962644258459,0.45,1.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
7.5,13.1,10.3,2589499.0,100.0,10.0,630.0,-2.0626345863681142e-05,-5.585553563344958e-06,-1.5040792300336184e-05,-0.0008219787687676497,0.45,1.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
0.0,1.1,0.55,8210.0,100.0,10.0,480.0,0.0012863406733528695,-4.5488900897208595e-06,0.0012908895634425905,0.08662430296474034,0.45,2.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.1,1.4,1.25,10497.0,100.0,10.0,480.0,0.000958179964845712,-4.5488900897208595e-06,0.0009627288549354328,0.0646032924616896,0.45,2.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
1.4,1.8,1.6,15412.0,100.0,10.0,480.0,0.0004852185423555191,-4.5488900897208595e-06,0.00048976743244524,0.03286552440416121,0.45,2.0,1000.0,0.2,5.0,single_trajectory_nonoverlapping_time_blocks,1.0,0.0,0.0
