replicate,temperature,block_size,block_lag,lag_time,heldout_identity_correlation,hybrid_prediction,markov_hmm_prediction
1.0,0.45,20.0,1.0,20.0,0.2534134938807104,0.20887351166775203,0.2263808223926345
1.0,0.45,20.0,2.0,40.0,0.1933360021003892,0.17325216673495727,0.1973006405390069
1.0,0.45,20.0,3.0,60.0,0.16905313881997194,0.14801702315764614,0.17195600910746114
1.0,0.45,20.0,4.0,80.0,0.15308557770565187,0.1298651020813426,0.14986707081835052
1.0,0.45,20.0,5.0,100.0,0.14391250194777575,0.11655405851931351,0.13061560937737504
1.0,0.45,20.0,6.0,120.0,0.1302432394091692,0.10656124701084577,0.11383713126482252
1.0,0.45,20.0,7.0,140.0,0.11775927148655142,0.09885239038942377,0.0992139646737287
1.0,0.45,20.0,8.0,160.0,0.11062568070651438,0.09272461620189373,0.08646924493714518
1.0,0.45,20.0,9.0,180.0,0.10535943492169879,0.08769995290927954,0.07536167256886021
1.0,0.45,20.0,10.0,200.0,0.09878322424972436,0.08345306396524134,0.06568094467003226
1.0,0.45,20.0,11.0,220.0,0.09400760358975249,0.07976221292850767,0.057243773203228994
1.0,0.45,20.0,12.0,240.0,0.0931195010122386,0.0764759912742204,0.049890414746696254
1.0,0.45,20.0,13.0,260.0,0.0872381321567216,0.0734907415084166,0.0434816460256845
1.0,0.45,20.0,14.0,280.0,0.08380598553174116,0.07073523726871138,0.037896127957687986
1.0,0.45,20.0,15.0,300.0,0.08111670934376587,0.06816028745243516,0.03302810830429811
1.0,0.45,20.0,16.0,320.0,0.07949951435129841,0.06573168141815425,0.0287854194333103
1.0,0.45,20.0,17.0,340.0,0.07453286923064963,0.06342540119767856,0.02508773328213195
1.0,0.45,20.0,18.0,360.0,0.0730470357482245,0.061224371947156374,0.021865040483205887
1.0,0.45,20.0,19.0,380.0,0.06892231777312278,0.05911625615214338,0.0190563248562887
1.0,0.45,20.0,20.0,400.0,0.06813682531875395,0.057091956068864344,0.016608408171360577
1.0,0.45,20.0,21.0,420.0,0.06686692244886233,0.05514459674600453,0.01447494330972681
1.0,0.45,20.0,22.0,440.0,0.06526776265298374,0.05326883515771466,0.012615536760537149
1.0,0.45,20.0,23.0,460.0,0.06399542467611355,0.0514603906367485,0.010994983838694416
1.0,0.45,20.0,24.0,480.0,0.060160247983971384,0.04971572549065582,0.009582602144310514
1.0,0.45,20.0,25.0,500.0,0.05978722716253791,0.0480318275459495,0.008351650643903832
1.0,0.45,20.0,26.0,520.0,0.06111850452257274,0.046406061877455815,0.007278823374633378
1.0,0.45,20.0,27.0,540.0,0.056929684127716866,0.04483606950544337,0.006343808185724599
1.0,0.45,20.0,28.0,560.0,0.055791038546586916,0.043319697984812514,0.0055289021626099616
1.0,0.45,20.0,29.0,580.0,0.052718545464615435,0.041854953656411634,0.004818676452497672
1.0,0.45,20.0,30.0,600.0,0.05353463587611631,0.04043996861852278,0.004199684145413516
1.0,0.45,50.0,1.0,50.0,0.3448526730329156,0.30569104658018925,0.3297506320188556
1.0,0.45,50.0,2.0,100.0,0.2603708713273364,0.2297351456452355,0.24697195035823097
1.0,0.45,50.0,3.0,150.0,0.21359006047361645,0.1856759365752516,0.18497354770880534
1.0,0.45,50.0,4.0,200.0,0.18040036553150288,0.15902724990310677,0.13853886363351292
1.0,0.45,50.0,5.0,250.0,0.16618301520877635,0.14193607329080304,0.10376087270099668
1.0,0.45,50.0,6.0,300.0,0.1472113250966482,0.1301427740241622,0.07771334643074147
1.0,0.45,50.0,7.0,350.0,0.13698916811184833,0.12133447350988091,0.05820463972838604
1.0,0.45,50.0,8.0,400.0,0.12651455338137194,0.11425307701209407,0.04359328534295484
1.0,0.45,50.0,9.0,450.0,0.11604281884892048,0.1082120921315355,0.032649880419506845
1.0,0.45,50.0,10.0,500.0,0.10996262657015542,0.1028348840352313,0.02445364424868648
1.0,0.45,50.0,11.0,550.0,0.1052451667820065,0.09791288095930965,0.018314943557467083
1.0,0.45,50.0,12.0,600.0,0.09530523801139779,0.093328755886208,0.013717266600507727
2.0,0.45,20.0,1.0,20.0,0.2574560708669135,0.21006107597575224,0.22756951306366557
2.0,0.45,20.0,2.0,40.0,0.19856114685199092,0.17362219578303312,0.19765710707615144
2.0,0.45,20.0,3.0,60.0,0.17639199135941686,0.14775024780105628,0.1716764756919935
2.0,0.45,20.0,4.0,80.0,0.15923831983803047,0.12909049888669202,0.1491108148955587
2.0,0.45,20.0,5.0,100.0,0.14516300429745632,0.1153651414824905,0.12951125091074142
2.0,0.45,20.0,6.0,120.0,0.13846320493772774,0.10502713834255803,0.11248791125052468
2.0,0.45,20.0,7.0,140.0,0.1312363298479866,0.0970253480681563,0.0977021694140432
2.0,0.45,20.0,8.0,160.0,0.1228832504353808,0.0906451566742369,0.08485990896346983
2.0,0.45,20.0,9.0,180.0,0.11372048549763172,0.08540034137840928,0.0737056729904436
2.0,0.45,20.0,10.0,200.0,0.1078643595239298,0.08095969641102423,0.0640175825938345
2.0,0.45,20.0,11.0,220.0,0.10385833101177756,0.07709724552748089,0.05560292328773372
2.0,0.45,20.0,12.0,240.0,0.09716607585032824,0.07365845857318638,0.048294311544956066
2.0,0.45,20.0,13.0,260.0,0.09686118149352249,0.07053732713990933,0.04194636522133726
2.0,0.45,20.0,14.0,280.0,0.09327341992456768,0.06766080836600433,0.036432811629252354
2.0,0.45,20.0,15.0,300.0,0.0870808509783889,0.06497826820997382,0.03164397573445506
