replicate,temperature,block_size,count_value,heldout_probability,hybrid_probability
1.0,0.45,20.0,0.0,0.9201403722917303,0.9192801974301961
1.0,0.45,20.0,1.0,0.060295392126945374,0.06431658429930978
1.0,0.45,20.0,2.0,0.016083002746414405,0.013851212895464399
1.0,0.45,20.0,3.0,0.0030051876716509,0.002248420073857295
1.0,0.45,20.0,4.0,0.0004247787610619469,0.00027444230720447644
1.0,0.45,20.0,5.0,4.8825144949649066e-05,2.6800124900535343e-05
1.0,0.45,20.0,6.0,2.4412572474824533e-06,2.180930194139322e-06
1.0,0.45,50.0,0.0,0.8458895331095514,0.8421547239800742
1.0,0.45,50.0,1.0,0.08718339945071713,0.09435876412392974
1.0,0.45,50.0,2.0,0.041367104058590176,0.042101171946237956
1.0,0.45,50.0,3.0,0.01689655172413793,0.01572890896113035
1.0,0.45,50.0,4.0,0.006130607262740311,0.004433502129119398
1.0,0.45,50.0,5.0,0.0019102837961550198,0.0009998730642146363
1.0,0.45,50.0,6.0,0.0004851998779371376,0.0001879156469267124
1.0,0.45,50.0,7.0,0.00010680500457735734,3.02715221931874e-05
1.0,0.45,50.0,8.0,2.74641440341776e-05,4.26691144863393e-06
1.0,0.45,50.0,9.0,3.0515715593530666e-06,5.346141849827459e-07
2.0,0.45,20.0,0.0,0.928273420811718,0.9190689112735962
2.0,0.45,20.0,1.0,0.05446566981995728,0.06430551173582975
2.0,0.45,20.0,2.0,0.014222764723832774,0.014025922939859034
2.0,0.45,20.0,3.0,0.0026133658834299666,0.002288896466245811
2.0,0.45,20.0,4.0,0.00038571864510222767,0.0002807798764208358
2.0,0.45,20.0,5.0,3.4177601464754346e-05,2.755586072115028e-05
2.0,0.45,20.0,6.0,4.882514494964907e-06,2.253621997351577e-06
2.0,0.45,50.0,0.0,0.8608513884650595,0.84257413161676
2.0,0.45,50.0,1.0,0.07980469942020141,0.09325400681165563
2.0,0.45,50.0,2.0,0.03722306988098871,0.042374308733053014
2.0,0.45,50.0,3.0,0.014675007628928899,0.015983658032907074
2.0,0.45,50.0,4.0,0.0051296917912725054,0.00454610661355388
2.0,0.45,50.0,5.0,0.0016722612145254807,0.0010345314347413469
2.0,0.45,50.0,6.0,0.00047299359169972535,0.00019618582227244694
2.0,0.45,50.0,7.0,0.000137320720170888,3.188928492926706e-05
2.0,0.45,50.0,8.0,2.4412572474824533e-05,4.5355503898783916e-06
2.0,0.45,50.0,9.0,6.103143118706133e-06,5.734066023963315e-07
2.0,0.45,50.0,10.0,3.0515715593530666e-06,6.524359627115375e-08
3.0,0.45,20.0,0.0,0.9131644797070492,0.9205742092815936
3.0,0.45,20.0,1.0,0.06581995727799816,0.06314948670085835
3.0,0.45,20.0,2.0,0.01723405553860238,0.013751166840749672
3.0,0.45,20.0,3.0,0.0032932560268538295,0.002225763381610556
3.0,0.45,20.0,4.0,0.00042722001830942935,0.00027073355733390954
3.0,0.45,20.0,5.0,5.736954531583766e-05,2.6345718026788145e-05
3.0,0.45,20.0,6.0,3.6618858712236804e-06,2.136470983745425e-06
3.0,0.45,50.0,0.0,0.8312725053402502,0.8453632008266797
3.0,0.45,50.0,1.0,0.0970155630149527,0.09140426976611488
3.0,0.45,50.0,2.0,0.04475434848947208,0.041877796811819024
3.0,0.45,50.0,3.0,0.017735733902960023,0.0156965436141741
3.0,0.45,50.0,4.0,0.006325907842538908,0.004432733058114747
3.0,0.45,50.0,5.0,0.002111687519072322,0.0010015414217161252
3.0,0.45,50.0,6.0,0.000643881599023497,0.00018857573199422537
3.0,0.45,50.0,7.0,0.00011901129081476961,3.043378127991469e-05
3.0,0.45,50.0,8.0,1.83094293561184e-05,4.297680060114106e-06
3.0,0.45,50.0,9.0,3.0515715593530666e-06,5.394605927317558e-07
