replicate,temperature,block_size,first_count,second_count,heldout_probability,hybrid_probability
1.0,0.45,20.0,0.0,0.0,0.8673154626439845,0.862558125983001
1.0,0.45,20.0,0.0,1.0,0.040543008163260306,0.04566250173484804
1.0,0.45,20.0,0.0,2.0,0.010138815867681896,0.00934065011758346
1.0,0.45,20.0,0.0,3.0,0.0017917259517165396,0.0015144419931271656
1.0,0.45,20.0,0.0,4.0,0.00023039978038489017,0.00018484856492824057
1.0,0.45,20.0,0.0,5.0,2.0834022694378367e-05,1.8051015500219374e-05
1.0,0.45,20.0,0.0,6.0,1.2255307467281393e-06,1.4689485413680085e-06
1.0,0.45,20.0,1.0,0.0,0.04056261665520795,0.04566250173484804
1.0,0.45,20.0,1.0,1.0,0.014486998957073335,0.014503708159674318
1.0,0.45,20.0,1.0,2.0,0.004267298060107381,0.0035033339221210943
1.0,0.45,20.0,1.0,3.0,0.0008725778916704352,0.0005700656116418366
1.0,0.45,20.0,1.0,4.0,0.000140936035873736,6.958558007058406e-05
1.0,0.45,20.0,1.0,5.0,1.960849194765023e-05,6.795249671727041e-06
1.0,0.45,20.0,1.0,6.0,1.2255307467281393e-06,5.529812087299801e-07
1.0,0.45,20.0,2.0,0.0,0.010147394582908992,0.00934065011758346
1.0,0.45,20.0,2.0,1.0,0.004291808675041944,0.0035033339221210943
1.0,0.45,20.0,2.0,2.0,0.0013309263909467592,0.0008501902188424789
1.0,0.45,20.0,2.0,3.0,0.0002965784407082097,0.00013835657804246924
1.0,0.45,20.0,2.0,4.0,4.289357613548488e-05,1.6888653165655038e-05
1.0,0.45,20.0,2.0,5.0,6.127653733640696e-06,1.649229896659919e-06
1.0,0.45,20.0,2.0,6.0,0.0,1.3421039497240175e-07
1.0,0.45,20.0,3.0,0.0,0.0017794706442492583,0.0015144419931271656
1.0,0.45,20.0,3.0,1.0,0.0008725778916704352,0.0005700656116418366
1.0,0.45,20.0,3.0,2.0,0.0003063826866820348,0.00013835657804246924
1.0,0.45,20.0,3.0,3.0,4.289357613548488e-05,2.2515641296983704e-05
1.0,0.45,20.0,3.0,4.0,1.1029776720553254e-05,2.7483974804605005e-06
1.0,0.45,20.0,3.0,5.0,1.2255307467281393e-06,2.6838962535791917e-07
1.0,0.45,20.0,3.0,6.0,0.0,2.184090750430898e-08
1.0,0.45,20.0,4.0,0.0,0.00023652743411853088,0.00018484856492824057
1.0,0.45,20.0,4.0,1.0,0.00012377860541954206,6.958558007058406e-05
1.0,0.45,20.0,4.0,2.0,5.392335285603813e-05,1.6888653165655038e-05
1.0,0.45,20.0,4.0,3.0,1.1029776720553254e-05,2.7483974804605005e-06
1.0,0.45,20.0,4.0,4.0,1.2255307467281393e-06,3.3548627891090907e-07
1.0,0.45,20.0,4.0,5.0,0.0,3.2761286295389615e-08
1.0,0.45,20.0,4.0,6.0,0.0,2.6660353310816848e-09
1.0,0.45,20.0,5.0,0.0,2.5736145681290926e-05,1.8051015500219374e-05
1.0,0.45,20.0,5.0,1.0,1.593189970746581e-05,6.795249671727041e-06
1.0,0.45,20.0,5.0,2.0,4.902122986912557e-06,1.649229896659919e-06
1.0,0.45,20.0,5.0,3.0,1.2255307467281393e-06,2.6838962535791917e-07
1.0,0.45,20.0,5.0,4.0,0.0,3.2761286295389615e-08
1.0,0.45,20.0,5.0,5.0,1.2255307467281393e-06,3.1992422557877725e-09
1.0,0.45,20.0,5.0,6.0,0.0,2.6034670341438993e-10
1.0,0.45,20.0,6.0,0.0,2.4510614934562785e-06,1.4689485413680085e-06
1.0,0.45,20.0,6.0,1.0,0.0,5.529812087299801e-07
1.0,0.45,20.0,6.0,2.0,0.0,1.3421039497240175e-07
1.0,0.45,20.0,6.0,3.0,0.0,2.184090750430898e-08
1.0,0.45,20.0,6.0,4.0,0.0,2.6660353310816848e-09
1.0,0.45,20.0,6.0,5.0,0.0,2.6034670341438993e-10
1.0,0.45,20.0,6.0,6.0,0.0,2.118639370185809e-11
1.0,0.45,50.0,0.0,0.0,0.762356553018744,0.7568123064105665
1.0,0.45,50.0,0.0,1.0,0.052104813777074994,0.05460692319641412
1.0,0.45,50.0,0.0,2.0,0.020722945043970372,0.020421398251288886
1.0,0.45,50.0,0.0,3.0,0.007299112578331376,0.007586279006448445
1.0,0.45,50.0,0.0,4.0,0.0023672797551345004,0.0021380603724990904
1.0,0.45,50.0,0.0,5.0,0.0006688798266460763,0.000482188219345316
1.0,0.45,50.0,0.0,6.0,0.00014487258918140822,9.062220805864315e-05
1.0,0.45,50.0,0.0,7.0,3.0823955144980475e-05,1.4598423403813497e-05
1.0,0.45,50.0,0.0,8.0,1.2329582057992189e-05,2.0577154843390483e-06
1.0,0.45,50.0,0.0,9.0,0.0,2.5781736973650044e-07
1.0,0.45,50.0,0.0,10.0,0.0,2.9072443192203968e-08
1.0,0.45,50.0,1.0,0.0,0.052477783634329256,0.05460692319641412
1.0,0.45,50.0,1.0,1.0,0.018269358214429925,0.02188818514333382
1.0,0.45,50.0,1.0,2.0,0.010011620631089657,0.011825879313660633
1.0,0.45,50.0,1.0,3.0,0.00427836497412329,0.004440643518038152
1.0,0.45,50.0,1.0,4.0,0.0016398344137129612,0.0012518296789544785
1.0,0.45,50.0,1.0,5.0,0.0004685241182037032,0.0002823217684072547
1.0,0.45,50.0,1.0,6.0,0.0001356254026379141,5.305941619233946e-05
1.0,0.45,50.0,1.0,7.0,1.5411977572490238e-05,8.547395192436892e-06
1.0,0.45,50.0,1.0,8.0,3.0823955144980473e-06,1.204794994155202e-06
1.0,0.45,50.0,1.0,9.0,3.0823955144980473e-06,1.5095239299570555e-07
1.0,0.45,50.0,1.0,10.0,0.0,1.7021951913404195e-08
1.0,0.45,50.0,2.0,0.0,0.021068173341594155,0.020421398251288886
1.0,0.45,50.0,2.0,1.0,0.009842088877792265,0.011825879313660633
1.0,0.45,50.0,2.0,2.0,0.0059767649026117135,0.006522268064617506
1.0,0.45,50.0,2.0,3.0,0.002811144709222219,0.0024503259595515057
1.0,0.45,50.0,2.0,4.0,0.0010788384300743166,0.0006907614542546608
1.0,0.45,50.0,2.0,5.0,0.00044078255857322074,0.00015578560665985996
1.0,0.45,50.0,2.0,6.0,0.0001171310295509258,2.927827151479896e-05
1.0,0.45,50.0,2.0,7.0,3.698874617397657e-05,4.716466466870559e-06
1.0,0.45,50.0,2.0,8.0,6.1647910289960945e-06,6.648078229063913e-07
1.0,0.45,50.0,2.0,9.0,0.0,8.329577416642607e-08
1.0,0.45,50.0,2.0,10.0,0.0,9.392740547617678e-09
1.0,0.45,50.0,3.0,0.0,0.007243629459070412,0.0075862790064484455
1.0,0.45,50.0,3.0,1.0,0.004269117787579796,0.004440643518038152
1.0,0.45,50.0,3.0,2.0,0.0028943693881136666,0.0024503259595515057
1.0,0.45,50.0,3.0,3.0,0.0015350329662200276,0.0009205642084474612
1.0,0.45,50.0,3.0,4.0,0.0006842918042185665,0.0002595125916791673
1.0,0.45,50.0,3.0,5.0,0.0002096028949858672,5.852718985507838e-05
1.0,0.45,50.0,3.0,6.0,6.4730305804459e-05,1.0999571735517705e-05
1.0,0.45,50.0,3.0,7.0,1.5411977572490238e-05,1.7719321721042079e-06
1.0,0.45,50.0,3.0,8.0,3.0823955144980473e-06,2.4976205766519417e-07
1.0,0.45,50.0,3.0,9.0,0.0,3.129344035043232e-08
1.0,0.45,50.0,3.0,10.0,0.0,3.528764442079408e-09
1.0,0.45,50.0,4.0,0.0,0.0022933022627865474,0.0021380603724990904
1.0,0.45,50.0,4.0,1.0,0.00168915274194493,0.0012518296789544785
1.0,0.45,50.0,4.0,2.0,0.0011435687358787756,0.0006907614542546608
1.0,0.45,50.0,4.0,3.0,0.0006318910804720997,0.0002595125916791673
1.0,0.45,50.0,4.0,4.0,0.000262003618732334,7.315816217261736e-05
1.0,0.45,50.0,4.0,5.0,8.938946992044337e-05,1.6499167226620042e-05
1.0,0.45,50.0,4.0,6.0,2.157676860148633e-05,3.100845503354551e-06
1.0,0.45,50.0,4.0,7.0,6.1647910289960945e-06,4.995183485532677e-07
1.0,0.45,50.0,4.0,8.0,0.0,7.040942793426902e-08
1.0,0.45,50.0,4.0,9.0,0.0,8.821809260246826e-09
1.0,0.45,50.0,4.0,10.0,0.0,9.94779943776165e-10
1.0,0.45,50.0,5.0,0.0,0.0006164791028996095,0.00048218821934531615
1.0,0.45,50.0,5.0,1.0,0.0005455840060661544,0.0002823217684072547
1.0,0.45,50.0,5.0,2.0,0.00042537058100073055,0.00015578560665985996
1.0,0.45,50.0,5.0,3.0,0.00022501487255835746,5.852718985507838e-05
1.0,0.45,50.0,5.0,4.0,6.4730305804459e-05,1.6499167226620042e-05
1.0,0.45,50.0,5.0,5.0,3.698874617397657e-05,3.7210136379662374e-06
