model,replicate,realization,temperature,lag,block_size,predicted_msd,observed_msd,msd_relative_error,predicted_ngp,observed_ngp,ngp_absolute_error,surrogate_base_seed,calibration_events_only,external_cage_channel_used,calibration_cage_residual_transfer,heldout_events_used_in_calibration,heldout_cage_residual_used_in_prediction,macro_fit_parameter_count,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed,predicted_fs_k2,observed_fs_k2,absolute_error_fs_k2,predicted_fs_k4,observed_fs_k4,absolute_error_fs_k4,predicted_fs_k7p25,observed_fs_k7p25,absolute_error_fs_k7p25
anchor_aware_semi_markov,1.0,0.0,0.58,20.0,20.0,0.22780339212971853,0.16660841604263024,0.36729822862868033,0.7601732448784368,0.5385549106326213,0.22161833424581556,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8662137965113376,0.8977103424506039,0.03149654593926632,0.6073306036736704,0.6706091522002315,0.06327854852656112,0.2874608419883581,0.3302563514537057,0.0427955094653476
anchor_aware_semi_markov,1.0,0.0,0.58,100.0,20.0,0.7122143358168563,0.6244853324897498,0.14048208782957516,0.37506757165713456,0.2825033492140283,0.09256422244310625,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6470139503697291,0.6748742076596806,0.027860257289951562,0.25192132374830245,0.25770578929215066,0.005784465543848205,0.06295649175244987,0.03757140173250425,0.02538509001994562
anchor_aware_semi_markov,1.0,0.0,0.58,200.0,20.0,1.2597929797228382,1.1970958003749623,0.05237440422749584,0.2805591287355025,0.17003137790337108,0.1105277508321314,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4721281683284029,0.4733264732392782,0.001198304910875303,0.1060461507163667,0.07641999280253814,0.029626157913828555,0.0175601871406326,0.0035374896626027496,0.01402269747802985
anchor_aware_semi_markov,1.0,0.0,0.58,400.0,20.0,2.387586307693995,2.302522122507715,0.03694391656642826,0.19319817781357962,0.08241548506967367,0.11078269274390595,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25328192287204704,0.2367746362454057,0.016507286626641332,0.02235289165096626,0.005007075510426834,0.017345816140539427,0.002491590994981496,-0.0015893870932790705,0.004080978088260566
anchor_aware_semi_markov,1.0,0.0,0.58,600.0,20.0,3.4569374089662124,3.5092386999443375,0.014903885272596229,0.1744744294712779,0.04880248109629837,0.12567194837497953,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1455111317868016,0.10971466137823888,0.035796470408562736,0.00808429468944735,0.003664696471714173,0.004419598217733177,0.0031647697094315625,-0.002099056579231919,0.005263826288663481
state_schedule_without_anchor_geometry,1.0,0.0,0.58,20.0,20.0,0.23084809785069965,0.16660841604263024,0.38557285000316166,0.7885963718723776,0.5385549106326213,0.25004146123975635,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8648340776294953,0.8977103424506039,0.032876264821108614,0.605452676866596,0.6706091522002315,0.06515647533363556,0.28699691400762056,0.3302563514537057,0.043259437446085125
state_schedule_without_anchor_geometry,1.0,0.0,0.58,100.0,20.0,0.7329230045740632,0.6244853324897498,0.17364326500990046,0.41796251156296993,0.2825033492140283,0.13545916234894162,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6420086837875741,0.6748742076596806,0.032865523872106506,0.24899366646870555,0.25770578929215066,0.008712122823445106,0.062382592224956346,0.03757140173250425,0.024811190492452097
state_schedule_without_anchor_geometry,1.0,0.0,0.58,200.0,20.0,1.270873426882694,1.1970958003749623,0.061630511513466546,0.3107682977954751,0.17003137790337108,0.14073691989210402,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47301814256541314,0.4733264732392782,0.00030833067386504265,0.10717487472015765,0.07641999280253814,0.030754881917619506,0.018496762307439074,0.0035374896626027496,0.014959272644836324
state_schedule_without_anchor_geometry,1.0,0.0,0.58,400.0,20.0,2.3537968530989986,2.302522122507715,0.022268941561977007,0.24945676917433013,0.08241548506967367,0.16704128410465646,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2642376152107798,0.2367746362454057,0.027462978965374113,0.028194704549811125,0.005007075510426834,0.02318762903938429,0.003663303268431043,-0.0015893870932790705,0.005252690361710114
state_schedule_without_anchor_geometry,1.0,0.0,0.58,600.0,20.0,3.427555190512371,3.5092386999443375,0.02327670370022472,0.2326900039308355,0.04880248109629837,0.18388752283453713,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15969150094852455,0.10971466137823888,0.049976839570285675,0.007239305504240893,0.003664696471714173,0.0035746090325267195,0.003314992234294461,-0.002099056579231919,0.00541404881352638
