model,lag,independent_replicate_count,predicted_msd,observed_msd,ensemble_msd_relative_error,ensemble_msd_mc_relative_se,predicted_ngp,observed_ngp,ensemble_ngp_absolute_error,ensemble_ngp_mc_se,replicate_first_aggregation,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed,predicted_fs_k2,observed_fs_k2,ensemble_absolute_error_fs_k2,ensemble_fs_k2_mc_se,predicted_fs_k4,observed_fs_k4,ensemble_absolute_error_fs_k4,ensemble_fs_k4_mc_se,predicted_fs_k7p25,observed_fs_k7p25,ensemble_absolute_error_fs_k7p25,ensemble_fs_k7p25_mc_se,temperature,calibration_time,block_size,radial_bin_count,required_realizations_per_replicate,surrogate_base_seed,calibration_events_only,external_cage_channel_used,calibration_cage_residual_transfer,heldout_events_used_in_calibration,heldout_cage_residual_used_in_prediction,macro_fit_parameter_count,calibration_residual_source,heldout_target_source,debye_waller_source
anchor_aware_semi_markov,20.0,5.0,0.22403221534927553,0.16644706753509889,0.34596673084693186,0.0004377286856677268,0.7449648086022832,0.5344887762388694,0.21047603236341383,0.000993752223256622,1.0,0.0,0.0,0.0,0.8679901401488417,0.8977986067917458,0.029808466642904152,3.5765996485467716e-05,0.610268313953763,0.6708725623542008,0.060604248400437766,7.064841782116446e-05,0.2889508151576963,0.33086790404330846,0.041917088885612186,5.896208923798743e-05,0.58,750.0,20.0,8.0,16.0,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,data/renewal_cage_ka_replicates_T058_calibration_event_channels_factorization_rows.csv,data/renewal_cage_ka_replicates_T058_event_oracle_factorization_rows.csv,data/renewal_cage_ka_replicates_T058_debye_waller_heldout_replicates.csv
anchor_aware_semi_markov,100.0,5.0,0.6959182486642126,0.6277432713959149,0.10860327840184847,0.0006979119824827805,0.3998837497919716,0.27259878318412567,0.12728496660784594,0.0013679053620399455,1.0,0.0,0.0,0.0,0.6539402142226934,0.6729530928901382,0.01901287866744472,0.00014114847359502958,0.2591778102453298,0.2550264768632297,0.004151333382100109,0.0001451958664868116,0.0648821183942812,0.03791104562476884,0.026971072769512355,8.203681619082726e-05,0.58,750.0,20.0,8.0,16.0,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,data/renewal_cage_ka_replicates_T058_calibration_event_channels_factorization_rows.csv,data/renewal_cage_ka_replicates_T058_event_oracle_factorization_rows.csv,data/renewal_cage_ka_replicates_T058_debye_waller_heldout_replicates.csv
anchor_aware_semi_markov,200.0,5.0,1.2288907098322015,1.2114563032671688,0.014391279749846442,0.0008871950306541655,0.3054521963803989,0.16461288054797313,0.14083931583242576,0.0020236655140053973,1.0,0.0,0.0,0.0,0.48177469449966975,0.4684955850761498,0.013279109423519952,0.0002771339590002315,0.11156299468241086,0.07669663841520627,0.03486635626720459,0.0002271734686163338,0.019744022504134803,0.0029394292791792066,0.016804593224955595,0.00010276580286934045,0.58,750.0,20.0,8.0,16.0,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,data/renewal_cage_ka_replicates_T058_calibration_event_channels_factorization_rows.csv,data/renewal_cage_ka_replicates_T058_event_oracle_factorization_rows.csv,data/renewal_cage_ka_replicates_T058_debye_waller_heldout_replicates.csv
anchor_aware_semi_markov,400.0,5.0,2.318531122148033,2.3739410739101037,0.023340912868913488,0.0012877965829629474,0.23977008367050034,0.09624093789673074,0.1435291457737696,0.0027982077720144103,1.0,0.0,0.0,0.0,0.2676294712689981,0.22856523099152498,0.03906424027747313,0.0005048329298963728,0.026455677715159737,0.00533568134770505,0.021119996367454687,0.00032824249070259224,0.0035308714142170427,-0.00020390029128960173,0.0037347717055066444,9.243822946223822e-05,0.58,750.0,20.0,8.0,16.0,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,data/renewal_cage_ka_replicates_T058_calibration_event_channels_factorization_rows.csv,data/renewal_cage_ka_replicates_T058_event_oracle_factorization_rows.csv,data/renewal_cage_ka_replicates_T058_debye_waller_heldout_replicates.csv
anchor_aware_semi_markov,600.0,5.0,3.411058996999639,3.5487077013310584,0.03878840296702646,0.0015584118152271002,0.21551569025602615,0.06492829891012106,0.1505873913459051,0.0029577379200228814,1.0,0.0,0.0,0.0,0.1565108752024877,0.10992628341556979,0.0465845917869179,0.0005703879208958869,0.009709756574436564,0.001625518978447396,0.008084237595989169,0.0003584063364992061,0.0016586385542790196,0.002668049891866133,0.0010094113375871134,0.0001472433069735262,0.58,750.0,20.0,8.0,16.0,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,data/renewal_cage_ka_replicates_T058_calibration_event_channels_factorization_rows.csv,data/renewal_cage_ka_replicates_T058_event_oracle_factorization_rows.csv,data/renewal_cage_ka_replicates_T058_debye_waller_heldout_replicates.csv
state_schedule_without_anchor_geometry,20.0,5.0,0.22747981603667444,0.16644706753509889,0.3666796261742822,0.00045186230156893164,0.7766224142871854,0.5344887762388694,0.242133638048316,0.001247023779938576,1.0,0.0,0.0,0.0,0.8664585029646407,0.8977986067917458,0.03134010382710517,3.6641693986467384e-05,0.6081868692177952,0.6708725623542008,0.0626856931364056,7.416550700101043e-05,0.28840261607602946,0.33086790404330846,0.042465287967279,5.82555977859773e-05,0.58,750.0,20.0,8.0,16.0,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,data/renewal_cage_ka_replicates_T058_calibration_event_channels_factorization_rows.csv,data/renewal_cage_ka_replicates_T058_event_oracle_factorization_rows.csv,data/renewal_cage_ka_replicates_T058_debye_waller_heldout_replicates.csv
state_schedule_without_anchor_geometry,100.0,5.0,0.7181879842363499,0.6277432713959149,0.14407914343599848,0.0007844953918120373,0.4234840395657316,0.27259878318412567,0.15088525638160594,0.001365033106034619,1.0,0.0,0.0,0.0,0.6471950771042767,0.6729530928901382,0.025758015785861454,0.00016367922434427657,0.2550447934076855,0.2550264768632297,1.8316544455776462e-05,0.00016569890733743732,0.06437536195939185,0.03791104562476884,0.02646431633462301,7.836310270805314e-05,0.58,750.0,20.0,8.0,16.0,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,data/renewal_cage_ka_replicates_T058_calibration_event_channels_factorization_rows.csv,data/renewal_cage_ka_replicates_T058_event_oracle_factorization_rows.csv,data/renewal_cage_ka_replicates_T058_debye_waller_heldout_replicates.csv
state_schedule_without_anchor_geometry,200.0,5.0,1.2511077006613198,1.2114563032671688,0.03273035708115546,0.0009542817506273824,0.3262053737480672,0.16461288054797313,0.16159249320009406,0.0016970487871667051,1.0,0.0,0.0,0.0,0.47863378657039257,0.4684955850761498,0.010138201494242771,0.00028063853244842014,0.11186540754405246,0.07669663841520627,0.035168769128846186,0.00021433775941531475,0.019720940116510575,0.0029394292791792066,0.016781510837331367,9.477003100564696e-05,0.58,750.0,20.0,8.0,16.0,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,data/renewal_cage_ka_replicates_T058_calibration_event_channels_factorization_rows.csv,data/renewal_cage_ka_replicates_T058_event_oracle_factorization_rows.csv,data/renewal_cage_ka_replicates_T058_debye_waller_heldout_replicates.csv
state_schedule_without_anchor_geometry,400.0,5.0,2.31028531171488,2.3739410739101037,0.02681438174468953,0.0013041561948711595,0.2618342725037872,0.09624093789673074,0.16559333460705647,0.0023681442620108006,1.0,0.0,0.0,0.0,0.2733125942112856,0.22856523099152498,0.04474736321976064,0.0004914898745996844,0.02884814384371856,0.00533568134770505,0.02351246249601351,0.000288815266760607,0.0036199456678611733,-0.00020390029128960173,0.003823845959150775,0.0001026794226935304,0.58,750.0,20.0,8.0,16.0,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,data/renewal_cage_ka_replicates_T058_calibration_event_channels_factorization_rows.csv,data/renewal_cage_ka_replicates_T058_event_oracle_factorization_rows.csv,data/renewal_cage_ka_replicates_T058_debye_waller_heldout_replicates.csv
state_schedule_without_anchor_geometry,600.0,5.0,3.366054835854851,3.5487077013310584,0.051470248002589036,0.0016095709770019722,0.24060910171306188,0.06492829891012106,0.17568080280294082,0.002920904415160964,1.0,0.0,0.0,0.0,0.16467490534550322,0.10992628341556979,0.05474862192993343,0.0005676427960758215,0.011320933173915977,0.001625518978447396,0.009695414195468582,0.00032633008617212467,0.0018682751554211154,0.002668049891866133,0.0007997747364450177,0.00011666058899901299,0.58,750.0,20.0,8.0,16.0,84031.0,1.0,1.0,1.0,0.0,0.0,0.0,data/renewal_cage_ka_replicates_T058_calibration_event_channels_factorization_rows.csv,data/renewal_cage_ka_replicates_T058_event_oracle_factorization_rows.csv,data/renewal_cage_ka_replicates_T058_debye_waller_heldout_replicates.csv
