model,replicate,realization,temperature,block_size,surrogate_seed,surrogate_iteration_count,radial_distribution_maximum_absolute_error,cross_spectral_matrix_nrmse,one_block_msd_relative_error,one_block_ngp_absolute_error,one_block_fs_maximum_absolute_error,calibration_time,independent_replicate_count,surrogate_realizations_per_replicate,surrogate_base_seed,heldout_path_used_in_prediction,macro_fit_parameter_count,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed
radial_multivariate_surrogate,1.0,0.0,0.58,10.0,1211006.0,240.0,4.440892098500626e-16,0.034908324997861555,0.0,0.0,0.0005660643447338853,750.0,5.0,8.0,211003.0,0.0,0.0,0.0,0.0,0.0
radial_multivariate_surrogate,1.0,1.0,0.58,10.0,1308415.0,240.0,4.440892098500626e-16,0.03576747286703662,0.0,0.0,0.00017622090670749158,750.0,5.0,8.0,211003.0,0.0,0.0,0.0,0.0,0.0
radial_multivariate_surrogate,1.0,2.0,0.58,10.0,1405824.0,240.0,4.440892098500626e-16,0.03518955418864704,0.0,0.0,0.00020768210203298,750.0,5.0,8.0,211003.0,0.0,0.0,0.0,0.0,0.0
radial_multivariate_surrogate,1.0,3.0,0.58,10.0,1503233.0,240.0,4.440892098500626e-16,0.03585678969994739,0.0,0.0,0.0004283510738918861,750.0,5.0,8.0,211003.0,0.0,0.0,0.0,0.0,0.0
radial_multivariate_surrogate,1.0,4.0,0.58,10.0,1600642.0,240.0,2.220446049250313e-16,0.03517485753898507,0.0,0.0,0.00022814670847220997,750.0,5.0,8.0,211003.0,0.0,0.0,0.0,0.0,0.0
radial_multivariate_surrogate,1.0,5.0,0.58,10.0,1698051.0,240.0,2.220446049250313e-16,0.03559633252041855,0.0,0.0,0.00038561245143109435,750.0,5.0,8.0,211003.0,0.0,0.0,0.0,0.0,0.0
radial_multivariate_surrogate,1.0,6.0,0.58,10.0,1795460.0,240.0,2.220446049250313e-16,0.03496863946616421,0.0,0.0,0.0004094612516240548,750.0,5.0,8.0,211003.0,0.0,0.0,0.0,0.0,0.0
radial_multivariate_surrogate,1.0,7.0,0.58,10.0,1892869.0,240.0,2.220446049250313e-16,0.03540444830282296,0.0,0.0,3.633274930525676e-05,750.0,5.0,8.0,211003.0,0.0,0.0,0.0,0.0,0.0
radial_multivariate_surrogate,2.0,0.0,0.58,10.0,2211009.0,240.0,2.220446049250313e-16,0.03575660547109288,1.1102230246251565e-16,4.440892098500626e-16,0.0004244772882851522,750.0,5.0,8.0,211003.0,0.0,0.0,0.0,0.0,0.0
radial_multivariate_surrogate,2.0,1.0,0.58,10.0,2308418.0,240.0,4.440892098500626e-16,0.03585282902264516,0.0,0.0,0.0002712962916514017,750.0,5.0,8.0,211003.0,0.0,0.0,0.0,0.0,0.0
