model,lag,independent_replicate_count,predicted_msd,observed_msd,ensemble_msd_relative_error,ensemble_msd_mc_relative_se,predicted_ngp,observed_ngp,ensemble_ngp_absolute_error,ensemble_ngp_mc_se,predicted_fs_k2,observed_fs_k2,ensemble_absolute_error_fs_k2,ensemble_fs_k2_mc_se,predicted_fs_k4,observed_fs_k4,ensemble_absolute_error_fs_k4,ensemble_fs_k4_mc_se,predicted_fs_k7p25,observed_fs_k7p25,ensemble_absolute_error_fs_k7p25,ensemble_fs_k7p25_mc_se,temperature,calibration_time,block_size,surrogate_realizations_per_replicate,surrogate_iteration_count,surrogate_base_seed,heldout_path_used_in_prediction,macro_fit_parameter_count,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed
contiguous_empirical_path,10.0,5.0,0.10443051491075708,0.10748781085615211,0.028443187381372192,0.0,0.5217981183811912,0.5177232478580981,0.004074870523093077,0.0,0.9338862342488936,0.9320426574001935,0.001843576848700068,0.0,0.7704348249836264,0.7648964558318289,0.0055383691517975064,0.0,0.4645485392094401,0.45575524978039256,0.008793289429047557,0.0,0.58,750.0,10.0,8.0,240.0,211003.0,0.0,0.0,0.0,0.0,0.0
contiguous_empirical_path,20.0,5.0,0.16000159196629715,0.16644706753509889,0.03872387578977665,0.0,0.5554590431624135,0.5344887762388694,0.02097026692354409,0.0,0.9015543974991165,0.8977986067917458,0.003755790707370643,0.0,0.6812065309616232,0.6708725623542008,0.010333968607422417,0.0,0.3442512800224802,0.33086790404330846,0.013383375979171719,0.0,0.58,750.0,10.0,8.0,240.0,211003.0,0.0,0.0,0.0,0.0,0.0
contiguous_empirical_path,50.0,5.0,0.32159879647940637,0.33992514839328375,0.05391290406285065,0.0,0.44509903021250175,0.408893280229672,0.03620574998282977,0.0,0.8149068746055077,0.8051858250811226,0.009721049524385128,0.0,0.4847026330104901,0.4636749863426945,0.021027646667795608,0.0,0.15926162185417508,0.1420029922620639,0.01725862959211119,0.0,0.58,750.0,10.0,8.0,240.0,211003.0,0.0,0.0,0.0,0.0,0.0
contiguous_empirical_path,100.0,5.0,0.5881765062782578,0.6277432713959149,0.0630301700083099,0.0,0.29890763935715314,0.27259878318412567,0.026308856173027473,0.0,0.6906716201607713,0.6729530928901382,0.017718527270633166,0.0,0.28123918885623783,0.2550264768632297,0.02621271199300812,0.0,0.04931961112069776,0.03791104562476884,0.011408565495928918,0.0,0.58,750.0,10.0,8.0,240.0,211003.0,0.0,0.0,0.0,0.0,0.0
contiguous_empirical_path,200.0,5.0,1.1186494692620272,1.2114563032671688,0.0766076611718074,0.0,0.17526748667861775,0.16461288054797313,0.010654606130644617,0.0,0.49730754896715934,0.4684955850761498,0.02881196389100954,0.0,0.09659527864390882,0.07669663841520627,0.019898640228702552,0.0,0.004930748545197195,0.0029394292791792066,0.0019913192660179885,0.0,0.58,750.0,10.0,8.0,240.0,211003.0,0.0,0.0,0.0,0.0,0.0
contiguous_empirical_path,400.0,5.0,2.172029486763814,2.3739410739101037,0.08505332729835724,0.0,0.09252954060014891,0.09624093789673074,0.0037113972965818337,0.0,0.2574857343147009,0.22856523099152498,0.028920503323175917,0.0,0.010989325190904892,0.00533568134770505,0.005653643843199842,0.0,0.0007559993589234064,-0.00020390029128960173,0.0009598996502130082,0.0,0.58,750.0,10.0,8.0,240.0,211003.0,0.0,0.0,0.0,0.0,0.0
contiguous_empirical_path,600.0,5.0,3.2708381828538173,3.5487077013310584,0.07830160775795003,0.0,0.051784393280644415,0.06492829891012106,0.013143905629476642,0.0,0.1282087456884351,0.10992628341556979,0.018282462272865313,0.0,0.0008651504798737719,0.001625518978447396,0.0007603684985736242,0.0,0.000987609172970167,0.002668049891866133,0.001680440718895966,0.0,0.58,750.0,10.0,8.0,240.0,211003.0,0.0,0.0,0.0,0.0,0.0
phase_randomized_cross_spectrum,10.0,5.0,0.10443051491075708,0.10748781085615211,0.028443187381372192,1.543163721546991e-17,0.032169141662464776,0.5177232478580981,0.48555410619563333,0.00027685915588793365,0.9328192361673369,0.9320426574001935,0.0007765787671433211,7.743009409186125e-07,0.7578527183961346,0.7648964558318289,0.007043737435694308,9.77656215577569e-06,0.4057496387711767,0.45575524978039256,0.050005611009215856,5.478440909171686e-05,0.58,750.0,10.0,8.0,240.0,211003.0,0.0,0.0,0.0,0.0,0.0
phase_randomized_cross_spectrum,20.0,5.0,0.16071259527528445,0.16644706753509889,0.03445222763450129,2.2730124177686774e-05,0.050657708727121276,0.5344887762388694,0.4838310675117481,0.000305264141951027,0.8986561517729136,0.8977986067917458,0.000857544981167746,2.5597320626796896e-06,0.6543947367584909,0.6708725623542008,0.016477825595709872,2.046896001872422e-05,0.25633982758029206,0.33086790404330846,0.0745280764630164,8.914475069453243e-05,0.58,750.0,10.0,8.0,240.0,211003.0,0.0,0.0,0.0,0.0,0.0
phase_randomized_cross_spectrum,50.0,5.0,0.3251008446679489,0.33992514839328375,0.04361049423793595,8.387779348662517e-05,0.08279516830489558,0.408893280229672,0.3260981119247764,0.0003271326404799157,0.8067005263994801,0.8051858250811226,0.0015147013183575142,1.77322322942981e-05,0.4328375817459339,0.4636749863426945,0.030837404596760598,7.128382997168723e-05,0.07680390974483439,0.1420029922620639,0.0651990825172295,0.0001296871855058661,0.58,750.0,10.0,8.0,240.0,211003.0,0.0,0.0,0.0,0.0,0.0
