model,replicate,realization,temperature,lag,block_size,block_count,particle_window_count,predicted_msd,observed_msd,msd_relative_error,predicted_ngp,observed_ngp,ngp_absolute_error,surrogate_realizations,surrogate_iteration_count,surrogate_base_seed,heldout_path_used_in_prediction,macro_fit_parameter_count,calibration_path_distribution_used,microdynamic_closure_claim_allowed,spatial_facilitation_claim_allowed,thermodynamic_claim_allowed,predicted_fs_k2,observed_fs_k2,absolute_error_fs_k2,predicted_fs_k4,observed_fs_k4,absolute_error_fs_k4,predicted_fs_k7p25,observed_fs_k7p25,absolute_error_fs_k7p25
contiguous_empirical_path,1.0,-1.0,0.58,20.0,20.0,1.0,121249.0,0.1606402341972408,0.16660841604263024,0.03582161085945601,0.5601949371167014,0.5385549106326213,0.021640026484080144,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.901245739948005,0.8977103424506039,0.0035353974974011715,0.6807857830105443,0.6706091522002315,0.010176630810312726,0.34426177593355606,0.3302563514537057,0.01400542447985037
contiguous_empirical_path,1.0,-1.0,0.58,100.0,20.0,5.0,108141.0,0.5967807096901058,0.6244853324897498,0.04436392875584272,0.28567392157992044,0.2825033492140283,0.0031705723658921325,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6865921924159478,0.6748742076596806,0.011717984756267175,0.2750526057321665,0.25770578929215066,0.017346816440015844,0.0476089199153923,0.03757140173250425,0.010037518182888054
contiguous_empirical_path,1.0,-1.0,0.58,200.0,20.0,10.0,91756.0,1.1428469638316323,1.1970958003749623,0.045317038558098544,0.16478162672847385,0.17003137790337108,0.0052497511748972325,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4893514663737454,0.4733264732392782,0.016024993134467203,0.09146604053660105,0.07641999280253814,0.015046047734062915,0.004097069500259005,0.0035374896626027496,0.0005595798376562557
contiguous_empirical_path,1.0,-1.0,0.58,400.0,20.0,20.0,58986.0,2.209503102178128,2.302522122507715,0.04039875205554089,0.09061225377972382,0.08241548506967367,0.00819676871005015,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.24995328858450114,0.2367746362454057,0.013178652339095431,0.010073593331774247,0.005007075510426834,0.005066517821347413,0.007152130189042313,-0.0015893870932790705,0.008741517282321382
contiguous_empirical_path,1.0,-1.0,0.58,600.0,20.0,30.0,26216.0,3.288907546850616,3.5092386999443375,0.06278602623902907,0.05860705577600678,0.04880248109629837,0.009804574679708411,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.12209798429711935,0.10971466137823888,0.012383322918880474,-0.0009552483537193571,0.003664696471714173,0.0046199448254335305,-6.540553662511483e-05,-0.002099056579231919,0.0020336510426068044
phase_randomized_cross_spectrum,1.0,0.0,0.58,20.0,20.0,1.0,121249.0,0.16064023419724083,0.16660841604263024,0.03582161085945579,0.059557577959007846,0.5385549106326213,0.47899733267361344,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8987353657825828,0.8977103424506039,0.0010250233319789581,0.6549943937186216,0.6706091522002315,0.01561475848160998,0.2589821856546536,0.3302563514537057,0.0712741657990521
phase_randomized_cross_spectrum,1.0,0.0,0.58,100.0,20.0,5.0,108141.0,0.5981015486886756,0.6244853324897498,0.04224884465402112,0.10845233625567263,0.2825033492140283,0.17405101295835568,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6770011627003487,0.6748742076596806,0.002126955040668066,0.23075031809009358,0.25770578929215066,0.026955471202057074,0.016058777125197335,0.03757140173250425,0.021512624607306914
phase_randomized_cross_spectrum,1.0,0.0,0.58,200.0,20.0,10.0,91756.0,1.140574432207984,1.1970958003749623,0.04721540928409762,0.10998214046485244,0.17003137790337108,0.06004923743851864,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.481882794024588,0.4733264732392782,0.008556320785309823,0.07500079588626918,0.07641999280253814,0.001419196916268961,0.005268142526458111,0.0035374896626027496,0.001730652863855361
phase_randomized_cross_spectrum,1.0,0.0,0.58,400.0,20.0,20.0,58986.0,2.2264729677040065,2.302522122507715,0.0330286315429108,0.10174554907679667,0.08241548506967367,0.019330064007123005,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.250538968775415,0.2367746362454057,0.013764332530009277,0.010398612114174553,0.005007075510426834,0.005391536603747719,-0.0008514204473104053,-0.0015893870932790705,0.0007379666459686652
phase_randomized_cross_spectrum,1.0,0.0,0.58,600.0,20.0,30.0,26216.0,3.3260447325562694,3.5092386999443375,0.052203336122724764,0.0724777093746618,0.04880248109629837,0.023675228278363436,8.0,0.0,211003.0,0.0,0.0,1.0,0.0,0.0,0.0,0.12405010754404487,0.10971466137823888,0.014335446165805996,1.1228386448426041e-05,0.003664696471714173,0.003653468085265747,0.00437687022441516,-0.002099056579231919,0.006475926803647079
