lag,metric,mean,standard_deviation,standard_error,ci95_low,ci95_high,ci95_critical_value,ci95_method,independent_replicate_count,temperature,independence_class,thermodynamic_claim_allowed
1.0,msd,0.045987980489615415,0.00014740510097247965,6.592156520093696e-05,0.0458049528825863,0.04617100809664453,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
1.0,ngp_3d,0.16297595649675373,0.0032319793577445487,0.0014453851091585843,0.1589629240853046,0.16698898890820285,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
1.0,overlap_mean,0.8770149933882616,0.0009433170897509234,0.00042186422740406697,0.8758437105190275,0.8781862762574957,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
1.0,overlap_chi4,0.4170110650255993,0.02248524735151764,0.010055708313778111,0.3890919428985133,0.44493018715268534,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
1.0,fs_k5,0.8279891053763194,0.0005098617439526833,0.00022801710372095843,0.8273560284047919,0.8286221823478469,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
1.0,fs_k7p25,0.6765273783268927,0.0008782390994232507,0.00039276046536171696,0.6754369004553239,0.6776178561984615,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
1.0,fs_k9,0.5524745886970965,0.00110409781732081,0.0004937675546676952,0.5511036701868339,0.5538455072073591,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
2.0,msd,0.05585104803360945,0.00034084128346253343,0.00015242885587209992,0.05542783768283246,0.05627425838438644,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
2.0,ngp_3d,0.24780107421127262,0.003583262647482559,0.0016024837722013734,0.2433518659857852,0.25225028243676,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
2.0,overlap_mean,0.8234625979045876,0.001994366444498065,0.0008919077883884469,0.8209862648912287,0.8259389309179466,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
2.0,overlap_chi4,0.9215027611433222,0.1103715339887182,0.04935965055594048,0.7844584009630075,1.0585471213236368,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
2.0,fs_k5,0.7972920773522445,0.0011140207451699417,0.000498205222908992,0.7959088378997149,0.7986753168047741,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
2.0,fs_k7p25,0.628711042170381,0.0018149242753804733,0.0008116588107530572,0.626457516038175,0.630964568302587,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
2.0,fs_k9,0.49733958971007325,0.002181499710857888,0.0009755963292748747,0.4946309000570091,0.5000482793631374,2.7764451051977987,student_t_independent_replicates,5.0,0.58,decorrelated_parent_frames_plus_velocity_seeds,0.0
