block_lag,lag_time,block_size,block_count,paired_particle_block_count,mean_events_per_particle_block,particle_identity_correlation,replicate,temperature,debye_waller_factor,thermodynamic_claim_allowed
1.0,20.0,20.0,37.0,117972.0,0.2844642017666125,0.08327069822390513,1.0,0.58,0.055629000067710876,0.0
2.0,40.0,20.0,37.0,114695.0,0.2844642017666125,0.029498210514180664,1.0,0.58,0.055629000067710876,0.0
3.0,60.0,20.0,37.0,111418.0,0.2844642017666125,0.011555454518774684,1.0,0.58,0.055629000067710876,0.0
4.0,80.0,20.0,37.0,108141.0,0.2844642017666125,0.01482420052472956,1.0,0.58,0.055629000067710876,0.0
5.0,100.0,20.0,37.0,104864.0,0.2844642017666125,0.00799869675177334,1.0,0.58,0.055629000067710876,0.0
6.0,120.0,20.0,37.0,101587.0,0.2844642017666125,0.009290194272053213,1.0,0.58,0.055629000067710876,0.0
7.0,140.0,20.0,37.0,98310.0,0.2844642017666125,0.008640752739240969,1.0,0.58,0.055629000067710876,0.0
8.0,160.0,20.0,37.0,95033.0,0.2844642017666125,2.552768494035943e-05,1.0,0.58,0.055629000067710876,0.0
9.0,180.0,20.0,37.0,91756.0,0.2844642017666125,0.00012613248786425623,1.0,0.58,0.055629000067710876,0.0
10.0,200.0,20.0,37.0,88479.0,0.2844642017666125,0.004015058280425669,1.0,0.58,0.055629000067710876,0.0
11.0,220.0,20.0,37.0,85202.0,0.2844642017666125,0.008010641656901274,1.0,0.58,0.055629000067710876,0.0
12.0,240.0,20.0,37.0,81925.0,0.2844642017666125,0.00575974529647977,1.0,0.58,0.055629000067710876,0.0
13.0,260.0,20.0,37.0,78648.0,0.2844642017666125,0.009199645721224604,1.0,0.58,0.055629000067710876,0.0
14.0,280.0,20.0,37.0,75371.0,0.2844642017666125,0.0013311288727370489,1.0,0.58,0.055629000067710876,0.0
15.0,300.0,20.0,37.0,72094.0,0.2844642017666125,-0.007572295191857739,1.0,0.58,0.055629000067710876,0.0
1.0,50.0,50.0,15.0,45878.0,0.7042213406571051,0.06536444140504058,1.0,0.58,0.055629000067710876,0.0
2.0,100.0,50.0,15.0,42601.0,0.7042213406571051,0.023990258406801284,1.0,0.58,0.055629000067710876,0.0
3.0,150.0,50.0,15.0,39324.0,0.7042213406571051,0.0053486109664380626,1.0,0.58,0.055629000067710876,0.0
4.0,200.0,50.0,15.0,36047.0,0.7042213406571051,0.008249390556986208,1.0,0.58,0.055629000067710876,0.0
5.0,250.0,50.0,15.0,32770.0,0.7042213406571051,0.02085575402920494,1.0,0.58,0.055629000067710876,0.0
6.0,300.0,50.0,15.0,29493.0,0.7042213406571051,-0.009289092735806196,1.0,0.58,0.055629000067710876,0.0
1.0,100.0,100.0,7.0,19662.0,1.4298792449540085,0.05809827780548208,1.0,0.58,0.055629000067710876,0.0
2.0,200.0,100.0,7.0,16385.0,1.4298792449540085,0.019143330317259604,1.0,0.58,0.055629000067710876,0.0
3.0,300.0,100.0,7.0,13108.0,1.4298792449540085,0.00204320279679327,1.0,0.58,0.055629000067710876,0.0
1.0,20.0,20.0,37.0,117972.0,0.28714463624442266,0.08230950948037248,2.0,0.58,0.055856186896562576,0.0
2.0,40.0,20.0,37.0,114695.0,0.28714463624442266,0.029733913716947336,2.0,0.58,0.055856186896562576,0.0
3.0,60.0,20.0,37.0,111418.0,0.28714463624442266,0.017157412905035016,2.0,0.58,0.055856186896562576,0.0
4.0,80.0,20.0,37.0,108141.0,0.28714463624442266,0.00773164393621927,2.0,0.58,0.055856186896562576,0.0
5.0,100.0,20.0,37.0,104864.0,0.28714463624442266,0.00464809799853189,2.0,0.58,0.055856186896562576,0.0
6.0,120.0,20.0,37.0,101587.0,0.28714463624442266,0.0024658743722240036,2.0,0.58,0.055856186896562576,0.0
7.0,140.0,20.0,37.0,98310.0,0.28714463624442266,5.157725924756741e-05,2.0,0.58,0.055856186896562576,0.0
