event_lag,pair_count,jump_squared_mean,jump_dot_correlation,correlation_over_q,cumulative_green_kubo_factor,replicate,temperature,primary_correlation_truncation,used_in_primary_prediction,thermodynamic_claim_allowed
1.0,31339.0,0.3326365126259139,0.008183436515961599,0.024601738550466247,1.0492034771009324,1.0,0.58,2.0,1.0,0.0
2.0,28064.0,0.3326365126259139,0.0010656726755997013,0.003203715272226193,1.0556109076453848,1.0,0.58,2.0,1.0,0.0
3.0,24806.0,0.3326365126259139,-0.0009331853335963244,-0.00280542062634535,1.0500000663926943,1.0,0.58,2.0,0.0,0.0
4.0,21591.0,0.3326365126259139,-0.0006980606031608119,-0.002098568788044797,1.0458029288166046,1.0,0.58,2.0,0.0,0.0
5.0,18453.0,0.3326365126259139,-0.00042905089638978325,-0.0012898490697931823,1.0432232306770182,1.0,0.58,2.0,0.0,0.0
6.0,15470.0,0.3326365126259139,0.0022797031492790263,0.006853436296822897,1.056930103270664,1.0,0.58,2.0,0.0,0.0
7.0,12700.0,0.3326365126259139,-0.0008759897609345753,-0.0026334744614152487,1.0516631543478336,1.0,0.58,2.0,0.0,0.0
8.0,10174.0,0.3326365126259139,-0.0002252505167523289,-0.0006771671425188602,1.050308820062796,1.0,0.58,2.0,0.0,0.0
9.0,7946.0,0.3326365126259139,-0.0012838087649787858,-0.003859494421836273,1.0425898312191233,1.0,0.58,2.0,0.0,0.0
10.0,6037.0,0.3326365126259139,0.0013130889591084973,0.003947519016305973,1.0504848692517352,1.0,0.58,2.0,0.0,0.0
1.0,31721.0,0.32606577777008633,0.009690114572782045,0.02971828150458244,1.0594365630091649,2.0,0.58,2.0,1.0,0.0
2.0,28447.0,0.32606577777008633,0.0016461102524489516,0.005048399325149809,1.0695333616594644,2.0,0.58,2.0,1.0,0.0
3.0,25185.0,0.32606577777008633,0.001054955521353389,0.0032354070659241442,1.0760041757913128,2.0,0.58,2.0,0.0,0.0
4.0,21967.0,0.32606577777008633,0.0004853963346928774,0.0014886454445248078,1.0789814666803623,2.0,0.58,2.0,0.0,0.0
5.0,18829.0,0.32606577777008633,0.0011077395757589559,0.0033972886800160886,1.0857760440403945,2.0,0.58,2.0,0.0,0.0
6.0,15814.0,0.32606577777008633,0.0005677147964771194,0.0017411051241244435,1.0892582542886435,2.0,0.58,2.0,0.0,0.0
7.0,12988.0,0.32606577777008633,0.0022875615344181773,0.007015644358823727,1.103289543006291,2.0,0.58,2.0,0.0,0.0
8.0,10420.0,0.32606577777008633,0.001293096437239222,0.003965753309293939,1.1112210496248789,2.0,0.58,2.0,0.0,0.0
9.0,8150.0,0.32606577777008633,0.002207768306064507,0.006770929231405684,1.1247629080876902,2.0,0.58,2.0,0.0,0.0
10.0,6191.0,0.32606577777008633,-0.00015847109187775522,-0.0004860095805254836,1.1237908889266393,2.0,0.58,2.0,0.0,0.0
1.0,32310.0,0.33353090708205124,0.00820096503927321,0.024588321097497895,1.0491766421949957,3.0,0.58,2.0,1.0,0.0
2.0,29034.0,0.33353090708205124,-0.0011388071024938877,-0.0034143975215278387,1.04234784715194,3.0,0.58,2.0,1.0,0.0
3.0,25765.0,0.33353090708205124,0.0019464556506881814,0.00583590788547023,1.0540196629228806,3.0,0.58,2.0,0.0,0.0
4.0,22523.0,0.33353090708205124,-0.0016458761093926307,-0.004934703424614655,1.0441502560736513,3.0,0.58,2.0,0.0,0.0
5.0,19348.0,0.33353090708205124,-0.0013270162713355578,-0.003978690559580139,1.036192874954491,3.0,0.58,2.0,0.0,0.0
6.0,16281.0,0.33353090708205124,-0.0006505724367520923,-0.001950561171208179,1.0322917526120747,3.0,0.58,2.0,0.0,0.0
7.0,13370.0,0.33353090708205124,-0.0009500263299849604,-0.0028483906882765934,1.0265949712355213,3.0,0.58,2.0,0.0,0.0
8.0,10688.0,0.33353090708205124,0.0008516755462345142,0.00255351311722663,1.0317019974699746,3.0,0.58,2.0,0.0,0.0
9.0,8321.0,0.33353090708205124,0.0005586116730645779,0.0016748423045758545,1.0350516820791265,3.0,0.58,2.0,0.0,0.0
10.0,6289.0,0.33353090708205124,5.125168065560173e-05,0.00015366396207171711,1.03535901000327,3.0,0.58,2.0,0.0,0.0
1.0,31408.0,0.323865617042664,0.011623824088657109,0.03589088645716245,1.0717817729143249,4.0,0.58,2.0,1.0,0.0
2.0,28132.0,0.323865617042664,-0.000427628103150035,-0.0013203874713681076,1.0691409979715887,4.0,0.58,2.0,1.0,0.0
3.0,24868.0,0.323865617042664,0.0009440737023238524,0.0029150167620278326,1.0749710314956444,4.0,0.58,2.0,0.0,0.0
4.0,21640.0,0.323865617042664,-0.0003571542282262328,-0.0011027852585511837,1.072765460978542,4.0,0.58,2.0,0.0,0.0
5.0,18489.0,0.323865617042664,0.001257965424890715,0.0038842203639202575,1.0805339017063824,4.0,0.58,2.0,0.0,0.0
6.0,15485.0,0.323865617042664,0.0021428990155603228,0.006616630178676951,1.0937671620637364,4.0,0.58,2.0,0.0,0.0
7.0,12660.0,0.323865617042664,0.0017360010496005659,0.0053602511605048715,1.104487664384746,4.0,0.58,2.0,0.0,0.0
8.0,10081.0,0.323865617042664,-0.0008488599856615691,-0.0026210253296191847,1.0992456137255078,4.0,0.58,2.0,0.0,0.0
9.0,7824.0,0.323865617042664,0.00022966409578648319,0.0007091339237663772,1.1006638815730405,4.0,0.58,2.0,0.0,0.0
10.0,5892.0,0.323865617042664,0.003436762841021972,0.010611694048921639,1.1218872696708837,4.0,0.58,2.0,0.0,0.0
1.0,32190.0,0.3227297814800958,0.010390156098215614,0.03219459961384574,1.0643891992276915,5.0,0.58,2.0,1.0,0.0
2.0,28915.0,0.3227297814800958,0.00019412186587402074,0.0006014996973125429,1.0655921986223165,5.0,0.58,2.0,1.0,0.0
3.0,25650.0,0.3227297814800958,0.0010892918317931392,0.0033752442269116114,1.0723426870761399,5.0,0.58,2.0,0.0,0.0
4.0,22429.0,0.3227297814800958,-0.0004075186206878786,-0.001262723938332949,1.0698172391994738,5.0,0.58,2.0,0.0,0.0
5.0,19264.0,0.3227297814800958,-0.0030491865283001607,-0.009448110162985432,1.050921018873503,5.0,0.58,2.0,0.0,0.0
6.0,16222.0,0.3227297814800958,0.0008040468167834531,0.0024913933046276436,1.0559038054827583,5.0,0.58,2.0,0.0,0.0
7.0,13371.0,0.3227297814800958,0.0015939756476594498,0.004939041077489645,1.0657818876377376,5.0,0.58,2.0,0.0,0.0
8.0,10739.0,0.3227297814800958,0.0010629969395851721,0.0032937677294920856,1.0723694230967218,5.0,0.58,2.0,0.0,0.0
9.0,8385.0,0.3227297814800958,-0.002060329946028015,-0.006384071332304624,1.0596012804321124,5.0,0.58,2.0,0.0,0.0
10.0,6380.0,0.3227297814800958,0.0005990506531451148,0.0018561988620875416,1.0633136781562875,5.0,0.58,2.0,0.0,0.0
