model,lag,independent_replicate_count,predicted_msd,observed_msd,ensemble_msd_relative_error,ensemble_msd_mc_relative_se,predicted_ngp,observed_ngp,ensemble_ngp_absolute_error,ensemble_ngp_mc_se,predicted_fs_k2,observed_fs_k2,ensemble_absolute_error_fs_k2,ensemble_fs_k2_mc_se,predicted_fs_k4,observed_fs_k4,ensemble_absolute_error_fs_k4,ensemble_fs_k4_mc_se,predicted_fs_k7p25,observed_fs_k7p25,ensemble_absolute_error_fs_k7p25,ensemble_fs_k7p25_mc_se
contiguous_empirical_path,20.0,5.0,0.16000069220645705,0.16644706753509889,0.03872928147131516,0.0,0.550427393597344,0.5344887762388694,0.015938617358474683,0.0,0.9015313774559711,0.8977986067917458,0.0037327706642252823,0.0,0.6809993915045937,0.6708725623542008,0.010126829150392869,0.0,0.34377453711324224,0.33086790404330846,0.012906633069933782,0.0
contiguous_empirical_path,100.0,5.0,0.5869460351955275,0.6277432713959149,0.06499032018243145,0.0,0.2982069820061045,0.27259878318412567,0.025608198821978845,0.0,0.6911158270110693,0.6729530928901382,0.018162734120931168,0.0,0.281597774158482,0.2550264768632297,0.02657129729525226,0.0,0.049201010595657534,0.03791104562476884,0.011289964970888695,0.0
contiguous_empirical_path,200.0,5.0,1.1164893983238335,1.2114563032671688,0.07839069778020025,0.0,0.17436621449022552,0.16461288054797313,0.00975333394225239,0.0,0.4977969118890354,0.4684955850761498,0.02930132681288561,0.0,0.09630051126317093,0.07669663841520627,0.019603872847964665,0.0,0.005473765853176561,0.0029394292791792066,0.0025343365739973543,0.0
contiguous_empirical_path,400.0,5.0,2.1669855644528537,2.3739410739101037,0.0871780313891174,0.0,0.09158793234382126,0.09624093789673074,0.004653005552909484,0.0,0.25791204687141955,0.22856523099152498,0.029346815879894572,0.0,0.011129063197042117,0.00533568134770505,0.005793381849337067,0.0,0.001995258175980473,-0.00020390029128960173,0.0021991584672700747,0.0
contiguous_empirical_path,600.0,5.0,3.2649745190707877,3.5487077013310584,0.07995394553173463,0.0,0.05060963108037728,0.06492829891012106,0.014318667829743774,0.0,0.12850165799376792,0.10992628341556979,0.018575374578198134,0.0,0.0020301232058522554,0.001625518978447396,0.0004046042274048593,0.0,0.00052086189557802,0.002668049891866133,0.002147187996288113,0.0
direction_randomized_path,20.0,5.0,0.16000069220645705,0.16644706753509889,0.03872928147131516,0.0,0.550427393597344,0.5344887762388694,0.015938617358474683,0.0,0.9015251322727803,0.8977986067917458,0.0037265254810344706,0.0,0.6809622486236689,0.6708725623542008,0.010089686269468157,0.0,0.34387266327160904,0.33086790404330846,0.013004759228300578,0.0
direction_randomized_path,100.0,5.0,0.7971858286777852,0.6277432713959149,0.2699233349089991,0.0,0.16771636801144515,0.27259878318412567,0.10488241517268052,0.0,0.601135015331375,0.6729530928901382,0.07181807755876313,0.0,0.16276027043123914,0.2550264768632297,0.09226620643199057,0.0,0.009311510919442014,0.03791104562476884,0.028599534705326824,0.0
direction_randomized_path,200.0,5.0,1.5914323568786484,1.2114563032671688,0.31365229813632123,0.0,0.09068190546224653,0.16461288054797313,0.0739309750857266,0.0,0.36335987004856507,0.4684955850761498,0.10513571502758473,0.0,0.027988869741606713,0.07669663841520627,0.04870776867359956,0.0,0.0001289930562511812,0.0029394292791792066,0.0028104362229280254,0.0
direction_randomized_path,400.0,5.0,3.1731459653159035,2.3739410739101037,0.336657425994755,0.0,0.04648571376318866,0.09624093789673074,0.04975522413354208,0.0,0.13329562735986092,0.22856523099152498,0.09526960363166406,0.0,0.0008363374608894825,0.00533568134770505,0.004499343886815567,0.0,1.6770987807107714e-09,-0.00020390029128960173,0.00020390196838838243,0.0
direction_randomized_path,600.0,5.0,4.778544531189963,3.5487077013310584,0.3465590669520666,0.0,0.030545600436400644,0.06492829891012106,0.03438269847372041,0.0,0.048004851574257455,0.10992628341556979,0.06192143184131233,0.0,2.2152245280991458e-05,0.001625518978447396,0.0016033667331664047,0.0,-2.240188771959524e-12,0.002668049891866133,0.002668049894106322,0.0
