replicate,temperature,block_size,block_lag,lag_time,heldout_identity_correlation,single_mode_prediction,two_mode_prediction,hmm_prediction,static_prediction,poisson_prediction
1.0,0.58,20.0,1.0,20.0,0.0756774944316646,0.08175649188423047,0.0834360464932494,0.057483379385137735,0.011868548442357433,0.0
1.0,0.58,20.0,2.0,40.0,0.025609693312519347,0.034256666760134356,0.028043184281929777,0.03688291729270856,0.011868548442357433,0.0
1.0,0.58,20.0,3.0,60.0,0.01389888637305966,0.014353835279241568,0.015335980468042052,0.023665094198906764,0.011868548442357433,0.0
1.0,0.58,20.0,4.0,80.0,0.011521112709024183,0.006014379293415872,0.011284037962870513,0.015184175345962808,0.011868548442357433,0.0
1.0,0.58,20.0,5.0,100.0,0.011904897359716725,0.0025200761734658077,0.00917550082213786,0.009742584542409964,0.011868548442357433,0.0
1.0,0.58,20.0,6.0,120.0,0.008726240128833216,0.0010559333906696683,0.007656403891729746,0.006251110212003875,0.011868548442357433,0.0
1.0,0.58,20.0,7.0,140.0,0.0032881239164633887,0.00044244508847433514,0.006428407078737842,0.004010884248683465,0.011868548442357433,0.0
1.0,0.58,20.0,8.0,160.0,0.0034132788077485083,0.00018538826221880665,0.0054051847547013894,0.0025734936532466226,0.011868548442357433,0.0
1.0,0.58,20.0,9.0,180.0,0.006864340915985123,7.76792615938433e-05,0.004546364898634176,0.0016512243118146685,0.011868548442357433,0.0
1.0,0.58,20.0,10.0,200.0,0.0016935407564998403,3.254827252570588e-05,0.0038243019481278974,0.0010594709353520743,0.011868548442357433,0.0
1.0,0.58,20.0,11.0,220.0,-0.0006182191224599863,1.3638003537505105e-05,0.0032169773885472324,0.0006797856928488495,0.011868548442357433,0.0
1.0,0.58,20.0,12.0,240.0,-0.002639505090371292,5.714439693907168e-06,0.002706111536443848,0.0004361691980237535,0.011868548442357433,0.0
1.0,0.58,20.0,13.0,260.0,0.0033966548614260197,2.394398925436532e-06,0.0022763750033443306,0.00027985815427713785,0.011868548442357433,0.0
1.0,0.58,20.0,14.0,280.0,0.0027422856996110437,1.003273552828706e-06,0.0019148820302281933,0.00017956468927716662,0.011868548442357433,0.0
1.0,0.58,20.0,15.0,300.0,0.001334802572877367,4.2038016769575e-07,0.0016107949619570757,0.00011521364356342946,0.011868548442357433,0.0
1.0,0.58,20.0,16.0,320.0,-0.0041902361736263615,1.7614287239372598e-07,0.0013549975408405223,7.392424265926602e-05,0.011868548442357433,0.0
1.0,0.58,20.0,17.0,340.0,0.00411286114827008,7.380536447563273e-08,0.0011398212586947575,4.74318273750059e-05,0.011868548442357433,0.0
1.0,0.58,20.0,18.0,360.0,0.002215613397180509,3.092507662305508e-08,0.000958815395228357,3.0433565055270283e-05,0.011868548442357433,0.0
1.0,0.58,20.0,19.0,380.0,0.005670054573806334,1.2957870622772649e-08,0.000806553619928937,1.952701241406163e-05,0.011868548442357433,0.0
1.0,0.58,20.0,20.0,400.0,0.003962245499921081,5.429458207108777e-09,0.0006784713147930608,1.2529068254949164e-05,0.011868548442357433,0.0
1.0,0.58,20.0,21.0,420.0,-0.0011064549120219512,2.2749892540934397e-09,0.0005707287322590237,8.038994804147995e-06,0.011868548442357433,0.0
1.0,0.58,20.0,22.0,440.0,0.016221973839098378,9.53239883026313e-10,0.00048009588426887675,5.158040178733201e-06,0.011868548442357433,0.0
1.0,0.58,20.0,23.0,460.0,0.0033124543175359123,3.9941563370333964e-10,0.00040385571124078903,3.3095404504675235e-06,0.011868548442357433,0.0
1.0,0.58,20.0,24.0,480.0,-0.00037212033585611547,1.6735855400863104e-10,0.00033972262801252776,2.1234921818640846e-06,0.011868548442357433,0.0
1.0,0.58,20.0,25.0,500.0,-0.001551117094945981,7.012466021964248e-11,0.00028577400485226733,1.3624909904941317e-06,0.011868548442357433,0.0
1.0,0.58,20.0,26.0,520.0,0.0017287549297268345,2.938283017590308e-11,0.00024039252942047973,8.742116947885701e-07,0.011868548442357433,0.0
1.0,0.58,20.0,27.0,540.0,0.008638176516439156,1.2311656219677939e-11,0.00020221772176601735,5.609182685515863e-07,0.011868548442357433,0.0
1.0,0.58,20.0,28.0,560.0,-0.002226643848021206,5.158688865711869e-12,0.00017010514883643765,3.599005891484935e-07,0.011868548442357433,0.0
1.0,0.58,20.0,29.0,580.0,0.003072770442770217,2.1615345927776205e-12,0.00014309211580450725,2.3092211705620414e-07,0.011868548442357433,0.0
1.0,0.58,20.0,30.0,600.0,-0.0059655786650317935,9.057014131689784e-13,0.00012036880567970542,1.4816598181148725e-07,0.011868548442357433,0.0
1.0,0.58,50.0,1.0,50.0,0.0667954962418746,0.06437191564278115,0.06550207747308674,0.064378462130368,0.028822795989243706,0.0
1.0,0.58,50.0,2.0,100.0,0.02349823188252645,0.02601096671885307,0.022235616914929087,0.025007416875012095,0.028822795989243706,0.0
1.0,0.58,50.0,3.0,150.0,0.008603615912791596,0.01051033487031475,0.011428351589991616,0.009713976974073222,0.028822795989243706,0.0
1.0,0.58,50.0,4.0,200.0,0.006914619320359952,0.004246944770648843,0.007388033022089435,0.0037733344921007197,0.028822795989243706,0.0
1.0,0.58,50.0,5.0,250.0,0.007115886091851549,0.001716076614826395,0.005166413110637015,0.0014657285298574022,0.028822795989243706,0.0
1.0,0.58,50.0,6.0,300.0,-0.004557768340648982,0.000693420589857141,0.0036928297011201575,0.0005693532147058317,0.028822795989243706,0.0
1.0,0.58,50.0,7.0,350.0,0.004602945272689612,0.00028019268503724006,0.002654699692743093,0.0002211617475491195,0.028822795989243706,0.0
1.0,0.58,50.0,8.0,400.0,0.016651442290569893,0.00011321835823270291,0.0019112176616789029,8.590891790125775e-05,0.028822795989243706,0.0
1.0,0.58,50.0,9.0,450.0,0.01294999971733073,4.5748505672819295e-05,0.0013764746613050148,3.33707897353537e-05,0.028822795989243706,0.0
1.0,0.58,50.0,10.0,500.0,-0.009468574537782078,1.8485745633179864e-05,0.0009914435930026123,1.296267762144498e-05,0.028822795989243706,0.0
1.0,0.58,50.0,11.0,550.0,0.004688643263533906,7.469594614926564e-06,0.0007141319330368227,5.035272238088359e-06,0.028822795989243706,0.0
1.0,0.58,50.0,12.0,600.0,0.0022882844800863503,3.0182630886792233e-06,0.0005143889332225616,1.9559204704527007e-06,0.028822795989243706,0.0
