replicate,temperature,block_size,window,count_value,frequency,probability,observation_count
1.0,0.58,20.0,calibration,0.0,92301.0,0.7612516391887768,121249.0
1.0,0.58,20.0,calibration,1.0,24044.0,0.1983026664137436,121249.0
1.0,0.58,20.0,calibration,2.0,4314.0,0.03557967488391657,121249.0
1.0,0.58,20.0,calibration,3.0,545.0,0.004494882432020058,121249.0
1.0,0.58,20.0,calibration,4.0,41.0,0.00033814711873912364,121249.0
1.0,0.58,20.0,calibration,5.0,4.0,3.298996280381694e-05,121249.0
1.0,0.58,20.0,heldout,0.0,90673.0,0.7478247243276234,121249.0
1.0,0.58,20.0,heldout,1.0,25429.0,0.20972544103456522,121249.0
1.0,0.58,20.0,heldout,2.0,4507.0,0.03717144058920074,121249.0
1.0,0.58,20.0,heldout,3.0,590.0,0.004866019513562999,121249.0
1.0,0.58,20.0,heldout,4.0,46.0,0.0003793845722438948,121249.0
1.0,0.58,20.0,heldout,5.0,4.0,3.298996280381694e-05,121249.0
1.0,0.58,50.0,calibration,0.0,26209.0,0.5331909266605636,49155.0
1.0,0.58,50.0,calibration,1.0,14461.0,0.2941918421320313,49155.0
1.0,0.58,50.0,calibration,2.0,6016.0,0.12238836334045367,49155.0
1.0,0.58,50.0,calibration,3.0,1895.0,0.03855152069982708,49155.0
1.0,0.58,50.0,calibration,4.0,456.0,0.009276777540433323,49155.0
1.0,0.58,50.0,calibration,5.0,99.0,0.002014037229173024,49155.0
1.0,0.58,50.0,calibration,6.0,16.0,0.0003255009663309938,49155.0
1.0,0.58,50.0,calibration,7.0,1.0,2.0343810395687112e-05,49155.0
1.0,0.58,50.0,calibration,8.0,2.0,4.0687620791374224e-05,49155.0
1.0,0.58,50.0,heldout,0.0,24930.0,0.5071711931644797,49155.0
1.0,0.58,50.0,heldout,1.0,15201.0,0.3092462618248398,49155.0
1.0,0.58,50.0,heldout,2.0,6428.0,0.13077001322347676,49155.0
1.0,0.58,50.0,heldout,3.0,1990.0,0.04048418268741735,49155.0
1.0,0.58,50.0,heldout,4.0,504.0,0.010253280439426304,49155.0
1.0,0.58,50.0,heldout,5.0,86.0,0.0017495676940290916,49155.0
1.0,0.58,50.0,heldout,6.0,11.0,0.00022378191435255823,49155.0
1.0,0.58,50.0,heldout,7.0,4.0,8.137524158274845e-05,49155.0
1.0,0.58,50.0,heldout,8.0,1.0,2.0343810395687112e-05,49155.0
1.0,0.58,100.0,calibration,0.0,6802.0,0.29652556781027944,22939.0
1.0,0.58,100.0,calibration,1.0,6801.0,0.2964819739308601,22939.0
1.0,0.58,100.0,calibration,2.0,4860.0,0.2118662539779415,22939.0
1.0,0.58,100.0,calibration,3.0,2601.0,0.1133876803696761,22939.0
1.0,0.58,100.0,calibration,4.0,1181.0,0.05148437159422817,22939.0
1.0,0.58,100.0,calibration,5.0,489.0,0.021317407036052137,22939.0
1.0,0.58,100.0,calibration,6.0,149.0,0.0064954880334800996,22939.0
1.0,0.58,100.0,calibration,7.0,40.0,0.001743755176773181,22939.0
1.0,0.58,100.0,calibration,8.0,12.0,0.0005231265530319543,22939.0
1.0,0.58,100.0,calibration,9.0,3.0,0.00013078163825798857,22939.0
1.0,0.58,100.0,calibration,10.0,1.0,4.359387941932953e-05,22939.0
1.0,0.58,100.0,heldout,0.0,6223.0,0.27128471162648765,22939.0
1.0,0.58,100.0,heldout,1.0,6813.0,0.29700510048389206,22939.0
1.0,0.58,100.0,heldout,2.0,5082.0,0.22154409520903265,22939.0
1.0,0.58,100.0,heldout,3.0,2815.0,0.12271677056541262,22939.0
1.0,0.58,100.0,heldout,4.0,1302.0,0.05675923100396704,22939.0
1.0,0.58,100.0,heldout,5.0,478.0,0.020837874362439515,22939.0
1.0,0.58,100.0,heldout,6.0,163.0,0.007105802345350713,22939.0
1.0,0.58,100.0,heldout,7.0,44.0,0.0019181306944504992,22939.0
1.0,0.58,100.0,heldout,8.0,15.0,0.0006539081912899429,22939.0
1.0,0.58,100.0,heldout,9.0,3.0,0.00013078163825798857,22939.0
1.0,0.58,100.0,heldout,10.0,1.0,4.359387941932953e-05,22939.0
2.0,0.58,20.0,calibration,0.0,91952.0,0.7583732649341438,121249.0
2.0,0.58,20.0,calibration,1.0,24405.0,0.2012800105567881,121249.0
2.0,0.58,20.0,calibration,2.0,4320.0,0.035629159828122293,121249.0
2.0,0.58,20.0,calibration,3.0,520.0,0.004288695164496202,121249.0
2.0,0.58,20.0,calibration,4.0,49.0,0.0004041270443467575,121249.0
2.0,0.58,20.0,calibration,5.0,3.0,2.4742472102862704e-05,121249.0
2.0,0.58,20.0,heldout,0.0,90287.0,0.744641192917055,121249.0
2.0,0.58,20.0,heldout,1.0,25615.0,0.2112594743049427,121249.0
2.0,0.58,20.0,heldout,2.0,4714.0,0.03887867116429826,121249.0
2.0,0.58,20.0,heldout,3.0,567.0,0.004676327227441051,121249.0
2.0,0.58,20.0,heldout,4.0,65.0,0.0005360868955620252,121249.0
2.0,0.58,20.0,heldout,5.0,1.0,8.247490700954234e-06,121249.0
2.0,0.58,50.0,calibration,0.0,25866.0,0.5262129996948428,49155.0
2.0,0.58,50.0,calibration,1.0,14744.0,0.2999491404740108,49155.0
2.0,0.58,50.0,calibration,2.0,6087.0,0.12383277387854745,49155.0
2.0,0.58,50.0,calibration,3.0,1878.0,0.038205675923100396,49155.0
2.0,0.58,50.0,calibration,4.0,469.0,0.009541247075577255,49155.0
2.0,0.58,50.0,calibration,5.0,99.0,0.002014037229173024,49155.0
2.0,0.58,50.0,calibration,6.0,11.0,0.00022378191435255823,49155.0
2.0,0.58,50.0,calibration,7.0,1.0,2.0343810395687112e-05,49155.0
2.0,0.58,50.0,heldout,0.0,24747.0,0.503448275862069,49155.0
2.0,0.58,50.0,heldout,1.0,15198.0,0.30918523039365275,49155.0
2.0,0.58,50.0,heldout,2.0,6480.0,0.13182789136405249,49155.0
2.0,0.58,50.0,heldout,3.0,2072.0,0.042152375139863696,49155.0
2.0,0.58,50.0,heldout,4.0,521.0,0.010599125216152985,49155.0
2.0,0.58,50.0,heldout,5.0,120.0,0.0024412572474824534,49155.0
2.0,0.58,50.0,heldout,6.0,16.0,0.0003255009663309938,49155.0
2.0,0.58,50.0,heldout,7.0,1.0,2.0343810395687112e-05,49155.0
2.0,0.58,100.0,calibration,0.0,6764.0,0.2948690003923449,22939.0
2.0,0.58,100.0,calibration,1.0,6929.0,0.30206199049653426,22939.0
2.0,0.58,100.0,calibration,2.0,4795.0,0.2090326518156851,22939.0
2.0,0.58,100.0,calibration,3.0,2642.0,0.1151750294258686,22939.0
2.0,0.58,100.0,calibration,4.0,1174.0,0.05117921443829286,22939.0
2.0,0.58,100.0,calibration,5.0,455.0,0.019835215135794934,22939.0
2.0,0.58,100.0,calibration,6.0,128.0,0.0055800165656741795,22939.0
2.0,0.58,100.0,calibration,7.0,44.0,0.0019181306944504992,22939.0
2.0,0.58,100.0,calibration,8.0,8.0,0.0003487510353546362,22939.0
2.0,0.58,100.0,heldout,0.0,6000.0,0.26156327651597716,22939.0
2.0,0.58,100.0,heldout,1.0,6915.0,0.3014516761846637,22939.0
2.0,0.58,100.0,heldout,2.0,5063.0,0.2207158115000654,22939.0
2.0,0.58,100.0,heldout,3.0,2910.0,0.12685818911024893,22939.0
2.0,0.58,100.0,heldout,4.0,1306.0,0.056933606521644364,22939.0
2.0,0.58,100.0,heldout,5.0,501.0,0.021840533589084093,22939.0
2.0,0.58,100.0,heldout,6.0,177.0,0.007716116657221326,22939.0
2.0,0.58,100.0,heldout,7.0,52.0,0.0022668817298051353,22939.0
2.0,0.58,100.0,heldout,8.0,11.0,0.0004795326736126248,22939.0
2.0,0.58,100.0,heldout,9.0,3.0,0.00013078163825798857,22939.0
2.0,0.58,100.0,heldout,10.0,0.0,0.0,22939.0
2.0,0.58,100.0,heldout,11.0,1.0,4.359387941932953e-05,22939.0
3.0,0.58,20.0,calibration,0.0,91615.0,0.7555938605679222,121249.0
3.0,0.58,20.0,calibration,1.0,24552.0,0.20249239168982838,121249.0
3.0,0.58,20.0,calibration,2.0,4455.0,0.03674257107275111,121249.0
3.0,0.58,20.0,calibration,3.0,557.0,0.004593852320431508,121249.0
3.0,0.58,20.0,calibration,4.0,61.0,0.0005030969327582083,121249.0
3.0,0.58,20.0,calibration,5.0,9.0,7.422741630858811e-05,121249.0
3.0,0.58,20.0,heldout,0.0,89865.0,0.7411607518412523,121249.0
3.0,0.58,20.0,heldout,1.0,26108.0,0.21532548722051315,121249.0
3.0,0.58,20.0,heldout,2.0,4651.0,0.038359079250138144,121249.0
3.0,0.58,20.0,heldout,3.0,565.0,0.004659832246039142,121249.0
3.0,0.58,20.0,heldout,4.0,58.0,0.00047835446065534564,121249.0
3.0,0.58,20.0,heldout,5.0,1.0,8.247490700954234e-06,121249.0
3.0,0.58,20.0,heldout,6.0,1.0,8.247490700954234e-06,121249.0
3.0,0.58,50.0,calibration,0.0,25458.0,0.5179127250534025,49155.0
3.0,0.58,50.0,calibration,1.0,15030.0,0.3057674702471773,49155.0
3.0,0.58,50.0,calibration,2.0,6164.0,0.12539924727901536,49155.0
3.0,0.58,50.0,calibration,3.0,1921.0,0.03908045977011494,49155.0
3.0,0.58,50.0,calibration,4.0,465.0,0.009459871833994507,49155.0
3.0,0.58,50.0,calibration,5.0,99.0,0.002014037229173024,49155.0
3.0,0.58,50.0,calibration,6.0,15.0,0.0003051571559353067,49155.0
3.0,0.58,50.0,calibration,7.0,3.0,6.1031431187061336e-05,49155.0
3.0,0.58,50.0,heldout,0.0,24366.0,0.4956972841013122,49155.0
3.0,0.58,50.0,heldout,1.0,15592.0,0.31720069168955345,49155.0
3.0,0.58,50.0,heldout,2.0,6507.0,0.13237717424473605,49155.0
3.0,0.58,50.0,heldout,3.0,2051.0,0.04172515512155427,49155.0
3.0,0.58,50.0,heldout,4.0,523.0,0.01063981283694436,49155.0
3.0,0.58,50.0,heldout,5.0,99.0,0.002014037229173024,49155.0
3.0,0.58,50.0,heldout,6.0,16.0,0.0003255009663309938,49155.0
3.0,0.58,50.0,heldout,7.0,0.0,0.0,49155.0
3.0,0.58,50.0,heldout,8.0,1.0,2.0343810395687112e-05,49155.0
3.0,0.58,100.0,calibration,0.0,6548.0,0.28545272243776976,22939.0
3.0,0.58,100.0,calibration,1.0,6862.0,0.2991412005754392,22939.0
3.0,0.58,100.0,calibration,2.0,4981.0,0.21714111338768036,22939.0
3.0,0.58,100.0,calibration,3.0,2628.0,0.11456471511399799,22939.0
3.0,0.58,100.0,calibration,4.0,1253.0,0.054623130912419895,22939.0
3.0,0.58,100.0,calibration,5.0,463.0,0.02018396617114957,22939.0
3.0,0.58,100.0,calibration,6.0,155.0,0.006757051309996077,22939.0
3.0,0.58,100.0,calibration,7.0,38.0,0.001656567417934522,22939.0
3.0,0.58,100.0,calibration,8.0,11.0,0.0004795326736126248,22939.0
3.0,0.58,100.0,heldout,0.0,5692.0,0.24813636165482367,22939.0
3.0,0.58,100.0,heldout,1.0,7029.0,0.30642137843846723,22939.0
3.0,0.58,100.0,heldout,2.0,5135.0,0.2238545708182571,22939.0
3.0,0.58,100.0,heldout,3.0,3029.0,0.13204586076114913,22939.0
3.0,0.58,100.0,heldout,4.0,1334.0,0.05815423514538559,22939.0
3.0,0.58,100.0,heldout,5.0,496.0,0.021622564191987444,22939.0
3.0,0.58,100.0,heldout,6.0,160.0,0.006975020707092724,22939.0
3.0,0.58,100.0,heldout,7.0,46.0,0.0020053184532891582,22939.0
3.0,0.58,100.0,heldout,8.0,12.0,0.0005231265530319543,22939.0
3.0,0.58,100.0,heldout,9.0,5.0,0.00021796939709664762,22939.0
3.0,0.58,100.0,heldout,10.0,1.0,4.359387941932953e-05,22939.0
4.0,0.58,20.0,calibration,0.0,92301.0,0.7612516391887768,121249.0
4.0,0.58,20.0,calibration,1.0,24023.0,0.19812946910902357,121249.0
4.0,0.58,20.0,calibration,2.0,4332.0,0.035728129716533746,121249.0
4.0,0.58,20.0,calibration,3.0,539.0,0.004445397487814333,121249.0
4.0,0.58,20.0,calibration,4.0,53.0,0.00043711700715057445,121249.0
4.0,0.58,20.0,calibration,5.0,1.0,8.247490700954234e-06,121249.0
4.0,0.58,20.0,heldout,0.0,90816.0,0.7490041154978597,121249.0
4.0,0.58,20.0,heldout,1.0,25276.0,0.20846357495731924,121249.0
4.0,0.58,20.0,heldout,2.0,4530.0,0.03736113287532268,121249.0
4.0,0.58,20.0,heldout,3.0,572.0,0.004717564680945822,121249.0
4.0,0.58,20.0,heldout,4.0,48.0,0.00039587955364580327,121249.0
4.0,0.58,20.0,heldout,5.0,7.0,5.773243490667964e-05,121249.0
4.0,0.58,50.0,calibration,0.0,26002.0,0.5289797579086563,49155.0
4.0,0.58,50.0,calibration,1.0,14742.0,0.29990845285321943,49155.0
4.0,0.58,50.0,calibration,2.0,6001.0,0.12208320618451836,49155.0
4.0,0.58,50.0,calibration,3.0,1834.0,0.03731054826569016,49155.0
4.0,0.58,50.0,calibration,4.0,464.0,0.00943952802359882,49155.0
4.0,0.58,50.0,calibration,5.0,93.0,0.0018919743667989014,49155.0
4.0,0.58,50.0,calibration,6.0,16.0,0.0003255009663309938,49155.0
4.0,0.58,50.0,calibration,7.0,2.0,4.0687620791374224e-05,49155.0
4.0,0.58,50.0,calibration,8.0,1.0,2.0343810395687112e-05,49155.0
4.0,0.58,50.0,heldout,0.0,25210.0,0.5128674600752721,49155.0
4.0,0.58,50.0,heldout,1.0,14840.0,0.30190214627199674,49155.0
4.0,0.58,50.0,heldout,2.0,6540.0,0.1330485199877937,49155.0
4.0,0.58,50.0,heldout,3.0,1919.0,0.03903977214932357,49155.0
4.0,0.58,50.0,heldout,4.0,523.0,0.01063981283694436,49155.0
4.0,0.58,50.0,heldout,5.0,96.0,0.0019530057979859627,49155.0
4.0,0.58,50.0,heldout,6.0,26.0,0.0005289390702878649,49155.0
4.0,0.58,50.0,heldout,7.0,1.0,2.0343810395687112e-05,49155.0
4.0,0.58,100.0,calibration,0.0,6753.0,0.2943894677187323,22939.0
