replicate,temperature,block_size,window,block_lag,first_count,second_count,frequency,probability,pair_observation_count
1.0,0.58,20.0,calibration,1.0,0.0,0.0,70146.0,0.594598718339945,117972.0
1.0,0.58,20.0,calibration,1.0,0.0,1.0,16424.0,0.1392194758078188,117972.0
1.0,0.58,20.0,calibration,1.0,0.0,2.0,2881.0,0.024421049062489403,117972.0
1.0,0.58,20.0,calibration,1.0,0.0,3.0,352.0,0.00298375885803411,117972.0
1.0,0.58,20.0,calibration,1.0,0.0,4.0,22.0,0.00018648492862713187,117972.0
1.0,0.58,20.0,calibration,1.0,0.0,5.0,2.0,1.695317532973926e-05,117972.0
1.0,0.58,20.0,calibration,1.0,1.0,0.0,16245.0,0.13770216661580714,117972.0
1.0,0.58,20.0,calibration,1.0,1.0,1.0,5840.0,0.04950327196283864,117972.0
1.0,0.58,20.0,calibration,1.0,1.0,2.0,1129.0,0.009570067473637813,117972.0
1.0,0.58,20.0,calibration,1.0,1.0,3.0,152.0,0.0012884413250601838,117972.0
1.0,0.58,20.0,calibration,1.0,1.0,4.0,13.0,0.00011019563964330519,117972.0
1.0,0.58,20.0,calibration,1.0,1.0,5.0,2.0,1.695317532973926e-05,117972.0
1.0,0.58,20.0,calibration,1.0,2.0,0.0,2783.0,0.02359034347133218,117972.0
1.0,0.58,20.0,calibration,1.0,2.0,1.0,1145.0,0.009705692876275726,117972.0
1.0,0.58,20.0,calibration,1.0,2.0,2.0,223.0,0.0018902790492659274,117972.0
1.0,0.58,20.0,calibration,1.0,2.0,3.0,33.0,0.0002797273929406978,117972.0
1.0,0.58,20.0,calibration,1.0,2.0,4.0,3.0,2.542976299460889e-05,117972.0
1.0,0.58,20.0,calibration,1.0,3.0,0.0,342.0,0.0028989929813854134,117972.0
1.0,0.58,20.0,calibration,1.0,3.0,1.0,162.0,0.00137320720170888,117972.0
1.0,0.58,20.0,calibration,1.0,3.0,2.0,26.0,0.00022039127928661037,117972.0
1.0,0.58,20.0,calibration,1.0,3.0,3.0,2.0,1.695317532973926e-05,117972.0
1.0,0.58,20.0,calibration,1.0,3.0,4.0,2.0,1.695317532973926e-05,117972.0
1.0,0.58,20.0,calibration,1.0,4.0,0.0,30.0,0.0002542976299460889,117972.0
1.0,0.58,20.0,calibration,1.0,4.0,1.0,7.0,5.933611365408741e-05,117972.0
1.0,0.58,20.0,calibration,1.0,4.0,2.0,1.0,8.47658766486963e-06,117972.0
1.0,0.58,20.0,calibration,1.0,4.0,3.0,1.0,8.47658766486963e-06,117972.0
1.0,0.58,20.0,calibration,1.0,5.0,0.0,2.0,1.695317532973926e-05,117972.0
1.0,0.58,20.0,calibration,1.0,5.0,1.0,2.0,1.695317532973926e-05,117972.0
1.0,0.58,20.0,heldout,1.0,0.0,0.0,67515.0,0.5722968161936731,117972.0
1.0,0.58,20.0,heldout,1.0,0.0,1.0,17328.0,0.14688231105686095,117972.0
1.0,0.58,20.0,heldout,1.0,0.0,2.0,2999.0,0.02542128640694402,117972.0
1.0,0.58,20.0,heldout,1.0,0.0,3.0,372.0,0.0031532906113315023,117972.0
1.0,0.58,20.0,heldout,1.0,0.0,4.0,34.0,0.0002882039806055674,117972.0
1.0,0.58,20.0,heldout,1.0,0.0,5.0,1.0,8.47658766486963e-06,117972.0
1.0,0.58,20.0,heldout,1.0,1.0,0.0,16990.0,0.14401722442613502,117972.0
1.0,0.58,20.0,heldout,1.0,1.0,1.0,6347.0,0.05380090190892754,117972.0
1.0,0.58,20.0,heldout,1.0,1.0,2.0,1201.0,0.010180381785508426,117972.0
1.0,0.58,20.0,heldout,1.0,1.0,3.0,175.0,0.0014834028413521852,117972.0
1.0,0.58,20.0,heldout,1.0,1.0,4.0,8.0,6.781270131895704e-05,117972.0
1.0,0.58,20.0,heldout,1.0,1.0,5.0,1.0,8.47658766486963e-06,117972.0
1.0,0.58,20.0,heldout,1.0,2.0,0.0,2902.0,0.024599057403451665,117972.0
1.0,0.58,20.0,heldout,1.0,2.0,1.0,1201.0,0.010180381785508426,117972.0
1.0,0.58,20.0,heldout,1.0,2.0,2.0,244.0,0.00206828739022819,117972.0
1.0,0.58,20.0,heldout,1.0,2.0,3.0,28.0,0.00023734445461634965,117972.0
1.0,0.58,20.0,heldout,1.0,2.0,4.0,3.0,2.542976299460889e-05,117972.0
1.0,0.58,20.0,heldout,1.0,2.0,5.0,2.0,1.695317532973926e-05,117972.0
1.0,0.58,20.0,heldout,1.0,3.0,0.0,376.0,0.003187196961990981,117972.0
1.0,0.58,20.0,heldout,1.0,3.0,1.0,160.0,0.0013562540263791407,117972.0
1.0,0.58,20.0,heldout,1.0,3.0,2.0,30.0,0.0002542976299460889,117972.0
1.0,0.58,20.0,heldout,1.0,3.0,3.0,7.0,5.933611365408741e-05,117972.0
1.0,0.58,20.0,heldout,1.0,4.0,0.0,31.0,0.0002627742176109585,117972.0
1.0,0.58,20.0,heldout,1.0,4.0,1.0,10.0,8.47658766486963e-05,117972.0
1.0,0.58,20.0,heldout,1.0,4.0,2.0,2.0,1.695317532973926e-05,117972.0
1.0,0.58,20.0,heldout,1.0,4.0,3.0,1.0,8.47658766486963e-06,117972.0
1.0,0.58,20.0,heldout,1.0,5.0,0.0,3.0,2.542976299460889e-05,117972.0
1.0,0.58,20.0,heldout,1.0,5.0,1.0,1.0,8.47658766486963e-06,117972.0
1.0,0.58,50.0,calibration,1.0,0.0,0.0,13586.0,0.2961332228955055,45878.0
1.0,0.58,50.0,calibration,1.0,0.0,1.0,6853.0,0.1493744278303326,45878.0
1.0,0.58,50.0,calibration,1.0,0.0,2.0,2712.0,0.059113300492610835,45878.0
1.0,0.58,50.0,calibration,1.0,0.0,3.0,811.0,0.017677318104538122,45878.0
1.0,0.58,50.0,calibration,1.0,0.0,4.0,198.0,0.004315794062513623,45878.0
1.0,0.58,50.0,calibration,1.0,0.0,5.0,30.0,0.0006539081912899429,45878.0
1.0,0.58,50.0,calibration,1.0,0.0,6.0,10.0,0.00021796939709664762,45878.0
1.0,0.58,50.0,calibration,1.0,0.0,7.0,1.0,2.1796939709664764e-05,45878.0
1.0,0.58,50.0,calibration,1.0,1.0,0.0,6761.0,0.14736910937704345,45878.0
1.0,0.58,50.0,calibration,1.0,1.0,1.0,4198.0,0.09150355290117268,45878.0
1.0,0.58,50.0,calibration,1.0,1.0,2.0,1826.0,0.03980121190984786,45878.0
1.0,0.58,50.0,calibration,1.0,1.0,3.0,621.0,0.013535899559701818,45878.0
1.0,0.58,50.0,calibration,1.0,1.0,4.0,153.0,0.0033349317755787086,45878.0
1.0,0.58,50.0,calibration,1.0,1.0,5.0,40.0,0.0008718775883865905,45878.0
1.0,0.58,50.0,calibration,1.0,1.0,6.0,4.0,8.718775883865905e-05,45878.0
1.0,0.58,50.0,calibration,1.0,1.0,8.0,2.0,4.359387941932953e-05,45878.0
1.0,0.58,50.0,calibration,1.0,2.0,0.0,2820.0,0.061467369981254634,45878.0
1.0,0.58,50.0,calibration,1.0,2.0,1.0,1719.0,0.03746893936091373,45878.0
1.0,0.58,50.0,calibration,1.0,2.0,2.0,813.0,0.017720911983957453,45878.0
1.0,0.58,50.0,calibration,1.0,2.0,3.0,275.0,0.00599415842015781,45878.0
1.0,0.58,50.0,calibration,1.0,2.0,4.0,66.0,0.0014385980208378743,45878.0
1.0,0.58,50.0,calibration,1.0,2.0,5.0,21.0,0.00045773573390296,45878.0
1.0,0.58,50.0,calibration,1.0,2.0,6.0,1.0,2.1796939709664764e-05,45878.0
1.0,0.58,50.0,calibration,1.0,3.0,0.0,811.0,0.017677318104538122,45878.0
1.0,0.58,50.0,calibration,1.0,3.0,1.0,585.0,0.012751209730153886,45878.0
1.0,0.58,50.0,calibration,1.0,3.0,2.0,289.0,0.0062993155760931166,45878.0
1.0,0.58,50.0,calibration,1.0,3.0,3.0,90.0,0.0019617245738698286,45878.0
1.0,0.58,50.0,calibration,1.0,3.0,4.0,23.0,0.0005013296133222896,45878.0
1.0,0.58,50.0,calibration,1.0,3.0,5.0,5.0,0.00010898469854832381,45878.0
1.0,0.58,50.0,calibration,1.0,4.0,0.0,209.0,0.004555560399319936,45878.0
1.0,0.58,50.0,calibration,1.0,4.0,1.0,150.0,0.0032695409564497146,45878.0
1.0,0.58,50.0,calibration,1.0,4.0,2.0,60.0,0.0013078163825798858,45878.0
1.0,0.58,50.0,calibration,1.0,4.0,3.0,15.0,0.00032695409564497145,45878.0
1.0,0.58,50.0,calibration,1.0,4.0,4.0,4.0,8.718775883865905e-05,45878.0
1.0,0.58,50.0,calibration,1.0,5.0,0.0,48.0,0.0010462531060639086,45878.0
1.0,0.58,50.0,calibration,1.0,5.0,1.0,26.0,0.0005667204324512838,45878.0
1.0,0.58,50.0,calibration,1.0,5.0,2.0,16.0,0.0003487510353546362,45878.0
1.0,0.58,50.0,calibration,1.0,5.0,3.0,6.0,0.00013078163825798857,45878.0
1.0,0.58,50.0,calibration,1.0,5.0,5.0,1.0,2.1796939709664764e-05,45878.0
1.0,0.58,50.0,calibration,1.0,6.0,0.0,7.0,0.00015257857796765334,45878.0
1.0,0.58,50.0,calibration,1.0,6.0,1.0,5.0,0.00010898469854832381,45878.0
1.0,0.58,50.0,calibration,1.0,6.0,2.0,3.0,6.539081912899428e-05,45878.0
1.0,0.58,50.0,calibration,1.0,6.0,3.0,1.0,2.1796939709664764e-05,45878.0
1.0,0.58,50.0,calibration,1.0,7.0,1.0,1.0,2.1796939709664764e-05,45878.0
1.0,0.58,50.0,calibration,1.0,8.0,1.0,2.0,4.359387941932953e-05,45878.0
1.0,0.58,50.0,heldout,1.0,0.0,0.0,12338.0,0.26893064213784384,45878.0
1.0,0.58,50.0,heldout,1.0,0.0,1.0,6902.0,0.1504424778761062,45878.0
1.0,0.58,50.0,heldout,1.0,0.0,2.0,2790.0,0.06081346178996469,45878.0
1.0,0.58,50.0,heldout,1.0,0.0,3.0,885.0,0.019290291643053317,45878.0
1.0,0.58,50.0,heldout,1.0,0.0,4.0,205.0,0.0044683726404812765,45878.0
1.0,0.58,50.0,heldout,1.0,0.0,5.0,35.0,0.0007628928898382667,45878.0
1.0,0.58,50.0,heldout,1.0,0.0,6.0,2.0,4.359387941932953e-05,45878.0
1.0,0.58,50.0,heldout,1.0,0.0,7.0,1.0,2.1796939709664764e-05,45878.0
1.0,0.58,50.0,heldout,1.0,0.0,8.0,1.0,2.1796939709664764e-05,45878.0
1.0,0.58,50.0,heldout,1.0,1.0,0.0,6784.0,0.14787043899036575,45878.0
1.0,0.58,50.0,heldout,1.0,1.0,1.0,4571.0,0.09963381141287764,45878.0
1.0,0.58,50.0,heldout,1.0,1.0,2.0,2004.0,0.043681067178168186,45878.0
1.0,0.58,50.0,heldout,1.0,1.0,3.0,612.0,0.013339727102314835,45878.0
1.0,0.58,50.0,heldout,1.0,1.0,4.0,160.0,0.003487510353546362,45878.0
1.0,0.58,50.0,heldout,1.0,1.0,5.0,26.0,0.0005667204324512838,45878.0
1.0,0.58,50.0,heldout,1.0,1.0,6.0,7.0,0.00015257857796765334,45878.0
1.0,0.58,50.0,heldout,1.0,1.0,7.0,2.0,4.359387941932953e-05,45878.0
1.0,0.58,50.0,heldout,1.0,2.0,0.0,2851.0,0.06214307511225424,45878.0
1.0,0.58,50.0,heldout,1.0,2.0,1.0,1919.0,0.041828327302846684,45878.0
1.0,0.58,50.0,heldout,1.0,2.0,2.0,908.0,0.019791621256375604,45878.0
1.0,0.58,50.0,heldout,1.0,2.0,3.0,297.0,0.006473691093770434,45878.0
1.0,0.58,50.0,heldout,1.0,2.0,4.0,76.0,0.001656567417934522,45878.0
1.0,0.58,50.0,heldout,1.0,2.0,5.0,12.0,0.00026156327651597714,45878.0
1.0,0.58,50.0,heldout,1.0,2.0,6.0,1.0,2.1796939709664764e-05,45878.0
1.0,0.58,50.0,heldout,1.0,2.0,7.0,1.0,2.1796939709664764e-05,45878.0
1.0,0.58,50.0,heldout,1.0,3.0,0.0,831.0,0.018113256898731417,45878.0
1.0,0.58,50.0,heldout,1.0,3.0,1.0,645.0,0.014059026112733772,45878.0
1.0,0.58,50.0,heldout,1.0,3.0,2.0,306.0,0.006669863551157417,45878.0
1.0,0.58,50.0,heldout,1.0,3.0,3.0,85.0,0.001852739875321505,45878.0
1.0,0.58,50.0,heldout,1.0,3.0,4.0,30.0,0.0006539081912899429,45878.0
1.0,0.58,50.0,heldout,1.0,3.0,5.0,6.0,0.00013078163825798857,45878.0
1.0,0.58,50.0,heldout,1.0,3.0,6.0,1.0,2.1796939709664764e-05,45878.0
1.0,0.58,50.0,heldout,1.0,4.0,0.0,205.0,0.0044683726404812765,45878.0
1.0,0.58,50.0,heldout,1.0,4.0,1.0,151.0,0.0032913378961593794,45878.0
1.0,0.58,50.0,heldout,1.0,4.0,2.0,92.0,0.0020053184532891582,45878.0
1.0,0.58,50.0,heldout,1.0,4.0,3.0,25.0,0.0005449234927416191,45878.0
1.0,0.58,50.0,heldout,1.0,4.0,4.0,11.0,0.0002397663368063124,45878.0
1.0,0.58,50.0,heldout,1.0,4.0,5.0,3.0,6.539081912899428e-05,45878.0
1.0,0.58,50.0,heldout,1.0,5.0,0.0,34.0,0.000741095950128602,45878.0
1.0,0.58,50.0,heldout,1.0,5.0,1.0,28.0,0.0006103143118706134,45878.0
1.0,0.58,50.0,heldout,1.0,5.0,2.0,10.0,0.00021796939709664762,45878.0
1.0,0.58,50.0,heldout,1.0,5.0,3.0,5.0,0.00010898469854832381,45878.0
1.0,0.58,50.0,heldout,1.0,5.0,4.0,4.0,8.718775883865905e-05,45878.0
1.0,0.58,50.0,heldout,1.0,6.0,0.0,6.0,0.00013078163825798857,45878.0
1.0,0.58,50.0,heldout,1.0,6.0,1.0,3.0,6.539081912899428e-05,45878.0
1.0,0.58,50.0,heldout,1.0,6.0,4.0,2.0,4.359387941932953e-05,45878.0
