replicate,temperature,block_size,block_lag,lag_time,observed_identity_correlation,hmm_identity_correlation,poisson_identity_correlation,static_identity_correlation
1.0,0.58,20.0,1.0,20.0,0.0756774944316646,0.057483379385137735,0.0,0.011868548442357433
1.0,0.58,20.0,2.0,40.0,0.025609693312519347,0.03688291729270856,0.0,0.011868548442357433
1.0,0.58,20.0,3.0,60.0,0.01389888637305966,0.023665094198906764,0.0,0.011868548442357433
1.0,0.58,20.0,4.0,80.0,0.011521112709024183,0.015184175345962808,0.0,0.011868548442357433
1.0,0.58,20.0,5.0,100.0,0.011904897359716725,0.009742584542409964,0.0,0.011868548442357433
1.0,0.58,20.0,6.0,120.0,0.008726240128833216,0.006251110212003875,0.0,0.011868548442357433
1.0,0.58,20.0,7.0,140.0,0.0032881239164633887,0.004010884248683465,0.0,0.011868548442357433
1.0,0.58,20.0,8.0,160.0,0.0034132788077485083,0.0025734936532466226,0.0,0.011868548442357433
1.0,0.58,20.0,9.0,180.0,0.006864340915985123,0.0016512243118146685,0.0,0.011868548442357433
1.0,0.58,20.0,10.0,200.0,0.0016935407564998403,0.0010594709353520743,0.0,0.011868548442357433
1.0,0.58,20.0,11.0,220.0,-0.0006182191224599863,0.0006797856928488495,0.0,0.011868548442357433
1.0,0.58,20.0,12.0,240.0,-0.002639505090371292,0.0004361691980237535,0.0,0.011868548442357433
1.0,0.58,20.0,13.0,260.0,0.0033966548614260197,0.00027985815427713785,0.0,0.011868548442357433
1.0,0.58,20.0,14.0,280.0,0.0027422856996110437,0.00017956468927716662,0.0,0.011868548442357433
1.0,0.58,20.0,15.0,300.0,0.001334802572877367,0.00011521364356342946,0.0,0.011868548442357433
1.0,0.58,20.0,16.0,320.0,-0.0041902361736263615,7.392424265926602e-05,0.0,0.011868548442357433
1.0,0.58,20.0,17.0,340.0,0.00411286114827008,4.74318273750059e-05,0.0,0.011868548442357433
1.0,0.58,20.0,18.0,360.0,0.002215613397180509,3.0433565055270283e-05,0.0,0.011868548442357433
1.0,0.58,20.0,19.0,380.0,0.005670054573806334,1.952701241406163e-05,0.0,0.011868548442357433
1.0,0.58,20.0,20.0,400.0,0.003962245499921081,1.2529068254949164e-05,0.0,0.011868548442357433
1.0,0.58,20.0,21.0,420.0,-0.0011064549120219512,8.038994804147995e-06,0.0,0.011868548442357433
1.0,0.58,20.0,22.0,440.0,0.016221973839098378,5.158040178733201e-06,0.0,0.011868548442357433
1.0,0.58,20.0,23.0,460.0,0.0033124543175359123,3.3095404504675235e-06,0.0,0.011868548442357433
1.0,0.58,20.0,24.0,480.0,-0.00037212033585611547,2.1234921818640846e-06,0.0,0.011868548442357433
1.0,0.58,20.0,25.0,500.0,-0.001551117094945981,1.3624909904941317e-06,0.0,0.011868548442357433
1.0,0.58,20.0,26.0,520.0,0.0017287549297268345,8.742116947885701e-07,0.0,0.011868548442357433
1.0,0.58,20.0,27.0,540.0,0.008638176516439156,5.609182685515863e-07,0.0,0.011868548442357433
1.0,0.58,20.0,28.0,560.0,-0.002226643848021206,3.599005891484935e-07,0.0,0.011868548442357433
1.0,0.58,20.0,29.0,580.0,0.003072770442770217,2.3092211705620414e-07,0.0,0.011868548442357433
1.0,0.58,20.0,30.0,600.0,-0.0059655786650317935,1.4816598181148725e-07,0.0,0.011868548442357433
1.0,0.58,50.0,1.0,50.0,0.0667954962418746,0.064378462130368,0.0,0.028822795989243706
1.0,0.58,50.0,2.0,100.0,0.02349823188252645,0.025007416875012095,0.0,0.028822795989243706
1.0,0.58,50.0,3.0,150.0,0.008603615912791596,0.009713976974073222,0.0,0.028822795989243706
1.0,0.58,50.0,4.0,200.0,0.006914619320359952,0.0037733344921007197,0.0,0.028822795989243706
1.0,0.58,50.0,5.0,250.0,0.007115886091851549,0.0014657285298574022,0.0,0.028822795989243706
1.0,0.58,50.0,6.0,300.0,-0.004557768340648982,0.0005693532147058317,0.0,0.028822795989243706
1.0,0.58,50.0,7.0,350.0,0.004602945272689612,0.0002211617475491195,0.0,0.028822795989243706
1.0,0.58,50.0,8.0,400.0,0.016651442290569893,8.590891790125775e-05,0.0,0.028822795989243706
1.0,0.58,50.0,9.0,450.0,0.01294999971733073,3.33707897353537e-05,0.0,0.028822795989243706
1.0,0.58,50.0,10.0,500.0,-0.009468574537782078,1.296267762144498e-05,0.0,0.028822795989243706
1.0,0.58,50.0,11.0,550.0,0.004688643263533906,5.035272238088359e-06,0.0,0.028822795989243706
1.0,0.58,50.0,12.0,600.0,0.0022882844800863503,1.9559204704527007e-06,0.0,0.028822795989243706
1.0,0.58,100.0,1.0,100.0,0.05817198533173147,0.049068266393573784,0.0,0.05888419505422807
1.0,0.58,100.0,2.0,200.0,0.010170520662579749,0.011567525549279393,0.0,0.05888419505422807
1.0,0.58,100.0,3.0,300.0,0.011560518313600431,0.0027269691221607053,0.0,0.05888419505422807
1.0,0.58,100.0,4.0,400.0,0.024233461752512366,0.0006428652836371889,0.0,0.05888419505422807
1.0,0.58,100.0,5.0,500.0,0.00415030566240925,0.0001515513210426327,0.0,0.05888419505422807
1.0,0.58,100.0,6.0,600.0,-0.01182359367674314,3.572724098557696e-05,0.0,0.05888419505422807
2.0,0.58,20.0,1.0,20.0,0.07737190959977135,0.05477478482091462,0.0,0.009925840801845175
2.0,0.58,20.0,2.0,40.0,0.02304535040816494,0.03376889160804138,0.0,0.009925840801845175
2.0,0.58,20.0,3.0,60.0,0.007615024728507293,0.020818667643587585,0.0,0.009925840801845175
2.0,0.58,20.0,4.0,80.0,0.009625686603744714,0.012834798591700034,0.0,0.009925840801845175
2.0,0.58,20.0,5.0,100.0,0.004043825903679818,0.007912708810654595,0.0,0.009925840801845175
2.0,0.58,20.0,6.0,120.0,0.00503954984095825,0.00487821918473266,0.0,0.009925840801845175
2.0,0.58,20.0,7.0,140.0,0.002007610911476984,0.0030074432136628975,0.0,0.009925840801845175
2.0,0.58,20.0,8.0,160.0,0.004995413419838619,0.0018541017410029917,0.0,0.009925840801845175
2.0,0.58,20.0,9.0,180.0,-0.000383570272862807,0.0011430617377487923,0.0,0.009925840801845175
2.0,0.58,20.0,10.0,200.0,0.0005886336955342892,0.0007047025022469792,0.0,0.009925840801845175
2.0,0.58,20.0,11.0,220.0,-0.002965497103570396,0.00043445213873678925,0.0,0.009925840801845175
2.0,0.58,20.0,12.0,240.0,0.005430942657023087,0.0002678416214659886,0.0,0.009925840801845175
2.0,0.58,20.0,13.0,260.0,0.014283883374090945,0.00016512551738867773,0.0,0.009925840801845175
2.0,0.58,20.0,14.0,280.0,0.0062321549339316345,0.00010180059523101749,0.0,0.009925840801845175
2.0,0.58,20.0,15.0,300.0,0.009993890157934528,6.276050699660095e-05,0.0,0.009925840801845175
2.0,0.58,20.0,16.0,320.0,0.005026682940459847,3.869212384791897e-05,0.0,0.009925840801845175
2.0,0.58,20.0,17.0,340.0,0.005774860635961433,2.385386160031785e-05,0.0,0.009925840801845175
2.0,0.58,20.0,18.0,360.0,0.006077212473533332,1.4706008785757628e-05,0.0,0.009925840801845175
2.0,0.58,20.0,19.0,380.0,0.008426263852548832,9.066317983663442e-06,0.0,0.009925840801845175
2.0,0.58,20.0,20.0,400.0,0.005121465703854437,5.589424226409127e-06,0.0,0.009925840801845175
2.0,0.58,20.0,21.0,420.0,0.0036822518291343242,3.445904196065423e-06,0.0,0.009925840801845175
2.0,0.58,20.0,22.0,440.0,-0.011000686606615672,2.1244148319172753e-06,0.0,0.009925840801845175
2.0,0.58,20.0,23.0,460.0,-0.004355474444150207,1.3097109267353582e-06,0.0,0.009925840801845175
2.0,0.58,20.0,24.0,480.0,0.0017392893365903205,8.074424476042191e-07,0.0,0.009925840801845175
2.0,0.58,20.0,25.0,500.0,0.0034575410502343563,4.977917591465805e-07,0.0,0.009925840801845175
2.0,0.58,20.0,26.0,520.0,0.001080358615596171,3.068907712363777e-07,0.0,0.009925840801845175
2.0,0.58,20.0,27.0,540.0,-0.007331166845801887,1.891994870134556e-07,0.0,0.009925840801845175
2.0,0.58,20.0,28.0,560.0,-0.00290523408159234,1.1664230156527945e-07,0.0,0.009925840801845175
2.0,0.58,20.0,29.0,580.0,0.0002223178966026178,7.191048310547478e-08,0.0,0.009925840801845175
2.0,0.58,20.0,30.0,600.0,0.007657173912522228,4.43331236701355e-08,0.0,0.009925840801845175
2.0,0.58,50.0,1.0,50.0,0.05540960596657409,0.05740259255387565,0.0,0.024459907194832688
2.0,0.58,50.0,2.0,100.0,0.009981379194854631,0.02070577783771215,0.0,0.024459907194832688
2.0,0.58,50.0,3.0,150.0,0.00957730988481425,0.007468813110876561,0.0,0.024459907194832688
2.0,0.58,50.0,4.0,200.0,0.0024083996630050544,0.002694087115317242,0.0,0.024459907194832688
2.0,0.58,50.0,5.0,250.0,0.0146150747665933,0.0009717883252894178,0.0,0.024459907194832688
2.0,0.58,50.0,6.0,300.0,0.017292677425729326,0.0003505352680689417,0.0,0.024459907194832688
2.0,0.58,50.0,7.0,350.0,0.013591456729844676,0.00012644211806472382,0.0,0.024459907194832688
2.0,0.58,50.0,8.0,400.0,0.013791251606466996,4.5609131739489296e-05,0.0,0.024459907194832688
2.0,0.58,50.0,9.0,450.0,-0.012701340913075154,1.6451740368389516e-05,0.0,0.024459907194832688
2.0,0.58,50.0,10.0,500.0,0.00045136807294355154,5.934332683526063e-06,0.0,0.024459907194832688
2.0,0.58,50.0,11.0,550.0,0.0002871388292554377,2.1405823098467123e-06,0.0,0.024459907194832688
2.0,0.58,50.0,12.0,600.0,0.007530285725908413,7.721327518338756e-07,0.0,0.024459907194832688
2.0,0.58,100.0,1.0,100.0,0.036581368032656915,0.038973384926737735,0.0,0.05296762646582777
2.0,0.58,100.0,2.0,200.0,0.026860379099184175,0.007398740079716991,0.0,0.05296762646582777
2.0,0.58,100.0,3.0,300.0,0.030653843287414186,0.0014045830217240178,0.0,0.05296762646582777
2.0,0.58,100.0,4.0,400.0,0.009315267178178098,0.0002666472188046964,0.0,0.05296762646582777
2.0,0.58,100.0,5.0,500.0,0.012354978843825436,5.062053164291343e-05,0.0,0.05296762646582777
2.0,0.58,100.0,6.0,600.0,-0.003928268747407178,9.609844180253901e-06,0.0,0.05296762646582777
3.0,0.58,20.0,1.0,20.0,0.0657322002073804,0.0500764031333663,0.0,0.007674275628449124
3.0,0.58,20.0,2.0,40.0,0.021404640462181067,0.02907382934145144,0.0,0.007674275628449124
3.0,0.58,20.0,3.0,60.0,0.004147713808514397,0.01687995741875919,0.0,0.007674275628449124
3.0,0.58,20.0,4.0,80.0,0.0029578005649510755,0.009800324515659375,0.0,0.007674275628449124
3.0,0.58,20.0,5.0,100.0,0.01100833201825778,0.005689964626658067,0.0,0.007674275628449124
3.0,0.58,20.0,6.0,120.0,-5.348941338267616e-06,0.0033035332045269323,0.0,0.007674275628449124
3.0,0.58,20.0,7.0,140.0,0.0016735335973538414,0.0019179963935596197,0.0,0.007674275628449124
3.0,0.58,20.0,8.0,160.0,-0.0026236919387095554,0.0011135683941867632,0.0,0.007674275628449124
3.0,0.58,20.0,9.0,180.0,-0.0003677123867822029,0.0006465260167827008,0.0,0.007674275628449124
3.0,0.58,20.0,10.0,200.0,-0.0014434207565870354,0.00037536615852155783,0.0,0.007674275628449124
3.0,0.58,20.0,11.0,220.0,0.007072155885646284,0.00021793361644499462,0.0,0.007674275628449124
3.0,0.58,20.0,12.0,240.0,0.006469056651264452,0.00012652994975322562,0.0,0.007674275628449124
3.0,0.58,20.0,13.0,260.0,0.0027271159757658327,7.34619488526434e-05,0.0,0.007674275628449124
3.0,0.58,20.0,14.0,280.0,0.004096272606919761,4.265122952908482e-05,0.0,0.007674275628449124
3.0,0.58,20.0,15.0,300.0,0.008101643562228644,2.4762852180679912e-05,0.0,0.007674275628449124
3.0,0.58,20.0,16.0,320.0,0.0037283855129578514,1.4377049733209919e-05,0.0,0.007674275628449124
3.0,0.58,20.0,17.0,340.0,0.006217172310655861,8.347162819655294e-06,0.0,0.007674275628449124
3.0,0.58,20.0,18.0,360.0,0.008738290809408416,4.846274335192105e-06,0.0,0.007674275628449124
3.0,0.58,20.0,19.0,380.0,-0.0006480972791108211,2.8136955561280848e-06,0.0,0.007674275628449124
3.0,0.58,20.0,20.0,400.0,0.001260177554654408,1.6336018423647718e-06,0.0,0.007674275628449124
3.0,0.58,20.0,21.0,420.0,0.0021441498590700435,9.48451929550581e-07,0.0,0.007674275628449124
3.0,0.58,20.0,22.0,440.0,0.0034660105350478496,5.506611460268876e-07,0.0,0.007674275628449124
3.0,0.58,20.0,23.0,460.0,-0.006220818491857187,3.1970802978631513e-07,0.0,0.007674275628449124
3.0,0.58,20.0,24.0,480.0,-0.009088960481832886,1.856190963305345e-07,0.0,0.007674275628449124
3.0,0.58,20.0,25.0,500.0,-0.010264152605328973,1.0776848159113406e-07,0.0,0.007674275628449124
3.0,0.58,20.0,26.0,520.0,0.0039744104389196995,6.256923912492986e-08,0.0,0.007674275628449124
3.0,0.58,20.0,27.0,540.0,0.011661483072283063,3.6327037616856674e-08,0.0,0.007674275628449124
3.0,0.58,20.0,28.0,560.0,-0.0029401852442121797,2.1091093330727773e-08,0.0,0.007674275628449124
3.0,0.58,20.0,29.0,580.0,0.014449837174559402,1.2245265429489775e-08,0.0,0.007674275628449124
3.0,0.58,20.0,30.0,600.0,-0.007253793049514566,7.109471428880323e-09,0.0,0.007674275628449124
3.0,0.58,50.0,1.0,50.0,0.039949307697670626,0.047896248527839025,0.0,0.019248183370770295
3.0,0.58,50.0,2.0,100.0,0.013819896487678238,0.015531744945002268,0.0,0.019248183370770295
3.0,0.58,50.0,3.0,150.0,0.004807169694059354,0.005036617865726768,0.0,0.019248183370770295
3.0,0.58,50.0,4.0,200.0,-0.0015205734881045634,0.0016332691281748554,0.0,0.019248183370770295
