replicate,temperature,block_size,rate_window_index,rate_window_count,first_block_index,last_block_index,window_block_count,window_midpoint_time,mean_count_per_particle_block,event_count
1.0,0.58,20.0,0.0,6.0,0.0,12.0,13.0,130.0,0.2609563155794465,11117.0
1.0,0.58,20.0,1.0,6.0,13.0,25.0,13.0,390.0,0.29165982019201425,12425.0
1.0,0.58,20.0,2.0,6.0,26.0,37.0,12.0,640.0,0.2903570338724443,11418.0
1.0,0.58,20.0,3.0,6.0,38.0,49.0,12.0,880.0,0.31967755060522834,12571.0
1.0,0.58,20.0,4.0,6.0,50.0,61.0,12.0,1120.0,0.29094191842132033,11441.0
1.0,0.58,20.0,5.0,6.0,62.0,73.0,12.0,1360.0,0.3035296511036517,11936.0
1.0,0.58,50.0,0.0,6.0,0.0,4.0,5.0,125.0,0.6506560878852609,10661.0
1.0,0.58,50.0,1.0,6.0,5.0,9.0,5.0,375.0,0.7366493744278303,12070.0
1.0,0.58,50.0,2.0,6.0,10.0,14.0,5.0,625.0,0.7253585596582239,11885.0
1.0,0.58,50.0,3.0,6.0,15.0,19.0,5.0,875.0,0.7629539212694537,12501.0
1.0,0.58,50.0,4.0,6.0,20.0,24.0,5.0,1125.0,0.7311565456209949,11980.0
1.0,0.58,50.0,5.0,6.0,25.0,29.0,5.0,1375.0,0.7381141287763198,12094.0
1.0,0.58,100.0,0.0,6.0,0.0,2.0,3.0,150.0,1.2835927169158783,12619.0
1.0,0.58,100.0,1.0,6.0,3.0,5.0,3.0,450.0,1.5364662801342692,15105.0
1.0,0.58,100.0,2.0,6.0,6.0,7.0,2.0,700.0,1.4794018919743668,9696.0
1.0,0.58,100.0,3.0,6.0,8.0,9.0,2.0,900.0,1.6086359475129692,10543.0
1.0,0.58,100.0,4.0,6.0,10.0,11.0,2.0,1100.0,1.4217271895025938,9318.0
1.0,0.58,100.0,5.0,6.0,12.0,13.0,2.0,1300.0,1.5230393652731156,9982.0
2.0,0.58,20.0,0.0,6.0,0.0,12.0,13.0,130.0,0.2942653928311542,12536.0
2.0,0.58,20.0,1.0,6.0,13.0,25.0,13.0,390.0,0.25567474941902774,10892.0
2.0,0.58,20.0,2.0,6.0,26.0,37.0,12.0,640.0,0.3023853117688943,11891.0
2.0,0.58,20.0,3.0,6.0,38.0,49.0,12.0,880.0,0.3043942630454684,11970.0
2.0,0.58,20.0,4.0,6.0,50.0,61.0,12.0,1120.0,0.31283694435967857,12302.0
2.0,0.58,20.0,5.0,6.0,62.0,73.0,12.0,1360.0,0.3111077204760452,12234.0
2.0,0.58,50.0,0.0,6.0,0.0,4.0,5.0,125.0,0.7414708574916081,12149.0
2.0,0.58,50.0,1.0,6.0,5.0,9.0,5.0,375.0,0.6297833384192859,10319.0
2.0,0.58,50.0,2.0,6.0,10.0,14.0,5.0,625.0,0.7646017699115044,12528.0
2.0,0.58,50.0,3.0,6.0,15.0,19.0,5.0,875.0,0.7287763198046994,11941.0
2.0,0.58,50.0,4.0,6.0,20.0,24.0,5.0,1125.0,0.7832773878547452,12834.0
2.0,0.58,50.0,5.0,6.0,25.0,29.0,5.0,1375.0,0.7559353066829417,12386.0
2.0,0.58,100.0,0.0,6.0,0.0,2.0,3.0,150.0,1.4336283185840708,14094.0
2.0,0.58,100.0,1.0,6.0,3.0,5.0,3.0,450.0,1.3506255721696674,13278.0
2.0,0.58,100.0,2.0,6.0,6.0,7.0,2.0,700.0,1.4223375038144646,9322.0
2.0,0.58,100.0,3.0,6.0,8.0,9.0,2.0,900.0,1.6208422337503814,10623.0
2.0,0.58,100.0,4.0,6.0,10.0,11.0,2.0,1100.0,1.5279218797680805,10014.0
2.0,0.58,100.0,5.0,6.0,12.0,13.0,2.0,1300.0,1.5680500457735733,10277.0
3.0,0.58,20.0,0.0,6.0,0.0,12.0,13.0,130.0,0.27104997535269126,11547.0
3.0,0.58,20.0,1.0,6.0,13.0,25.0,13.0,390.0,0.2876223562827164,12253.0
3.0,0.58,20.0,2.0,6.0,26.0,37.0,12.0,640.0,0.3100651001932662,12193.0
3.0,0.58,20.0,3.0,6.0,38.0,49.0,12.0,880.0,0.3159393754450209,12424.0
3.0,0.58,20.0,4.0,6.0,50.0,61.0,12.0,1120.0,0.32244939477164075,12680.0
3.0,0.58,20.0,5.0,6.0,62.0,73.0,12.0,1360.0,0.29684162343606957,11673.0
3.0,0.58,50.0,0.0,6.0,0.0,4.0,5.0,125.0,0.675678974671956,11071.0
3.0,0.58,50.0,1.0,6.0,5.0,9.0,5.0,375.0,0.7274946597497711,11920.0
3.0,0.58,50.0,2.0,6.0,10.0,14.0,5.0,625.0,0.7687519072322246,12596.0
3.0,0.58,50.0,3.0,6.0,15.0,19.0,5.0,875.0,0.7658834299664327,12549.0
3.0,0.58,50.0,4.0,6.0,20.0,24.0,5.0,1125.0,0.8010985657613671,13126.0
3.0,0.58,50.0,5.0,6.0,25.0,29.0,5.0,1375.0,0.7186451022276472,11775.0
3.0,0.58,100.0,0.0,6.0,0.0,2.0,3.0,150.0,1.3398433526599531,13172.0
3.0,0.58,100.0,1.0,6.0,3.0,5.0,3.0,450.0,1.5212084223375038,14955.0
3.0,0.58,100.0,2.0,6.0,6.0,7.0,2.0,700.0,1.5129691791272506,9916.0
3.0,0.58,100.0,3.0,6.0,8.0,9.0,2.0,900.0,1.6007018614586512,10491.0
3.0,0.58,100.0,4.0,6.0,10.0,11.0,2.0,1100.0,1.595971925541654,10460.0
3.0,0.58,100.0,5.0,6.0,12.0,13.0,2.0,1300.0,1.5196826365578273,9960.0
4.0,0.58,20.0,0.0,6.0,0.0,12.0,13.0,130.0,0.27306870730734023,11633.0
4.0,0.58,20.0,1.0,6.0,13.0,25.0,13.0,390.0,0.2907208750968287,12385.0
4.0,0.58,20.0,2.0,6.0,26.0,37.0,12.0,640.0,0.28160919540229884,11074.0
4.0,0.58,20.0,3.0,6.0,38.0,49.0,12.0,880.0,0.28997558742752516,11403.0
4.0,0.58,20.0,4.0,6.0,50.0,61.0,12.0,1120.0,0.31769402909164884,12493.0
4.0,0.58,20.0,5.0,6.0,62.0,73.0,12.0,1360.0,0.3003763604923202,11812.0
4.0,0.58,50.0,0.0,6.0,0.0,4.0,5.0,125.0,0.6816600549282881,11169.0
4.0,0.58,50.0,1.0,6.0,5.0,9.0,5.0,375.0,0.7186451022276472,11775.0
4.0,0.58,50.0,2.0,6.0,10.0,14.0,5.0,625.0,0.7165700335672871,11741.0
4.0,0.58,50.0,3.0,6.0,15.0,19.0,5.0,875.0,0.7012511443393348,11490.0
4.0,0.58,50.0,4.0,6.0,20.0,24.0,5.0,1125.0,0.792004882514495,12977.0
4.0,0.58,50.0,5.0,6.0,25.0,29.0,5.0,1375.0,0.7290204455294477,11945.0
4.0,0.58,100.0,0.0,6.0,0.0,2.0,3.0,150.0,1.39466992167633,13711.0
4.0,0.58,100.0,1.0,6.0,3.0,5.0,3.0,450.0,1.4448174143016987,14204.0
4.0,0.58,100.0,2.0,6.0,6.0,7.0,2.0,700.0,1.2920353982300885,8468.0
4.0,0.58,100.0,3.0,6.0,8.0,9.0,2.0,900.0,1.5283796155019835,10017.0
4.0,0.58,100.0,4.0,6.0,10.0,11.0,2.0,1100.0,1.6283185840707965,10672.0
4.0,0.58,100.0,5.0,6.0,12.0,13.0,2.0,1300.0,1.462160512664022,9583.0
5.0,0.58,20.0,0.0,6.0,0.0,12.0,13.0,130.0,0.24515856435294947,10444.0
5.0,0.58,20.0,1.0,6.0,13.0,25.0,13.0,390.0,0.3050397877984085,12995.0
5.0,0.58,20.0,2.0,6.0,26.0,37.0,12.0,640.0,0.31611738378598314,12431.0
5.0,0.58,20.0,3.0,6.0,38.0,49.0,12.0,880.0,0.30650493337402096,12053.0
5.0,0.58,20.0,4.0,6.0,50.0,61.0,12.0,1120.0,0.3144390194283389,12365.0
5.0,0.58,20.0,5.0,6.0,62.0,73.0,12.0,1360.0,0.2816346251652935,11075.0
5.0,0.58,50.0,0.0,6.0,0.0,4.0,5.0,125.0,0.6113518462007934,10017.0
5.0,0.58,50.0,1.0,6.0,5.0,9.0,5.0,375.0,0.7586817210863595,12431.0
5.0,0.58,50.0,2.0,6.0,10.0,14.0,5.0,625.0,0.7945682026243516,13019.0
5.0,0.58,50.0,3.0,6.0,15.0,19.0,5.0,875.0,0.7417149832163564,12153.0
5.0,0.58,50.0,4.0,6.0,20.0,24.0,5.0,1125.0,0.7833994507171194,12836.0
5.0,0.58,50.0,5.0,6.0,25.0,29.0,5.0,1375.0,0.6848947207812023,11222.0
5.0,0.58,100.0,0.0,6.0,0.0,2.0,3.0,150.0,1.2581629539212695,12369.0
5.0,0.58,100.0,1.0,6.0,3.0,5.0,3.0,450.0,1.5679991862475842,15415.0
5.0,0.58,100.0,2.0,6.0,6.0,7.0,2.0,700.0,1.4636862984436985,9593.0
5.0,0.58,100.0,3.0,6.0,8.0,9.0,2.0,900.0,1.5706438815990236,10294.0
5.0,0.58,100.0,4.0,6.0,10.0,11.0,2.0,1100.0,1.590631675312786,10425.0
5.0,0.58,100.0,5.0,6.0,12.0,13.0,2.0,1300.0,1.4259993896856882,9346.0
