replicate,temperature,block_size,block_count,maximum_lag,calibration_event_count,heldout_event_count,slow_mean_count,fast_mean_count,slow_to_fast_probability,fast_to_slow_probability,stationary_slow_probability,stationary_fast_probability,initial_slow_probability,exchange_eigenvalue,exchange_time,log_likelihood,single_poisson_log_likelihood,log_likelihood_gain_per_observation,iterations,converged,heldout_mean_count,heldout_count_variance,heldout_fano_factor,predicted_mean_count,predicted_fano_factor,heldout_mean_relative_error,heldout_fano_relative_error,heldout_identity_correlation_rmse,heldout_early_identity_signed_error,heldout_late_identity_signed_excess,heldout_late_identity_absolute_error,heldout_hmm_log_likelihood,heldout_poisson_log_likelihood,heldout_hmm_log_likelihood_gain_per_observation,poisson_identity_correlation_rmse,static_identity_correlation,static_identity_correlation_rmse,thermodynamic_claim_allowed,maximum_mean_relative_error,maximum_fano_relative_error,maximum_identity_correlation_rmse,maximum_late_identity_absolute_error,finite_exchange_hmm_transfer_pass,primary_failure
1.0,0.58,20.0,37.0,30.0,34491.0,36417.0,0.0836945878827808,0.43040542099024764,0.21589938006014425,0.14247311495978854,0.39755594232158953,0.6024440576784105,0.7138489235757818,0.6416275049800672,45.070691284431845,-81213.08438478134,-81967.48292720401,0.006221894963444402,200.0,False,0.30034886885665035,0.3188908382159636,1.0617347733983407,0.2925684690211053,1.098406158457201,0.025904541825521155,0.03453912029412454,0.006131222382540521,0.01819411504652687,-0.005965726831013605,0.005965726831013605,-84110.77168166482,-84619.04656052837,0.004191992336955775,0.01583254659356878,0.011868548442357433,0.01526494363052741,0.0,0.1,0.2,0.05,0.05,1.0,none
1.0,0.58,50.0,15.0,12.0,34616.0,36575.0,0.2616284083062909,1.0342867937654792,0.3651477932747644,0.24640836933795152,0.40292026211498766,0.5970797378850123,0.6390965446946797,0.38844383738728405,52.8761068783588,-55688.603648531716,-56378.049698467046,0.014025959717939782,141.0,True,0.7440748652222561,0.8641737728511034,1.1614070213122623,0.7229670745709199,1.198658872702242,0.028367831837769808,0.03207475993032083,0.007387778065360429,0.002417034111506594,0.0022863285596158977,0.0022863285596158977,-57136.081175693245,-57593.17527328961,0.009299035654488204,0.021966038422136406,0.028822795989243706,0.025304755439661323,0.0,0.1,0.2,0.05,0.05,1.0,none
1.0,0.58,100.0,7.0,6.0,32800.0,34463.0,0.6720508535186999,1.9743648366085023,0.48441491418213367,0.27984157174103047,0.3661618539003996,0.6338381460996003,0.6417912771830895,0.23574351407683586,69.20363167900456,-36127.36036388123,-36696.55483864932,0.024813395299188717,111.0,True,1.5023758664283535,1.8661938408509375,1.2421617536279388,1.4975071341999264,1.2628536295118757,0.0032406885235728433,0.016657956037933852,0.012083119651988342,0.009103718938157687,-0.011859320917728716,0.011859320917728716,-36748.249218172445,-37129.10395020132,0.01660293526434797,0.02697328315419062,0.05888419505422807,0.04797416500784896,0.0,0.1,0.2,0.05,0.05,1.0,none
2.0,0.58,20.0,37.0,30.0,34816.0,37009.0,0.07552217777131845,0.4239853814458083,0.23883634989961564,0.14465932756496425,0.3772124069855394,0.6227875930144606,0.5810157314561046,0.6165043225354201,41.34880248626032,-81718.26151870248,-82354.53140786535,0.005247629994167935,200.0,False,0.30523138335161526,0.3244784842228808,1.0630574112659104,0.2925407376418617,1.0975109570413109,0.04157713263427565,0.03240986367271792,0.007515644586868459,0.022597124778856725,0.007657129579398557,0.007657129579398557,-84978.0583949344,-85489.47589374991,0.004217911065786222,0.015920371409840546,0.009925840801845175,0.015050563403207389,0.0,0.1,0.2,0.05,0.05,1.0,none
2.0,0.58,50.0,15.0,12.0,34996.0,37161.0,0.22834231351524692,0.996441512098749,0.40848736500337396,0.23080109016041353,0.36102809036537603,0.638971909634624,0.4455627390008984,0.3607115448362125,49.035150792234134,-55963.49193538945,-56515.1861008546,0.011223561498629752,200.0,False,0.7559963381141288,0.8876700250094773,1.1741723871623706,0.7191361252229715,1.1892545278401216,0.04875713152673056,0.012844911737534659,0.009940038184223099,-0.0019929865873015568,0.007529513593156578,0.007529513593156578,-57701.800894397646,-58169.434157158765,0.009513442432328737,0.019090260351404934,0.024459907194832688,0.02058277754002133,0.0,0.1,0.2,0.05,0.05,1.0,none
2.0,0.58,100.0,7.0,6.0,32556.0,35052.0,0.5854738133773858,1.8664749634469713,0.5333577099685841,0.27680145137639117,0.34166305163649924,0.6583369483635008,0.37769329613692576,0.1898408386550247,60.184069998844855,-36025.85497976074,-36426.29151678698,0.017456582110215724,179.0,True,1.5280526614063386,1.8834603998598465,1.23258867147053,1.4288042013643316,1.258328645202225,0.06495094216888042,0.020882857621095985,0.015752132176743174,-0.00239201689408082,-0.003937878591587432,0.003937878591587432,-37009.230528272274,-37336.37300490722,0.014261409679364602,0.023288715296490712,0.05296762646582777,0.03705865004871205,0.0,0.1,0.2,0.05,0.05,1.0,none
3.0,0.58,20.0,37.0,30.0,35422.0,37348.0,0.07371211973403756,0.42148591671205327,0.26778473342380466,0.15162585674936788,0.3615212879740646,0.6384787120259354,0.511002391521294,0.5805894098268275,36.78421587828617,-82797.23067966459,-83332.16750914678,0.004411886526752309,200.0,False,0.30802728269923874,0.32397625585158496,1.05177779387782,0.2957582857049302,1.094392413572437,0.0398308775988786,0.04051675167765256,0.007169628551040205,0.015655797074014093,-0.007253800158985995,0.007253800158985995,-85467.64058000209,-85811.07198497382,0.0028324473189200398,0.014042404832652653,0.007674275628449124,0.013388493528662554,0.0,0.1,0.2,0.05,0.05,1.0,none
3.0,0.58,50.0,15.0,12.0,35587.0,37450.0,0.24583631757989002,0.9908275774201422,0.4386338243410589,0.2370872305976247,0.3508655366956688,0.6491344633043312,0.42440072868394596,0.3242789450613164,44.399011743192524,-56428.11420198773,-56872.08593866433,0.009032076831992638,200.0,False,0.7618756993184823,0.8753891783241347,1.1489921244465378,0.7294358192027097,1.1732968421271537,0.042578966811503416,0.021153075955436362,0.009068454413511349,-0.007946940830168399,-0.00868592688222147,0.00868592688222147,-57801.037454445366,-58120.44523213595,0.006497971268245007,0.015112572381908797,0.019248183370770295,0.018053208148301934,0.0,0.1,0.2,0.05,0.05,1.0,none
3.0,0.58,100.0,7.0,6.0,33319.0,35635.0,0.625482311508913,1.8962768413780466,0.5801461510014598,0.2960173211935652,0.3378562683650372,0.6621437316349628,0.4047067862359713,0.12383652780497495,47.87454019556797,-36338.639742002546,-36701.78509673108,0.015830914805725384,200.0,False,1.5534678931078076,1.852878138938196,1.1927366810468158,1.4669309436577593,1.2462777950914508,0.05570565689447615,0.04488929945345865,0.01997397997957,0.008658022082860858,0.02738347521496796,0.02738347521496796,-37042.787739139734,-37268.71261075732,0.009848941611124555,0.0239631193077841,0.03927232421767701,0.028978080409005846,0.0,0.1,0.2,0.05,0.05,1.0,none
4.0,0.58,20.0,37.0,30.0,34521.0,36279.0,0.08442095708706301,0.4332512919397956,0.24914090419076176,0.17377156853219886,0.41089251261225457,0.5891074873877454,0.6429059632590433,0.5770875272770394,36.37942303187924,-81417.51147911619,-82030.68458313146,0.005057139473441152,200.0,False,0.2992107151399187,0.3186165202635806,1.0648566516562994,0.2899195191767822,1.1015953437292,0.031052350377197224,0.03450106830412958,0.006207874115689602,0.023482325136442765,0.006293561155752366,0.006293561155752366,-83854.03193241649,-84448.42798012367,0.004902275876148929,0.016859829225526965,0.009284787363163426,0.016114495531266437,0.0,0.1,0.2,0.05,0.05,1.0,none
