replicate,temperature,kernel_mode,kernel_state,block_green_kubo_factor,posterior_weight_sum,effective_sample_size,posterior_mean_count,conditional_msd,conditional_fourth_moment,conditional_characteristic_k2,conditional_characteristic_k4,conditional_characteristic_k7p25
1.0,0.58,state-conditioned-joint-finite-gk,slow,0.6670718421059613,48404.55853001829,106091.49059413087,0.08261808477538603,0.1243773007954336,0.03732215214368333,0.9217939065107245,0.732868108973458,0.3978205434206611
1.0,0.58,state-conditioned-joint-finite-gk,fast,0.6670718421059613,72844.44146998171,114053.8954387656,0.41858935925011037,0.18473666828193708,0.08689068212428588,0.8875916448516815,0.6461774869679392,0.308672396108418
2.0,0.58,state-conditioned-joint-finite-gk,slow,0.6672425842793999,45820.23691154111,104737.956485901,0.07578973451370034,0.12263454289457192,0.035717680282185485,0.9227387669516922,0.7350109773075616,0.39972051908469547
2.0,0.58,state-conditioned-joint-finite-gk,fast,0.6672425842793999,75428.76308845889,114583.49324936689,0.4155350707840943,0.18356136899568912,0.08506437932689057,0.8880690309985467,0.646269957743506,0.3080719205792231
3.0,0.58,state-conditioned-joint-finite-gk,slow,0.660574976757555,43894.596234366654,104069.8361112228,0.0738064278453175,0.123850019161906,0.036425006879789924,0.9220260135648412,0.7328513863285644,0.39571706432951814
3.0,0.58,state-conditioned-joint-finite-gk,fast,0.660574976757555,77354.40376563335,115129.50183751449,0.4160370332338683,0.1851599103007686,0.086993239866585,0.8873276562640031,0.6451886125401496,0.30738492183515653
4.0,0.58,state-conditioned-joint-finite-gk,slow,0.6812197397111386,49927.318010256895,106325.86521067248,0.08423701749886515,0.12157846547794934,0.0355859027014703,0.923428841893491,0.7373592661972792,0.4034606200514595
4.0,0.58,state-conditioned-joint-finite-gk,fast,0.6812197397111386,71321.68198974314,113446.3019450307,0.4250498697360819,0.180449559050455,0.08294113337635196,0.8899161190560172,0.6512739276450079,0.3133792556716015
5.0,0.58,state-conditioned-joint-finite-gk,slow,0.6662401290800197,35314.906615946195,101483.45042936785,0.05716640526918575,0.11828266265631093,0.0318023462105391,0.9251842896290798,0.741039072671466,0.4048757784776171
5.0,0.58,state-conditioned-joint-finite-gk,fast,0.6662401290800197,85934.09338405379,117387.80464168536,0.38727555532138713,0.17665545142019587,0.07887514015553354,0.8919578559690211,0.655987786834101,0.31625881644131265
