replicate,temperature,block_size,calibration_horizon,scoring_horizon,fast_clock_weight,fast_clock_time,slow_clock_time,time_scale_ratio,calibration_bic_gain_two_over_one,second_clock_calibration_selected,predicted_mean_count,heldout_mean_count,heldout_mean_relative_error,predicted_fano_factor,heldout_fano_factor,heldout_fano_relative_error,heldout_count_tv_distance,identity_rmse,late_identity_signed_error,late_identity_absolute_error,empirical_split_half_pair_tv_distance,pair_tv_tolerance,pair_tv_distance,pair_distribution_pass,positive_poisson_emissions,finite_exchange_recovery,static_rate_disorder,thermodynamic_claim_allowed,maximum_mean_relative_error,maximum_fano_relative_error,maximum_count_tv_distance,maximum_identity_rmse,maximum_late_identity_absolute_error,conditional_shape_distribution_pass,full_hybrid_transfer_pass,primary_failure
1.0,0.58,20.0,300.0,600.0,0.9952221645951287,56.409000534938734,6000.0,106.36600441597447,-5.404218723874038,0.0,0.2925684690211053,0.30034886885665035,0.025904541825521155,1.098406158457201,1.0617347733983407,0.03453912029412454,0.010518093856112362,0.0070119752878122586,-0.006355032475329765,0.006355032475329765,0.02244600413657475,0.03366900620486213,0.01656153994368466,1.0,1.0,1.0,0.0,0.0,0.1,0.2,0.03,0.05,0.05,1.0,1.0,none
1.0,0.58,50.0,300.0,600.0,0.9504510751531403,47.193911683487805,284.77411636378633,6.0341282636976885,-3.1303286074954073,0.0,0.7229670745709199,0.7440748652222561,0.028367831837769808,1.198658872702242,1.1614070213122623,0.03207475993032083,0.015730630515115116,0.0069652585430199,0.001289151361331943,0.001289151361331943,0.028989929813854162,0.04348489472078124,0.025037684742191025,1.0,1.0,1.0,0.0,0.0,0.1,0.2,0.03,0.05,0.05,1.0,1.0,none
2.0,0.58,20.0,300.0,600.0,0.5098008260729145,51.56694784839762,56.409000534938734,1.0938983765487988,-5.368769598564015,0.0,0.2925407376418617,0.30523138335161526,0.04157713263427565,1.0975109570413109,1.0630574112659104,0.03240986367271792,0.013286586292820845,0.008534335105779622,0.007655726998349071,0.007655726998349071,0.02387854745193774,0.03581782117790661,0.020319494748209457,1.0,1.0,1.0,0.0,0.0,0.1,0.2,0.03,0.05,0.05,1.0,1.0,none
2.0,0.58,50.0,300.0,600.0,0.5516308291007528,47.193911683487805,51.030019933738124,1.0812839646770052,-3.479844542192282,0.0,0.7191361252229715,0.7559963381141288,0.04875713152673056,1.1892545278401216,1.1741723871623706,0.012844911737534659,0.019810862446632375,0.009928133473189564,0.007529462920583726,0.007529462920583726,0.032499237107110175,0.048748855660665266,0.0277333780781555,1.0,1.0,1.0,0.0,0.0,0.1,0.2,0.03,0.05,0.05,1.0,1.0,none
3.0,0.58,20.0,300.0,600.0,0.04281233778827104,36.013349511583826,39.39494456480603,1.093898376548799,-5.415674067676406,0.0,0.2957582857049302,0.30802728269923874,0.0398308775988786,1.094392413572437,1.05177779387782,0.04051675167765256,0.014259403212473015,0.007290404463017704,-0.007253813322335121,0.007253813322335121,0.02473468280608957,0.03710202420913436,0.023016484299128035,1.0,1.0,1.0,0.0,0.0,0.1,0.2,0.03,0.05,0.05,1.0,1.0,none
3.0,0.58,50.0,300.0,600.0,0.8557673649140193,40.365138827210174,43.64617734582356,1.0812839646770058,-3.5779765590129884,0.0,0.7294358192027097,0.7618756993184823,0.042578966811503416,1.1732968421271537,1.1489921244465378,0.021153075955436362,0.019746402895784637,0.008844633328256192,-0.008685794268901217,0.008685794268901217,0.033349317755787096,0.05002397663368065,0.028895888447885505,1.0,1.0,1.0,0.0,0.0,0.1,0.2,0.03,0.05,0.05,1.0,1.0,none
4.0,0.58,20.0,300.0,600.0,0.07124709118987703,43.09406590367125,47.140528730912905,1.0938983765487984,-5.414924640143198,0.0,0.2899195191767822,0.2992107151399187,0.031052350377197224,1.1015953437292,1.0648566516562994,0.03450106830412958,0.011267187605279503,0.0055742017775629975,0.006293307442364822,0.006293307442364822,0.017733021394907317,0.03,0.016154714747509933,1.0,1.0,1.0,0.0,0.0,0.1,0.2,0.03,0.05,0.05,1.0,1.0,none
4.0,0.58,50.0,300.0,600.0,0.1844207944138515,43.64617734582356,47.193911683487805,1.0812839646770056,-3.5687553904230214,0.0,0.7135218835357257,0.7407588241277592,0.036768972174047176,1.1881850926012287,1.1823434498478531,0.004940732537679571,0.012101756467040054,0.009653555547681153,0.0008604686783534372,0.0008604686783534372,0.024935699027856494,0.03740354854178474,0.02583642186362653,1.0,1.0,1.0,0.0,0.0,0.1,0.2,0.03,0.05,0.05,1.0,1.0,none
5.0,0.58,20.0,300.0,600.0,0.8053637922432504,47.140528730912905,51.56694784839762,1.0938983765487984,-5.407779936752377,0.0,0.3048939125236747,0.29743750463921353,0.02506882208249306,1.0801423202614902,1.068023897312872,0.011346584078416155,0.003979278128065602,0.008665094762633125,-0.007423912015600386,0.007423912015600386,0.009400535720340398,0.03,0.013040016226092252,1.0,1.0,1.0,0.0,0.0,0.1,0.2,0.03,0.05,0.05,1.0,1.0,none
5.0,0.58,50.0,300.0,600.0,0.0,12.5,47.193911683487805,3.7755129346790244,-3.583518938456109,0.0,0.7572510324279119,0.736669718238226,0.0279383198197789,1.1514290964070586,1.1766991475760293,0.021475371356413753,0.014185457824336712,0.015590493948195134,-0.01793130639101817,0.01793130639101817,0.016740049697022523,0.03,0.01531872372025657,1.0,1.0,1.0,0.0,0.0,0.1,0.2,0.03,0.05,0.05,1.0,1.0,none
