record,model,member_index,fit_time,evaluation_epsilon,horizon_time,position_relative_l2_error,paired_improvement_fraction,position_error_threshold,linearity_mismatch,linearity_identified,model_identified,transition_stable,spectral_radius,design_rank,maximum_held_residual_state_correlation,gate_pass,fit_failure,fit_parameters_from_macro_observables,second_generator_response_allowed,one_tau_generator_response_allowed,autonomous_stochastic_single_particle_gle_allowed,event_clock_claim_allowed,kramers_escape_claim_allowed,thermodynamic_claim_allowed,position_relative_l2_error_standard_error,maximum_position_relative_l2_error,identified_fold_count,evaluable_fold_count,all_identified_folds_pass,integrity_gate_pass,primary_fit_time,minimum_one_tau_identified_folds
leave_one_member_out,first_generator_constrained,1,0.05,0.001,0.2,1.5677358849179335,nan,0.2,0.00019152778195505858,1.0,1.0,0.0,1.1804050868515354,12.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,first_generator_constrained,1,0.05,0.001,0.5,32206.495685937894,nan,0.35,0.00022020780181888908,1.0,1.0,0.0,1.1804050868515354,12.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,first_generator_constrained,1,0.05,0.001,1.0,401156964087.42163,nan,0.5,0.00025639765854371663,1.0,1.0,0.0,1.1804050868515354,12.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,second_generator_constrained,1,0.05,0.001,0.2,3.7482406144013036,-1.3908622941277595,0.2,0.00019152778195505858,1.0,1.0,0.0,1.1823452879254688,15.0,0.9807750976844848,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,second_generator_constrained,1,0.05,0.001,0.5,31863.878125814434,0.010638150870697046,0.35,0.00022020780181888908,1.0,1.0,0.0,1.1823452879254688,15.0,0.9748018633248714,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,second_generator_constrained,1,0.05,0.001,1.0,232151940520.45255,0.42129400383571275,0.5,0.00025639765854371663,1.0,1.0,0.0,1.1823452879254688,15.0,0.9751589712331028,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,free_second_generator_transition,1,0.05,0.001,0.2,2.227691072124078,nan,0.2,0.00019152778195505858,1.0,1.0,0.0,1.1616615934646994,15.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,free_second_generator_transition,1,0.05,0.001,0.5,4291.264395393427,nan,0.35,0.00022020780181888908,1.0,1.0,0.0,1.1616615934646994,15.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,free_second_generator_transition,1,0.05,0.001,1.0,2319839400.170008,nan,0.5,0.00025639765854371663,1.0,1.0,0.0,1.1616615934646994,15.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
leave_one_member_out,first_generator_constrained,1,0.05,0.002,0.2,1.5679682467866989,nan,0.2,0.00019152778195505858,1.0,1.0,0.0,1.1804050868515354,12.0,nan,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
