temperature,model,model_class,replicate_lag_cell_count,replicate_count,wave_number_count,source_stationarity_pass,fs_k2_max_absolute_error,fs_k4_max_absolute_error,fs_k7p25_max_absolute_error,maximum_absolute_error,fs_absolute_error_tolerance,maximum_omitted_count_probability,count_tail_probability_tolerance,all_k_pass,calibration_event_path_statistics_used,heldout_msd_used_as_diagnostic_input,heldout_ngp_used_as_diagnostic_input,macro_fit_parameter_count
0.45,independent_jump,factorized_event_path,18.0,3.0,3.0,1.0,0.002402850588156147,0.020917364729025667,0.0410884611847423,0.0410884611847423,0.03,0.0,0.01,0.0,1.0,1.0,1.0,0.0
0.45,disjoint_pair,factorized_event_path,18.0,3.0,3.0,1.0,0.031202291545301297,0.045214550683397636,0.033097468893828086,0.045214550683397636,0.03,0.0,0.01,0.0,1.0,1.0,1.0,0.0
0.45,pair_eigenmode,factorized_event_path,18.0,3.0,3.0,1.0,0.061886713080555156,0.09721088383479082,0.07718696789214885,0.09721088383479082,0.03,0.0,0.01,0.0,1.0,1.0,1.0,0.0
0.45,empirical_path,factorized_event_path,18.0,3.0,3.0,1.0,0.0734149786331958,0.12064994847636934,0.09652886347550582,0.12064994847636934,0.03,0.0002967543903259484,0.01,0.0,1.0,1.0,1.0,0.0
0.45,gamma_variance_mixture,marginal_variance_mixture,18.0,3.0,3.0,1.0,0.0018551599999999668,0.011799379999999915,0.013975130000000002,0.013975130000000002,0.03,0.0,0.01,1.0,0.0,1.0,1.0,0.0
0.45,inverse_gaussian_variance_mixture,marginal_variance_mixture,18.0,3.0,3.0,1.0,0.0017777700000000118,0.011261599999999983,0.01267815,0.01267815,0.03,0.0,0.01,1.0,0.0,1.0,1.0,0.0
0.58,independent_jump,factorized_event_path,20.0,5.0,3.0,0.0,0.0035359294217555126,0.018526830792111787,0.04664285589915396,0.04664285589915396,0.03,0.0,0.01,0.0,1.0,1.0,1.0,0.0
0.58,disjoint_pair,factorized_event_path,20.0,5.0,3.0,0.0,0.003335515565585756,0.01761757710825443,0.04659692378009134,0.04659692378009134,0.03,0.0,0.01,0.0,1.0,1.0,1.0,0.0
0.58,pair_eigenmode,factorized_event_path,20.0,5.0,3.0,0.0,0.003264992126702171,0.017470939709103905,0.04659570626063542,0.04659570626063542,0.03,0.0,0.01,0.0,1.0,1.0,1.0,0.0
0.58,empirical_path,factorized_event_path,20.0,5.0,3.0,0.0,0.00638421035803835,0.01743369056744845,0.04659528145974512,0.04659528145974512,0.03,4.4304654224447404e-05,0.01,0.0,1.0,1.0,1.0,0.0
0.58,gamma_variance_mixture,marginal_variance_mixture,20.0,5.0,3.0,0.0,0.011334739999999982,0.014189516,0.008681809999999957,0.014189516,0.03,0.0,0.01,0.0,0.0,1.0,1.0,0.0
0.58,inverse_gaussian_variance_mixture,marginal_variance_mixture,20.0,5.0,3.0,0.0,0.011691229999999997,0.014431523000000002,0.00915283,0.014431523000000002,0.03,0.0,0.01,0.0,0.0,1.0,1.0,0.0
